V_A10
2023-12-01 14.01.46
Event #,DateTime,Type,Value,Trigger
82825,2023-10-31 13.31.19,Status,Source A CB Closed,SrcA CB Waiting for Closed
82826,2023-10-31 13.31.19,Status,Parallel Mode,Operation Auto Inverter Only
82827,2023-11-01 11.53.26,User,System Off,HMI_System_Off
82828,2023-11-01 11.53.26,Status,Source A Cooling Down,Operation System Off
82829,2023-11-01 11.53.26,Status,Inverter Stopped,Operation System Off
82830,2023-11-01 11.53.26,Status,Inverter CB Opened,Inv CB Waiting for Opened
82831,2023-11-01 11.53.26,Status,Source A CB Opened,SrcA CB Waiting for Opened
82832,2023-11-01 11.53.28,Status,Source A Stopped,SrcA Cooling Down
82833,2023-11-01 12.12.36,User,Fault Reset,HMI_Fault_Reset
82834,2023-11-01 12.12.40,User,Auto Inv Only Mode,HMI_Full_Auto
82835,2023-11-01 12.12.40,Status,Inverter Started,Operation Auto Inverter Only
82836,2023-11-01 12.12.40,Status,Start Source A,Operation Auto Inverter Only
82837,2023-11-01 12.12.41,Status,Source A Warming Up,SrcA Startup
82838,2023-11-01 12.12.42,Status,Inverter CB Closed,Inv CB Waiting for Closed
82839,2023-11-01 12.13.32,Status,Sync OK,Inv Source Tracking
82840,2023-11-01 12.13.32,Status,Source A CB Closed,SrcA CB Waiting for Closed
82841,2023-11-01 12.13.32,Status,Parallel Mode,Operation Auto Inverter Only
82842,2023-11-02 09.00.23,Status,Emergency Stop,IN10 Digital Input Emergency Stop DSP
82843,2023-11-02 09.00.23,Status,Source A Cooling Down,Operation System Off
82844,2023-11-02 09.00.23,Status,Inverter Stopped,Operation System Off
82845,2023-11-02 09.00.23,Status,Inverter CB Opened,Inv CB Waiting for Opened
82846,2023-11-02 09.00.23,Status,Source A CB Opened,SrcA CB Waiting for Opened
82847,2023-11-02 09.00.26,Status,Source A Stopped,SrcA Cooling Down
82848,2023-11-02 20.46.34,Status,Solar Control Enabled,SP99 Solar MPPT Min Chg Amps
82849,2023-11-03 12.04.48,User,Man Inv Only Mode,HMI_Manual_Inverter
82850,2023-11-03 12.04.48,User,Inverter Started,HMI_Manual_Inverter
82851,2023-11-03 12.04.50,Status,Inverter CB Closed,Inv CB Waiting for Closed
82852,2023-11-03 12.04.58,User,Auto Inv Only Mode,HMI_Full_Auto
82853,2023-11-03 12.04.58,Status,Start Source A,Operation Auto Inverter Only
82854,2023-11-03 12.04.59,Status,Source A Warming Up,SrcA Startup
82855,2023-11-03 12.05.21,Status,Solar Control Disabled,SP99 Solar MPPT Min Chg Amps
82856,2023-11-03 12.05.47,Status,Sync OK,Inv Source Tracking
82857,2023-11-03 12.05.47,Status,Source A CB Closed,SrcA CB Waiting for Closed
82858,2023-11-03 12.05.47,Status,Parallel Mode,Operation Auto Inverter Only
82859,2023-11-03 12.11.29,Status,Source Stop Low AC V,None
82860,2023-11-03 12.11.29,Status,Source A Cooling Down,Fault Action13
82861,2023-11-03 12.11.30,Status,Auto Inv Only Mode,Operation Auto Parallel Source A
82862,2023-11-03 12.11.30,Status,Source A CB Opened,SrcA CB Waiting for Opened
82863,2023-11-03 12.11.32,Status,Source A Stopped,SrcA Cooling Down
82864,2023-11-03 12.11.32,Status,Start Source A,Operation Auto Inverter Only
82865,2023-11-03 12.11.33,Status,Source A Warming Up,SrcA Startup
82866,2023-11-03 12.12.19,Status,Sync OK,Inv Source Tracking
82867,2023-11-03 12.12.19,Status,Source A CB Closed,SrcA CB Waiting for Closed
82868,2023-11-03 12.12.19,Status,Parallel Mode,Operation Auto Inverter Only
82869,2023-11-03 12.31.42,Status,Source Stop Low AC V,None
82870,2023-11-03 12.31.42,Status,Source A Cooling Down,Fault Action13
82871,2023-11-03 12.31.42,Status,Auto Inv Only Mode,Operation Auto Parallel Source A
