Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh
2022-06-30,23.48.42.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,24.0,186523.9,56229.7,45373.5,283513.7,0.0,0.0,368722.3,16555.3,75956.0,210075.6
2022-06-30,23.58.46.00,Data Log,Log Period,-0.3,-0.2,0.0,30.0,24.0,186523.9,56229.8,45373.5,283513.8,0.0,0.0,368722.3,16555.4,75956.0,210075.6
2022-07-01,00.08.48.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,24.0,186523.9,56229.8,45373.5,283513.8,0.0,0.0,368722.3,16555.5,75956.0,210075.6
2022-07-01,00.18.52.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,25.0,186523.9,56229.9,45373.5,283513.8,0.0,0.0,368722.3,16555.6,75956.0,210075.6
2022-07-01,00.28.56.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,24.0,186523.9,56229.9,45373.5,283513.8,0.0,0.0,368722.3,16555.7,75956.0,210075.6
2022-07-01,00.39.00.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,24.0,186523.9,56230.0,45373.5,283513.8,0.0,0.0,368722.3,16555.8,75956.0,210075.6
2022-07-01,00.49.04.00,Data Log,Log Period,-0.3,-0.2,0.0,29.9,24.0,186523.9,56230.0,45373.5,283513.8,0.0,0.0,368722.3,16555.8,75956.0,210075.6
2022-07-01,00.59.08.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,24.0,186523.9,56230.1,45373.5,283513.9,0.0,0.0,368722.3,16555.9,75956.0,210075.6
2022-07-01,01.09.12.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,24.0,186523.9,56230.1,45373.5,283513.9,0.0,0.0,368722.3,16556.0,75956.0,210075.6
2022-07-01,01.19.16.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,24.0,186523.9,56230.2,45373.5,283513.9,0.0,0.0,368722.3,16556.1,75956.0,210075.6
2022-07-01,01.29.20.01,Data Log,Log Period,-0.3,-0.2,0.0,29.7,25.0,186523.9,56230.2,45373.5,283513.9,0.0,0.0,368722.3,16556.2,75956.0,210075.6
2022-07-01,01.39.22.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,24.0,186523.9,56230.3,45373.5,283513.9,0.0,0.0,368722.3,16556.3,75956.0,210075.6
2022-07-01,01.49.26.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,24.0,186523.9,56230.3,45373.5,283513.9,0.0,0.0,368722.3,16556.3,75956.0,210075.6
2022-07-01,01.59.32.01,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.4,45373.5,283514.0,0.0,0.0,368722.3,16556.4,75956.0,210075.6
2022-07-01,02.09.34.04,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.4,45373.5,283514.0,0.0,0.0,368722.3,16556.5,75956.0,210075.6
2022-07-01,02.19.38.03,Data Log,Log Period,-0.3,-0.2,0.0,29.7,25.0,186523.9,56230.5,45373.5,283514.0,0.0,0.0,368722.3,16556.6,75956.0,210075.6
2022-07-01,02.29.42.07,Data Log,Log Period,-0.3,-0.2,0.0,29.6,24.0,186523.9,56230.5,45373.5,283514.0,0.0,0.0,368722.3,16556.7,75956.0,210075.6
2022-07-01,02.39.46.04,Data Log,Log Period,-0.3,-0.2,0.0,29.6,24.0,186523.9,56230.6,45373.5,283514.0,0.0,0.0,368722.3,16556.8,75956.0,210075.6
2022-07-01,02.49.50.05,Data Log,Log Period,-0.2,-0.1,0.0,29.7,24.0,186523.9,56230.6,45373.5,283514.0,0.0,0.0,368722.3,16556.8,75956.0,210075.6
2022-07-01,02.59.54.03,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.7,45373.5,283514.1,0.0,0.0,368722.3,16556.9,75956.0,210075.6
2022-07-01,03.09.58.05,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.7,45373.5,283514.1,0.0,0.0,368722.3,16557.0,75956.0,210075.6
2022-07-01,03.20.02.02,Data Log,Log Period,-0.3,-0.2,0.0,29.8,25.0,186523.9,56230.8,45373.5,283514.1,0.0,0.0,368722.3,16557.1,75956.0,210075.6
2022-07-01,03.30.06.03,Data Log,Log Period,-0.3,-0.2,0.0,29.7,25.0,186523.9,56230.8,45373.5,283514.1,0.0,0.0,368722.3,16557.2,75956.0,210075.6
2022-07-01,03.40.10.03,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.9,45373.5,283514.1,0.0,0.0,368722.3,16557.3,75956.0,210075.6
2022-07-01,03.50.14.00,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56230.9,45373.5,283514.1,0.0,0.0,368722.3,16557.3,75956.0,210075.6
2022-07-01,04.00.18.00,Data Log,Log Period,-0.3,-0.2,0.0,29.7,24.0,186523.9,56231.0,45373.5,283514.2,0.0,0.0,368722.3,16557.4,75956.0,210075.6
2022-07-01,04.10.20.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,25.0,186523.9,56231.0,45373.5,283514.2,0.0,0.0,368723.2,16557.5,75956.0,210075.6
2022-07-01,04.20.24.00,Data Log,Log Period,-0.3,-0.2,0.0,29.8,25.0,186523.9,56231.1,45373.5,283514.2,0.0,0.0,368723.2,16557.6,75956.0,210075.6
2022-07-01,04.30.28.00,Data Log,Log Period,-0.3,-0.2,0.0,29.7,25.0,186523.9,56231.1,45373.5,283514.2,0.0,0.0,368723.2,16557.7,75956.0,210075.6
2022-07-01,04.40.32.00,Data Log,Log Period,-0.3,-0.2,0.0,29.6,24.0,186523.9,56231.2,45373.5,283514.2,0.0,0.0,368723.2,16557.8,75956.0,210075.6
2022-07-01,04.50.36.01,Data Log,Log Period,-0.3,-0.2,0.0,29.6,25.0,186523.9,56231.2,45373.5,283514.2,0.0,0.0,368723.2,16557.9,75956.0,210075.6
2022-07-01,05.00.40.00,Data Log,Log Period,-0.3,-0.2,0.0,29.5,24.0,186523.9,56231.3,45373.5,283514.3,0.0,0.0,368723.2,16558.0,75956.0,210075.6
2022-07-01,05.10.44.00,Data Log,Log Period,-0.3,-0.2,0.0,29.5,24.0,186523.9,56231.3,45373.5,283514.3,0.0,0.0,368723.2,16558.0,75956.0,210075.6
2022-07-01,05.20.48.00,Data Log,Log Period,-0.3,-0.3,0.0,29.4,24.0,186523.9,56231.4,45373.5,283514.3,0.0,0.0,368723.2,16558.1,75956.0,210075.6
2022-07-01,05.30.52.00,Data Log,Log Period,-0.3,-0.2,0.0,29.4,25.0,186523.9,56231.4,45373.5,283514.3,0.0,0.0,368723.2,16558.2,75956.0,210075.6
2022-07-01,05.40.54.00,Data Log,Log Period,-0.3,-0.2,0.0,29.4,27.0,186523.9,56231.5,45373.5,283514.3,0.0,0.0,368723.2,16558.3,75956.0,210075.6
2022-07-01,05.50.58.00,Data Log,Log Period,-0.3,-0.2,0.0,29.4,29.0,186523.9,56231.5,45373.5,283514.3,0.0,0.0,368723.2,16558.4,75956.0,210075.6
2022-07-01,06.01.02.00,Data Log,Log Period,-0.3,-0.2,0.0,29.5,35.0,186523.9,56231.6,45373.5,283514.4,0.0,0.0,368723.2,16558.5,75956.0,210075.6
2022-07-01,06.03.32.90,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.6,37.0,186523.9,56231.6,45373.5,283514.4,0.0,0.0,368723.2,16558.5,75956.0,210075.6
