Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-05-31,23.31.02.01,Data Log,Log Period,-0.3,-0.1,0.0,34.3,26.0,185307.5,56098.9,44564.9,283451.6,0.0,0.0,368279.7,16382.5,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,23.41.06.00,Data Log,Log Period,-0.3,-0.1,0.0,33.9,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.3,26.0,185307.5,56098.9,44564.9,283451.6,0.0,0.0,368279.7,16382.5,75726.3,208385.1,-0.3,,,-0.1,,,0.0,,,34.3,,,26.0,,,185307.5,,,56098.9,,,44564.9,,,283451.6,,,0.0,,,0.0,,,368279.7,,,16382.5,,,75726.3,,,208385.1,,
2022-05-31,23.51.08.00,Data Log,Log Period,-0.3,-0.1,0.0,34.6,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,33.9,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,-0.3,-0.3,,-0.1,-0.1,,0.0,0.0,,33.9,34.3,,26.0,26.0,,185307.5,185307.5,,56099.0,56098.9,,44564.9,44564.9,,283451.7,283451.6,,0.0,0.0,,0.0,0.0,,368279.7,368279.7,,16382.6,16382.5,,75726.3,75726.3,,208385.1,208385.1,
2022-06-01,00.01.12.00,Data Log,Log Period,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.1,44564.9,283451.7,0.0,0.0,368279.7,16382.7,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.6,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,34.6,33.9,34.3,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.0,56099.0,56098.9,44564.9,44564.9,44564.9,283451.7,283451.7,283451.6,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16382.6,16382.6,16382.5,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,00.11.16.00,Data Log,Log Period,-0.3,-0.1,0.0,33.8,26.0,185307.5,56099.1,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.1,44564.9,283451.7,0.0,0.0,368279.7,16382.7,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,34.0,34.6,33.9,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.1,56099.0,56099.0,44564.9,44564.9,44564.9,283451.7,283451.7,283451.7,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16382.7,16382.6,16382.6,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,00.21.20.00,Data Log,Log Period,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,33.8,26.0,185307.5,56099.1,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,33.8,34.0,34.6,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.1,56099.1,56099.0,44564.9,44564.9,44564.9,283451.8,283451.7,283451.7,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16382.8,16382.7,16382.6,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,00.31.24.00,Data Log,Log Period,-0.3,-0.1,0.0,34.4,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.9,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,34.0,33.8,34.0,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.2,56099.1,56099.1,44564.9,44564.9,44564.9,283451.8,283451.8,283451.7,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16382.8,16382.8,16382.7,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,00.41.28.00,Data Log,Log Period,-0.3,-0.1,0.0,34.3,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.4,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.9,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,34.4,34.0,33.8,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.2,56099.2,56099.1,44564.9,44564.9,44564.9,283451.8,283451.8,283451.8,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16382.9,16382.8,16382.8,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,00.51.32.00,Data Log,Log Period,-0.3,-0.1,0.0,33.7,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,34.3,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,34.3,34.4,34.0,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.3,56099.2,56099.2,44564.9,44564.9,44564.9,283451.9,283451.8,283451.8,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16383.0,16382.9,16382.8,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
2022-06-01,01.01.36.00,Data Log,Log Period,-0.3,-0.1,0.0,33.6,26.0,185307.5,56099.4,44564.9,283451.9,0.0,0.0,368279.7,16383.1,75726.3,208385.1,4.333333333333333,0.02125919869174162,Inspecting,-0.3,-0.1,0.0,33.7,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,33.7,34.3,34.4,26.0,26.0,26.0,185307.5,185307.5,185307.5,56099.3,56099.3,56099.2,44564.9,44564.9,44564.9,283451.9,283451.9,283451.8,0.0,0.0,0.0,0.0,0.0,0.0,368279.7,368279.7,368279.7,16383.0,16383.0,16382.9,75726.3,75726.3,75726.3,208385.1,208385.1,208385.1
