Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-03-01,00.07.42.00,Data Log,Log Period,0,0.6,0.0,26.1,26,190811.9,56741.5,46435.9,291558.9,0,0,379497.4,17565.2,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,00.17.42.00,Data Log,Log Period,0,0.8,0.0,25.9,26,190811.9,56741.5,46435.9,291559.0,0,0,379497.5,17565.2,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.6,0.0,26.1,26.0,190811.9,56741.5,46435.9,291558.9,0.0,0.0,379497.4,17565.2,76764.9,216672.5,0.0,,,0.6,,,0.0,,,26.1,,,26.0,,,190811.9,,,56741.5,,,46435.9,,,291558.9,,,0.0,,,0.0,,,379497.4,,,17565.2,,,76764.9,,,216672.5,,
2023-03-01,00.27.42.00,Data Log,Log Period,0,0.8,0.0,25.6,26,190811.9,56741.5,46435.9,291559.1,0,0,379497.6,17565.2,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.8,0.0,25.9,26.0,190811.9,56741.5,46435.9,291559.0,0.0,0.0,379497.5,17565.2,76764.9,216672.5,0.0,0.0,,0.8,0.6,,0.0,0.0,,25.9,26.1,,26.0,26.0,,190811.9,190811.9,,56741.5,56741.5,,46435.9,46435.9,,291559.0,291558.9,,0.0,0.0,,0.0,0.0,,379497.5,379497.4,,17565.2,17565.2,,76764.9,76764.9,,216672.5,216672.5,
2023-03-01,00.37.42.00,Data Log,Log Period,0,0.5,0.0,25.5,26,190811.9,56741.5,46435.9,291559.2,0,0,379497.7,17565.3,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.8,0.0,25.6,26.0,190811.9,56741.5,46435.9,291559.1,0.0,0.0,379497.6,17565.2,76764.9,216672.5,0.0,0.0,0.0,0.8,0.8,0.6,0.0,0.0,0.0,25.6,25.9,26.1,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.1,291559.0,291558.9,0.0,0.0,0.0,0.0,0.0,0.0,379497.6,379497.5,379497.4,17565.2,17565.2,17565.2,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,00.47.42.01,Data Log,Log Period,0,0.5,0.0,25.0,26,190811.9,56741.5,46435.9,291559.3,0,0,379497.8,17565.3,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.5,0.0,25.5,26.0,190811.9,56741.5,46435.9,291559.2,0.0,0.0,379497.7,17565.3,76764.9,216672.5,0.0,0.0,0.0,0.5,0.8,0.8,0.0,0.0,0.0,25.5,25.6,25.9,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.2,291559.1,291559.0,0.0,0.0,0.0,0.0,0.0,0.0,379497.7,379497.6,379497.5,17565.3,17565.2,17565.2,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,00.57.42.00,Data Log,Log Period,0,0.8,0.0,24.8,27,190811.9,56741.5,46435.9,291559.4,0,0,379497.9,17565.3,76764.9,216672.5,4.5,0.022613065326633167,Inspecting,0.0,0.5,0.0,25.0,26.0,190811.9,56741.5,46435.9,291559.3,0.0,0.0,379497.8,17565.3,76764.9,216672.5,0.0,0.0,0.0,0.5,0.5,0.8,0.0,0.0,0.0,25.0,25.5,25.6,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.3,291559.2,291559.1,0.0,0.0,0.0,0.0,0.0,0.0,379497.8,379497.7,379497.6,17565.3,17565.3,17565.2,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.07.42.00,Data Log,Log Period,0,0.9,0.0,24.2,26,190811.9,56741.5,46435.9,291559.6,0,0,379498.1,17565.3,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.8,0.0,24.8,27.0,190811.9,56741.5,46435.9,291559.4,0.0,0.0,379497.9,17565.3,76764.9,216672.5,0.0,0.0,0.0,0.8,0.5,0.5,0.0,0.0,0.0,24.8,25.0,25.5,27.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.4,291559.3,291559.2,0.0,0.0,0.0,0.0,0.0,0.0,379497.9,379497.8,379497.7,17565.3,17565.3,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.17.42.00,Data Log,Log Period,0,0.8,0.0,24.2,26,190811.9,56741.5,46435.9,291559.7,0,0,379498.2,17565.3,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.9,0.0,24.2,26.0,190811.9,56741.5,46435.9,291559.6,0.0,0.0,379498.1,17565.3,76764.9,216672.5,0.0,0.0,0.0,0.9,0.8,0.5,0.0,0.0,0.0,24.2,24.8,25.0,26.0,27.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.6,291559.4,291559.3,0.0,0.0,0.0,0.0,0.0,0.0,379498.1,379497.9,379497.8,17565.3,17565.3,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.27.42.00,Data Log,Log Period,0,1.1,0.0,24.6,26,190811.9,56741.5,46435.9,291559.8,0,0,379498.3,17565.3,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.8,0.0,24.2,26.0,190811.9,56741.5,46435.9,291559.7,0.0,0.0,379498.2,17565.3,76764.9,216672.5,0.0,0.0,0.0,0.8,0.9,0.8,0.0,0.0,0.0,24.2,24.2,24.8,26.0,26.0,27.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.7,291559.6,291559.4,0.0,0.0,0.0,0.0,0.0,0.0,379498.2,379498.1,379497.9,17565.3,17565.3,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.37.42.00,Data Log,Log Period,0,1.3,0.0,24.4,26,190811.9,56741.5,46435.9,291559.9,0,0,379498.4,17565.4,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,1.1,0.0,24.6,26.0,190811.9,56741.5,46435.9,291559.8,0.0,0.0,379498.3,17565.3,76764.9,216672.5,0.0,0.0,0.0,1.1,0.8,0.9,0.0,0.0,0.0,24.6,24.2,24.2,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.8,291559.7,291559.6,0.0,0.0,0.0,0.0,0.0,0.0,379498.3,379498.2,379498.1,17565.3,17565.3,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.47.40.00,Data Log,Log Period,0,0.7,0.0,24.4,26,190811.9,56741.5,46435.9,291560.0,0,0,379498.6,17565.4,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,1.3,0.0,24.4,26.0,190811.9,56741.5,46435.9,291559.9,0.0,0.0,379498.4,17565.4,76764.9,216672.5,0.0,0.0,0.0,1.3,1.1,0.8,0.0,0.0,0.0,24.4,24.6,24.2,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291559.9,291559.8,291559.7,0.0,0.0,0.0,0.0,0.0,0.0,379498.4,379498.3,379498.2,17565.4,17565.3,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,01.57.40.00,Data Log,Log Period,0,0.4,0.0,24.1,26,190811.9,56741.5,46435.9,291560.1,0,0,379498.7,17565.4,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.7,0.0,24.4,26.0,190811.9,56741.5,46435.9,291560.0,0.0,0.0,379498.6,17565.4,76764.9,216672.5,0.0,0.0,0.0,0.7,1.3,1.1,0.0,0.0,0.0,24.4,24.4,24.6,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291560.0,291559.9,291559.8,0.0,0.0,0.0,0.0,0.0,0.0,379498.6,379498.4,379498.3,17565.4,17565.4,17565.3,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,02.07.40.00,Data Log,Log Period,0,0.9,0.0,24.0,27,190811.9,56741.5,46435.9,291560.2,0,0,379498.7,17565.4,76764.9,216672.5,4.5,0.022613065326633167,Inspecting,0.0,0.4,0.0,24.1,26.0,190811.9,56741.5,46435.9,291560.1,0.0,0.0,379498.7,17565.4,76764.9,216672.5,0.0,0.0,0.0,0.4,0.7,1.3,0.0,0.0,0.0,24.1,24.4,24.4,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291560.1,291560.0,291559.9,0.0,0.0,0.0,0.0,0.0,0.0,379498.7,379498.6,379498.4,17565.4,17565.4,17565.4,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
2023-03-01,02.17.40.00,Data Log,Log Period,0,0.8,0.0,23.7,26,190811.9,56741.5,46435.9,291560.4,0,0,379498.9,17565.4,76764.9,216672.5,4.333333333333333,0.021775544388609715,Inspecting,0.0,0.9,0.0,24.0,27.0,190811.9,56741.5,46435.9,291560.2,0.0,0.0,379498.7,17565.4,76764.9,216672.5,0.0,0.0,0.0,0.9,0.4,0.7,0.0,0.0,0.0,24.0,24.1,24.4,27.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291560.2,291560.1,291560.0,0.0,0.0,0.0,0.0,0.0,0.0,379498.7,379498.7,379498.6,17565.4,17565.4,17565.4,76764.9,76764.9,76764.9,216672.5,216672.5,216672.5
