Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-05-01,00.03.38.00,Data Log,Log Period,-0.3,0.8,0.0,36.1,30,184193.4,56001.4,44172.8,282482.6,0,0,366678.4,16225.5,75515.6,206925.2,5.0,0.031479538300104935,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,00.13.42.00,Data Log,Log Period,-0.3,0.9,0.0,36.2,30,184193.4,56001.5,44172.8,282482.8,0,0,366678.6,16225.5,75515.6,206925.2,5.0,0.031479538300104935,Inspecting,-0.3,0.8,0.0,36.1,30.0,184193.4,56001.4,44172.8,282482.6,0.0,0.0,366678.4,16225.5,75515.6,206925.2,-0.3,,,0.8,,,0.0,,,36.1,,,30.0,,,184193.4,,,56001.4,,,44172.8,,,282482.6,,,0.0,,,0.0,,,366678.4,,,16225.5,,,75515.6,,,206925.2,,
2022-05-01,00.23.46.00,Data Log,Log Period,-0.3,0.9,0.0,36.1,30,184193.4,56001.5,44172.8,282483.0,0,0,366678.7,16225.6,75515.6,206925.2,5.0,0.031479538300104935,Inspecting,-0.3,0.9,0.0,36.2,30.0,184193.4,56001.5,44172.8,282482.8,0.0,0.0,366678.6,16225.5,75515.6,206925.2,-0.3,-0.3,,0.9,0.8,,0.0,0.0,,36.2,36.1,,30.0,30.0,,184193.4,184193.4,,56001.5,56001.4,,44172.8,44172.8,,282482.8,282482.6,,0.0,0.0,,0.0,0.0,,366678.6,366678.4,,16225.5,16225.5,,75515.6,75515.6,,206925.2,206925.2,
2022-05-01,00.33.50.00,Data Log,Log Period,-0.4,0.9,0.0,35.8,29,184193.4,56001.6,44172.8,282483.2,0,0,366678.9,16225.7,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting,-0.3,0.9,0.0,36.1,30.0,184193.4,56001.5,44172.8,282483.0,0.0,0.0,366678.7,16225.6,75515.6,206925.2,-0.3,-0.3,-0.3,0.9,0.9,0.8,0.0,0.0,0.0,36.1,36.2,36.1,30.0,30.0,30.0,184193.4,184193.4,184193.4,56001.5,56001.5,56001.4,44172.8,44172.8,44172.8,282483.0,282482.8,282482.6,0.0,0.0,0.0,0.0,0.0,0.0,366678.7,366678.6,366678.4,16225.6,16225.5,16225.5,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,00.43.54.05,Data Log,Log Period,-0.3,0.8,0.0,35.6,30,184193.4,56001.6,44172.8,282483.4,0,0,366679.0,16225.7,75515.6,206925.2,5.0,0.031479538300104935,Inspecting,-0.4,0.9,0.0,35.8,29.0,184193.4,56001.6,44172.8,282483.2,0.0,0.0,366678.9,16225.7,75515.6,206925.2,-0.4,-0.3,-0.3,0.9,0.9,0.9,0.0,0.0,0.0,35.8,36.1,36.2,29.0,30.0,30.0,184193.4,184193.4,184193.4,56001.6,56001.5,56001.5,44172.8,44172.8,44172.8,282483.2,282483.0,282482.8,0.0,0.0,0.0,0.0,0.0,0.0,366678.9,366678.7,366678.6,16225.7,16225.6,16225.5,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,00.53.58.04,Data Log,Log Period,-0.3,0.8,0.0,35.1,30,184193.4,56001.7,44172.8,282483.6,0,0,366679.1,16225.8,75515.6,206925.2,5.0,0.031479538300104935,Inspecting,-0.3,0.8,0.0,35.6,30.0,184193.4,56001.6,44172.8,282483.4,0.0,0.0,366679.0,16225.7,75515.6,206925.2,-0.3,-0.4,-0.3,0.8,0.9,0.9,0.0,0.0,0.0,35.6,35.8,36.1,30.0,29.0,30.0,184193.4,184193.4,184193.4,56001.6,56001.6,56001.5,44172.8,44172.8,44172.8,282483.4,282483.2,282483.0,0.0,0.0,0.0,0.0,0.0,0.0,366679.0,366678.9,366678.7,16225.7,16225.7,16225.6,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,01.04.02.04,Data Log,Log Period,-0.3,0.8,0.0,36.6,29,184193.4,56001.7,44172.8,282483.8,0,0,366679.3,16225.9,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting,-0.3,0.8,0.0,35.1,30.0,184193.4,56001.7,44172.8,282483.6,0.0,0.0,366679.1,16225.8,75515.6,206925.2,-0.3,-0.3,-0.4,0.8,0.8,0.9,0.0,0.0,0.0,35.1,35.6,35.8,30.0,30.0,29.0,184193.4,184193.4,184193.4,56001.7,56001.6,56001.6,44172.8,44172.8,44172.8,282483.6,282483.4,282483.2,0.0,0.0,0.0,0.0,0.0,0.0,366679.1,366679.0,366678.9,16225.8,16225.7,16225.7,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,01.14.06.04,Data Log,Log Period,-0.3,0.9,0.0,36.9,29,184193.4,56001.8,44172.8,282484.0,0,0,366679.5,16225.9,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting,-0.3,0.8,0.0,36.6,29.0,184193.4,56001.7,44172.8,282483.8,0.0,0.0,366679.3,16225.9,75515.6,206925.2,-0.3,-0.3,-0.3,0.8,0.8,0.8,0.0,0.0,0.0,36.6,35.1,35.6,29.0,30.0,30.0,184193.4,184193.4,184193.4,56001.7,56001.7,56001.6,44172.8,44172.8,44172.8,282483.8,282483.6,282483.4,0.0,0.0,0.0,0.0,0.0,0.0,366679.3,366679.1,366679.0,16225.9,16225.8,16225.7,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,01.24.10.00,Data Log,Log Period,-0.4,1.7,0.0,36.8,29,184193.4,56001.8,44172.8,282484.2,0,0,366679.6,16226.0,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting,-0.3,0.9,0.0,36.9,29.0,184193.4,56001.8,44172.8,282484.0,0.0,0.0,366679.5,16225.9,75515.6,206925.2,-0.3,-0.3,-0.3,0.9,0.8,0.8,0.0,0.0,0.0,36.9,36.6,35.1,29.0,29.0,30.0,184193.4,184193.4,184193.4,56001.8,56001.7,56001.7,44172.8,44172.8,44172.8,282484.0,282483.8,282483.6,0.0,0.0,0.0,0.0,0.0,0.0,366679.5,366679.3,366679.1,16225.9,16225.9,16225.8,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
2022-05-01,01.34.14.00,Data Log,Log Period,-0.3,0.9,0.0,36.6,29,184193.4,56001.9,44172.8,282484.4,0,0,366679.8,16226.1,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting,-0.4,1.7,0.0,36.8,29.0,184193.4,56001.8,44172.8,282484.2,0.0,0.0,366679.6,16226.0,75515.6,206925.2,-0.4,-0.3,-0.3,1.7,0.9,0.8,0.0,0.0,0.0,36.8,36.9,36.6,29.0,29.0,29.0,184193.4,184193.4,184193.4,56001.8,56001.8,56001.7,44172.8,44172.8,44172.8,282484.2,282484.0,282483.8,0.0,0.0,0.0,0.0,0.0,0.0,366679.6,366679.5,366679.3,16226.0,16225.9,16225.9,75515.6,75515.6,75515.6,206925.2,206925.2,206925.2
