Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-09-30,23.37.42.00,Data Log,Log Period,-0.3,0.8,0.0,31.9,24.0,190095.0,56649.2,46244.8,286741.9,0.0,0.0,374246.9,17227.4,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-09-30,23.47.46.00,Data Log,Log Period,-0.4,0.7,0.0,31.4,24.0,190095.0,56649.2,46244.8,286742.1,0.0,0.0,374247.1,17227.5,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-09-30,23.57.50.00,Data Log,Log Period,-0.3,0.8,0.0,31.3,24.0,190095.0,56649.3,46244.8,286742.3,0.0,0.0,374247.2,17227.5,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.07.54.04,Data Log,Log Period,-0.3,0.7,0.0,31.3,24.0,190095.0,56649.3,46244.8,286742.4,0.0,0.0,374247.3,17227.6,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.17.58.00,Data Log,Log Period,-0.3,0.6,0.0,31.2,24.0,190095.0,56649.4,46244.8,286742.6,0.0,0.0,374247.4,17227.7,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.28.02.00,Data Log,Log Period,-0.3,0.8,0.0,31.1,24.0,190095.0,56649.4,46244.8,286742.8,0.0,0.0,374247.5,17227.7,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.38.06.00,Data Log,Log Period,-0.3,0.8,0.0,31.3,24.0,190095.0,56649.5,46244.8,286742.9,0.0,0.0,374247.7,17227.8,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.48.10.00,Data Log,Log Period,-0.3,0.9,0.0,31.1,24.0,190095.0,56649.5,46244.8,286743.1,0.0,0.0,374247.8,17227.9,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,00.58.12.00,Data Log,Log Period,-0.3,0.8,0.0,31.0,24.0,190095.0,56649.6,46244.8,286743.3,0.0,0.0,374248.0,17228.0,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
2022-10-01,01.08.16.00,Data Log,Log Period,-0.3,0.7,0.0,30.8,24.0,190095.0,56649.6,46244.8,286743.5,0.0,0.0,374248.1,17228.0,76544.2,215340.5,4.0,0.020905923344947737,Inspecting
