Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh
2022-08-31,23.37.42.00,Data Log,Log Period,-0.3,1.3,0.0,33.4,24.0,188984.5,56508.8,46059.0,285356.7,0.0,0.0,372077.5,16961.3,76317.3,213675.7
2022-08-31,23.47.46.00,Data Log,Log Period,-0.3,1.3,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.0,0.0,0.0,372077.7,16961.4,76317.3,213675.7
2022-08-31,23.57.48.00,Data Log,Log Period,-0.3,2.6,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.3,0.0,0.0,372078.0,16961.5,76317.3,213675.7
2022-09-01,00.07.52.00,Data Log,Log Period,-0.3,1.2,0.0,33.7,24.0,188984.5,56509.0,46059.0,285357.6,0.0,0.0,372078.2,16961.5,76317.3,213675.7
2022-09-01,00.17.56.00,Data Log,Log Period,-0.5,1.2,0.0,33.8,24.0,188984.5,56509.0,46059.0,285357.8,0.0,0.0,372078.4,16961.6,76317.3,213675.7
2022-09-01,00.28.00.04,Data Log,Log Period,-0.3,1.3,0.0,33.6,24.0,188984.5,56509.1,46059.0,285358.1,0.0,0.0,372078.6,16961.7,76317.3,213675.7
2022-09-01,00.38.04.00,Data Log,Log Period,-0.3,1.3,0.0,33.5,24.0,188984.5,56509.1,46059.0,285358.3,0.0,0.0,372078.8,16961.7,76317.3,213675.7
2022-09-01,00.48.08.00,Data Log,Log Period,-0.3,1.3,0.0,33.4,24.0,188984.5,56509.2,46059.0,285358.6,0.0,0.0,372079.0,16961.8,76317.3,213675.7
2022-09-01,00.58.12.00,Data Log,Log Period,-0.3,1.6,0.0,33.2,24.0,188984.5,56509.2,46059.0,285358.9,0.0,0.0,372079.3,16961.9,76317.3,213675.7
2022-09-01,01.08.16.00,Data Log,Log Period,-0.3,1.3,0.0,33.2,24.0,188984.5,56509.3,46059.0,285359.1,0.0,0.0,372079.5,16962.0,76317.3,213675.7
2022-09-01,01.18.20.00,Data Log,Log Period,-0.3,1.3,0.0,33.1,24.0,188984.5,56509.3,46059.0,285359.4,0.0,0.0,372079.7,16962.0,76317.3,213675.7
2022-09-01,01.28.24.00,Data Log,Log Period,-0.3,2.4,0.0,33.0,24.0,188984.5,56509.4,46059.0,285359.6,0.0,0.0,372079.9,16962.1,76317.3,213675.7
2022-09-01,01.38.28.01,Data Log,Log Period,-0.3,1.3,0.0,33.0,24.0,188984.5,56509.4,46059.0,285359.9,0.0,0.0,372080.1,16962.2,76317.3,213675.7
2022-09-01,01.48.32.00,Data Log,Log Period,-0.3,1.3,0.0,32.9,24.0,188984.5,56509.5,46059.0,285360.2,0.0,0.0,372080.3,16962.3,76317.3,213675.7
2022-09-01,01.58.34.00,Data Log,Log Period,-0.3,1.3,0.0,32.9,24.0,188984.5,56509.5,46059.0,285360.5,0.0,0.0,372080.6,16962.3,76317.3,213675.7
2022-09-01,02.08.38.00,Data Log,Log Period,-0.4,1.0,0.0,32.9,24.0,188984.5,56509.6,46059.0,285360.7,0.0,0.0,372080.8,16962.4,76317.3,213675.7
2022-09-01,02.18.42.00,Data Log,Log Period,-0.3,1.3,0.0,32.9,24.0,188984.5,56509.6,46059.0,285361.0,0.0,0.0,372081.0,16962.5,76317.3,213675.7
2022-09-01,02.28.46.00,Data Log,Log Period,-0.3,1.2,0.0,32.8,24.0,188984.5,56509.7,46059.0,285361.3,0.0,0.0,372081.2,16962.5,76317.3,213675.7
2022-09-01,02.38.50.00,Data Log,Log Period,-0.3,1.3,0.0,32.9,24.0,188984.5,56509.7,46059.0,285361.5,0.0,0.0,372081.4,16962.6,76317.3,213675.7
2022-09-01,02.48.54.00,Data Log,Log Period,-0.3,1.2,0.0,32.9,24.0,188984.5,56509.8,46059.0,285361.8,0.0,0.0,372081.6,16962.7,76317.3,213675.7
2022-09-01,02.58.58.00,Data Log,Log Period,-0.3,0.9,0.0,32.8,24.0,188984.5,56509.8,46059.0,285362.0,0.0,0.0,372081.8,16962.8,76317.3,213675.7
2022-09-01,03.09.02.00,Data Log,Log Period,-0.3,1.3,0.0,32.8,24.0,188984.5,56509.9,46059.0,285362.4,0.0,0.0,372082.1,16962.8,76317.3,213675.7
2022-09-01,03.19.06.00,Data Log,Log Period,-0.4,1.2,0.0,32.9,24.0,188984.5,56509.9,46059.0,285362.7,0.0,0.0,372082.3,16962.9,76317.3,213675.7
2022-09-01,03.29.10.00,Data Log,Log Period,-0.2,2.3,0.0,33.0,24.0,188984.5,56510.0,46059.0,285363.0,0.0,0.0,372082.6,16963.0,76317.3,213675.7
2022-09-01,03.39.14.02,Data Log,Log Period,-0.1,2.3,0.0,32.8,24.0,188984.5,56510.0,46059.0,285363.3,0.0,0.0,372082.9,16963.1,76317.3,213675.7
2022-09-01,03.49.16.00,Data Log,Log Period,0.1,2.5,0.0,32.6,24.0,188984.5,56510.1,46059.0,285363.6,0.0,0.0,372083.2,16963.2,76317.3,213675.7
2022-09-01,03.59.20.00,Data Log,Log Period,-0.1,2.1,0.0,32.6,24.0,188984.5,56510.1,46059.0,285363.9,0.0,0.0,372083.4,16963.3,76317.3,213675.7
2022-09-01,04.09.24.00,Data Log,Log Period,0.0,2.2,0.0,32.6,24.0,188984.6,56510.2,46059.0,285364.3,0.0,0.0,372083.7,16963.3,76317.3,213675.7
2022-09-01,04.19.28.00,Data Log,Log Period,-0.3,1.3,0.0,32.5,24.0,188984.6,56510.3,46059.0,285364.6,0.0,0.0,372084.0,16963.4,76317.3,213675.7
2022-09-01,04.29.32.00,Data Log,Log Period,-0.3,1.3,0.0,32.4,24.0,188984.6,56510.3,46059.0,285365.0,0.0,0.0,372084.3,16963.5,76317.3,213675.7
2022-09-01,04.39.36.00,Data Log,Log Period,-0.5,1.8,0.0,32.4,24.0,188984.6,56510.4,46059.0,285365.4,0.0,0.0,372084.7,16963.6,76317.3,213675.7
2022-09-01,04.49.40.00,Data Log,Log Period,-0.3,1.2,0.0,32.3,24.0,188984.6,56510.4,46059.0,285365.7,0.0,0.0,372084.9,16963.7,76317.3,213675.7
2022-09-01,04.59.44.00,Data Log,Log Period,-0.3,1.3,0.0,32.3,24.0,188984.6,56510.5,46059.0,285366.0,0.0,0.0,372085.1,16963.7,76317.3,213675.7
2022-09-01,05.09.48.00,Data Log,Log Period,-0.3,1.3,0.0,32.4,25.0,188984.6,56510.5,46059.0,285366.2,0.0,0.0,372085.4,16963.8,76317.3,213675.7
2022-09-01,05.19.52.00,Data Log,Log Period,-0.3,1.3,0.0,32.3,24.0,188984.6,56510.6,46059.0,285366.5,0.0,0.0,372085.6,16963.9,76317.3,213675.7
2022-09-01,05.29.54.02,Data Log,Log Period,-0.3,1.3,0.0,32.4,24.0,188984.6,56510.6,46059.0,285366.8,0.0,0.0,372085.8,16964.0,76317.3,213675.7
2022-09-01,05.39.58.00,Data Log,Log Period,-0.3,1.3,0.0,32.4,24.0,188984.6,56510.7,46059.0,285367.1,0.0,0.0,372086.0,16964.1,76317.3,213675.7
2022-09-01,05.50.02.00,Data Log,Log Period,-0.3,1.2,0.0,32.4,24.0,188984.6,56510.7,46059.0,285367.3,0.0,0.0,372086.2,16964.1,76317.3,213675.7
2022-09-01,06.00.06.00,Data Log,Log Period,-0.3,1.0,0.0,32.4,24.0,188984.6,56510.8,46059.0,285367.5,0.0,0.0,372086.4,16964.2,76317.3,213675.7
2022-09-01,06.10.10.00,Data Log,Log Period,-0.3,1.3,0.0,32.3,24.0,188984.6,56510.8,46059.0,285367.8,0.0,0.0,372086.6,16964.3,76317.3,213675.7
2022-09-01,06.20.14.00,Data Log,Log Period,-0.3,1.4,0.0,32.3,24.0,188984.6,56510.9,46059.0,285368.1,0.0,0.0,372086.9,16964.4,76317.3,213675.7
2022-09-01,06.30.18.00,Data Log,Log Period,-0.3,0.8,0.0,32.3,25.0,188984.6,56510.9,46059.0,285368.3,0.0,0.0,372087.1,16964.4,76317.3,213675.7
2022-09-01,06.38.39.50,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,32.2,36.0,188984.6,56511.0,46059.0,285368.5,0.0,0.0,372087.2,16964.5,76317.3,213675.7
2022-09-01,06.40.22.00,Data Log,Log Period,-0.3,1.2,0.0,32.2,38.0,188984.6,56511.0,46059.0,285368.5,0.0,0.0,372087.2,16964.5,76317.3,213675.7
2022-09-01,06.50.26.00,Data Log,Log Period,-0.3,0.6,0.2,32.3,44.0,188984.6,56511.0,46059.0,285368.7,0.0,0.0,372087.3,16964.6,76317.3,213675.7
2022-09-01,07.00.30.00,Data Log,Log Period,-0.3,0.6,0.5,32.6,64.0,188984.6,56511.1,46059.0,285368.8,0.0,0.0,372087.4,16964.6,76317.3,213675.8
2022-09-01,07.10.32.00,Data Log,Log Period,-0.3,0.9,0.7,33.2,73.0,188984.6,56511.1,46059.0,285369.0,0.0,0.0,372087.5,16964.6,76317.3,213675.9
2022-09-01,07.20.36.03,Data Log,Log Period,-0.3,1.0,0.7,33.0,73.0,188984.6,56511.2,46059.0,285369.2,0.0,0.0,372087.7,16964.6,76317.3,213676.0
2022-09-01,07.30.40.00,Data Log,Log Period,-0.3,0.8,0.7,32.7,70.0,188984.6,56511.2,46059.0,285369.4,0.0,0.0,372087.9,16964.6,76317.3,213676.1
2022-09-01,07.40.44.00,Data Log,Log Period,-0.3,0.8,1.5,33.3,108.0,188984.6,56511.3,46059.0,285369.6,0.0,0.0,372088.0,16964.6,76317.4,213676.3
2022-09-01,07.50.48.00,Data Log,Log Period,-0.3,1.1,1.9,33.5,125.0,188984.6,56511.3,46059.0,285369.8,0.0,0.0,372088.1,16964.6,76317.5,213676.6
2022-09-01,08.00.52.00,Data Log,Log Period,-0.3,1.0,2.6,33.7,155.0,188984.6,56511.4,46059.0,285370.0,0.0,0.0,372088.3,16964.6,76317.8,213676.9
2022-09-01,08.10.56.00,Data Log,Log Period,-0.3,1.9,3.0,34.1,174.0,188984.6,56511.4,46059.0,285370.3,0.0,0.0,372088.6,16964.6,76318.1,213677.4
2022-09-01,08.21.00.00,Data Log,Log Period,-0.3,2.3,3.8,34.4,209.0,188984.6,56511.5,46059.0,285370.7,0.0,0.0,372088.9,16964.6,76318.5,213677.9
2022-09-01,08.31.04.00,Data Log,Log Period,-0.3,2.0,4.4,35.6,242.0,188984.6,56511.5,46059.0,285371.2,0.0,0.0,372089.3,16964.6,76319.1,213678.6
2022-09-01,08.41.08.00,Data Log,Log Period,-0.3,2.5,5.1,35.7,281.0,188984.6,56511.6,46059.0,285371.6,0.0,0.0,372089.7,16964.6,76319.7,213679.4
2022-09-01,08.51.10.00,Data Log,Log Period,-0.3,2.3,4.1,35.6,221.0,188984.6,56511.6,46059.0,285372.0,0.0,0.0,372090.1,16964.6,76320.4,213680.2
2022-09-01,09.01.14.00,Data Log,Log Period,2.6,1.7,6.4,36.8,355.0,188984.8,56511.6,46059.0,285372.1,0.0,0.0,372090.4,16964.6,76320.8,213681.1
2022-09-01,09.11.18.00,Data Log,Log Period,4.2,2.5,6.7,36.4,375.0,188985.2,56511.6,46059.0,285372.2,0.0,0.0,372090.8,16964.6,76321.1,213682.0
2022-09-01,09.21.22.00,Data Log,Log Period,0.1,1.9,2.0,38.0,418.0,188985.8,56511.6,46059.2,285372.2,0.0,0.0,372091.2,16964.6,76321.3,213683.0
2022-09-01,09.31.26.00,Data Log,Log Period,0.3,2.2,2.0,39.0,438.0,188986.6,56511.6,46059.3,285372.3,0.0,0.0,372091.9,16964.6,76321.4,213684.1
2022-09-01,09.41.30.02,Data Log,Log Period,3.3,3.3,2.9,38.6,497.0,188987.3,56511.6,46059.5,285372.3,0.0,0.0,372092.6,16964.6,76321.5,213685.0
2022-09-01,09.51.34.02,Data Log,Log Period,7.6,5.3,8.4,38.3,527.0,188988.4,56511.6,46059.7,285372.3,0.0,0.0,372093.4,16964.6,76321.5,213686.2
2022-09-01,10.01.38.04,Data Log,Log Period,3.8,3.4,4.3,39.0,565.0,188989.4,56511.6,46059.9,285372.4,0.0,0.0,372094.3,16964.6,76321.5,213687.4
2022-09-01,10.11.42.05,Data Log,Log Period,8.9,6.4,10.5,40.5,601.0,188990.4,56511.6,46060.1,285372.4,0.0,0.0,372095.1,16964.6,76321.5,213688.6
2022-09-01,10.21.46.00,Data Log,Log Period,8.7,6.5,10.9,40.4,633.0,188991.4,56511.6,46060.3,285372.5,0.0,0.0,372096.0,16964.6,76321.6,213689.8
2022-09-01,10.31.50.00,Data Log,Log Period,7.8,6.1,9.3,42.3,654.0,188992.4,56511.6,46060.5,285372.5,0.0,0.0,372096.8,16964.6,76321.6,213691.0
2022-09-01,10.41.54.00,Data Log,Log Period,5.6,4.9,3.9,41.2,697.0,188993.5,56511.6,46060.7,285372.6,0.0,0.0,372097.8,16964.6,76321.6,213692.3
2022-09-01,10.51.56.00,Data Log,Log Period,3.6,4.9,5.9,42.0,713.0,188994.6,56511.6,46060.9,285372.7,0.0,0.0,372098.7,16964.6,76321.6,213693.5
2022-09-01,11.02.00.00,Data Log,Log Period,6.0,5.6,7.6,41.9,740.0,188995.7,56511.6,46061.1,285372.7,0.0,0.0,372099.7,16964.6,76321.6,213694.8
2022-09-01,11.12.04.00,Data Log,Log Period,9.7,9.1,10.4,42.0,776.0,188996.7,56511.6,46061.2,285372.9,0.0,0.0,372100.8,16964.6,76321.7,213696.0
2022-09-01,11.22.08.00,Data Log,Log Period,9.8,9.8,11.6,42.4,791.0,188997.6,56511.6,46061.2,285373.3,0.0,0.0,372102.1,16964.6,76321.7,213697.1
2022-09-01,11.32.12.01,Data Log,Log Period,8.9,10.1,11.0,43.3,820.0,188998.5,56511.6,46061.2,285373.8,0.0,0.0,372103.6,16964.6,76321.7,213698.3
2022-09-01,11.42.16.01,Data Log,Log Period,10.2,10.5,10.9,44.0,868.0,188999.5,56511.6,46061.2,285374.3,0.0,0.0,372105.0,16964.6,76321.7,213699.5
2022-09-01,11.52.20.00,Data Log,Log Period,1.6,8.2,3.0,44.7,914.0,189000.4,56511.6,46061.2,285374.8,0.0,0.0,372106.5,16964.6,76321.8,213700.7
2022-09-01,12.02.24.00,Data Log,Log Period,7.3,8.9,9.2,44.7,933.0,189001.4,56511.6,46061.2,285375.4,0.0,0.0,372108.0,16964.6,76321.8,213701.9
2022-09-01,12.12.30.01,Data Log,Log Period,8.9,9.8,7.7,44.8,955.0,189002.4,56511.6,46061.2,285375.9,0.0,0.0,372109.5,16964.6,76321.8,213703.1
2022-09-01,12.22.32.00,Data Log,Log Period,6.6,10.5,3.1,43.8,227.0,189003.4,56511.6,46061.2,285376.5,0.0,0.0,372111.1,16964.7,76321.8,213704.2
2022-09-01,12.32.34.00,Data Log,Log Period,8.6,11.9,16.5,41.7,875.0,189004.6,56511.6,46061.2,285377.1,0.0,0.0,372112.9,16965.3,76321.9,213705.0
2022-09-01,12.42.38.00,Data Log,Log Period,8.1,11.5,15.9,43.8,1045.0,189006.0,56511.6,46061.2,285377.6,0.0,0.0,372114.8,16965.5,76322.4,213707.0
2022-09-01,12.52.42.00,Data Log,Log Period,7.2,10.6,10.2,45.5,976.0,189007.3,56511.6,46061.2,285378.2,0.0,0.0,372116.7,16965.7,76322.8,213708.8
2022-09-01,13.02.46.00,Data Log,Log Period,6.7,10.0,12.2,43.0,904.0,189008.5,56511.6,46061.2,285378.7,0.0,0.0,372118.5,16965.9,76323.0,213710.4
2022-09-01,13.12.50.00,Data Log,Log Period,5.9,9.2,5.2,41.2,291.0,189009.7,56511.6,46061.2,285379.3,0.0,0.0,372120.2,16966.3,76323.0,213711.4
2022-09-01,13.22.54.00,Data Log,Log Period,6.2,9.6,4.5,41.4,260.0,189010.8,56511.6,46061.2,285379.9,0.0,0.0,372121.9,16966.8,76323.0,213712.2
2022-09-01,13.32.58.00,Data Log,Log Period,5.8,9.2,14.9,41.4,774.0,189011.9,56511.6,46061.2,285380.4,0.0,0.0,372123.6,16967.3,76323.1,213713.1
2022-09-01,13.43.02.00,Data Log,Log Period,5.4,8.8,4.9,41.7,269.0,189012.9,56511.6,46061.2,285381.0,0.0,0.0,372125.2,16967.5,76323.3,213714.4
2022-09-01,13.53.06.00,Data Log,Log Period,5.2,8.6,3.8,38.2,220.0,189013.9,56511.6,46061.2,285381.6,0.0,0.0,372126.7,16967.9,76323.3,213715.2
2022-09-01,14.03.10.03,Data Log,Log Period,5.5,8.9,2.5,36.3,161.0,189014.8,56511.6,46061.2,285382.1,0.0,0.0,372128.1,16968.5,76323.3,213715.7
2022-09-01,14.13.14.00,Data Log,Log Period,4.8,8.3,1.6,34.2,111.0,189015.6,56511.6,46061.2,285382.7,0.0,0.0,372129.5,16969.0,76323.3,213716.3
2022-09-01,14.23.18.00,Data Log,Log Period,4.0,7.4,0.6,33.2,63.0,189016.2,56511.6,46061.2,285383.3,0.0,0.0,372130.7,16969.7,76323.3,213716.4
2022-09-01,14.33.20.05,Data Log,Log Period,2.7,6.1,0.9,33.0,77.0,189016.8,56511.6,46061.2,285383.8,0.0,0.0,372131.8,16970.3,76323.3,213716.5
2022-09-01,14.43.24.02,Data Log,Log Period,2.0,5.4,1.2,33.2,83.0,189017.1,56511.6,46061.2,285384.4,0.0,0.0,372132.7,16970.6,76323.3,213716.7
2022-09-01,14.53.28.00,Data Log,Log Period,1.7,5.1,1.4,33.1,97.0,189017.4,56511.6,46061.2,285385.0,0.0,0.0,372133.6,16970.9,76323.3,213716.9
2022-09-01,15.03.32.00,Data Log,Log Period,2.2,5.6,1.6,33.0,110.0,189017.8,56511.6,46061.2,285385.5,0.0,0.0,372134.6,16971.2,76323.3,213717.2
2022-09-01,15.13.36.00,Data Log,Log Period,2.1,5.5,2.2,32.9,139.0,189018.1,56511.6,46061.2,285386.1,0.0,0.0,372135.5,16971.4,76323.3,213717.5
2022-09-01,15.23.40.00,Data Log,Log Period,2.4,5.8,1.2,32.5,92.0,189018.6,56511.6,46061.2,285386.7,0.0,0.0,372136.5,16971.7,76323.3,213717.8
2022-09-01,15.33.44.00,Data Log,Log Period,1.1,4.5,0.8,33.4,72.0,189018.9,56511.6,46061.2,285387.2,0.0,0.0,372137.4,16972.1,76323.3,213717.9
2022-09-01,15.43.48.00,Data Log,Log Period,2.1,5.4,0.7,33.5,68.0,189019.2,56511.6,46061.2,285387.8,0.0,0.0,372138.3,16972.5,76323.3,213718.1
2022-09-01,15.53.52.00,Data Log,Log Period,1.2,4.6,0.8,34.0,76.0,189019.5,56511.6,46061.2,285388.4,0.0,0.0,372139.1,16972.8,76323.3,213718.2
2022-09-01,16.03.56.00,Data Log,Log Period,1.1,4.1,0.8,33.7,72.0,189019.6,56511.6,46061.2,285388.9,0.0,0.0,372139.7,16973.1,76323.3,213718.3
2022-09-01,16.14.00.00,Data Log,Log Period,0.7,2.8,0.6,33.9,65.0,189019.8,56511.6,46061.2,285389.3,0.0,0.0,372140.3,16973.2,76323.3,213718.4
2022-09-01,16.24.02.00,Data Log,Log Period,0.4,2.2,0.5,33.4,60.0,189019.8,56511.7,46061.2,285389.7,0.0,0.0,372140.7,16973.4,76323.3,213718.5
2022-09-01,16.34.06.00,Data Log,Log Period,-0.4,1.7,0.5,32.9,58.0,189019.9,56511.7,46061.2,285390.0,0.0,0.0,372141.0,16973.5,76323.3,213718.6
2022-09-01,16.44.10.00,Data Log,Log Period,0.3,2.1,0.4,32.4,55.0,189019.9,56511.7,46061.2,285390.3,0.0,0.0,372141.4,16973.5,76323.4,213718.7
2022-09-01,16.54.14.01,Data Log,Log Period,0.7,2.6,0.5,32.5,58.0,189019.9,56511.7,46061.2,285390.7,0.0,0.0,372141.7,16973.7,76323.4,213718.7
2022-09-01,17.04.18.00,Data Log,Log Period,-0.4,1.4,0.7,32.4,71.0,189020.0,56511.8,46061.2,285391.0,0.0,0.0,372142.1,16973.7,76323.4,213718.8
2022-09-01,17.14.22.00,Data Log,Log Period,-0.2,1.4,1.0,32.5,87.0,189020.0,56511.8,46061.2,285391.3,0.0,0.0,372142.3,16973.7,76323.4,213719.0
2022-09-01,17.24.26.00,Data Log,Log Period,-0.3,1.8,1.3,32.4,101.0,189020.0,56511.9,46061.2,285391.6,0.0,0.0,372142.6,16973.7,76323.5,213719.2
2022-09-01,17.34.30.00,Data Log,Log Period,-0.3,0.6,1.6,32.6,112.0,189020.0,56511.9,46061.2,285391.8,0.0,0.0,372142.8,16973.7,76323.6,213719.4
2022-09-01,17.44.34.00,Data Log,Log Period,-0.3,0.8,1.6,32.8,117.0,189020.0,56512.0,46061.2,285392.0,0.0,0.0,372142.9,16973.7,76323.7,213719.7
2022-09-01,17.54.36.00,Data Log,Log Period,-0.2,1.0,1.5,32.7,110.0,189020.0,56512.0,46061.2,285392.2,0.0,0.0,372143.0,16973.7,76323.9,213719.9
2022-09-01,18.04.40.00,Data Log,Log Period,-0.3,0.6,1.4,33.1,106.0,189020.0,56512.1,46061.2,285392.4,0.0,0.0,372143.1,16973.7,76324.0,213720.2
2022-09-01,18.14.44.00,Data Log,Log Period,-0.3,0.8,1.3,32.9,104.0,189020.0,56512.1,46061.2,285392.5,0.0,0.0,372143.2,16973.7,76324.1,213720.4
2022-09-01,18.24.48.00,Data Log,Log Period,-0.3,0.3,0.9,33.3,87.0,189020.0,56512.2,46061.2,285392.7,0.0,0.0,372143.3,16973.7,76324.2,213720.6
2022-09-01,18.34.52.00,Data Log,Log Period,-0.2,0.7,0.6,32.9,68.0,189020.0,56512.2,46061.2,285392.8,0.0,0.0,372143.4,16973.7,76324.2,213720.7
2022-09-01,18.44.56.01,Data Log,Log Period,-0.3,0.3,0.2,32.9,47.0,189020.0,56512.3,46061.2,285392.9,0.0,0.0,372143.4,16973.7,76324.2,213720.8
2022-09-01,18.55.00.00,Data Log,Log Period,-0.4,1.2,0.0,32.8,33.0,189020.0,56512.3,46061.2,285393.0,0.0,0.0,372143.5,16973.8,76324.2,213720.8
2022-09-01,19.05.04.00,Data Log,Log Period,-0.3,0.5,0.0,32.6,26.0,189020.0,56512.4,46061.2,285393.1,0.0,0.0,372143.6,16973.9,76324.2,213720.8
2022-09-01,19.13.46.74,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.2,0.9,0.0,32.5,24.0,189020.0,56512.4,46061.2,285393.3,0.0,0.0,372143.7,16974.0,76324.2,213720.8
2022-09-01,19.15.08.00,Data Log,Log Period,-0.3,1.0,0.0,32.5,25.0,189020.0,56512.4,46061.2,285393.3,0.0,0.0,372143.7,16974.0,76324.2,213720.8
2022-09-01,19.25.12.00,Data Log,Log Period,-0.3,0.6,0.0,32.5,24.0,189020.0,56512.5,46061.2,285393.5,0.0,0.0,372143.8,16974.1,76324.2,213720.8
2022-09-01,19.35.14.01,Data Log,Log Period,-0.3,0.8,0.0,32.6,24.0,189020.0,56512.5,46061.2,285393.6,0.0,0.0,372143.9,16974.1,76324.2,213720.8
2022-09-01,19.45.18.00,Data Log,Log Period,-0.2,0.8,0.0,32.7,24.0,189020.0,56512.6,46061.2,285393.8,0.0,0.0,372144.1,16974.2,76324.2,213720.8
2022-09-01,19.55.22.00,Data Log,Log Period,-0.2,0.8,0.0,32.8,24.0,189020.0,56512.6,46061.2,285394.0,0.0,0.0,372144.2,16974.3,76324.2,213720.8
2022-09-01,20.05.26.00,Data Log,Log Period,-0.3,0.6,0.0,32.8,24.0,189020.0,56512.7,46061.2,285394.1,0.0,0.0,372144.3,16974.4,76324.2,213720.8
2022-09-01,20.15.30.00,Data Log,Log Period,-0.5,0.5,0.0,32.7,24.0,189020.0,56512.7,46061.2,285394.3,0.0,0.0,372144.4,16974.4,76324.2,213720.8
2022-09-01,20.25.34.00,Data Log,Log Period,-0.6,0.7,0.0,32.7,24.0,189020.0,56512.8,46061.2,285394.6,0.0,0.0,372144.7,16974.5,76324.2,213720.8
2022-09-01,20.35.38.00,Data Log,Log Period,-0.2,1.6,0.0,32.6,24.0,189020.0,56512.8,46061.2,285394.8,0.0,0.0,372144.9,16974.6,76324.2,213720.8
2022-09-01,20.45.42.00,Data Log,Log Period,-0.3,1.5,0.0,32.5,24.0,189020.0,56512.9,46061.2,285395.1,0.0,0.0,372145.0,16974.7,76324.2,213720.8
2022-09-01,20.55.46.00,Data Log,Log Period,-0.4,0.8,0.0,32.1,24.0,189020.0,56512.9,46061.2,285395.3,0.0,0.0,372145.2,16974.8,76324.2,213720.8
2022-09-01,21.05.48.00,Data Log,Log Period,-0.4,0.6,0.0,31.9,24.0,189020.0,56513.0,46061.2,285395.5,0.0,0.0,372145.4,16974.9,76324.2,213720.8
2022-09-01,21.15.52.00,Data Log,Log Period,-0.6,0.6,0.0,31.9,24.0,189020.0,56513.1,46061.2,285395.7,0.0,0.0,372145.5,16974.9,76324.2,213720.8
2022-09-01,21.25.56.00,Data Log,Log Period,-0.3,1.7,0.0,31.9,24.0,189020.0,56513.1,46061.2,285396.0,0.0,0.0,372145.7,16975.0,76324.2,213720.8
2022-09-01,21.36.00.00,Data Log,Log Period,-0.4,0.6,0.0,31.9,24.0,189020.0,56513.2,46061.2,285396.1,0.0,0.0,372145.8,16975.1,76324.2,213720.8
2022-09-01,21.46.04.01,Data Log,Log Period,-0.3,0.5,0.0,31.9,24.0,189020.0,56513.2,46061.2,285396.3,0.0,0.0,372145.9,16975.2,76324.2,213720.8
