Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh
2023-10-31,23.28.18.00,Data Log,Log Period,-1.4,11.3,-0.6,10.7,0,2350.3,10779.1,629.3,65908.4,0,0,56857.8,10751.8,48573.8,6640.1
2023-10-31,23.48.18.00,Data Log,Log Period,-1.6,11.1,-0.6,10.6,0,2350.3,10779.6,629.3,65912.7,0,0,56861.6,10751.8,48575.1,6640.1
2023-11-01,00.08.18.00,Data Log,Log Period,-1.4,12.1,-0.6,10.5,0,2350.3,10780.0,629.3,65917.1,0,0,56865.4,10751.8,48576.4,6640.1
2023-11-01,00.28.18.00,Data Log,Log Period,-1.4,11.6,-0.6,10.7,0,2350.3,10780.5,629.3,65921.3,0,0,56869.2,10751.8,48577.8,6640.1
2023-11-01,00.48.18.00,Data Log,Log Period,-1.6,11.5,-0.6,10.6,0,2350.3,10781.0,629.3,65925.7,0,0,56873.1,10751.8,48579.1,6640.1
2023-11-01,01.08.18.00,Data Log,Log Period,-1.2,11.6,-0.6,10.6,0,2350.3,10781.5,629.3,65930.0,0,0,56876.9,10751.8,48580.4,6640.1
2023-11-01,01.28.18.00,Data Log,Log Period,-1.4,11.3,-0.6,10.6,0,2350.3,10782.0,629.3,65934.2,0,0,56880.6,10751.8,48581.8,6640.1
2023-11-01,01.48.18.00,Data Log,Log Period,-1.5,11.2,-0.6,10.6,0,2350.3,10782.5,629.3,65938.5,0,0,56884.4,10751.8,48583.1,6640.1
2023-11-01,02.08.18.00,Data Log,Log Period,-1.5,11.6,-0.6,10.7,0,2350.3,10783.0,629.3,65942.8,0,0,56888.2,10751.8,48584.4,6640.1
2023-11-01,02.28.18.00,Data Log,Log Period,-1.3,11.8,-0.6,10.8,0,2350.3,10783.5,629.3,65947.2,0,0,56892.1,10751.8,48585.8,6640.1
2023-11-01,02.48.18.00,Data Log,Log Period,-1.5,11.2,-0.6,10.7,0,2350.3,10784.0,629.3,65951.6,0,0,56896.1,10751.8,48587.1,6640.1
2023-11-01,03.08.18.00,Data Log,Log Period,-1.5,11.3,-0.6,10.7,0,2350.3,10784.5,629.3,65955.8,0,0,56899.7,10751.8,48588.4,6640.1
2023-11-01,03.28.18.00,Data Log,Log Period,-1.5,11.2,-0.6,10.7,0,2350.3,10785.0,629.3,65960.1,0,0,56903.5,10751.8,48589.8,6640.1
2023-11-01,03.48.18.00,Data Log,Log Period,-1.6,10.6,-0.6,10.8,0,2350.3,10785.5,629.3,65964.2,0,0,56907.1,10751.8,48591.1,6640.1
2023-11-01,04.08.18.00,Data Log,Log Period,-1.5,12.1,-0.6,10.7,0,2350.3,10786.0,629.3,65968.4,0,0,56910.8,10751.8,48592.4,6640.1
2023-11-01,04.28.18.00,Data Log,Log Period,-1.5,11.7,-0.6,10.7,0,2350.3,10786.5,629.3,65972.8,0,0,56914.8,10751.8,48593.8,6640.1
2023-11-01,04.48.18.02,Data Log,Log Period,-1.4,11.7,-0.6,10.7,0,2350.3,10787.0,629.3,65977.2,0,0,56918.6,10751.8,48595.1,6640.1
2023-11-01,05.08.18.02,Data Log,Log Period,-1.7,11.3,-0.6,10.7,0,2350.3,10787.5,629.3,65981.5,0,0,56922.5,10751.8,48596.4,6640.1
2023-11-01,05.28.18.01,Data Log,Log Period,-1.6,11.6,-0.6,10.8,0,2350.3,10787.9,629.3,65985.8,0,0,56926.3,10751.8,48597.8,6640.1
2023-11-01,05.48.18.00,Data Log,Log Period,-1.5,11.7,-0.6,10.8,0,2350.3,10788.4,629.3,65990.1,0,0,56930.1,10751.8,48599.1,6640.1
2023-11-01,06.08.18.00,Data Log,Log Period,-1.4,11.2,-0.6,10.7,0,2350.3,10788.9,629.3,65994.3,0,0,56933.8,10751.8,48600.4,6640.1
2023-11-01,06.28.18.00,Data Log,Log Period,-1.3,11.4,-0.6,10.9,0,2350.3,10789.4,629.3,65998.6,0,0,56937.6,10751.8,48601.8,6640.1
2023-11-01,06.48.18.02,Data Log,Log Period,-1.5,9.9,-0.6,10.8,0,2350.3,10789.9,629.3,66002.6,0,0,56941.1,10751.8,48603.1,6640.1
2023-11-01,07.08.18.00,Data Log,Log Period,-1.4,10.0,-0.6,10.8,0,2350.3,10790.3,629.3,66006.5,0,0,56944.6,10751.8,48604.4,6640.1
2023-11-01,07.28.18.00,Data Log,Log Period,-1.5,10.1,-0.6,10.8,0,2350.3,10790.8,629.3,66010.4,0,0,56948.0,10751.8,48605.8,6640.1
2023-11-01,07.48.18.00,Data Log,Log Period,-1.6,12.2,-0.6,10.9,0,2350.3,10791.3,629.3,66014.6,0,0,56951.7,10751.8,48607.1,6640.1
2023-11-01,08.08.18.00,Data Log,Log Period,-1.5,13.2,-0.6,10.7,0,2350.3,10791.8,629.3,66019.3,0,0,56955.9,10751.8,48608.4,6640.1
2023-11-01,08.28.18.00,Data Log,Log Period,-1.3,13.2,-0.6,10.7,0,2350.3,10792.3,629.3,66024.2,0,0,56960.3,10751.8,48609.6,6640.1
2023-11-01,08.48.18.00,Data Log,Log Period,-1.2,14.3,-0.6,10.8,0,2350.3,10792.8,629.3,66029.4,0,0,56965.0,10751.8,48610.9,6640.1
2023-11-01,09.08.18.00,Data Log,Log Period,-1.7,15.6,-0.6,10.8,0,2350.3,10793.3,629.3,66035.0,0,0,56970.1,10751.8,48612.2,6640.1
2023-11-01,09.28.18.00,Data Log,Log Period,-1.4,16.0,-0.6,10.7,0,2350.3,10793.8,629.3,66041.0,0,0,56975.5,10751.8,48613.5,6640.1
2023-11-01,09.48.18.00,Data Log,Log Period,-1.7,16.2,-0.6,10.7,0,2350.3,10794.4,629.3,66046.9,0,0,56981.0,10751.8,48614.9,6640.1
2023-11-01,10.08.18.00,Data Log,Log Period,-1.6,19.6,-0.6,10.7,0,2350.3,10794.9,629.3,66053.2,0,0,56986.7,10751.8,48616.2,6640.1
2023-11-01,10.28.18.00,Data Log,Log Period,-1.7,17.8,-0.6,10.5,0,2350.3,10795.4,629.3,66059.7,0,0,56992.7,10751.8,48617.5,6640.1
2023-11-01,10.48.18.00,Data Log,Log Period,-1.6,23.3,-0.6,10.5,0,2350.3,10796.0,629.3,66067.0,0,0,56999.4,10751.8,48618.8,6640.1
2023-11-01,11.08.18.00,Data Log,Log Period,-2.0,26.0,-0.6,10.5,0,2350.3,10796.6,629.3,66075.6,0,0,57007.4,10751.8,48620.0,6640.1
2023-11-01,11.28.18.00,Data Log,Log Period,-1.8,26.5,-0.6,10.5,0,2350.3,10797.1,629.3,66084.5,0,0,57015.8,10751.8,48621.2,6640.1
2023-11-01,11.48.18.00,Data Log,Log Period,-1.7,27.5,-0.6,10.4,0,2350.3,10797.8,629.3,66094.1,0,0,57024.8,10751.8,48622.4,6640.1
2023-11-01,11.53.26.44,Status : Parallel Mode,Operation Auto Inverter Only,-1.7,30.1,-0.6,10.4,0,2350.3,10797.9,629.3,66096.8,0,0,57027.3,10751.8,48622.7,6640.1
2023-11-01,12.08.18.00,Data Log,Log Period,0.0,0.0,0.0,15.6,0,2350.3,10797.9,629.3,66096.8,0,0,57027.3,10751.8,48624.1,6640.1
2023-11-01,12.12.36.79,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,15.6,0,2350.3,10797.9,629.3,66096.8,0,0,57027.3,10751.8,48624.6,6640.1
2023-11-01,12.13.32.26,Status : Inverter CB Closed,Inv CB Waiting for Closed,31.0,31.0,-0.5,11.0,0,2350.6,10797.9,629.3,66096.8,0,0,57027.6,10751.8,48624.6,6640.1
2023-11-01,12.28.18.00,Data Log,Log Period,-2.0,34.9,-0.6,10.3,0,2350.7,10798.8,629.4,66105.7,0,0,57035.6,10751.8,48625.5,6640.1
2023-11-01,12.48.18.00,Data Log,Log Period,-1.7,31.8,-0.6,10.3,0,2350.7,10799.5,629.4,66117.4,0,0,57046.6,10751.8,48626.6,6640.1
2023-11-01,13.08.18.00,Data Log,Log Period,-1.9,30.2,-0.6,10.3,0,2350.7,10800.1,629.4,66128.1,0,0,57056.7,10751.8,48627.8,6640.1
2023-11-01,13.28.18.00,Data Log,Log Period,-1.8,29.2,-0.6,10.1,0,2350.7,10800.7,629.4,66138.5,0,0,57066.5,10751.8,48629.0,6640.1
2023-11-01,13.48.18.00,Data Log,Log Period,-1.8,28.1,-0.6,10.1,0,2350.7,10801.3,629.4,66148.5,0,0,57075.9,10751.8,48630.1,6640.1
2023-11-01,14.08.18.01,Data Log,Log Period,-1.9,27.6,-0.6,10.0,0,2350.7,10801.9,629.4,66158.3,0,0,57085.1,10751.8,48631.3,6640.1
2023-11-01,14.28.18.00,Data Log,Log Period,-1.8,26.6,-0.6,10.0,0,2350.7,10802.5,629.4,66167.8,0,0,57094.1,10751.8,48632.5,6640.1
2023-11-01,14.48.18.00,Data Log,Log Period,-1.9,29.4,-0.6,10.0,0,2350.7,10803.1,629.4,66177.6,0,0,57103.2,10751.8,48633.6,6640.1
2023-11-01,15.08.18.00,Data Log,Log Period,-1.8,25.8,-0.6,10.0,0,2350.7,10803.8,629.4,66187.7,0,0,57112.7,10751.8,48634.8,6640.1
2023-11-01,15.28.18.00,Data Log,Log Period,-1.8,24.5,-0.6,10.0,0,2350.7,10804.3,629.4,66196.5,0,0,57120.9,10751.8,48636.0,6640.1
2023-11-01,15.48.18.00,Data Log,Log Period,-1.5,20.9,-0.6,10.1,0,2350.7,10804.9,629.4,66204.8,0,0,57128.6,10751.8,48637.1,6640.1
