Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-07,21.48.28.75,Fault : Inv Sync Fault,Inv Request Source Tracking,1.2,1.2,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.2,76578.8,215700.3,4.0,0.0209059233449477,Inspecting,1.1,1.1,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.2,76578.8,215700.3,1.1,1.8,-0.3,1.1,1.8,1.7,0.0,0.0,0.0,27.3,27.3,27.3,24.0,24.0,24.0,190341.1,190341.1,190341.1,56683.8,56683.8,56683.8,46331.0,46331.0,46331.0,286900.2,286900.2,286900.2,0.0,0.0,0.0,0.0,0.0,0.0,374530.4,374530.4,374530.4,17272.2,17272.1,17272.1,76578.8,76578.8,76578.8,215700.3,215700.3,215700.3
2022-10-09,02.01.40.79,Fault : Inv Sync Fault,Inv Request Source Tracking,1.1,1.1,0.0,25.7,25.0,190343.5,56691.4,46331.0,286942.4,0.0,0.0,374567.3,17282.1,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.7,25.0,190343.4,56691.4,46331.0,286942.4,0.0,0.0,374567.3,17282.1,76583.7,215715.1,1.1,1.1,-0.3,1.1,1.1,1.0,0.0,0.0,0.0,25.7,25.7,25.8,25.0,25.0,24.0,190343.4,190343.4,190343.4,56691.4,56691.4,56691.4,46331.0,46331.0,46331.0,286942.4,286942.4,286942.4,0.0,0.0,0.0,0.0,0.0,0.0,374567.3,374567.3,374567.3,17282.1,17282.1,17282.1,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,03.06.53.49,Fault : Inv Sync Fault,Inv Request Source Tracking,1.2,1.2,0.0,25.8,25.0,190343.5,56691.7,46331.0,286943.8,0.0,0.0,374568.5,17282.8,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.8,25.0,190343.5,56691.7,46331.0,286943.8,0.0,0.0,374568.5,17282.8,76583.7,215715.1,1.1,1.1,0.6,1.1,1.1,1.6,0.0,0.0,0.0,25.8,25.8,25.8,25.0,24.0,24.0,190343.5,190343.5,190343.5,56691.7,56691.7,56691.7,46331.0,46331.0,46331.0,286943.8,286943.8,286943.8,0.0,0.0,0.0,0.0,0.0,0.0,374568.5,374568.5,374568.5,17282.8,17282.8,17282.7,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,03.08.28.79,Fault : Inv Sync Fault,Inv Request Source Tracking,1.1,1.1,0.0,25.8,25.0,190343.6,56691.7,46331.0,286943.8,0.0,0.0,374568.6,17282.9,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.9,25.0,190343.6,56691.7,46331.0,286943.8,0.0,0.0,374568.6,17282.9,76583.7,215715.1,1.1,1.9,1.2,1.1,1.9,1.2,0.0,0.0,0.0,25.9,25.9,25.8,25.0,25.0,25.0,190343.6,190343.6,190343.5,56691.7,56691.7,56691.7,46331.0,46331.0,46331.0,286943.8,286943.8,286943.8,0.0,0.0,0.0,0.0,0.0,0.0,374568.6,374568.6,374568.5,17282.9,17282.8,17282.8,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,03.10.02.49,Fault : Inv Sync Fault,Inv Request Source Tracking,1.1,1.1,0.0,25.8,25.0,190343.6,56691.7,46331.0,286943.8,0.0,0.0,374568.6,17282.9,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.8,25.0,190343.6,56691.7,46331.0,286943.8,0.0,0.0,374568.6,17282.9,76583.7,215715.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.8,25.8,25.8,25.0,25.0,25.0,190343.6,190343.6,190343.6,56691.7,56691.7,56691.7,46331.0,46331.0,46331.0,286943.8,286943.8,286943.8,0.0,0.0,0.0,0.0,0.0,0.0,374568.6,374568.6,374568.6,17282.9,17282.9,17282.9,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,03.50.24.79,Fault : Inv Sync Fault,Inv Request Source Tracking,1.1,1.2,0.0,25.9,24.0,190343.8,56691.9,46331.0,286944.5,0.0,0.0,374569.3,17283.5,76583.7,215715.1,4.0,0.0209059233449477,Inspecting,1.1,1.1,0.0,25.9,25.0,190343.8,56691.9,46331.0,286944.5,0.0,0.0,374569.3,17283.5,76583.7,215715.1,1.1,1.0,1.0,1.1,1.0,1.0,0.0,0.0,0.0,25.9,25.9,25.9,25.0,24.0,25.0,190343.8,190343.8,190343.7,56691.9,56691.9,56691.9,46331.0,46331.0,46331.0,286944.5,286944.5,286944.5,0.0,0.0,0.0,0.0,0.0,0.0,374569.3,374569.3,374569.3,17283.5,17283.5,17283.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,06.52.06.24,Fault : Inv Sync Fault,Inv Request Source Tracking,1.1,1.1,0.0,25.7,25.0,190346.9,56692.0,46331.1,286945.1,0.0,0.0,374573.0,17289.4,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.7,25.0,190346.9,56692.0,46331.1,286945.1,0.0,0.0,374573.0,17289.4,76583.7,215715.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.7,25.7,25.7,25.0,25.0,25.0,190346.9,190346.9,190346.9,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374573.0,374573.0,374573.0,17289.4,17289.4,17289.4,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,11.06.16.43,Fault : Inv Sync Fault,Inv Request Source Tracking,0.8,0.8,4.6,28.1,246.0,190350.2,56692.2,46331.1,286945.7,0.0,0.0,374576.7,17291.0,76586.2,215723.6,41.0,0.2142857142857143,Inspecting,0.7,0.7,4.7,28.2,248.0,190350.2,56692.2,46331.1,286945.7,0.0,0.0,374576.6,17291.0,76586.2,215723.5,0.7,0.9,0.9,0.7,0.8,0.9,4.7,4.5,4.6,28.2,28.2,28.2,248.0,242.0,242.0,190350.2,190350.2,190350.2,56692.2,56692.2,56692.2,46331.1,46331.1,46331.1,286945.7,286945.7,286945.7,0.0,0.0,0.0,0.0,0.0,0.0,374576.6,374576.6,374576.6,17291.0,17291.0,17291.0,76586.2,76586.2,76586.2,215723.5,215723.5,215723.4
2022-10-09,11.28.38.12,Fault : Inv Sync Fault,Inv Request Source Tracking,0.9,0.9,4.8,28.4,254.0,190350.4,56692.2,46331.1,286945.8,0.0,0.0,374576.9,17291.0,76587.0,215725.0,42.33333333333333,0.2212543554006968,Inspecting,0.7,0.7,4.8,28.3,255.0,190350.4,56692.2,46331.1,286945.8,0.0,0.0,374576.9,17291.0,76587.0,215725.0,0.7,0.7,0.7,0.7,0.8,0.7,4.8,4.9,4.9,28.3,28.4,28.4,255.0,255.0,256.0,190350.4,190350.4,190350.4,56692.2,56692.2,56692.2,46331.1,46331.1,46331.1,286945.8,286945.8,286945.8,0.0,0.0,0.0,0.0,0.0,0.0,374576.9,374576.9,374576.9,17291.0,17291.0,17291.0,76587.0,76587.0,76587.0,215725.0,215724.9,215724.9
2022-10-09,11.46.05.16,Fault : Inv Sync Fault,Inv Request Source Tracking,0.8,0.9,5.0,28.7,263.0,190350.6,56692.2,46331.1,286945.8,0.0,0.0,374577.2,17291.0,76587.9,215726.4,43.83333333333333,0.2290940766550522,Inspecting,0.7,0.8,5.0,28.7,263.0,190350.6,56692.2,46331.1,286945.8,0.0,0.0,374577.2,17291.0,76587.9,215726.4,0.7,0.8,0.9,0.8,0.8,0.9,5.0,4.8,4.7,28.7,28.7,28.7,263.0,256.0,252.0,190350.6,190350.6,190350.6,56692.2,56692.2,56692.2,46331.1,46331.1,46331.1,286945.8,286945.8,286945.8,0.0,0.0,0.0,0.0,0.0,0.0,374577.2,374577.2,374577.2,17291.0,17291.0,17291.0,76587.9,76587.8,76587.8,215726.4,215726.3,215726.3
