Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-04-01,00.06.48.00,Data Log,Log Period,0.0,1.1,0.0,22.6,26,190811.9,56741.5,46435.9,292728.2,0,0,380666.7,17603.6,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,00.16.48.00,Data Log,Log Period,0.0,1.4,0.0,22.8,26,190811.9,56741.5,46435.9,292728.4,0,0,380666.9,17603.6,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.1,0.0,22.6,26.0,190811.9,56741.5,46435.9,292728.2,0.0,0.0,380666.7,17603.6,76793.9,216773.4,0.0,,,1.1,,,0.0,,,22.6,,,26.0,,,190811.9,,,56741.5,,,46435.9,,,292728.2,,,0.0,,,0.0,,,380666.7,,,17603.6,,,76793.9,,,216773.4,,
2023-04-01,00.26.48.00,Data Log,Log Period,0.0,1.1,0.0,22.7,26,190811.9,56741.5,46435.9,292728.6,0,0,380667.1,17603.7,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.4,0.0,22.8,26.0,190811.9,56741.5,46435.9,292728.4,0.0,0.0,380666.9,17603.6,76793.9,216773.4,0.0,0.0,,1.4,1.1,,0.0,0.0,,22.8,22.6,,26.0,26.0,,190811.9,190811.9,,56741.5,56741.5,,46435.9,46435.9,,292728.4,292728.2,,0.0,0.0,,0.0,0.0,,380666.9,380666.7,,17603.6,17603.6,,76793.9,76793.9,,216773.4,216773.4,
2023-04-01,00.36.48.00,Data Log,Log Period,0.0,1.2,0.0,22.8,26,190811.9,56741.5,46435.9,292728.8,0,0,380667.3,17603.7,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.1,0.0,22.7,26.0,190811.9,56741.5,46435.9,292728.6,0.0,0.0,380667.1,17603.7,76793.9,216773.4,0.0,0.0,0.0,1.1,1.4,1.1,0.0,0.0,0.0,22.7,22.8,22.6,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292728.6,292728.4,292728.2,0.0,0.0,0.0,0.0,0.0,0.0,380667.1,380666.9,380666.7,17603.7,17603.6,17603.6,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,00.46.48.00,Data Log,Log Period,0.0,1.2,0.0,22.7,26,190811.9,56741.5,46435.9,292729.0,0,0,380667.5,17603.7,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.2,0.0,22.8,26.0,190811.9,56741.5,46435.9,292728.8,0.0,0.0,380667.3,17603.7,76793.9,216773.4,0.0,0.0,0.0,1.2,1.1,1.4,0.0,0.0,0.0,22.8,22.7,22.8,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292728.8,292728.6,292728.4,0.0,0.0,0.0,0.0,0.0,0.0,380667.3,380667.1,380666.9,17603.7,17603.7,17603.6,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,00.56.48.00,Data Log,Log Period,0.0,0.9,0.0,22.4,26,190811.9,56741.5,46435.9,292729.2,0,0,380667.7,17603.7,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.2,0.0,22.7,26.0,190811.9,56741.5,46435.9,292729.0,0.0,0.0,380667.5,17603.7,76793.9,216773.4,0.0,0.0,0.0,1.2,1.2,1.1,0.0,0.0,0.0,22.7,22.8,22.7,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292729.0,292728.8,292728.6,0.0,0.0,0.0,0.0,0.0,0.0,380667.5,380667.3,380667.1,17603.7,17603.7,17603.7,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,01.06.48.00,Data Log,Log Period,0.0,0.9,0.0,22.3,26,190811.9,56741.5,46435.9,292729.4,0,0,380667.9,17603.7,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,0.9,0.0,22.4,26.0,190811.9,56741.5,46435.9,292729.2,0.0,0.0,380667.7,17603.7,76793.9,216773.4,0.0,0.0,0.0,0.9,1.2,1.2,0.0,0.0,0.0,22.4,22.7,22.8,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292729.2,292729.0,292728.8,0.0,0.0,0.0,0.0,0.0,0.0,380667.7,380667.5,380667.3,17603.7,17603.7,17603.7,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,01.16.48.00,Data Log,Log Period,0.0,1.1,0.0,22.1,27,190811.9,56741.5,46435.9,292729.5,0,0,380668.1,17603.7,76793.9,216773.4,4.5,0.022167487684729,Inspecting,0.0,0.9,0.0,22.3,26.0,190811.9,56741.5,46435.9,292729.4,0.0,0.0,380667.9,17603.7,76793.9,216773.4,0.0,0.0,0.0,0.9,0.9,1.2,0.0,0.0,0.0,22.3,22.4,22.7,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292729.4,292729.2,292729.0,0.0,0.0,0.0,0.0,0.0,0.0,380667.9,380667.7,380667.5,17603.7,17603.7,17603.7,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,01.26.48.01,Data Log,Log Period,0.0,1.3,0.0,22.0,26,190811.9,56741.5,46435.9,292729.7,0,0,380668.2,17603.8,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.1,0.0,22.1,27.0,190811.9,56741.5,46435.9,292729.5,0.0,0.0,380668.1,17603.7,76793.9,216773.4,0.0,0.0,0.0,1.1,0.9,0.9,0.0,0.0,0.0,22.1,22.3,22.4,27.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292729.5,292729.4,292729.2,0.0,0.0,0.0,0.0,0.0,0.0,380668.1,380667.9,380667.7,17603.7,17603.7,17603.7,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
2023-04-01,01.36.48.00,Data Log,Log Period,0.0,1.6,0.0,22.0,26,190811.9,56741.5,46435.9,292729.9,0,0,380668.5,17603.8,76793.9,216773.4,4.333333333333333,0.0213464696223316,Inspecting,0.0,1.3,0.0,22.0,26.0,190811.9,56741.5,46435.9,292729.7,0.0,0.0,380668.2,17603.8,76793.9,216773.4,0.0,0.0,0.0,1.3,1.1,0.9,0.0,0.0,0.0,22.0,22.1,22.3,26.0,27.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292729.7,292729.5,292729.4,0.0,0.0,0.0,0.0,0.0,0.0,380668.2,380668.1,380667.9,17603.8,17603.7,17603.7,76793.9,76793.9,76793.9,216773.4,216773.4,216773.4
