Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-07-31,23.48.34.00,Data Log,Log Period,-0.3,0.8,0.0,32.7,24.0,187718.5,56363.2,45730.4,284409.6,0.0,0.0,370338.7,16761.6,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-07-31,23.58.38.00,Data Log,Log Period,-0.3,0.7,0.0,32.7,24.0,187718.5,56363.2,45730.4,284409.8,0.0,0.0,370338.8,16761.7,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.08.42.03,Data Log,Log Period,-0.3,0.7,0.0,32.5,24.0,187718.5,56363.3,45730.4,284410.0,0.0,0.0,370338.9,16761.7,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.18.46.00,Data Log,Log Period,-0.3,0.8,0.0,32.5,24.0,187718.5,56363.3,45730.4,284410.2,0.0,0.0,370339.1,16761.8,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.28.52.01,Data Log,Log Period,-0.3,1.0,0.0,32.5,24.0,187718.5,56363.4,45730.4,284410.4,0.0,0.0,370339.2,16761.9,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.38.52.00,Data Log,Log Period,-0.3,0.8,0.0,32.4,24.0,187718.5,56363.4,45730.4,284410.5,0.0,0.0,370339.3,16761.9,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.48.56.00,Data Log,Log Period,-0.3,0.9,0.0,32.5,24.0,187718.5,56363.5,45730.4,284410.8,0.0,0.0,370339.5,16762.0,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,00.59.00.00,Data Log,Log Period,-0.3,0.7,0.0,32.3,24.0,187718.5,56363.5,45730.4,284410.9,0.0,0.0,370339.6,16762.1,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.09.04.00,Data Log,Log Period,-0.3,0.7,0.0,32.3,24.0,187718.5,56363.6,45730.4,284411.1,0.0,0.0,370339.8,16762.2,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.19.08.00,Data Log,Log Period,-0.3,0.7,0.0,32.3,24.0,187718.5,56363.6,45730.4,284411.3,0.0,0.0,370339.9,16762.2,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.29.12.00,Data Log,Log Period,-0.3,0.8,0.0,32.2,24.0,187718.5,56363.7,45730.4,284411.5,0.0,0.0,370340.1,16762.3,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.39.16.00,Data Log,Log Period,-0.3,0.8,0.0,32.1,24.0,187718.5,56363.7,45730.4,284411.7,0.0,0.0,370340.2,16762.4,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.49.20.00,Data Log,Log Period,-0.3,1.0,0.0,31.9,24.0,187718.5,56363.8,45730.4,284411.9,0.0,0.0,370340.3,16762.4,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,01.59.24.00,Data Log,Log Period,-0.3,0.9,0.0,31.9,24.0,187718.5,56363.8,45730.4,284412.1,0.0,0.0,370340.5,16762.5,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,02.09.26.00,Data Log,Log Period,-0.3,0.7,0.0,31.9,24.0,187718.5,56363.9,45730.4,284412.3,0.0,0.0,370340.7,16762.6,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
2022-08-01,02.19.30.00,Data Log,Log Period,-0.3,0.7,0.0,31.9,24.0,187718.5,56363.9,45730.4,284412.5,0.0,0.0,370340.8,16762.7,76157.5,211881.1,4.0,0.0168539325842696,Inspecting
