Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-12-01,00.09.32.00,Data Log,Log Period,0,0.6,0.0,19.3,27,190811.9,56741.5,46435.9,289181.8,0,0,377120.3,17443.7,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,00.19.32.00,Data Log,Log Period,0,0.4,0.0,18.9,27,190811.9,56741.5,46435.9,289181.9,0,0,377120.4,17443.7,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,00.29.32.05,Data Log,Log Period,0,0.6,0.0,18.9,27,190811.9,56741.5,46435.9,289182.0,0,0,377120.5,17443.7,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,00.39.32.03,Data Log,Log Period,0,0.8,0.0,19.0,27,190811.9,56741.5,46435.9,289182.1,0,0,377120.6,17443.7,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,00.49.32.00,Data Log,Log Period,0,0.6,0.0,19.1,27,190811.9,56741.5,46435.9,289182.2,0,0,377120.7,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,00.59.32.00,Data Log,Log Period,0,0.9,0.0,19.2,27,190811.9,56741.5,46435.9,289182.3,0,0,377120.8,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,01.09.32.00,Data Log,Log Period,0,0.4,0.0,19.1,27,190811.9,56741.5,46435.9,289182.4,0,0,377120.9,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,01.19.32.00,Data Log,Log Period,0,0.8,0.0,18.9,27,190811.9,56741.5,46435.9,289182.4,0,0,377120.9,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,01.29.30.00,Data Log,Log Period,0,0.6,0.0,18.8,27,190811.9,56741.5,46435.9,289182.6,0,0,377121.1,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
2022-12-01,01.39.30.00,Data Log,Log Period,0,0.4,0.0,18.9,27,190811.9,56741.5,46435.9,289182.7,0,0,377121.2,17443.8,76705.5,216470.9,4.5,0.029001074113856,Inspecting
