Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-12-31,23.38.24.03,Data Log,Log Period,0,0.5,0.0,16.7,27,190811.9,56741.5,46435.9,289896.8,0,0,377835.3,17486.9,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2022-12-31,23.48.24.00,Data Log,Log Period,0,0.7,0.0,16.5,27,190811.9,56741.5,46435.9,289896.9,0,0,377835.4,17486.9,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2022-12-31,23.58.24.00,Data Log,Log Period,0,0.6,0.0,16.3,27,190811.9,56741.5,46435.9,289897.0,0,0,377835.5,17486.9,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.08.24.00,Data Log,Log Period,0,0.7,0.0,16.1,27,190811.9,56741.5,46435.9,289897.1,0,0,377835.6,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.18.24.00,Data Log,Log Period,0,0.7,0.0,16.0,27,190811.9,56741.5,46435.9,289897.2,0,0,377835.7,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.28.24.00,Data Log,Log Period,0,0.5,0.0,15.8,27,190811.9,56741.5,46435.9,289897.3,0,0,377835.8,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.38.24.00,Data Log,Log Period,0,0.5,0.0,15.6,27,190811.9,56741.5,46435.9,289897.4,0,0,377835.9,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.48.24.00,Data Log,Log Period,0,1.2,0.0,15.4,27,190811.9,56741.5,46435.9,289897.5,0,0,377836.1,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,00.58.24.00,Data Log,Log Period,0,0.7,0.0,15.3,27,190811.9,56741.5,46435.9,289897.7,0,0,377836.2,17487.0,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,01.08.24.00,Data Log,Log Period,0,0.5,0.0,15.1,27,190811.9,56741.5,46435.9,289897.8,0,0,377836.3,17487.1,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,01.18.24.00,Data Log,Log Period,0,0.5,0.0,15.0,27,190811.9,56741.5,46435.9,289897.9,0,0,377836.4,17487.1,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
2023-01-01,01.28.24.00,Data Log,Log Period,0,0.8,0.0,14.8,27,190811.9,56741.5,46435.9,289898.0,0,0,377836.5,17487.1,76723.7,216537.0,4.5,0.0260869565217391,Inspecting
