Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-05-31,23.31.02.01,Data Log,Log Period,-0.3,-0.1,0.0,34.3,26.0,185307.5,56098.9,44564.9,283451.6,0.0,0.0,368279.7,16382.5,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-05-31,23.41.06.00,Data Log,Log Period,-0.3,-0.1,0.0,33.9,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-05-31,23.51.08.00,Data Log,Log Period,-0.3,-0.1,0.0,34.6,26.0,185307.5,56099.0,44564.9,283451.7,0.0,0.0,368279.7,16382.6,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.01.12.00,Data Log,Log Period,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.1,44564.9,283451.7,0.0,0.0,368279.7,16382.7,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.11.16.00,Data Log,Log Period,-0.3,-0.1,0.0,33.8,26.0,185307.5,56099.1,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.21.20.00,Data Log,Log Period,-0.3,-0.1,0.0,34.0,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.8,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.31.24.00,Data Log,Log Period,-0.3,-0.1,0.0,34.4,26.0,185307.5,56099.2,44564.9,283451.8,0.0,0.0,368279.7,16382.9,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.41.28.00,Data Log,Log Period,-0.3,-0.1,0.0,34.3,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,00.51.32.00,Data Log,Log Period,-0.3,-0.1,0.0,33.7,26.0,185307.5,56099.3,44564.9,283451.9,0.0,0.0,368279.7,16383.0,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
2022-06-01,01.01.36.00,Data Log,Log Period,-0.3,-0.1,0.0,33.6,26.0,185307.5,56099.4,44564.9,283451.9,0.0,0.0,368279.7,16383.1,75726.3,208385.1,4.333333333333333,0.0212591986917416,Inspecting
