Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-05-01,00.03.20.00,Data Log,Log Period,-0.3,1.3,0.0,27.4,26.0,191578.5,56815.3,46657.5,293839.8,0.0,0.0,382249.6,17679.3,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,00.13.24.00,Data Log,Log Period,-0.3,1.4,0.0,27.2,25.0,191578.5,56815.3,46657.5,293840.0,0.0,0.0,382249.8,17679.3,76871.4,217852.7,4.166666666666666,0.0227686703096539,Inspecting,-0.3,1.3,0.0,27.4,26.0,191578.5,56815.3,46657.5,293839.8,0.0,0.0,382249.6,17679.3,76871.4,217852.7,-0.3,,,1.3,,,0.0,,,27.4,,,26.0,,,191578.5,,,56815.3,,,46657.5,,,293839.8,,,0.0,,,0.0,,,382249.6,,,17679.3,,,76871.4,,,217852.7,,
2023-05-01,00.23.28.00,Data Log,Log Period,-0.3,1.2,0.0,27.3,26.0,191578.5,56815.4,46657.5,293840.3,0.0,0.0,382250.0,17679.4,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.4,0.0,27.2,25.0,191578.5,56815.3,46657.5,293840.0,0.0,0.0,382249.8,17679.3,76871.4,217852.7,-0.3,-0.3,,1.4,1.3,,0.0,0.0,,27.2,27.4,,25.0,26.0,,191578.5,191578.5,,56815.3,56815.3,,46657.5,46657.5,,293840.0,293839.8,,0.0,0.0,,0.0,0.0,,382249.8,382249.6,,17679.3,17679.3,,76871.4,76871.4,,217852.7,217852.7,
2023-05-01,00.33.32.03,Data Log,Log Period,-0.3,1.2,0.0,27.5,26.0,191578.5,56815.4,46657.5,293840.5,0.0,0.0,382250.2,17679.4,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.2,0.0,27.3,26.0,191578.5,56815.4,46657.5,293840.3,0.0,0.0,382250.0,17679.4,76871.4,217852.7,-0.3,-0.3,-0.3,1.2,1.4,1.3,0.0,0.0,0.0,27.3,27.2,27.4,26.0,25.0,26.0,191578.5,191578.5,191578.5,56815.4,56815.3,56815.3,46657.5,46657.5,46657.5,293840.3,293840.0,293839.8,0.0,0.0,0.0,0.0,0.0,0.0,382250.0,382249.8,382249.6,17679.4,17679.3,17679.3,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,00.43.36.01,Data Log,Log Period,-0.3,1.4,0.0,27.2,26.0,191578.5,56815.5,46657.5,293840.8,0.0,0.0,382250.4,17679.4,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.2,0.0,27.5,26.0,191578.5,56815.4,46657.5,293840.5,0.0,0.0,382250.2,17679.4,76871.4,217852.7,-0.3,-0.3,-0.3,1.2,1.2,1.4,0.0,0.0,0.0,27.5,27.3,27.2,26.0,26.0,25.0,191578.5,191578.5,191578.5,56815.4,56815.4,56815.3,46657.5,46657.5,46657.5,293840.5,293840.3,293840.0,0.0,0.0,0.0,0.0,0.0,0.0,382250.2,382250.0,382249.8,17679.4,17679.4,17679.3,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,00.53.40.01,Data Log,Log Period,-0.3,1.4,0.0,27.3,25.0,191578.5,56815.5,46657.5,293841.1,0.0,0.0,382250.7,17679.5,76871.4,217852.7,4.166666666666666,0.0227686703096539,Inspecting,-0.3,1.4,0.0,27.2,26.0,191578.5,56815.5,46657.5,293840.8,0.0,0.0,382250.4,17679.4,76871.4,217852.7,-0.3,-0.3,-0.3,1.4,1.2,1.2,0.0,0.0,0.0,27.2,27.5,27.3,26.0,26.0,26.0,191578.5,191578.5,191578.5,56815.5,56815.4,56815.4,46657.5,46657.5,46657.5,293840.8,293840.5,293840.3,0.0,0.0,0.0,0.0,0.0,0.0,382250.4,382250.2,382250.0,17679.4,17679.4,17679.4,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,01.03.44.00,Data Log,Log Period,-0.3,1.5,0.0,27.4,26.0,191578.5,56815.6,46657.5,293841.4,0.0,0.0,382250.9,17679.5,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.4,0.0,27.3,25.0,191578.5,56815.5,46657.5,293841.1,0.0,0.0,382250.7,17679.5,76871.4,217852.7,-0.3,-0.3,-0.3,1.4,1.4,1.2,0.0,0.0,0.0,27.3,27.2,27.5,25.0,26.0,26.0,191578.5,191578.5,191578.5,56815.5,56815.5,56815.4,46657.5,46657.5,46657.5,293841.1,293840.8,293840.5,0.0,0.0,0.0,0.0,0.0,0.0,382250.7,382250.4,382250.2,17679.5,17679.4,17679.4,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,01.13.48.00,Data Log,Log Period,-0.3,1.4,0.0,27.3,26.0,191578.5,56815.6,46657.5,293841.7,0.0,0.0,382251.1,17679.6,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.5,0.0,27.4,26.0,191578.5,56815.6,46657.5,293841.4,0.0,0.0,382250.9,17679.5,76871.4,217852.7,-0.3,-0.3,-0.3,1.5,1.4,1.4,0.0,0.0,0.0,27.4,27.3,27.2,26.0,25.0,26.0,191578.5,191578.5,191578.5,56815.6,56815.5,56815.5,46657.5,46657.5,46657.5,293841.4,293841.1,293840.8,0.0,0.0,0.0,0.0,0.0,0.0,382250.9,382250.7,382250.4,17679.5,17679.5,17679.4,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,01.23.52.00,Data Log,Log Period,-0.3,1.6,0.0,27.3,26.0,191578.5,56815.7,46657.5,293842.0,0.0,0.0,382251.4,17679.6,76871.4,217852.7,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.4,0.0,27.3,26.0,191578.5,56815.6,46657.5,293841.7,0.0,0.0,382251.1,17679.6,76871.4,217852.7,-0.3,-0.3,-0.3,1.4,1.5,1.4,0.0,0.0,0.0,27.3,27.4,27.3,26.0,26.0,25.0,191578.5,191578.5,191578.5,56815.6,56815.6,56815.5,46657.5,46657.5,46657.5,293841.7,293841.4,293841.1,0.0,0.0,0.0,0.0,0.0,0.0,382251.1,382250.9,382250.7,17679.6,17679.5,17679.5,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
2023-05-01,01.33.54.00,Data Log,Log Period,-0.3,1.3,0.0,27.3,25.0,191578.5,56815.7,46657.5,293842.3,0.0,0.0,382251.6,17679.6,76871.4,217852.7,4.166666666666666,0.0227686703096539,Inspecting,-0.3,1.6,0.0,27.3,26.0,191578.5,56815.7,46657.5,293842.0,0.0,0.0,382251.4,17679.6,76871.4,217852.7,-0.3,-0.3,-0.3,1.6,1.4,1.5,0.0,0.0,0.0,27.3,27.3,27.4,26.0,26.0,26.0,191578.5,191578.5,191578.5,56815.7,56815.6,56815.6,46657.5,46657.5,46657.5,293842.0,293841.7,293841.4,0.0,0.0,0.0,0.0,0.0,0.0,382251.4,382251.1,382250.9,17679.6,17679.6,17679.5,76871.4,76871.4,76871.4,217852.7,217852.7,217852.7
