Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-31,23.37.42.00,Data Log,Log Period,-0.3,1.3,0.0,33.4,24.0,188984.5,56508.8,46059.0,285356.7,0.0,0.0,372077.5,16961.3,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,23.47.46.00,Data Log,Log Period,-0.3,1.3,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.0,0.0,0.0,372077.7,16961.4,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.3,0.0,33.4,24.0,188984.5,56508.8,46059.0,285356.7,0.0,0.0,372077.5,16961.3,76317.3,213675.7,-0.3,,,1.3,,,0.0,,,33.4,,,24.0,,,188984.5,,,56508.8,,,46059.0,,,285356.7,,,0.0,,,0.0,,,372077.5,,,16961.3,,,76317.3,,,213675.7,,
2022-08-31,23.57.48.00,Data Log,Log Period,-0.3,2.6,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.3,0.0,0.0,372078.0,16961.5,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.3,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.0,0.0,0.0,372077.7,16961.4,76317.3,213675.7,-0.3,-0.3,,1.3,1.3,,0.0,0.0,,33.6,33.4,,24.0,24.0,,188984.5,188984.5,,56508.9,56508.8,,46059.0,46059.0,,285357.0,285356.7,,0.0,0.0,,0.0,0.0,,372077.7,372077.5,,16961.4,16961.3,,76317.3,76317.3,,213675.7,213675.7,
2022-09-01,00.07.52.00,Data Log,Log Period,-0.3,1.2,0.0,33.7,24.0,188984.5,56509.0,46059.0,285357.6,0.0,0.0,372078.2,16961.5,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,2.6,0.0,33.6,24.0,188984.5,56508.9,46059.0,285357.3,0.0,0.0,372078.0,16961.5,76317.3,213675.7,-0.3,-0.3,-0.3,2.6,1.3,1.3,0.0,0.0,0.0,33.6,33.6,33.4,24.0,24.0,24.0,188984.5,188984.5,188984.5,56508.9,56508.9,56508.8,46059.0,46059.0,46059.0,285357.3,285357.0,285356.7,0.0,0.0,0.0,0.0,0.0,0.0,372078.0,372077.7,372077.5,16961.5,16961.4,16961.3,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,00.17.56.00,Data Log,Log Period,-0.5,1.2,0.0,33.8,24.0,188984.5,56509.0,46059.0,285357.8,0.0,0.0,372078.4,16961.6,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.2,0.0,33.7,24.0,188984.5,56509.0,46059.0,285357.6,0.0,0.0,372078.2,16961.5,76317.3,213675.7,-0.3,-0.3,-0.3,1.2,2.6,1.3,0.0,0.0,0.0,33.7,33.6,33.6,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.0,56508.9,56508.9,46059.0,46059.0,46059.0,285357.6,285357.3,285357.0,0.0,0.0,0.0,0.0,0.0,0.0,372078.2,372078.0,372077.7,16961.5,16961.5,16961.4,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,00.28.00.04,Data Log,Log Period,-0.3,1.3,0.0,33.6,24.0,188984.5,56509.1,46059.0,285358.1,0.0,0.0,372078.6,16961.7,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.5,1.2,0.0,33.8,24.0,188984.5,56509.0,46059.0,285357.8,0.0,0.0,372078.4,16961.6,76317.3,213675.7,-0.5,-0.3,-0.3,1.2,1.2,2.6,0.0,0.0,0.0,33.8,33.7,33.6,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.0,56509.0,56508.9,46059.0,46059.0,46059.0,285357.8,285357.6,285357.3,0.0,0.0,0.0,0.0,0.0,0.0,372078.4,372078.2,372078.0,16961.6,16961.5,16961.5,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,00.38.04.00,Data Log,Log Period,-0.3,1.3,0.0,33.5,24.0,188984.5,56509.1,46059.0,285358.3,0.0,0.0,372078.8,16961.7,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.3,0.0,33.6,24.0,188984.5,56509.1,46059.0,285358.1,0.0,0.0,372078.6,16961.7,76317.3,213675.7,-0.3,-0.5,-0.3,1.3,1.2,1.2,0.0,0.0,0.0,33.6,33.8,33.7,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.1,56509.0,56509.0,46059.0,46059.0,46059.0,285358.1,285357.8,285357.6,0.0,0.0,0.0,0.0,0.0,0.0,372078.6,372078.4,372078.2,16961.7,16961.6,16961.5,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,00.48.08.00,Data Log,Log Period,-0.3,1.3,0.0,33.4,24.0,188984.5,56509.2,46059.0,285358.6,0.0,0.0,372079.0,16961.8,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.3,0.0,33.5,24.0,188984.5,56509.1,46059.0,285358.3,0.0,0.0,372078.8,16961.7,76317.3,213675.7,-0.3,-0.3,-0.5,1.3,1.3,1.2,0.0,0.0,0.0,33.5,33.6,33.8,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.1,56509.1,56509.0,46059.0,46059.0,46059.0,285358.3,285358.1,285357.8,0.0,0.0,0.0,0.0,0.0,0.0,372078.8,372078.6,372078.4,16961.7,16961.7,16961.6,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,00.58.12.00,Data Log,Log Period,-0.3,1.6,0.0,33.2,24.0,188984.5,56509.2,46059.0,285358.9,0.0,0.0,372079.3,16961.9,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.3,0.0,33.4,24.0,188984.5,56509.2,46059.0,285358.6,0.0,0.0,372079.0,16961.8,76317.3,213675.7,-0.3,-0.3,-0.3,1.3,1.3,1.3,0.0,0.0,0.0,33.4,33.5,33.6,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.2,56509.1,56509.1,46059.0,46059.0,46059.0,285358.6,285358.3,285358.1,0.0,0.0,0.0,0.0,0.0,0.0,372079.0,372078.8,372078.6,16961.8,16961.7,16961.7,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,01.08.16.00,Data Log,Log Period,-0.3,1.3,0.0,33.2,24.0,188984.5,56509.3,46059.0,285359.1,0.0,0.0,372079.5,16962.0,76317.3,213675.7,4.0,0.0182509505703422,Inspecting,-0.3,1.6,0.0,33.2,24.0,188984.5,56509.2,46059.0,285358.9,0.0,0.0,372079.3,16961.9,76317.3,213675.7,-0.3,-0.3,-0.3,1.6,1.3,1.3,0.0,0.0,0.0,33.2,33.4,33.5,24.0,24.0,24.0,188984.5,188984.5,188984.5,56509.2,56509.2,56509.1,46059.0,46059.0,46059.0,285358.9,285358.6,285358.3,0.0,0.0,0.0,0.0,0.0,0.0,372079.3,372079.0,372078.8,16961.9,16961.8,16961.7,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
