Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-01,06.40.11.18,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.6,0.0,31.5,37.0,187718.5,56365.3,45730.4,284417.6,0.0,0.0,370344.6,16764.6,76157.5,211881.1,6.166666666666666,0.0259831460674157,Inspecting,-0.3,0.6,0.0,31.5,31.0,187718.5,56365.2,45730.4,284417.5,0.0,0.0,370344.5,16764.5,76157.5,211881.1,-0.3,-0.3,-0.3,0.6,0.5,0.3,0.0,0.0,0.0,31.5,31.5,31.6,31.0,26.0,25.0,187718.5,187718.5,187718.5,56365.2,56365.2,56365.1,45730.4,45730.4,45730.4,284417.5,284417.3,284417.2,0.0,0.0,0.0,0.0,0.0,0.0,370344.5,370344.4,370344.4,16764.5,16764.5,16764.4,76157.5,76157.5,76157.5,211881.1,211881.1,211881.1
2022-08-01,19.37.06.29,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.0,0.0,35.3,24.0,187765.4,56366.4,45740.4,284437.6,0.0,0.0,370400.3,16765.3,76162.3,211945.1,4.0,0.0168539325842696,Inspecting,-0.5,0.9,0.0,35.4,24.0,187765.4,56366.4,45740.4,284437.6,0.0,0.0,370400.3,16765.2,76162.3,211945.1,-0.5,-0.3,-0.3,0.9,0.9,1.0,0.0,0.0,0.0,35.4,35.4,35.5,24.0,29.0,34.0,187765.4,187765.4,187765.4,56366.4,56366.3,56366.3,45740.4,45740.4,45740.4,284437.6,284437.4,284437.2,0.0,0.0,0.0,0.0,0.0,0.0,370400.3,370400.1,370400.0,16765.2,16765.2,16765.1,76162.3,76162.3,76162.3,211945.1,211945.1,211945.1
2022-08-02,06.31.23.48,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.1,0.0,30.6,35.0,187765.5,56369.7,45740.4,284449.8,0.0,0.0,370409.3,16770.1,76162.3,211945.1,5.833333333333333,0.0245786516853932,Inspecting,-0.3,0.1,0.0,30.6,34.0,187765.5,56369.7,45740.4,284449.8,0.0,0.0,370409.3,16770.1,76162.3,211945.1,-0.3,-0.3,-0.3,0.1,0.1,0.3,0.0,0.0,0.0,30.6,30.5,30.4,34.0,27.0,25.0,187765.5,187765.5,187765.5,56369.7,56369.7,56369.6,45740.4,45740.4,45740.4,284449.8,284449.8,284449.7,0.0,0.0,0.0,0.0,0.0,0.0,370409.3,370409.3,370409.2,16770.1,16770.0,16770.0,76162.3,76162.3,76162.3,211945.1,211945.1,211945.1
2022-08-02,19.29.05.16,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.0,0.0,34.0,24.0,187815.4,56370.7,45752.6,284463.7,0.0,0.0,370460.0,16770.6,76166.8,212011.8,4.0,0.0168539325842696,Inspecting,-0.3,1.0,0.0,34.1,25.0,187815.4,56370.7,45752.6,284463.6,0.0,0.0,370459.9,16770.6,76166.8,212011.8,-0.3,-0.3,-0.3,1.0,0.7,0.6,0.0,0.0,0.0,34.1,34.4,34.5,25.0,29.0,34.0,187815.4,187815.4,187815.4,56370.7,56370.6,56370.6,45752.6,45752.6,45752.6,284463.6,284463.4,284463.3,0.0,0.0,0.0,0.0,0.0,0.0,370459.9,370459.8,370459.7,16770.6,16770.5,16770.4,76166.8,76166.8,76166.8,212011.8,212011.8,212011.8
2022-08-03,06.53.05.44,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.2,0.0,31.4,36.0,187815.5,56374.2,45752.6,284477.7,0.0,0.0,370470.6,16775.7,76166.9,212011.8,6.0,0.0252808988764044,Inspecting,-0.3,0.3,0.0,31.4,32.0,187815.5,56374.2,45752.6,284477.7,0.0,0.0,370470.6,16775.7,76166.9,212011.8,-0.3,-0.3,-0.3,0.3,0.3,0.4,0.0,0.0,0.0,31.4,31.4,31.2,32.0,29.0,27.0,187815.5,187815.5,187815.5,56374.2,56374.1,56374.1,45752.6,45752.6,45752.6,284477.7,284477.5,284477.4,0.0,0.0,0.0,0.0,0.0,0.0,370470.6,370470.5,370470.4,16775.7,16775.6,16775.6,76166.9,76166.9,76166.9,212011.8,212011.8,212011.8
2022-08-03,19.23.57.14,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.4,1.0,0.0,31.8,24.0,187849.1,56375.8,45754.5,284506.2,0.0,0.0,370529.1,16776.9,76172.1,212061.7,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,32.2,25.0,187849.1,56375.7,45754.5,284505.9,0.0,0.0,370528.9,16776.8,76172.1,212061.7,-0.3,-0.3,-0.4,0.9,0.8,1.1,0.0,0.0,0.0,32.2,32.6,32.6,25.0,26.0,27.0,187849.1,187849.1,187849.1,56375.7,56375.7,56375.6,45754.5,45754.5,45754.5,284505.9,284505.6,284505.4,0.0,0.0,0.0,0.0,0.0,0.0,370528.9,370528.6,370528.5,16776.8,16776.8,16776.7,76172.1,76172.1,76172.1,212061.7,212061.7,212061.7
2022-08-04,06.33.50.93,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.4,0.0,30.5,36.0,187849.2,56379.2,45754.5,284522.0,0.0,0.0,370541.6,16782.0,76172.1,212061.7,6.0,0.0252808988764044,Inspecting,-0.3,0.7,0.0,30.5,32.0,187849.2,56379.2,45754.5,284521.9,0.0,0.0,370541.5,16782.0,76172.1,212061.7,-0.3,-0.3,-0.3,0.7,0.6,0.9,0.0,0.0,0.0,30.5,30.5,30.5,32.0,26.0,24.0,187849.2,187849.2,187849.2,56379.2,56379.1,56379.1,45754.5,45754.5,45754.5,284521.9,284521.8,284521.6,0.0,0.0,0.0,0.0,0.0,0.0,370541.5,370541.4,370541.3,16782.0,16781.9,16781.9,76172.1,76172.1,76172.1,212061.7,212061.7,212061.7
2022-08-04,19.35.41.07,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,32.0,24.0,187879.9,56380.9,45758.1,284539.1,0.0,0.0,370584.2,16782.7,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,32.1,24.0,187879.9,56380.9,45758.1,284539.1,0.0,0.0,370584.1,16782.7,76177.4,212109.3,-0.3,-0.3,-0.3,0.9,0.8,0.8,0.0,0.0,0.0,32.1,31.9,32.0,24.0,28.0,33.0,187879.9,187879.9,187879.9,56380.9,56380.8,56380.8,45758.1,45758.1,45758.1,284539.1,284538.8,284538.7,0.0,0.0,0.0,0.0,0.0,0.0,370584.1,370584.0,370583.8,16782.7,16782.7,16782.6,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-05,01.12.19.20,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.5,0.0,0.0,370589.9,16785.2,76177.4,212109.3,-0.3,-0.3,-0.3,0.9,0.7,0.9,0.0,0.0,0.0,31.5,31.6,31.4,24.0,24.0,24.0,187879.9,187879.9,187879.9,56382.6,56382.5,56382.5,45758.1,45758.1,45758.1,284546.5,284546.3,284546.1,0.0,0.0,0.0,0.0,0.0,0.0,370589.9,370589.8,370589.6,16785.2,16785.2,16785.1,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-05,01.13.11.10,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.8,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,-0.3,-0.3,-0.3,0.8,0.9,0.7,0.0,0.0,0.0,31.5,31.5,31.6,24.0,24.0,24.0,187879.9,187879.9,187879.9,56382.6,56382.6,56382.5,45758.1,45758.1,45758.1,284546.6,284546.5,284546.3,0.0,0.0,0.0,0.0,0.0,0.0,370590.0,370589.9,370589.8,16785.3,16785.2,16785.2,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-05,06.52.44.09,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.6,0.0,30.4,35.0,187880.0,56384.3,45758.1,284553.5,0.0,0.0,370595.2,16787.9,76177.5,212109.3,5.833333333333333,0.0245786516853932,Inspecting,-0.3,0.5,0.0,30.4,34.0,187880.0,56384.3,45758.1,284553.4,0.0,0.0,370595.2,16787.9,76177.5,212109.3,-0.3,0.0,-0.4,0.5,1.3,0.4,0.0,0.0,0.0,30.4,30.6,30.6,34.0,29.0,26.0,187880.0,187880.0,187880.0,56384.3,56384.3,56384.2,45758.1,45758.1,45758.1,284553.4,284553.2,284553.1,0.0,0.0,0.0,0.0,0.0,0.0,370595.2,370595.1,370594.9,16787.9,16787.8,16787.7,76177.5,76177.5,76177.5,212109.3,212109.3,212109.3
2022-08-05,19.38.17.61,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.6,0.0,34.2,24.0,187924.1,56385.7,45761.5,284573.0,0.0,0.0,370654.1,16789.8,76183.3,212169.8,4.0,0.0168539325842696,Inspecting,-0.4,0.6,0.0,34.9,26.0,187924.1,56385.6,45761.5,284572.9,0.0,0.0,370654.0,16789.8,76183.3,212169.8,-0.4,-0.3,-0.3,0.6,0.5,0.7,0.0,0.0,0.0,34.9,35.1,35.5,26.0,32.0,32.0,187924.1,187924.1,187924.1,56385.6,56385.6,56385.5,45761.5,45761.5,45761.5,284572.9,284572.8,284572.6,0.0,0.0,0.0,0.0,0.0,0.0,370654.0,370653.9,370653.8,16789.8,16789.7,16789.6,76183.3,76183.3,76183.3,212169.8,212169.8,212169.8
