Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-02-11,12.54.50.27,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,2.2,0.2,31.0,846,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,141.0,0.8392857142857143,Running,0.0,2.8,0.2,30.2,838.0,190811.9,56741.5,46435.9,291042.3,0.0,0.0,378980.8,17542.9,76750.5,216623.6,0.0,0.0,0.0,2.8,3.1,3.4,0.2,0.2,0.2,30.2,30.4,31.6,838.0,834.0,808.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291042.3,291041.8,291041.2,0.0,0.0,0.0,0.0,0.0,0.0,378980.8,378980.3,378979.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.6,216623.6,216623.6
2023-02-11,12.57.08.27,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,30.5,854,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,142.33333333333331,0.8472222222222221,Running,0.0,2.2,0.2,31.0,846.0,190811.9,56741.5,46435.9,291042.4,0.0,0.0,378980.9,17542.9,76750.5,216623.7,0.0,0.0,0.0,2.2,2.8,3.1,0.2,0.2,0.2,31.0,30.2,30.4,846.0,838.0,834.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291042.4,291042.3,291041.8,0.0,0.0,0.0,0.0,0.0,0.0,378980.9,378980.8,378980.3,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.7,216623.6,216623.6
2023-02-11,12.57.39.77,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,30.6,861,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,143.5,0.8541666666666666,Running,0.0,0.0,0.1,30.5,854.0,190811.9,56741.5,46435.9,291042.4,0.0,0.0,378980.9,17542.9,76750.5,216623.7,0.0,0.0,0.0,0.0,2.2,2.8,0.1,0.2,0.2,30.5,31.0,30.2,854.0,846.0,838.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291042.4,291042.4,291042.3,0.0,0.0,0.0,0.0,0.0,0.0,378980.9,378980.9,378980.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.7,216623.7,216623.6
2023-02-11,13.41.41.19,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.1,31.7,881,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,146.83333333333331,0.8740079365079364,Running,0.0,3.1,0.1,31.4,882.0,190811.9,56741.5,46435.9,291044.3,0.0,0.0,378982.8,17542.9,76750.5,216623.7,0.0,0.0,0.0,3.1,3.0,4.6,0.1,0.1,0.1,31.4,30.9,31.2,882.0,871.0,875.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291044.3,291043.8,291043.3,0.0,0.0,0.0,0.0,0.0,0.0,378982.8,378982.3,378981.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.7,216623.7,216623.7
2023-02-11,13.45.17.18,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,31.7,895,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,149.16666666666666,0.8878968253968254,Running,0.0,0.0,0.1,31.6,882.0,190811.9,56741.5,46435.9,291044.7,0.0,0.0,378983.2,17542.9,76750.5,216623.8,0.0,0.0,0.0,0.0,0.0,3.1,0.1,0.1,0.1,31.6,31.7,31.4,882.0,881.0,882.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291044.7,291044.7,291044.3,0.0,0.0,0.0,0.0,0.0,0.0,378983.2,378983.2,378982.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.8,216623.8,216623.7
2023-02-11,13.45.48.68,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,31.3,888,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,148.0,0.8809523809523809,Running,0.0,0.0,0.1,31.7,895.0,190811.9,56741.5,46435.9,291044.7,0.0,0.0,378983.2,17542.9,76750.5,216623.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,31.7,31.6,31.7,895.0,882.0,881.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291044.7,291044.7,291044.7,0.0,0.0,0.0,0.0,0.0,0.0,378983.2,378983.2,378983.2,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.8,216623.8,216623.8
2023-02-20,09.37.06.83,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.8,0.4,26.1,276,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,46.0,0.2738095238095238,Inspecting,0.0,0.6,0.4,25.7,252.0,190811.9,56741.5,46435.9,291262.1,0.0,0.0,379200.6,17554.5,76757.7,216645.7,0.0,0.0,0.0,0.6,0.3,0.2,0.4,0.5,0.6,25.7,24.9,24.3,252.0,213.0,174.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.1,291262.1,291262.0,0.0,0.0,0.0,0.0,0.0,0.0,379200.6,379200.6,379200.5,17554.5,17554.5,17554.5,76757.7,76757.7,76757.6,216645.7,216645.7,216645.6
2023-02-20,09.39.25.83,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.3,26.2,289,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,48.16666666666666,0.2867063492063492,Inspecting,0.0,0.8,0.4,26.1,276.0,190811.9,56741.5,46435.9,291262.2,0.0,0.0,379200.8,17554.5,76757.8,216645.8,0.0,0.0,0.0,0.8,0.6,0.3,0.4,0.4,0.5,26.1,25.7,24.9,276.0,252.0,213.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.2,291262.1,291262.1,0.0,0.0,0.0,0.0,0.0,0.0,379200.8,379200.6,379200.6,17554.5,17554.5,17554.5,76757.8,76757.7,76757.7,216645.8,216645.7,216645.7
2023-02-20,09.39.57.33,Status : Source A Warming Up,SrcA Startup,0,0.0,0.3,26.2,290,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,48.33333333333333,0.2876984126984127,Inspecting,0.0,0.0,0.3,26.2,289.0,190811.9,56741.5,46435.9,291262.2,0.0,0.0,379200.8,17554.5,76757.8,216645.8,0.0,0.0,0.0,0.0,0.8,0.6,0.3,0.4,0.4,26.2,26.1,25.7,289.0,276.0,252.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.2,291262.2,291262.1,0.0,0.0,0.0,0.0,0.0,0.0,379200.8,379200.8,379200.6,17554.5,17554.5,17554.5,76757.8,76757.8,76757.7,216645.8,216645.8,216645.7
2023-02-20,09.49.32.81,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.4,27.5,335,190811.9,56741.5,46435.9,291262.5,0,0,379201.0,17554.5,76757.8,216645.9,55.83333333333333,0.3323412698412698,Monitoring,0.0,1.2,0.4,26.3,291.0,190811.9,56741.5,46435.9,291262.3,0.0,0.0,379200.8,17554.5,76757.8,216645.8,0.0,0.0,0.0,1.2,0.0,0.0,0.4,0.3,0.3,26.3,26.2,26.2,291.0,290.0,289.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.3,291262.2,291262.2,0.0,0.0,0.0,0.0,0.0,0.0,379200.8,379200.8,379200.8,17554.5,17554.5,17554.5,76757.8,76757.8,76757.8,216645.8,216645.8,216645.8
