Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-07-01,06.03.32.90,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.6,37.0,186523.9,56231.6,45373.5,283514.4,0.0,0.0,368723.2,16558.5,75956.0,210075.6,6.166666666666666,0.0263720598717034,Inspecting
2022-07-01,12.59.39.86,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,10.6,4.9,11.4,41.1,1012.0,186546.5,56232.4,45385.7,283514.6,0.0,0.0,368732.7,16558.7,75961.2,210107.3,168.66666666666666,0.7213114754098361,Running
2022-07-01,13.00.30.16,Status : Source A Warming Up,SrcA Startup,0.0,0.0,1.0,41.5,997.0,186546.5,56232.4,45385.7,283514.6,0.0,0.0,368732.7,16558.7,75961.2,210107.3,166.16666666666666,0.7106200997861725,Running
2022-07-01,19.48.42.12,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,33.5,24.0,186567.6,56232.8,45397.0,283514.8,0.0,0.0,368742.5,16559.0,75961.7,210134.1,4.0,0.0171062009978617,Inspecting
2022-07-02,06.06.07.47,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,30.9,35.0,186567.6,56235.9,45397.0,283515.9,0.0,0.0,368744.3,16564.2,75961.7,210134.1,5.833333333333333,0.0249465431218816,Inspecting
2022-07-02,19.49.47.97,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,37.2,25.0,186617.9,56237.1,45423.7,283516.3,0.0,0.0,368766.9,16564.7,75967.2,210198.2,4.166666666666666,0.0178189593727726,Inspecting
2022-07-03,06.05.12.77,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.5,36.0,186617.9,56240.2,45423.7,283517.4,0.0,0.0,368768.7,16569.8,75967.2,210198.2,6.0,0.0256593014967925,Inspecting
2022-07-03,19.48.28.23,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,32.2,24.0,186672.7,56241.2,45452.8,283517.8,0.0,0.0,368793.5,16570.2,75972.5,210268.3,4.0,0.0171062009978617,Inspecting
2022-07-04,07.05.21.41,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.4,35.0,186672.7,56244.6,45452.8,283519.0,0.0,0.0,368795.3,16575.6,75972.5,210268.3,5.833333333333333,0.0249465431218816,Inspecting
2022-07-04,19.46.30.35,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,36.3,24.0,186717.5,56245.4,45477.5,283519.5,0.0,0.0,368814.7,16576.0,75978.0,210328.9,4.0,0.0171062009978617,Inspecting
2022-07-05,06.11.00.40,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,32.6,35.0,186717.5,56248.5,45477.5,283520.9,0.0,0.0,368815.6,16580.5,75978.0,210328.9,5.833333333333333,0.0249465431218816,Inspecting
2022-07-05,19.47.58.75,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,37.5,24.0,186767.2,56249.6,45505.7,283521.8,0.0,0.0,368837.9,16580.9,75982.9,210395.3,4.0,0.0171062009978617,Inspecting
2022-07-06,06.11.41.06,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.0,0.0,33.8,36.0,186767.2,56252.7,45505.7,283524.2,0.0,0.0,368837.9,16585.0,75982.9,210395.3,6.0,0.0256593014967925,Inspecting
2022-07-06,13.21.52.25,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,14.0,6.9,19.6,34.8,914.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,152.33333333333331,0.6514611546685674,Monitoring
2022-07-06,13.22.03.34,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,35.3,913.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,152.16666666666666,0.6507483962936564,Monitoring
2022-07-06,13.22.53.85,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.0,35.4,900.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,150.0,0.6414825374198148,Monitoring
2022-07-06,13.23.21.75,Status : Parallel Mode,Operation Auto Inverter Only,15.5,-0.7,15.9,35.3,907.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.16666666666666,0.6464718460441911,Monitoring
2022-07-06,13.23.32.94,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.1,35.9,911.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.83333333333331,0.6493228795438346,Monitoring
2022-07-06,13.24.22.55,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.0,35.7,908.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.33333333333331,0.6471846044191019,Monitoring
2022-07-06,13.24.52.55,Status : Parallel Mode,Operation Auto Inverter Only,16.0,0.1,16.3,35.7,912.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,152.0,0.6500356379187456,Monitoring
2022-07-06,13.25.03.78,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.3,916.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,152.66666666666666,0.6528866714183892,Monitoring
2022-07-06,13.25.51.85,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.1,36.3,922.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,153.66666666666666,0.6571632216678546,Monitoring
2022-07-06,13.26.21.05,Status : Parallel Mode,Operation Auto Inverter Only,12.7,0.2,16.5,36.3,923.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,153.83333333333331,0.6578759800427655,Monitoring
2022-07-06,13.26.32.04,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.8,924.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,154.0,0.6585887384176765,Monitoring
2022-07-06,13.26.54.94,Fault : High DC Volts,,0.0,0.0,0.3,37.0,919.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,153.16666666666666,0.6550249465431219,Monitoring
2022-07-07,08.13.15.34,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,0.0,0.7,36.2,190.0,186787.7,56253.3,45518.0,283525.1,0.0,0.0,368845.6,16587.2,75990.4,210431.8,31.666666666666664,0.135424091233072,Inspecting
2022-07-07,08.22.08.33,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.5,36.3,217.0,186787.7,56253.3,45518.0,283525.1,0.0,0.0,368845.6,16587.2,75990.4,210431.9,36.16666666666666,0.1546685673556664,Inspecting
2022-07-07,08.22.39.83,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.4,36.5,223.0,186787.7,56253.3,45518.0,283525.1,0.0,0.0,368845.6,16587.2,75990.4,210431.9,37.16666666666666,0.1589451176051318,Inspecting
2022-07-07,14.02.14.31,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,0.0,0.6,42.3,626.0,186787.7,56253.3,45518.0,283525.3,0.0,0.0,368845.8,16587.2,75992.5,210434.7,104.33333333333331,0.4461867426942266,Monitoring
2022-07-07,14.02.29.10,Status : Inverter Started,Operation Auto Source A Only,-0.2,-0.2,1.3,42.1,977.0,186787.7,56253.3,45518.0,283525.3,0.0,0.0,368845.8,16587.2,75992.5,210434.7,162.83333333333331,0.6963649322879544,Monitoring
2022-07-07,14.39.50.52,Status : Parallel Mode,Operation Auto Source A Only,0.0,8.1,2.1,41.6,234.0,186791.1,56253.4,45518.3,283527.0,0.0,0.0,368850.6,16587.3,75992.7,210439.5,39.0,0.1667854597291518,Inspecting
2022-07-07,14.40.41.62,Status : Source A Warming Up,SrcA Startup,8.1,8.1,10.6,41.6,638.0,186791.2,56253.4,45518.3,283527.0,0.0,0.0,368850.7,16587.3,75992.7,210439.6,106.33333333333331,0.4547398431931575,Monitoring
2022-07-07,14.49.25.96,Status : Parallel Mode,Operation Auto Inverter Only,3.8,8.9,2.2,42.1,212.0,186791.9,56253.4,45518.3,283527.5,0.0,0.0,368851.8,16587.3,75992.8,210440.7,35.33333333333333,0.1511047754811119,Inspecting
2022-07-07,14.50.15.66,Status : Source A Warming Up,SrcA Startup,7.8,7.8,17.0,41.7,912.0,186792.0,56253.4,45518.3,283527.5,0.0,0.0,368851.9,16587.4,75992.8,210440.8,152.0,0.6500356379187456,Monitoring
2022-07-07,14.53.46.26,Status : Parallel Mode,Operation Auto Inverter Only,0.0,8.6,2.3,42.0,228.0,186792.3,56253.4,45518.3,283527.7,0.0,0.0,368852.4,16587.4,75992.9,210441.3,38.0,0.1625089094796864,Inspecting
2022-07-07,14.54.41.85,Status : Source A Warming Up,SrcA Startup,7.5,7.5,11.0,42.0,741.0,186792.4,56253.4,45518.3,283527.7,0.0,0.0,368852.5,16587.4,75992.9,210441.4,123.5,0.5281539558089808,Monitoring
2022-07-07,15.02.29.58,Status : Parallel Mode,Operation Auto Inverter Only,-0.5,7.1,2.0,42.1,240.0,186793.2,56253.4,45518.4,283527.9,0.0,0.0,368853.4,16587.5,75993.0,210442.5,40.0,0.1710620099786172,Inspecting
2022-07-07,15.03.19.38,Status : Source A Warming Up,SrcA Startup,7.1,7.2,4.1,41.7,235.0,186793.3,56253.4,45518.4,283527.9,0.0,0.0,368853.5,16587.6,75993.0,210442.5,39.16666666666666,0.1674982181040627,Inspecting
2022-07-07,15.07.49.77,Status : Parallel Mode,Operation Auto Inverter Only,3.6,7.0,2.8,40.7,165.0,186793.6,56253.4,45518.4,283528.1,0.0,0.0,368854.0,16587.8,75993.0,210442.8,27.5,0.1176051318602993,Inspecting
2022-07-07,15.38.16.19,Status : Low Battery Bulk Enable,SP65 Util Bulk Chg Enable Volt,0.5,6.2,3.1,42.2,244.0,186795.5,56253.4,45518.5,283529.7,0.0,0.0,368857.4,16588.3,75993.9,210446.3,40.66666666666666,0.1739130434782608,Inspecting
2022-07-07,15.39.11.68,Status : Source A Warming Up,SrcA Startup,5.5,5.5,4.3,41.9,240.0,186795.6,56253.4,45518.5,283529.7,0.0,0.0,368857.5,16588.3,75993.9,210446.4,40.0,0.1710620099786172,Inspecting
2022-07-07,19.47.29.63,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.1,0.0,38.6,25.0,186803.4,56253.9,45522.2,283533.9,0.0,0.0,368865.3,16588.7,75994.8,210460.6,4.166666666666666,0.0178189593727726,Inspecting
2022-07-07,23.47.23.64,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.1,0.0,35.6,24.0,186803.4,56255.1,45522.2,283540.7,0.0,0.0,368870.9,16590.3,75994.8,210460.6,4.0,0.0171062009978617,Inspecting
2022-07-07,23.48.14.04,Status : Source A Warming Up,SrcA Startup,0.8,0.8,0.0,35.6,24.0,186803.5,56255.1,45522.2,283540.7,0.0,0.0,368871.0,16590.3,75994.8,210460.6,4.0,0.0171062009978617,Inspecting
2022-07-08,02.02.50.83,Status : Battery Charge Stage 1,Operation Auto Parallel Source A,-0.4,1.0,0.0,34.6,24.0,186803.5,56255.8,45522.2,283543.7,0.0,0.0,368873.3,16591.3,75994.8,210460.6,4.0,0.0171062009978617,Inspecting
2022-07-08,02.14.33.00,Status : Source A Stopped,SrcA Cooling Down,1.0,1.0,0.0,34.4,24.0,186803.6,56255.8,45522.2,283543.7,0.0,0.0,368873.5,16591.7,75994.8,210460.6,4.0,0.0171062009978617,Inspecting
2022-07-08,02.15.24.11,Status : Source A Warming Up,SrcA Startup,1.0,1.0,0.0,34.4,24.0,186803.7,56255.8,45522.2,283543.7,0.0,0.0,368873.5,16591.8,75994.8,210460.6,4.0,0.0171062009978617,Inspecting
2022-07-08,06.13.06.79,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.9,0.0,33.3,34.0,186803.7,56257.0,45522.2,283549.8,0.0,0.0,368878.4,16593.5,75994.8,210460.6,5.666666666666666,0.0242337847469707,Inspecting
2022-07-08,08.58.53.03,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.5,2.0,4.6,38.3,350.0,186803.9,56257.7,45522.2,283554.1,0.0,0.0,368882.3,16593.6,75998.8,210466.4,58.33333333333333,0.2494654312188168,Inspecting
2022-07-08,08.59.03.24,Status : Battery Charge Stage 2,SP71 Batt Bulk Cell Chg Volts,-0.5,2.0,4.5,38.4,352.0,186803.9,56257.7,45522.2,283554.1,0.0,0.0,368882.3,16593.6,75998.8,210466.4,58.66666666666666,0.2508909479686386,Inspecting
2022-07-08,09.00.03.63,Status : Battery Charge Stage 3,SP76 Batt Min Bulk Chg,3.4,3.0,5.1,39.0,351.0,186804.0,56257.7,45522.2,283554.2,0.0,0.0,368882.3,16593.6,75998.9,210466.5,58.5,0.2501781895937277,Inspecting
