Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-02,21.35.04.36,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.1,0.0,39.6,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.8,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.1,0.0,39.6,26.0,185407.7,56106.6,44655.4,283457.1,0.0,0.0,368290.8,16390.7,75737.9,208509.6,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,39.6,39.7,39.8,26.0,26.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.5,56106.5,44655.4,44655.4,44655.4,283457.1,283457.1,283457.1,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.7,16390.6,16390.6,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,21.44.06.74,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,39.6,25.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.8,75737.9,208509.6,0.0,-0.3,-0.3,0.0,-0.1,-0.1,0.0,0.0,0.0,39.6,39.6,39.6,25.0,26.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.6,56106.6,44655.4,44655.4,44655.4,283457.2,283457.2,283457.1,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.8,16390.8,16390.7,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,21.44.58.45,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,0.0,0.0,-0.3,0.0,0.0,-0.1,0.0,0.0,0.0,39.5,39.6,39.6,26.0,25.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.6,56106.6,44655.4,44655.4,44655.4,283457.2,283457.2,283457.2,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.9,16390.8,16390.8,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.11.44.94,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,38.1,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.5,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.2,0.0,38.2,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.5,75737.9,208509.6,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,38.2,38.4,38.4,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56106.9,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.5,16391.5,16391.4,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.20.05.62,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.4,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,0.0,-0.3,-0.3,0.0,-0.2,-0.2,0.0,0.0,0.0,37.4,38.1,38.2,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56107.0,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.7,16391.5,16391.5,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.20.56.43,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0,37.3,37.4,38.1,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56107.0,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.7,16391.7,16391.5,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-04,00.05.28.76,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,37.3,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.6,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.1,0.0,37.3,26.0,185451.7,56111.4,44682.1,283459.0,0.0,0.0,368310.3,16396.6,75744.3,208567.2,-0.3,-0.3,-0.3,-0.1,-0.1,-0.2,0.0,0.0,0.0,37.3,37.2,37.3,26.0,25.0,26.0,185451.7,185451.7,185451.7,56111.4,56111.4,56111.3,44682.1,44682.1,44682.1,283459.0,283459.0,283458.9,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368309.4,368309.4,16396.6,16396.5,16396.4,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-04,00.12.22.64,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.4,25.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,0.0,-0.3,-0.3,0.0,-0.2,-0.1,0.0,0.0,0.0,37.4,37.3,37.3,25.0,26.0,26.0,185451.7,185451.7,185451.7,56111.5,56111.5,56111.4,44682.1,44682.1,44682.1,283459.0,283459.0,283459.0,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368310.3,368310.3,16396.7,16396.6,16396.6,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-04,00.13.10.45,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0,37.5,37.4,37.3,26.0,25.0,26.0,185451.7,185451.7,185451.7,56111.5,56111.5,56111.5,44682.1,44682.1,44682.1,283459.0,283459.0,283459.0,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368310.3,368310.3,16396.7,16396.7,16396.6,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-08,19.53.36.93,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.1,0.0,43.0,25.0,185680.0,56131.7,44823.0,283467.3,0.0,0.0,368402.3,16418.2,75780.0,208864.7,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.1,0.0,42.9,25.0,185680.0,56131.7,44823.0,283467.3,0.0,0.0,368402.3,16418.2,75780.0,208864.7,-0.3,-0.3,-0.3,-0.1,-0.1,-0.2,0.0,0.0,0.0,42.9,43.3,43.7,25.0,27.0,29.0,185680.0,185680.0,185680.0,56131.7,56131.7,56131.6,44823.0,44823.0,44823.0,283467.3,283467.3,283467.3,0.0,0.0,0.0,0.0,0.0,0.0,368402.3,368402.3,368402.3,16418.2,16418.1,16418.1,75780.0,75780.0,75780.0,208864.7,208864.7,208864.7
