Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-05-01,17.11.55.72,Status : Parallel Mode,Operation Auto Inverter Only,0.9,6.2,1.5,32.2,129.0,191613.9,56818.5,46660.4,293879.3,0.0,0.0,382318.4,17681.3,76874.0,217901.4,21.5,0.1174863387978142,Inspecting,0.4,6.2,1.7,34.3,140.0,191613.9,56818.5,46660.4,293879.0,0.0,0.0,382318.2,17681.3,76874.0,217901.3,0.4,1.9,1.5,6.2,7.4,8.5,1.7,3.3,3.0,34.3,35.0,35.2,140.0,210.0,196.0,191613.9,191613.7,191613.3,56818.5,56818.5,56818.5,46660.4,46660.4,46660.4,293879.0,293878.2,293877.3,0.0,0.0,0.0,0.0,0.0,0.0,382318.2,382317.1,382315.9,17681.3,17681.3,17681.3,76874.0,76874.0,76874.0,217901.3,217900.9,217900.3
2023-05-01,17.12.49.62,Status : Source A Warming Up,SrcA Startup,5.6,5.6,1.7,32.0,125.0,191614.0,56818.5,46660.4,293879.3,0.0,0.0,382318.5,17681.4,76874.0,217901.4,20.83333333333333,0.1138433515482695,Inspecting,0.9,6.2,1.5,32.2,129.0,191613.9,56818.5,46660.4,293879.3,0.0,0.0,382318.4,17681.3,76874.0,217901.4,0.9,0.4,1.9,6.2,6.2,7.4,1.5,1.7,3.3,32.2,34.3,35.0,129.0,140.0,210.0,191613.9,191613.9,191613.7,56818.5,56818.5,56818.5,46660.4,46660.4,46660.4,293879.3,293879.0,293878.2,0.0,0.0,0.0,0.0,0.0,0.0,382318.4,382318.2,382317.1,17681.3,17681.3,17681.3,76874.0,76874.0,76874.0,217901.4,217901.3,217900.9
2023-05-02,15.31.05.24,Status : Parallel Mode,Operation Auto Inverter Only,5.6,9.0,1.1,34.8,95.0,191656.5,56822.7,46667.8,293912.0,0.0,0.0,382382.1,17686.5,76876.7,217957.5,15.833333333333332,0.0865209471766848,Inspecting,5.6,9.0,1.5,34.6,118.0,191656.2,56822.7,46667.8,293911.8,0.0,0.0,382381.6,17686.3,76876.7,217957.4,5.6,5.7,7.1,9.0,9.1,10.7,1.5,2.2,3.7,34.6,35.5,35.4,118.0,151.0,231.0,191656.2,191655.2,191654.2,56822.7,56822.7,56822.7,46667.8,46667.8,46667.8,293911.8,293911.2,293910.7,0.0,0.0,0.0,0.0,0.0,0.0,382381.6,382380.1,382378.5,17686.3,17685.5,17685.0,76876.7,76876.7,76876.7,217957.4,217957.2,217956.6
2023-05-02,15.56.36.83,Status : Low Battery Bulk Enable,SP65 Util Bulk Chg Enable Volt,5.2,9.0,0.3,30.6,47.0,191659.0,56822.7,46667.8,293913.4,0.0,0.0,382386.0,17688.9,76876.7,217957.6,7.833333333333333,0.0428051001821493,Inspecting,5.9,9.3,0.1,32.3,42.0,191658.2,56822.7,46667.8,293912.9,0.0,0.0,382384.8,17688.1,76876.7,217957.6,5.9,5.9,5.6,9.3,9.3,9.0,0.1,0.3,1.1,32.3,33.0,34.8,42.0,53.0,95.0,191658.2,191657.2,191656.5,56822.7,56822.7,56822.7,46667.8,46667.8,46667.8,293912.9,293912.4,293912.0,0.0,0.0,0.0,0.0,0.0,0.0,382384.8,382383.2,382382.1,17688.1,17687.1,17686.5,76876.7,76876.7,76876.7,217957.6,217957.6,217957.5
2023-05-02,15.57.29.23,Status : Source A Warming Up,SrcA Startup,10.5,10.6,0.3,30.5,49.0,191659.1,56822.7,46667.8,293913.4,0.0,0.0,382386.2,17689.0,76876.7,217957.6,8.166666666666666,0.0446265938069216,Inspecting,5.2,9.0,0.3,30.6,47.0,191659.0,56822.7,46667.8,293913.4,0.0,0.0,382386.0,17688.9,76876.7,217957.6,5.2,5.9,5.9,9.0,9.3,9.3,0.3,0.1,0.3,30.6,32.3,33.0,47.0,42.0,53.0,191659.0,191658.2,191657.2,56822.7,56822.7,56822.7,46667.8,46667.8,46667.8,293913.4,293912.9,293912.4,0.0,0.0,0.0,0.0,0.0,0.0,382386.0,382384.8,382383.2,17688.9,17688.1,17687.1,76876.7,76876.7,76876.7,217957.6,217957.6,217957.6
2023-05-03,09.18.31.59,Status : Battery Charge Stage 1,Operation Auto Parallel Source A,-1.3,1.4,2.4,28.5,174.0,191663.3,56827.5,46667.8,293952.5,0.0,0.0,382424.6,17692.1,76884.4,217972.3,29.0,0.1584699453551912,Inspecting,-0.3,1.4,2.3,28.6,166.0,191663.3,56827.4,46667.8,293952.4,0.0,0.0,382424.5,17692.1,76884.3,217972.1,-0.3,-0.3,-0.3,1.4,1.7,1.2,2.3,2.2,2.1,28.6,28.3,28.2,166.0,158.0,148.0,191663.3,191663.3,191663.3,56827.4,56827.4,56827.3,46667.8,46667.8,46667.8,293952.4,293952.0,293951.7,0.0,0.0,0.0,0.0,0.0,0.0,382424.5,382424.3,382424.0,17692.1,17692.1,17692.1,76884.3,76884.0,76883.8,217972.1,217971.8,217971.4
2023-05-03,09.18.41.79,Status : Battery Charge Stage 2,SP71 Batt Bulk Cell Chg Volts,-0.7,1.5,2.4,28.5,175.0,191663.3,56827.5,46667.8,293952.5,0.0,0.0,382424.7,17692.1,76884.4,217972.3,29.166666666666664,0.1593806921675774,Inspecting,-1.3,1.4,2.4,28.5,174.0,191663.3,56827.5,46667.8,293952.5,0.0,0.0,382424.6,17692.1,76884.4,217972.3,-1.3,-0.3,-0.3,1.4,1.4,1.7,2.4,2.3,2.2,28.5,28.6,28.3,174.0,166.0,158.0,191663.3,191663.3,191663.3,56827.5,56827.4,56827.4,46667.8,46667.8,46667.8,293952.5,293952.4,293952.0,0.0,0.0,0.0,0.0,0.0,0.0,382424.6,382424.5,382424.3,17692.1,17692.1,17692.1,76884.4,76884.3,76884.0,217972.3,217972.1,217971.8
2023-05-03,09.19.42.19,Status : Battery Charge Stage 3,SP76 Batt Min Bulk Chg,1.5,2.0,2.8,28.5,180.0,191663.3,56827.5,46667.8,293952.5,0.0,0.0,382424.7,17692.1,76884.4,217972.3,30.0,0.1639344262295081,Inspecting,-0.7,1.5,2.4,28.5,175.0,191663.3,56827.5,46667.8,293952.5,0.0,0.0,382424.7,17692.1,76884.4,217972.3,-0.7,-1.3,-0.3,1.5,1.4,1.4,2.4,2.4,2.3,28.5,28.5,28.6,175.0,174.0,166.0,191663.3,191663.3,191663.3,56827.5,56827.5,56827.4,46667.8,46667.8,46667.8,293952.5,293952.5,293952.4,0.0,0.0,0.0,0.0,0.0,0.0,382424.7,382424.6,382424.5,17692.1,17692.1,17692.1,76884.4,76884.4,76884.3,217972.3,217972.3,217972.1
2023-05-03,15.04.52.46,Status : Battery Charge Stage 4,SP70 Batt Float Cell Volts,9.2,10.6,12.4,40.5,957.0,191691.7,56827.5,46672.9,293964.9,0.0,0.0,382460.4,17692.3,76884.5,218011.7,159.5,0.8715846994535519,Running,5.1,11.0,5.7,41.5,958.0,191691.0,56827.5,46672.9,293964.2,0.0,0.0,382459.0,17692.3,76884.5,218010.8,5.1,6.0,6.6,11.0,10.7,10.7,5.7,7.5,8.6,41.5,40.7,41.7,958.0,936.0,980.0,191691.0,191690.0,191689.0,56827.5,56827.5,56827.5,46672.9,46672.9,46672.9,293964.2,293963.4,293962.6,0.0,0.0,0.0,0.0,0.0,0.0,382459.0,382457.2,382455.5,17692.3,17692.3,17692.3,76884.5,76884.5,76884.5,218010.8,218009.6,218008.3
2023-05-03,15.05.45.96,Status : Source A Warming Up,SrcA Startup,9.4,9.4,10.9,40.7,946.0,191691.8,56827.5,46672.9,293964.9,0.0,0.0,382460.5,17692.3,76884.5,218011.9,157.66666666666666,0.8615664845173041,Running,9.2,10.6,12.4,40.5,957.0,191691.7,56827.5,46672.9,293964.9,0.0,0.0,382460.4,17692.3,76884.5,218011.7,9.2,5.1,6.0,10.6,11.0,10.7,12.4,5.7,7.5,40.5,41.5,40.7,957.0,958.0,936.0,191691.7,191691.0,191690.0,56827.5,56827.5,56827.5,46672.9,46672.9,46672.9,293964.9,293964.2,293963.4,0.0,0.0,0.0,0.0,0.0,0.0,382460.4,382459.0,382457.2,17692.3,17692.3,17692.3,76884.5,76884.5,76884.5,218011.7,218010.8,218009.6
