Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-01,11.38.05.10,Status : Parallel Mode,Operation Auto Inverter Only,0.3,7.9,1.9,38.5,802.0,190107.6,56652.1,46246.1,286756.7,0.0,0.0,374270.1,17230.8,76548.7,215362.8,133.66666666666666,0.6986062717770035,Monitoring,0.1,8.2,3.0,38.1,804.0,190107.0,56652.1,46246.1,286756.5,0.0,0.0,374269.2,17230.8,76548.7,215362.0,0.1,10.5,10.2,8.2,9.7,7.9,3.0,12.3,11.6,38.1,38.3,38.0,804.0,819.0,768.0,190107.0,190105.9,190104.8,56652.1,56652.1,56652.1,46246.1,46246.0,46246.0,286756.5,286756.1,286755.6,0.0,0.0,0.0,0.0,0.0,0.0,374269.2,374267.8,374266.4,17230.8,17230.8,17230.7,76548.7,76548.7,76548.7,215362.0,215360.6,215359.3
2022-10-01,12.17.41.54,Status : Source A Stopped,SrcA Cooling Down,9.8,9.8,11.0,39.3,895.0,190113.7,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,149.16666666666666,0.7796167247386759,Running,9.3,9.1,10.7,40.2,901.0,190112.9,56652.1,46246.1,286756.7,0.0,0.0,374275.3,17230.9,76548.9,215368.6,9.3,8.9,8.7,9.1,8.8,8.7,10.7,13.9,8.8,40.2,40.1,39.3,901.0,866.0,809.0,190112.9,190111.3,190109.7,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374275.3,374273.7,374272.2,17230.9,17230.9,17230.9,76548.9,76548.9,76548.9,215368.6,215366.8,215365.1
2022-10-01,12.18.00.54,Status : Source A Warming Up,SrcA Startup,9.7,9.7,11.0,39.2,891.0,190113.8,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,148.5,0.7761324041811848,Running,9.8,9.8,11.0,39.3,895.0,190113.7,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,9.8,9.3,8.9,9.8,9.1,8.8,11.0,10.7,13.9,39.3,40.2,40.1,895.0,901.0,866.0,190113.7,190112.9,190111.3,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374276.2,374275.3,374273.7,17231.0,17230.9,17230.9,76548.9,76548.9,76548.9,215369.6,215368.6,215366.8
2022-10-01,12.23.46.53,Status : Source A Stopped,SrcA Cooling Down,9.9,9.9,11.1,40.7,898.0,190114.7,56652.1,46246.1,286756.7,0.0,0.0,374277.2,17231.0,76549.0,215370.7,149.66666666666666,0.7822299651567944,Running,10.5,10.4,12.1,39.7,836.0,190114.5,56652.1,46246.1,286756.7,0.0,0.0,374276.9,17231.0,76549.0,215370.4,10.5,9.7,9.8,10.4,9.7,9.8,12.1,11.0,11.0,39.7,39.2,39.3,836.0,891.0,895.0,190114.5,190113.8,190113.7,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374276.9,374276.2,374276.2,17231.0,17231.0,17231.0,76549.0,76548.9,76548.9,215370.4,215369.6,215369.6
2022-10-01,12.24.44.84,Status : Source A Warming Up,SrcA Startup,9.4,9.3,10.4,40.3,887.0,190114.9,56652.1,46246.1,286756.7,0.0,0.0,374277.3,17231.0,76549.0,215370.9,147.83333333333331,0.7726480836236933,Running,9.9,9.9,11.1,40.7,898.0,190114.7,56652.1,46246.1,286756.7,0.0,0.0,374277.2,17231.0,76549.0,215370.7,9.9,10.5,9.7,9.9,10.4,9.7,11.1,12.1,11.0,40.7,39.7,39.2,898.0,836.0,891.0,190114.7,190114.5,190113.8,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.2,374276.9,374276.2,17231.0,17231.0,17231.0,76549.0,76549.0,76548.9,215370.7,215370.4,215369.6
2022-10-01,12.26.11.34,Status : Parallel Mode,Operation Auto Inverter Only,8.7,9.3,7.5,40.3,908.0,190115.0,56652.1,46246.1,286756.8,0.0,0.0,374277.6,17231.0,76549.0,215371.1,151.33333333333331,0.7909407665505226,Running,9.4,9.3,10.4,40.3,887.0,190114.9,56652.1,46246.1,286756.7,0.0,0.0,374277.3,17231.0,76549.0,215370.9,9.4,9.9,10.5,9.3,9.9,10.4,10.4,11.1,12.1,40.3,40.7,39.7,887.0,898.0,836.0,190114.9,190114.7,190114.5,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.3,374277.2,374276.9,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215370.9,215370.7,215370.4
2022-10-01,12.27.02.84,Status : Source A Warming Up,SrcA Startup,10.5,10.5,11.4,40.8,898.0,190115.2,56652.1,46246.1,286756.8,0.0,0.0,374277.7,17231.0,76549.0,215371.2,149.66666666666666,0.7822299651567944,Running,8.7,9.3,7.5,40.3,908.0,190115.0,56652.1,46246.1,286756.8,0.0,0.0,374277.6,17231.0,76549.0,215371.1,8.7,9.4,9.9,9.3,9.3,9.9,7.5,10.4,11.1,40.3,40.3,40.7,908.0,887.0,898.0,190115.0,190114.9,190114.7,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.8,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.6,374277.3,374277.2,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215371.1,215370.9,215370.7
2022-10-01,13.32.05.15,Status : Parallel Mode,Operation Auto Inverter Only,6.0,8.0,6.6,40.0,905.0,190121.7,56652.1,46246.2,286761.2,0.0,0.0,374288.6,17231.0,76549.1,215379.2,150.83333333333331,0.7883275261324042,Running,0.1,8.7,2.3,42.2,920.0,190120.7,56652.1,46246.2,286760.8,0.0,0.0,374287.2,17231.0,76549.0,215378.1,0.1,0.4,10.4,8.7,10.4,9.4,2.3,1.8,12.4,42.2,40.3,40.2,920.0,932.0,957.0,190120.7,190119.7,190118.8,56652.1,56652.1,56652.1,46246.2,46246.2,46246.2,286760.8,286760.1,286759.4,0.0,0.0,0.0,0.0,0.0,0.0,374287.2,374285.5,374283.9,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215378.1,215376.9,215375.7
2022-10-01,13.34.59.43,Status : Source A Stopped,SrcA Cooling Down,8.2,8.2,9.3,41.4,952.0,190122.1,56652.1,46246.2,286761.2,0.0,0.0,374289.0,17231.1,76549.1,215379.7,158.66666666666666,0.8292682926829269,Running,8.2,8.0,3.3,40.1,896.0,190121.7,56652.1,46246.2,286761.2,0.0,0.0,374288.7,17231.0,76549.1,215379.3,8.2,6.0,0.1,8.0,8.0,8.7,3.3,6.6,2.3,40.1,40.0,42.2,896.0,905.0,920.0,190121.7,190121.7,190120.7,56652.1,56652.1,56652.1,46246.2,46246.2,46246.2,286761.2,286761.2,286760.8,0.0,0.0,0.0,0.0,0.0,0.0,374288.7,374288.6,374287.2,17231.0,17231.0,17231.0,76549.1,76549.1,76549.0,215379.3,215379.2,215378.1
2022-10-01,13.35.47.74,Status : Source A Warming Up,SrcA Startup,8.7,8.7,9.5,41.4,957.0,190122.2,56652.1,46246.2,286761.2,0.0,0.0,374289.1,17231.1,76549.1,215379.8,159.5,0.833623693379791,Running,8.2,8.2,9.3,41.4,952.0,190122.1,56652.1,46246.2,286761.2,0.0,0.0,374289.0,17231.1,76549.1,215379.7,8.2,8.2,6.0,8.2,8.0,8.0,9.3,3.3,6.6,41.4,40.1,40.0,952.0,896.0,905.0,190122.1,190121.7,190121.7,56652.1,56652.1,56652.1,46246.2,46246.2,46246.2,286761.2,286761.2,286761.2,0.0,0.0,0.0,0.0,0.0,0.0,374289.0,374288.7,374288.6,17231.1,17231.0,17231.0,76549.1,76549.1,76549.1,215379.7,215379.3,215379.2
