Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-01,06.38.39.50,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,32.2,36.0,188984.6,56511.0,46059.0,285368.5,0.0,0.0,372087.2,16964.5,76317.3,213675.7,6.0,0.0273764258555133,Inspecting,-0.3,0.8,0.0,32.3,25.0,188984.6,56510.9,46059.0,285368.3,0.0,0.0,372087.1,16964.4,76317.3,213675.7,-0.3,-0.3,-0.3,0.8,1.4,1.3,0.0,0.0,0.0,32.3,32.3,32.3,25.0,24.0,24.0,188984.6,188984.6,188984.6,56510.9,56510.9,56510.8,46059.0,46059.0,46059.0,285368.3,285368.1,285367.8,0.0,0.0,0.0,0.0,0.0,0.0,372087.1,372086.9,372086.6,16964.4,16964.4,16964.3,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-01,19.13.46.74,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.2,0.9,0.0,32.5,24.0,189020.0,56512.4,46061.2,285393.3,0.0,0.0,372143.7,16974.0,76324.2,213720.8,4.0,0.0182509505703422,Inspecting,-0.3,0.5,0.0,32.6,26.0,189020.0,56512.4,46061.2,285393.1,0.0,0.0,372143.6,16973.9,76324.2,213720.8,-0.3,-0.4,-0.3,0.5,1.2,0.3,0.0,0.0,0.2,32.6,32.8,32.9,26.0,33.0,47.0,189020.0,189020.0,189020.0,56512.4,56512.3,56512.3,46061.2,46061.2,46061.2,285393.1,285393.0,285392.9,0.0,0.0,0.0,0.0,0.0,0.0,372143.6,372143.5,372143.4,16973.9,16973.8,16973.7,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,03.49.29.69,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,4.0,0.0182509505703422,Inspecting,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.0,46061.2,285403.0,0.0,0.0,372150.8,16977.8,76324.2,213720.8,-0.3,-0.2,-0.4,0.5,1.5,0.8,0.0,0.0,0.0,31.3,31.3,31.3,24.0,24.0,24.0,189020.0,189020.0,189020.0,56515.0,56515.0,56514.9,46061.2,46061.2,46061.2,285403.0,285402.8,285402.6,0.0,0.0,0.0,0.0,0.0,0.0,372150.8,372150.7,372150.5,16977.8,16977.8,16977.7,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,03.50.23.69,Status : Source A Warming Up,SrcA Startup,1.1,1.0,0.0,31.3,25.0,189020.1,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,4.166666666666666,0.0190114068441064,Inspecting,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,-0.3,-0.3,-0.2,0.5,0.5,1.5,0.0,0.0,0.0,31.3,31.3,31.3,24.0,24.0,24.0,189020.0,189020.0,189020.0,56515.1,56515.0,56515.0,46061.2,46061.2,46061.2,285403.0,285403.0,285402.8,0.0,0.0,0.0,0.0,0.0,0.0,372150.8,372150.8,372150.7,16977.9,16977.8,16977.8,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,06.48.23.16,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.4,0.0,30.8,35.0,189020.1,56515.9,46061.2,285405.8,0.0,0.0,372152.8,16979.2,76324.2,213720.8,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.3,0.0,30.7,30.0,189020.1,56515.9,46061.2,285405.7,0.0,0.0,372152.7,16979.2,76324.2,213720.8,-0.3,-0.3,-0.3,0.3,0.8,0.5,0.0,0.0,0.0,30.7,30.7,30.7,30.0,26.0,24.0,189020.1,189020.1,189020.1,56515.9,56515.8,56515.8,46061.2,46061.2,46061.2,285405.7,285405.6,285405.4,0.0,0.0,0.0,0.0,0.0,0.0,372152.7,372152.7,372152.5,16979.2,16979.1,16979.0,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,12.01.59.57,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,5.8,9.4,6.3,43.7,866.0,189028.6,56516.9,46061.3,285417.5,0.0,0.0,372172.0,16979.3,76334.8,213745.1,144.33333333333331,0.6585551330798478,Monitoring,5.2,9.8,6.1,43.2,1056.0,189028.5,56516.9,46061.3,285417.5,0.0,0.0,372171.9,16979.3,76334.8,213745.0,5.2,6.9,7.8,9.8,9.6,9.1,6.1,10.4,9.2,43.2,42.6,40.8,1056.0,1137.0,868.0,189028.5,189027.7,189026.7,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285417.5,285417.0,285416.5,0.0,0.0,0.0,0.0,0.0,0.0,372171.9,372170.5,372169.0,16979.3,16979.3,16979.3,76334.8,76334.8,76334.7,213745.0,213743.9,213742.7
2022-09-02,12.02.50.37,Status : Source A Warming Up,SrcA Startup,11.0,11.0,9.4,43.5,717.0,189028.7,56516.9,46061.3,285417.5,0.0,0.0,372172.1,16979.3,76334.8,213745.3,119.5,0.5452471482889734,Monitoring,5.8,9.4,6.3,43.7,866.0,189028.6,56516.9,46061.3,285417.5,0.0,0.0,372172.0,16979.3,76334.8,213745.1,5.8,5.2,6.9,9.4,9.8,9.6,6.3,6.1,10.4,43.7,43.2,42.6,866.0,1056.0,1137.0,189028.6,189028.5,189027.7,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285417.5,285417.5,285417.0,0.0,0.0,0.0,0.0,0.0,0.0,372172.0,372171.9,372170.5,16979.3,16979.3,16979.3,76334.8,76334.8,76334.8,213745.1,213745.0,213743.9
2022-09-02,12.32.47.59,Status : Parallel Mode,Operation Auto Inverter Only,5.9,9.3,4.4,38.9,252.0,189031.6,56516.9,46061.3,285419.2,0.0,0.0,372176.7,16980.0,76334.9,213748.0,42.0,0.1916349809885931,Inspecting,5.9,9.3,4.4,38.8,253.0,189031.5,56516.9,46061.3,285419.1,0.0,0.0,372176.5,16980.0,76334.9,213747.9,5.9,6.1,4.7,9.3,9.6,8.1,4.4,4.1,4.8,38.8,39.7,42.6,253.0,241.0,499.0,189031.5,189030.6,189029.6,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.1,285418.5,285418.0,0.0,0.0,0.0,0.0,0.0,0.0,372176.5,372175.0,372173.4,16980.0,16979.6,16979.3,76334.9,76334.9,76334.9,213747.9,213747.2,213746.3
2022-09-02,12.33.41.59,Status : Source A Warming Up,SrcA Startup,10.9,10.9,4.2,38.9,246.0,189031.8,56516.9,46061.3,285419.2,0.0,0.0,372176.8,16980.2,76334.9,213748.0,41.0,0.1870722433460076,Inspecting,5.9,9.3,4.4,38.9,252.0,189031.6,56516.9,46061.3,285419.2,0.0,0.0,372176.7,16980.0,76334.9,213748.0,5.9,5.9,6.1,9.3,9.3,9.6,4.4,4.4,4.1,38.9,38.8,39.7,252.0,253.0,241.0,189031.6,189031.5,189030.6,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.2,285419.1,285418.5,0.0,0.0,0.0,0.0,0.0,0.0,372176.7,372176.5,372175.0,16980.0,16980.0,16979.6,76334.9,76334.9,76334.9,213748.0,213747.9,213747.2
2022-09-02,12.40.55.59,Status : Parallel Mode,Operation Auto Inverter Only,6.6,9.5,4.6,38.4,252.0,189032.7,56516.9,46061.3,285419.5,0.0,0.0,372178.1,16980.5,76334.9,213748.6,42.0,0.1916349809885931,Inspecting,10.9,10.9,4.2,38.9,246.0,189031.8,56516.9,46061.3,285419.2,0.0,0.0,372176.8,16980.2,76334.9,213748.0,10.9,5.9,5.9,10.9,9.3,9.3,4.2,4.4,4.4,38.9,38.9,38.8,246.0,252.0,253.0,189031.8,189031.6,189031.5,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.2,285419.2,285419.1,0.0,0.0,0.0,0.0,0.0,0.0,372176.8,372176.7,372176.5,16980.2,16980.0,16980.0,76334.9,76334.9,76334.9,213748.0,213748.0,213747.9
