Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-09,14.12.02.71,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.9,0.9,1.9,38.9,1027.0,188051.9,56405.4,45789.9,284659.8,0.0,0.0,370820.6,16817.4,76204.9,212352.6,171.16666666666666,0.7212078651685393,Running,0.0,0.0,0.3,39.0,1041.0,188051.9,56405.4,45789.9,284659.8,0.0,0.0,370820.5,16817.4,76204.9,212352.6,0.0,11.9,0.3,0.0,7.2,0.8,0.3,19.2,2.1,39.0,38.6,39.2,1041.0,1117.0,256.0,188051.9,188051.9,188051.5,56405.4,56405.4,56405.4,45789.9,45789.9,45789.8,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370820.5,370820.5,370820.4,16817.4,16817.4,16817.4,76204.9,76204.9,76204.9,212352.6,212352.6,212352.1
2022-08-11,12.42.05.20,Status : Auto Inv Only Mode,Operation Auto Source A Only,2.3,2.4,2.8,36.5,1132.0,188152.5,56414.5,45837.1,284716.2,0.0,0.0,370921.2,16827.7,76212.8,212483.2,188.66666666666663,0.7949438202247191,Running,0.0,0.0,0.1,36.7,1212.0,188152.5,56414.5,45837.1,284716.2,0.0,0.0,370921.2,16827.7,76212.7,212483.1,0.0,10.6,-0.3,0.0,5.4,1.6,0.1,18.9,0.7,36.7,36.3,35.6,1212.0,1121.0,867.0,188152.5,188152.5,188152.4,56414.5,56414.5,56414.5,45837.1,45837.1,45837.0,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370921.2,370921.2,370921.1,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212483.1,212483.1,212483.0
2022-08-11,12.43.54.49,Status : Auto Inv Only Mode,Operation Auto Source A Only,2.5,2.7,2.2,36.5,866.0,188152.7,56414.5,45837.2,284716.2,0.0,0.0,370921.3,16827.8,76212.8,212483.4,144.33333333333331,0.6081460674157303,Monitoring,2.5,2.6,4.7,36.2,1157.0,188152.7,56414.5,45837.2,284716.2,0.0,0.0,370921.3,16827.8,76212.8,212483.4,2.5,0.0,19.2,2.6,0.0,9.9,4.7,0.2,19.9,36.2,36.5,36.0,1157.0,1162.0,1215.0,188152.7,188152.7,188152.7,56414.5,56414.5,56414.5,45837.2,45837.2,45837.2,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370921.3,370921.3,370921.3,16827.8,16827.7,16827.7,76212.8,76212.8,76212.8,212483.4,212483.4,212483.3
2022-08-11,12.57.27.07,Status : Auto Inv Only Mode,Operation Auto Source A Only,2.1,2.1,2.9,36.2,821.0,188154.5,56414.5,45837.9,284716.2,0.0,0.0,370922.4,16827.8,76212.8,212485.3,136.83333333333331,0.5765449438202247,Monitoring,0.0,0.0,0.3,36.5,793.0,188154.4,56414.5,45837.9,284716.2,0.0,0.0,370922.3,16827.8,76212.8,212485.3,0.0,20.6,9.2,0.0,9.1,4.8,0.3,20.0,8.4,36.5,36.1,36.4,793.0,1283.0,621.0,188154.4,188154.4,188154.1,56414.5,56414.5,56414.5,45837.9,45837.9,45837.7,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370922.3,370922.3,370922.1,16827.8,16827.8,16827.8,76212.8,76212.8,76212.8,212485.3,212485.2,212484.8
2022-08-11,13.00.41.07,Status : Auto Inv Only Mode,Operation Auto Source A Only,2.2,2.2,2.8,36.4,1336.0,188154.8,56414.5,45838.1,284716.2,0.0,0.0,370922.5,16827.8,76212.8,212485.7,222.66666666666663,0.9382022471910112,Running,0.0,0.0,0.3,36.5,617.0,188154.8,56414.5,45838.1,284716.2,0.0,0.0,370922.5,16827.8,76212.8,212485.7,0.0,22.3,2.1,0.0,3.2,2.1,0.3,19.5,2.9,36.5,36.1,36.2,617.0,1375.0,821.0,188154.8,188154.8,188154.5,56414.5,56414.5,56414.5,45838.1,45838.1,45837.9,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370922.5,370922.5,370922.4,16827.8,16827.8,16827.8,76212.8,76212.8,76212.8,212485.7,212485.6,212485.3
2022-08-11,13.20.00.31,Status : Auto Inv Only Mode,Operation Auto Source A Only,1.7,1.7,2.1,35.8,565.0,188157.0,56414.5,45839.5,284716.2,0.0,0.0,370923.3,16827.8,76212.8,212488.2,94.16666666666666,0.3967696629213483,Monitoring,0.0,0.0,0.1,35.8,1086.0,188157.0,56414.5,45839.5,284716.2,0.0,0.0,370923.3,16827.8,76212.8,212488.1,0.0,22.1,6.1,0.0,3.1,2.6,0.1,21.2,6.9,35.8,35.3,35.7,1086.0,1229.0,400.0,188157.0,188157.0,188156.4,56414.5,56414.5,56414.5,45839.5,45839.5,45839.1,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370923.3,370923.3,370923.0,16827.8,16827.8,16827.8,76212.8,76212.8,76212.8,212488.1,212488.1,212487.4
2022-08-12,13.10.24.66,Status : Auto Inv Only Mode,Operation Auto Source A Only,6.0,6.0,5.8,35.8,1190.0,188193.3,56419.5,45857.9,284747.3,0.0,0.0,370967.3,16833.3,76217.1,212539.3,198.3333333333333,0.8356741573033708,Running,0.0,0.0,0.3,35.9,1214.0,188193.2,56419.5,45857.9,284747.3,0.0,0.0,370967.2,16833.3,76217.1,212539.2,0.0,21.8,-0.3,0.0,7.3,6.3,0.3,21.4,0.6,35.9,35.4,35.0,1214.0,1226.0,1041.0,188193.2,188193.2,188193.0,56419.5,56419.5,56419.5,45857.9,45857.9,45857.8,284747.3,284747.3,284747.3,0.0,0.0,0.0,0.0,0.0,0.0,370967.2,370967.2,370967.1,16833.3,16833.3,16833.3,76217.1,76217.1,76217.1,212539.2,212539.2,212539.1
2022-08-15,11.47.04.13,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.7,0.7,1.6,35.1,1012.0,188286.6,56433.3,45893.0,284844.8,0.0,0.0,371109.1,16850.2,76230.2,212681.1,168.66666666666666,0.7106741573033708,Running,0.0,0.0,0.2,35.1,981.0,188286.6,56433.3,45893.0,284844.8,0.0,0.0,371109.1,16850.2,76230.2,212681.1,0.0,18.1,5.6,0.0,2.2,1.4,0.2,18.6,6.5,35.1,34.7,34.5,981.0,978.0,358.0,188286.6,188286.6,188285.5,56433.3,56433.3,56433.3,45893.0,45893.0,45892.1,284844.8,284844.8,284844.8,0.0,0.0,0.0,0.0,0.0,0.0,371109.1,371109.1,371109.0,16850.2,16850.2,16850.2,76230.2,76230.2,76230.2,212681.1,212681.0,212679.9
2022-08-15,12.09.03.08,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.5,0.5,1.6,34.9,925.0,188288.9,56433.3,45894.8,284844.8,0.0,0.0,371109.6,16850.2,76230.3,212683.7,154.16666666666666,0.6495786516853933,Monitoring,0.0,0.0,1.5,34.8,658.0,188288.9,56433.3,45894.8,284844.8,0.0,0.0,371109.6,16850.2,76230.2,212683.6,0.0,15.6,3.0,0.0,2.0,1.3,1.5,16.1,3.8,34.8,34.3,34.8,658.0,1339.0,323.0,188288.9,188288.9,188288.1,56433.3,56433.3,56433.3,45894.8,45894.8,45894.2,284844.8,284844.8,284844.8,0.0,0.0,0.0,0.0,0.0,0.0,371109.6,371109.6,371109.4,16850.2,16850.2,16850.2,76230.2,76230.2,76230.2,212683.6,212683.6,212682.7
2022-08-15,14.25.15.03,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.5,0.5,1.5,34.1,1081.0,188296.6,56433.3,45897.7,284845.0,0.0,0.0,371114.7,16850.2,76230.3,212693.9,180.16666666666663,0.7591292134831461,Running,0.0,0.0,0.3,34.0,780.0,188296.6,56433.3,45897.7,284845.0,0.0,0.0,371114.7,16850.2,76230.3,212693.9,0.0,10.6,2.9,0.0,9.5,1.8,0.3,18.8,4.1,34.0,33.6,33.3,780.0,879.0,227.0,188296.6,188296.6,188296.2,56433.3,56433.3,56433.3,45897.7,45897.7,45897.5,284845.0,284845.0,284845.0,0.0,0.0,0.0,0.0,0.0,0.0,371114.7,371114.7,371114.5,16850.2,16850.2,16850.2,76230.3,76230.3,76230.3,212693.9,212693.8,212693.4
