Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-07-06,13.22.53.85,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.0,35.4,900.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,150.0,0.6414825374198148,Monitoring,0.0,0.0,0.2,35.3,913.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,0.0,14.0,1.7,0.0,6.9,0.7,0.2,19.6,3.2,35.3,34.8,34.6,913.0,914.0,172.0,186787.5,186787.5,186787.1,56253.3,56253.3,56253.3,45517.8,45517.8,45517.6,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.1,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210426.9,210426.9,210426.5
2022-07-06,13.24.22.55,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.0,35.7,908.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.33333333333331,0.6471846044191019,Monitoring,0.0,0.0,0.1,35.9,911.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,0.0,15.5,0.0,0.0,-0.7,0.0,0.1,15.9,1.0,35.9,35.3,35.4,911.0,907.0,900.0,186787.5,186787.5,186787.5,56253.3,56253.3,56253.3,45517.9,45517.9,45517.8,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.0,210427.0,210426.9
2022-07-06,13.25.51.85,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,0.0,1.1,36.3,922.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,153.66666666666666,0.6571632216678546,Monitoring,0.0,0.0,0.2,36.3,916.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,0.0,16.0,0.0,0.0,0.1,0.0,0.2,16.3,1.0,36.3,35.7,35.7,916.0,912.0,908.0,186787.6,186787.6,186787.5,56253.3,56253.3,56253.3,45517.9,45517.9,45517.9,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.1,210427.1,210427.0
2022-07-10,11.32.12.10,Status : Auto Inv Only Mode,Operation Auto Source A Only,1.2,1.2,2.2,34.8,1126.0,186884.6,56266.7,45535.0,283653.8,0.0,0.0,369040.8,16605.7,76012.5,210601.3,187.66666666666663,0.8025659301496793,Running,0.0,0.0,0.2,35.3,952.0,186884.6,56266.7,45535.0,283653.8,0.0,0.0,369040.8,16605.7,76012.5,210601.3,0.0,16.8,5.8,0.0,6.8,2.8,0.2,19.0,7.0,35.3,34.7,33.1,952.0,1116.0,440.0,186884.6,186884.6,186883.8,56266.7,56266.7,56266.7,45535.0,45535.0,45534.5,283653.8,283653.8,283653.8,0.0,0.0,0.0,0.0,0.0,0.0,369040.8,369040.8,369040.4,16605.7,16605.7,16605.7,76012.5,76012.5,76012.5,210601.3,210601.3,210600.4
2022-07-10,13.54.57.29,Status : Auto Inv Only Mode,Operation Auto Source A Only,1.8,1.8,2.2,39.2,1299.0,186897.3,56266.7,45541.0,283654.0,0.0,0.0,369047.7,16605.7,76012.8,210617.5,216.5,0.925873129009266,Running,0.0,0.0,0.1,39.2,1237.0,186897.3,56266.7,45541.0,283654.0,0.0,0.0,369047.7,16605.7,76012.8,210617.5,0.0,10.0,7.0,0.0,7.1,3.3,0.1,18.6,8.1,39.2,38.7,37.1,1237.0,1281.0,458.0,186897.3,186897.3,186895.9,56266.7,56266.7,56266.7,45541.0,45541.0,45540.2,283654.0,283654.0,283654.0,0.0,0.0,0.0,0.0,0.0,0.0,369047.7,369047.7,369047.1,16605.7,16605.7,16605.7,76012.8,76012.8,76012.8,210617.5,210617.5,210616.0
2022-07-15,11.10.41.62,Status : Auto Inv Only Mode,Operation Auto Source A Only,6.6,6.5,13.7,39.1,798.0,187083.8,56287.6,45570.8,283829.2,0.0,0.0,369358.6,16640.3,76049.3,210919.5,133.0,0.5687811831789024,Monitoring,0.0,0.0,0.2,39.7,941.0,187083.7,56287.6,45570.8,283829.2,0.0,0.0,369358.5,16640.3,76049.2,210919.4,0.0,14.0,13.6,0.0,10.3,10.2,0.2,16.5,16.1,39.7,39.2,39.2,941.0,922.0,912.0,187083.7,187083.7,187083.7,56287.6,56287.6,56287.6,45570.8,45570.8,45570.8,283829.2,283829.2,283829.2,0.0,0.0,0.0,0.0,0.0,0.0,369358.5,369358.5,369358.5,16640.3,16640.3,16640.3,76049.2,76049.2,76049.2,210919.4,210919.4,210919.3
2022-07-22,14.20.42.95,Status : Auto Inv Only Mode,Operation Auto Source A Only,5.8,5.9,8.3,38.5,726.0,187349.4,56318.7,45630.1,284117.3,0.0,0.0,369822.0,16699.0,76107.6,211352.3,121.0,0.5174625801853172,Monitoring,0.0,0.0,1.5,38.9,826.0,187349.3,56318.7,45630.1,284117.3,0.0,0.0,369821.9,16699.0,76107.6,211352.2,0.0,6.5,0.6,0.0,8.9,4.9,1.5,12.5,5.2,38.9,38.7,39.4,826.0,864.0,662.0,187349.3,187349.3,187349.0,56318.7,56318.7,56318.7,45630.1,45630.1,45630.1,284117.3,284117.3,284117.1,0.0,0.0,0.0,0.0,0.0,0.0,369821.9,369821.9,369821.3,16699.0,16699.0,16699.0,76107.6,76107.6,76107.4,211352.2,211352.2,211351.6
2022-07-22,14.36.23.11,Status : Auto Inv Only Mode,Operation Auto Source A Only,5.7,5.8,7.9,39.0,786.0,187350.5,56318.8,45630.2,284118.0,0.0,0.0,369823.8,16699.0,76107.9,211354.1,131.0,0.5602280826799715,Monitoring,0.0,0.0,1.7,39.3,818.0,187350.5,56318.8,45630.2,284118.0,0.0,0.0,369823.7,16699.0,76107.9,211354.0,0.0,10.9,8.3,0.0,7.7,8.5,1.7,11.5,11.0,39.3,38.9,38.7,818.0,826.0,750.0,187350.5,187350.5,187350.4,56318.8,56318.8,56318.8,45630.2,45630.2,45630.2,284118.0,284118.0,284117.9,0.0,0.0,0.0,0.0,0.0,0.0,369823.7,369823.7,369823.5,16699.0,16699.0,16699.0,76107.9,76107.9,76107.9,211354.0,211354.0,211353.8
2022-07-24,12.05.45.67,Status : Auto Inv Only Mode,Operation Auto Source A Only,1.2,1.2,2.1,36.4,1041.0,187416.2,56327.8,45646.6,284165.6,0.0,0.0,369911.5,16710.9,76118.3,211455.5,173.5,0.7419814682822524,Running,0.0,0.0,0.1,36.2,1021.0,187416.2,56327.8,45646.6,284165.6,0.0,0.0,369911.5,16710.9,76118.3,211455.4,0.0,17.5,15.4,0.0,7.5,6.2,0.1,18.6,16.4,36.2,35.9,35.7,1021.0,1015.0,923.0,187416.2,187416.2,187415.7,56327.8,56327.8,56327.8,45646.6,45646.6,45646.4,284165.6,284165.6,284165.6,0.0,0.0,0.0,0.0,0.0,0.0,369911.5,369911.5,369911.3,16710.9,16710.9,16710.9,76118.3,76118.3,76118.3,211455.4,211455.4,211454.9
2022-07-25,12.36.49.73,Status : Auto Inv Only Mode,Operation Auto Source A Only,11.6,11.5,16.9,33.8,920.0,187459.6,56332.6,45667.9,284188.7,0.0,0.0,369952.0,16717.2,76123.2,211517.2,153.33333333333331,0.6557377049180327,Monitoring,0.0,0.0,0.3,34.0,1251.0,187459.5,56332.6,45667.9,284188.7,0.0,0.0,369951.9,16717.1,76123.2,211517.0,0.0,21.2,5.3,0.0,16.4,8.6,0.3,22.3,7.7,34.0,33.4,33.7,1251.0,1261.0,407.0,187459.5,187459.5,187458.8,56332.6,56332.6,56332.6,45667.9,45667.9,45667.8,284188.7,284188.7,284188.4,0.0,0.0,0.0,0.0,0.0,0.0,369951.9,369951.9,369951.0,16717.1,16717.1,16717.1,76123.2,76123.2,76123.2,211517.0,211517.0,211516.2
