Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-11,18.33.51.61,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.7,0.7,0.0,30.4,36.0,190405.5,56700.7,46335.5,287059.0,0.0,0.0,374732.4,17328.4,76627.7,215826.2,6.0,0.0313588850174216,Inspecting,0.0,0.0,0.0,30.6,37.0,190405.5,56700.7,46335.5,287059.0,0.0,0.0,374732.4,17328.4,76627.7,215826.2,0.0,-0.2,-0.3,0.0,1.0,0.9,0.0,0.0,0.0,30.6,30.4,30.3,37.0,35.0,31.0,190405.5,190405.5,190405.5,56700.7,56700.7,56700.7,46335.5,46335.5,46335.5,287059.0,287059.0,287058.9,0.0,0.0,0.0,0.0,0.0,0.0,374732.4,374732.4,374732.3,17328.4,17328.4,17328.4,76627.7,76627.7,76627.7,215826.2,215826.2,215826.2
2022-10-12,17.48.47.46,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.8,0.8,1.7,33.3,170.0,190451.2,56705.4,46341.3,287107.9,0.0,0.0,374816.5,17335.8,76633.0,215885.8,28.33333333333333,0.1480836236933798,Inspecting,0.0,0.0,1.1,33.4,175.0,190451.2,56705.4,46341.3,287107.9,0.0,0.0,374816.5,17335.8,76633.0,215885.7,0.0,0.1,0.2,0.0,0.8,1.1,1.1,1.5,1.7,33.4,33.2,33.3,175.0,174.0,179.0,190451.2,190451.2,190451.2,56705.4,56705.4,56705.4,46341.3,46341.3,46341.3,287107.9,287107.9,287107.9,0.0,0.0,0.0,0.0,0.0,0.0,374816.5,374816.5,374816.4,17335.8,17335.8,17335.8,76633.0,76633.0,76633.0,215885.7,215885.7,215885.7
2022-10-14,06.38.28.47,Status : Auto Inv Only Mode,Operation Auto Source A Only,1.3,1.3,0.0,25.0,25.0,190505.9,56713.7,46353.5,287167.6,0.0,0.0,374910.4,17347.9,76637.6,215954.3,4.166666666666666,0.0217770034843205,Inspecting,0.0,0.0,0.0,25.1,26.0,190505.9,56713.7,46353.5,287167.6,0.0,0.0,374910.3,17347.8,76637.6,215954.3,0.0,-0.1,-0.3,0.0,1.2,1.2,0.0,0.0,0.0,25.1,24.9,25.0,26.0,25.0,24.0,190505.9,190505.9,190505.9,56713.7,56713.7,56713.6,46353.5,46353.5,46353.5,287167.6,287167.6,287167.4,0.0,0.0,0.0,0.0,0.0,0.0,374910.3,374910.3,374910.2,17347.8,17347.8,17347.8,76637.6,76637.6,76637.6,215954.3,215954.3,215954.3
2022-10-14,06.52.51.57,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.7,0.7,0.0,24.9,27.0,190505.9,56713.7,46353.5,287168.0,0.0,0.0,374910.7,17348.0,76637.6,215954.3,4.5,0.0235191637630662,Inspecting,0.0,0.0,0.0,25.1,28.0,190505.9,56713.7,46353.5,287168.0,0.0,0.0,374910.6,17348.0,76637.6,215954.3,0.0,-0.1,-0.3,0.0,0.9,1.2,0.0,0.0,0.0,25.1,24.9,24.9,28.0,27.0,26.0,190505.9,190505.9,190505.9,56713.7,56713.7,56713.7,46353.5,46353.5,46353.5,287168.0,287168.0,287167.9,0.0,0.0,0.0,0.0,0.0,0.0,374910.6,374910.6,374910.6,17348.0,17348.0,17348.0,76637.6,76637.6,76637.6,215954.3,215954.3,215954.3
2022-10-14,07.11.44.00,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.5,0.5,0.1,25.0,38.0,190505.9,56713.8,46353.5,287168.2,0.0,0.0,374910.9,17348.2,76637.6,215954.3,6.333333333333333,0.0331010452961672,Inspecting,0.0,0.0,0.1,25.1,38.0,190505.9,56713.8,46353.5,287168.2,0.0,0.0,374910.9,17348.1,76637.6,215954.3,0.0,-2.6,-0.3,0.0,0.7,0.7,0.1,0.0,0.0,25.1,24.9,24.9,38.0,37.0,35.0,190505.9,190505.9,190505.9,56713.8,56713.8,56713.8,46353.5,46353.5,46353.5,287168.2,287168.2,287168.2,0.0,0.0,0.0,0.0,0.0,0.0,374910.9,374910.9,374910.8,17348.1,17348.1,17348.1,76637.6,76637.6,76637.6,215954.3,215954.3,215954.3
2022-10-14,07.44.53.64,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.4,0.4,1.0,26.0,83.0,190506.0,56714.0,46353.5,287168.8,0.0,0.0,374911.3,17348.2,76637.6,215954.6,13.833333333333332,0.0722996515679442,Inspecting,0.0,0.0,1.0,26.1,83.0,190505.9,56714.0,46353.5,287168.8,0.0,0.0,374911.3,17348.2,76637.6,215954.6,0.0,-0.1,-0.3,0.0,0.9,1.8,1.0,1.0,0.8,26.1,25.9,25.9,83.0,81.0,73.0,190505.9,190505.9,190505.9,56714.0,56714.0,56714.0,46353.5,46353.5,46353.5,287168.8,287168.8,287168.7,0.0,0.0,0.0,0.0,0.0,0.0,374911.3,374911.3,374911.2,17348.2,17348.2,17348.2,76637.6,76637.6,76637.6,215954.6,215954.6,215954.5
2022-10-14,07.48.28.84,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.7,0.7,1.2,26.0,89.0,190506.0,56714.0,46353.5,287168.9,0.0,0.0,374911.4,17348.2,76637.6,215954.6,14.833333333333332,0.0775261324041811,Inspecting,0.0,0.0,1.2,26.1,88.0,190506.0,56714.0,46353.5,287168.9,0.0,0.0,374911.3,17348.2,76637.6,215954.6,0.0,0.0,0.4,0.0,0.5,0.4,1.2,1.1,1.0,26.1,25.9,26.0,88.0,86.0,83.0,190506.0,190506.0,190506.0,56714.0,56714.0,56714.0,46353.5,46353.5,46353.5,287168.9,287168.9,287168.8,0.0,0.0,0.0,0.0,0.0,0.0,374911.3,374911.3,374911.3,17348.2,17348.2,17348.2,76637.6,76637.6,76637.6,215954.6,215954.6,215954.6
2022-10-14,11.25.58.01,Status : Auto Inv Only Mode,Operation Auto Source A Only,8.6,8.6,13.6,36.2,814.0,190521.5,56714.3,46358.9,287172.6,0.0,0.0,374924.9,17348.3,76642.3,215977.8,135.66666666666666,0.7090592334494774,Running,0.0,0.0,1.0,36.2,827.0,190521.4,56714.3,46358.9,287172.6,0.0,0.0,374924.8,17348.3,76642.3,215977.7,0.0,0.5,10.7,0.0,8.3,8.3,1.0,1.9,11.5,36.2,36.1,35.1,827.0,828.0,823.0,190521.4,190521.4,190520.9,56714.3,56714.3,56714.3,46358.9,46358.9,46358.8,287172.6,287172.6,287172.4,0.0,0.0,0.0,0.0,0.0,0.0,374924.8,374924.8,374924.2,17348.3,17348.3,17348.3,76642.3,76642.3,76642.3,215977.7,215977.7,215977.1
2022-10-14,11.39.26.69,Status : Auto Inv Only Mode,Operation Auto Source A Only,9.6,9.6,14.8,37.6,859.0,190523.3,56714.3,46359.0,287173.0,0.0,0.0,374927.0,17348.4,76642.3,215979.8,143.16666666666666,0.7482578397212544,Running,0.0,0.0,0.1,38.1,856.0,190523.2,56714.3,46359.0,287173.0,0.0,0.0,374926.9,17348.3,76642.3,215979.7,0.0,6.6,11.2,0.0,9.9,9.6,0.1,11.4,12.7,38.1,37.7,34.9,856.0,855.0,839.0,190523.2,190523.2,190522.1,56714.3,56714.3,56714.3,46359.0,46359.0,46358.9,287173.0,287173.0,287172.8,0.0,0.0,0.0,0.0,0.0,0.0,374926.9,374926.9,374925.6,17348.3,17348.3,17348.3,76642.3,76642.3,76642.3,215979.7,215979.7,215978.4
2022-10-14,11.57.58.67,Status : Auto Inv Only Mode,Operation Auto Source A Only,10.2,10.2,14.4,38.0,895.0,190525.5,56714.3,46359.1,287173.9,0.0,0.0,374930.1,17348.4,76642.4,215982.2,149.16666666666666,0.7796167247386759,Running,0.0,0.0,1.0,38.6,902.0,190525.4,56714.3,46359.1,287173.9,0.0,0.0,374930.0,17348.4,76642.4,215982.1,0.0,-1.6,9.5,0.0,9.4,10.6,1.0,2.0,11.8,38.6,38.5,37.7,902.0,901.0,872.0,190525.4,190525.4,190524.7,56714.3,56714.3,56714.3,46359.1,46359.1,46359.1,287173.9,287173.9,287173.5,0.0,0.0,0.0,0.0,0.0,0.0,374930.0,374930.0,374928.9,17348.4,17348.4,17348.4,76642.4,76642.4,76642.4,215982.1,215982.1,215981.4
2022-10-14,12.09.32.15,Status : Auto Inv Only Mode,Operation Auto Source A Only,10.0,10.0,14.4,37.6,901.0,190526.9,56714.3,46359.1,287174.5,0.0,0.0,374932.1,17348.5,76642.5,215983.8,150.16666666666666,0.7848432055749129,Running,0.0,0.0,1.0,37.3,903.0,190526.8,56714.3,46359.1,287174.5,0.0,0.0,374931.9,17348.4,76642.5,215983.6,0.0,3.4,3.4,0.0,10.7,10.4,1.0,5.3,5.7,37.3,36.9,37.0,903.0,903.0,891.0,190526.8,190526.8,190525.9,56714.3,56714.3,56714.3,46359.1,46359.1,46359.1,287174.5,287174.5,287174.1,0.0,0.0,0.0,0.0,0.0,0.0,374931.9,374931.9,374930.6,17348.4,17348.4,17348.4,76642.5,76642.5,76642.4,215983.6,215983.6,215982.6
2022-10-14,14.38.09.88,Status : Auto Inv Only Mode,Operation Auto Source A Only,0.0,9.0,1.9,37.6,648.0,190544.9,56714.3,46359.9,287182.7,0.0,0.0,374957.5,17348.6,76642.7,216003.9,108.0,0.5644599303135889,Monitoring,0.0,0.0,1.5,37.8,550.0,190544.9,56714.3,46359.9,287182.7,0.0,0.0,374957.5,17348.6,76642.7,216003.9,0.0,5.9,9.3,0.0,9.5,9.7,1.5,7.4,9.4,37.8,37.5,37.1,550.0,636.0,842.0,190544.9,190544.9,190544.3,56714.3,56714.3,56714.3,46359.9,46359.9,46359.8,287182.7,287182.7,287182.4,0.0,0.0,0.0,0.0,0.0,0.0,374957.5,374957.5,374956.6,17348.6,17348.6,17348.6,76642.7,76642.7,76642.7,216003.9,216003.9,216003.1
