Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-09,12.10.24.85,Status : Inverter Started,Operation Auto Source A Only,-0.3,0.2,1.0,37.4,1040.0,188037.9,56405.4,45782.4,284659.7,0.0,0.0,370814.1,16817.4,76204.8,212336.9,173.33333333333331,0.7303370786516854,Running,0.0,1.1,0.2,37.7,1085.0,188037.9,56405.4,45782.4,284659.7,0.0,0.0,370814.1,16817.4,76204.8,212336.9,0.0,-9.8,1.9,1.1,10.2,1.7,0.2,20.0,3.2,37.7,37.3,37.7,1085.0,1113.0,270.0,188037.9,188037.9,188037.7,56405.4,56405.4,56405.4,45782.4,45782.4,45782.3,284659.7,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.1,370814.0,370813.9,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212336.9,212336.8,212336.5
2022-08-09,12.17.41.14,Status : Inverter Started,Operation Auto Source A Only,-0.3,0.2,1.0,37.7,1050.0,188038.5,56405.4,45782.6,284659.8,0.0,0.0,370814.4,16817.4,76204.8,212337.5,175.0,0.7373595505617978,Running,0.0,1.1,0.2,37.8,1055.0,188038.5,56405.4,45782.6,284659.8,0.0,0.0,370814.4,16817.4,76204.8,212337.5,0.0,-10.0,3.7,1.1,8.5,2.3,0.2,19.8,4.9,37.8,37.5,37.0,1055.0,1067.0,298.0,188038.5,188038.5,188038.2,56405.4,56405.4,56405.4,45782.6,45782.6,45782.5,284659.8,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.4,370814.4,370814.2,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.5,212337.5,212337.2
2022-08-09,12.19.57.24,Status : Inverter Started,Operation Auto Source A Only,-0.3,0.2,0.8,38.3,861.0,188038.8,56405.4,45782.8,284659.8,0.0,0.0,370814.6,16817.4,76204.8,212337.9,143.5,0.6046348314606742,Monitoring,0.0,0.5,0.2,38.5,1060.0,188038.8,56405.4,45782.8,284659.8,0.0,0.0,370814.6,16817.4,76204.8,212337.9,0.0,-10.0,-0.3,0.5,-3.6,0.2,0.2,17.0,1.0,38.5,38.1,37.7,1060.0,1105.0,1050.0,188038.8,188038.8,188038.5,56405.4,56405.4,56405.4,45782.8,45782.8,45782.6,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370814.6,370814.6,370814.4,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.9,212337.8,212337.5
2022-08-09,12.40.33.23,Status : Inverter Started,Operation Auto Source A Only,-0.3,-0.1,1.3,37.6,1041.0,188040.5,56405.4,45783.5,284659.8,0.0,0.0,370815.6,16817.4,76204.8,212339.9,173.5,0.7310393258426967,Running,0.0,0.2,0.2,37.8,1066.0,188040.5,56405.4,45783.5,284659.8,0.0,0.0,370815.6,16817.4,76204.8,212339.9,0.0,-10.5,2.2,0.2,-4.4,1.6,0.2,19.4,3.4,37.8,37.2,37.1,1066.0,1075.0,229.0,188040.5,188040.5,188040.2,56405.4,56405.4,56405.4,45783.5,45783.5,45783.4,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370815.6,370815.6,370815.4,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212339.9,212339.8,212339.5
2022-08-09,13.03.23.81,Status : Inverter Started,Operation Auto Source A Only,-0.3,0.0,1.0,39.3,716.0,188043.5,56405.4,45785.2,284659.8,0.0,0.0,370816.9,16817.4,76204.8,212343.1,119.33333333333331,0.502808988764045,Monitoring,0.0,1.5,0.1,39.6,777.0,188043.5,56405.4,45785.2,284659.8,0.0,0.0,370816.9,16817.4,76204.8,212343.1,0.0,-10.1,0.3,1.5,7.5,0.9,0.1,18.9,1.8,39.6,39.1,40.8,777.0,1230.0,356.0,188043.5,188043.5,188042.6,56405.4,56405.4,56405.4,45785.2,45785.1,45784.7,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370816.9,370816.9,370816.5,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212343.1,212343.1,212342.2
2022-08-11,12.39.57.59,Status : Inverter Started,Operation Auto Source A Only,-0.3,1.6,0.7,35.6,867.0,188152.4,56414.5,45837.0,284716.2,0.0,0.0,370921.1,16827.7,76212.7,212483.0,144.5,0.6088483146067416,Monitoring,0.0,1.9,0.3,36.0,619.0,188152.4,56414.5,45837.0,284716.2,0.0,0.0,370921.1,16827.7,76212.7,212483.0,0.0,-11.2,16.7,1.9,7.1,7.8,0.3,20.2,14.9,36.0,35.7,34.9,619.0,927.0,988.0,188152.4,188152.4,188151.3,56414.5,56414.5,56414.5,45837.0,45837.0,45836.5,284716.2,284716.1,284716.1,0.0,0.0,0.0,0.0,0.0,0.0,370921.1,370921.1,370920.5,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212483.0,212482.9,212481.8
2022-08-12,12.49.43.29,Status : Inverter Started,Operation Auto Source A Only,-0.3,7.1,0.9,35.2,531.0,188191.0,56419.5,45857.4,284746.9,0.0,0.0,370965.1,16833.3,76217.0,212536.7,88.5,0.3728932584269663,Monitoring,0.0,7.2,0.2,35.4,919.0,188191.0,56419.5,45857.4,284746.9,0.0,0.0,370965.1,16833.3,76217.0,212536.7,0.0,-9.2,4.3,7.2,9.8,6.8,0.2,21.9,5.7,35.4,35.0,33.9,919.0,1333.0,346.0,188191.0,188191.0,188190.2,56419.5,56419.5,56419.5,45857.4,45857.4,45857.2,284746.9,284746.9,284746.7,0.0,0.0,0.0,0.0,0.0,0.0,370965.1,370965.1,370964.3,16833.3,16833.3,16833.3,76217.0,76217.0,76217.0,212536.7,212536.7,212535.8
2022-08-12,12.52.41.28,Status : Inverter Started,Operation Auto Source A Only,-0.3,6.0,0.8,35.2,483.0,188191.3,56419.5,45857.5,284747.0,0.0,0.0,370965.4,16833.3,76217.0,212537.0,80.5,0.339185393258427,Monitoring,-0.3,6.0,0.5,35.2,498.0,188191.3,56419.5,45857.5,284747.0,0.0,0.0,370965.4,16833.3,76217.0,212537.0,-0.3,0.0,-9.2,6.0,8.4,8.0,0.5,0.3,20.6,35.2,35.4,34.9,498.0,1175.0,1242.0,188191.3,188191.3,188191.3,56419.5,56419.5,56419.5,45857.5,45857.5,45857.5,284747.0,284747.0,284747.0,0.0,0.0,0.0,0.0,0.0,0.0,370965.4,370965.4,370965.4,16833.3,16833.3,16833.3,76217.0,76217.0,76217.0,212537.0,212537.0,212537.0
2022-08-12,13.08.25.55,Status : Inverter Started,Operation Auto Source A Only,-0.3,6.3,0.6,35.0,1041.0,188193.0,56419.5,45857.8,284747.3,0.0,0.0,370967.1,16833.3,76217.1,212539.1,173.5,0.7310393258426967,Running,0.0,7.0,0.2,35.1,1224.0,188193.0,56419.5,45857.8,284747.3,0.0,0.0,370967.1,16833.3,76217.1,212539.1,0.0,-9.3,5.1,7.0,7.1,6.0,0.2,21.5,6.3,35.1,35.0,34.7,1224.0,1192.0,405.0,188193.0,188193.0,188192.5,56419.5,56419.5,56419.5,45857.8,45857.8,45857.7,284747.3,284747.2,284747.1,0.0,0.0,0.0,0.0,0.0,0.0,370967.1,370967.0,370966.5,16833.3,16833.3,16833.3,76217.1,76217.1,76217.1,212539.1,212539.0,212538.4
2022-08-15,11.30.56.22,Status : Inverter Started,Operation Auto Source A Only,-0.3,0.2,1.0,34.8,1030.0,188284.9,56433.3,45891.7,284844.8,0.0,0.0,371108.8,16850.2,76230.2,212679.2,171.66666666666666,0.723314606741573,Running,0.0,0.5,0.2,34.9,1029.0,188284.9,56433.3,45891.7,284844.8,0.0,0.0,371108.8,16850.2,76230.2,212679.2,0.0,-11.9,2.2,0.5,5.0,1.0,0.2,18.0,3.5,34.9,34.6,34.3,1029.0,1000.0,427.0,188284.9,188284.9,188284.8,56433.3,56433.3,56433.3,45891.7,45891.7,45891.6,284844.8,284844.8,284844.8,0.0,0.0,0.0,0.0,0.0,0.0,371108.8,371108.8,371108.8,16850.2,16850.2,16850.2,76230.2,76230.2,76230.2,212679.2,212679.2,212679.0
