Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-04-14,15.13.32.35,Status : Parallel Mode,Operation Auto Inverter Only,7.0,1.1,5.7,45.6,944,190858.8,56745.5,46458.6,293113.2,0,0,381072.1,17615.6,76807.2,216861.2,157.33333333333331,0.7750410509031198,Running,4.7,1.1,5.0,48.6,838.0,190858.1,56745.5,46458.0,293113.2,0.0,0.0,381072.0,17615.6,76807.2,216860.4,4.7,0.5,7.4,1.1,0.6,0.9,5.0,1.8,8.2,48.6,48.1,46.7,838.0,971.0,923.0,190858.1,190857.3,190856.5,56745.5,56745.5,56745.5,46458.0,46457.4,46456.7,293113.2,293113.2,293113.2,0.0,0.0,0.0,0.0,0.0,0.0,381072.0,381071.8,381071.6,17615.6,17615.6,17615.6,76807.2,76807.2,76807.2,216860.4,216859.4,216858.4
2023-04-14,15.54.17.02,Status : Parallel Mode,Operation Auto Inverter Only,4.5,1.1,5.0,45.4,527,190862.0,56745.5,46461.0,293113.3,0,0,381072.9,17615.7,76807.3,216865.0,87.83333333333333,0.4326765188834154,Monitoring,4.0,0.9,2.2,45.5,808.0,190861.2,56745.5,46460.3,293113.3,0.0,0.0,381072.7,17615.6,76807.3,216864.1,4.0,3.9,3.3,0.9,1.2,1.0,2.2,5.6,6.0,45.5,46.0,47.1,808.0,645.0,897.0,190861.2,190860.4,190859.7,56745.5,56745.5,56745.5,46460.3,46459.8,46459.2,293113.3,293113.3,293113.3,0.0,0.0,0.0,0.0,0.0,0.0,381072.7,381072.5,381072.4,17615.6,17615.6,17615.6,76807.3,76807.3,76807.2,216864.1,216863.2,216862.3
2023-04-14,20.01.32.26,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.6,0.0,37.2,24,190870.4,56746.0,46467.0,293116.2,0,0,381077.8,17615.9,76807.5,216876.6,4.0,0.0197044334975369,Inspecting,-0.3,1.5,0.0,37.0,26.0,190870.4,56746.0,46467.0,293116.1,0.0,0.0,381077.6,17615.9,76807.5,216876.6,-0.3,-0.3,-0.3,1.5,1.2,1.5,0.0,0.0,0.0,37.0,37.5,38.0,26.0,28.0,37.0,190870.4,190870.4,190870.4,56746.0,56745.9,56745.9,46467.0,46467.0,46467.0,293116.1,293115.8,293115.5,0.0,0.0,0.0,0.0,0.0,0.0,381077.6,381077.4,381077.2,17615.9,17615.8,17615.8,76807.5,76807.5,76807.5,216876.6,216876.6,216876.6
2023-04-16,04.30.34.27,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.1,0.0,33.3,26,190914.0,56752.5,46471.5,293176.9,0,0,381171.0,17622.3,76811.7,216934.2,4.333333333333333,0.0213464696223316,Inspecting,-0.4,1.2,0.0,33.2,26.0,190914.0,56752.5,46471.5,293176.9,0.0,0.0,381171.0,17622.3,76811.7,216934.2,-0.4,-0.3,-0.3,1.2,1.1,1.1,0.0,0.0,0.0,33.2,33.8,33.8,26.0,26.0,26.0,190914.0,190914.0,190914.0,56752.5,56752.5,56752.4,46471.5,46471.5,46471.5,293176.9,293176.6,293176.4,0.0,0.0,0.0,0.0,0.0,0.0,381171.0,381170.8,381170.6,17622.3,17622.2,17622.2,76811.7,76811.7,76811.7,216934.2,216934.2,216934.2
2023-04-18,12.07.24.24,Status : Parallel Mode,Operation Auto Inverter Only,9.4,11.9,11.4,45.8,859,191012.9,56762.3,46506.2,293267.7,0,0,381316.3,17631.3,76824.3,217074.9,143.16666666666666,0.7052545155993432,Running,7.3,11.8,9.3,45.7,838.0,191012.2,56762.3,46506.2,293267.1,0.0,0.0,381315.0,17631.3,76824.3,217074.1,7.3,0.3,8.0,11.8,10.1,7.7,9.3,2.3,7.3,45.7,44.8,43.6,838.0,814.0,788.0,191012.2,191011.1,191010.1,56762.3,56762.3,56762.3,46506.2,46506.2,46506.1,293267.1,293266.3,293265.9,0.0,0.0,0.0,0.0,0.0,0.0,381315.0,381313.1,381311.7,17631.3,17631.3,17631.3,76824.3,76824.3,76824.2,217074.1,217072.7,217071.6
2023-04-18,12.40.46.28,Status : Parallel Mode,Operation Auto Inverter Only,5.9,11.6,8.5,46.9,912,191017.8,56762.3,46506.2,293269.4,0,0,381322.9,17631.4,76824.4,217080.4,152.0,0.7487684729064039,Running,7.9,11.7,8.8,47.0,912.0,191017.8,56762.3,46506.2,293269.4,0.0,0.0,381322.9,17631.4,76824.4,217080.4,7.9,4.4,13.0,11.7,11.4,13.0,8.8,7.3,12.7,47.0,45.8,45.8,912.0,913.0,880.0,191017.8,191016.7,191015.5,56762.3,56762.3,56762.3,46506.2,46506.2,46506.2,293269.4,293268.5,293267.7,0.0,0.0,0.0,0.0,0.0,0.0,381322.9,381320.9,381318.9,17631.4,17631.4,17631.4,76824.4,76824.4,76824.4,217080.4,217079.1,217077.7
2023-04-19,12.40.29.14,Status : Parallel Mode,Operation Auto Inverter Only,5.5,11.6,8.0,41.7,864,191063.8,56766.2,46510.3,293326.4,0,0,381417.8,17636.3,76829.8,217144.6,144.0,0.7093596059113301,Running,10.4,10.6,12.3,42.8,867.0,191063.7,56766.2,46510.3,293326.3,0.0,0.0,381417.7,17636.3,76829.8,217144.5,10.4,7.8,6.6,10.6,10.0,9.7,12.3,8.8,8.1,42.8,43.6,41.4,867.0,845.0,848.0,191063.7,191062.8,191061.9,56766.2,56766.2,56766.2,46510.3,46510.3,46510.3,293326.3,293325.5,293324.7,0.0,0.0,0.0,0.0,0.0,0.0,381417.7,381416.0,381414.3,17636.3,17636.3,17636.3,76829.8,76829.8,76829.7,217144.5,217143.3,217142.2
2023-04-19,14.08.01.72,Status : Parallel Mode,Operation Auto Inverter Only,0.9,11.6,1.9,46.8,982,191072.1,56766.2,46510.3,293333.8,0,0,381433.6,17636.4,76830.0,217155.0,163.66666666666666,0.8062397372742199,Running,8.6,11.0,10.8,47.4,958.0,191071.4,56766.2,46510.3,293333.0,0.0,0.0,381432.1,17636.4,76830.0,217154.1,8.6,2.7,6.8,11.0,11.8,10.7,10.8,3.4,8.7,47.4,46.0,46.4,958.0,934.0,958.0,191071.4,191070.5,191069.7,56766.2,56766.2,56766.2,46510.3,46510.3,46510.3,293333.0,293332.1,293331.1,0.0,0.0,0.0,0.0,0.0,0.0,381432.1,381430.3,381428.5,17636.4,17636.4,17636.4,76830.0,76829.9,76829.9,217154.1,217153.0,217151.9
2023-04-23,00.54.35.60,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.4,0.0,31.5,25,191228.4,56780.2,46558.9,293514.4,0,0,381707.8,17650.0,76843.6,217374.4,4.166666666666666,0.0205254515599343,Inspecting,-0.3,1.2,0.0,31.5,25.0,191228.4,56780.2,46558.9,293514.4,0.0,0.0,381707.7,17650.0,76843.6,217374.4,-0.3,-0.3,-0.3,1.2,1.4,1.3,0.0,0.0,0.0,31.5,31.6,31.6,25.0,25.0,25.0,191228.4,191228.4,191228.4,56780.2,56780.2,56780.1,46558.9,46558.9,46558.9,293514.4,293514.1,293513.8,0.0,0.0,0.0,0.0,0.0,0.0,381707.7,381707.5,381707.3,17650.0,17650.0,17649.9,76843.6,76843.6,76843.6,217374.4,217374.4,217374.4
2023-04-23,10.23.20.64,Status : Parallel Mode,Operation Auto Inverter Only,8.6,0.6,10.2,32.5,568,191232.8,56782.6,46562.2,293527.4,0,0,381719.6,17651.8,76846.6,217385.3,94.66666666666666,0.4663382594417076,Monitoring,1.1,1.2,3.0,32.1,194.0,191232.4,56782.6,46561.9,293527.4,0.0,0.0,381719.5,17651.8,76846.6,217384.7,1.1,1.3,3.8,1.2,0.9,0.7,3.0,3.2,5.6,32.1,34.0,34.9,194.0,213.0,327.0,191232.4,191232.2,191231.4,56782.6,56782.6,56782.6,46561.9,46561.9,46561.2,293527.4,293527.4,293527.4,0.0,0.0,0.0,0.0,0.0,0.0,381719.5,381719.3,381719.1,17651.8,17651.8,17651.8,76846.6,76846.6,76846.5,217384.7,217384.2,217383.0
