Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-05,06.52.44.09,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.6,0.0,30.4,35.0,187880.0,56384.3,45758.1,284553.5,0.0,0.0,370595.2,16787.9,76177.5,212109.3,5.833333333333333,0.0245786516853932,Inspecting,-0.3,0.5,0.0,30.4,34.0,187880.0,56384.3,45758.1,284553.4,0.0,0.0,370595.2,16787.9,76177.5,212109.3,-0.3,0.0,-0.4,0.5,1.3,0.4,0.0,0.0,0.0,30.4,30.6,30.6,34.0,29.0,26.0,187880.0,187880.0,187880.0,56384.3,56384.3,56384.2,45758.1,45758.1,45758.1,284553.4,284553.2,284553.1,0.0,0.0,0.0,0.0,0.0,0.0,370595.2,370595.1,370594.9,16787.9,16787.8,16787.7,76177.5,76177.5,76177.5,212109.3,212109.3,212109.3
2022-08-09,12.09.58.55,Status : Parallel Mode,Operation Auto Inverter Only,-9.8,10.2,20.0,37.3,1113.0,188037.9,56405.4,45782.4,284659.7,0.0,0.0,370814.0,16817.4,76204.8,212336.8,185.5,0.7816011235955057,Running,1.9,1.7,3.2,37.7,270.0,188037.7,56405.4,45782.3,284659.7,0.0,0.0,370813.9,16817.4,76204.8,212336.5,1.9,0.8,10.6,1.7,0.9,5.0,3.2,2.1,7.3,37.7,40.0,38.3,270.0,977.0,966.0,188037.7,188036.9,188035.6,56405.4,56405.4,56405.4,45782.3,45782.0,45781.5,284659.7,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370813.9,370813.4,370812.6,16817.4,16817.4,16817.4,76204.8,76204.8,76204.7,212336.5,212335.5,212334.1
2022-08-09,12.17.15.54,Status : Parallel Mode,Operation Auto Source A Only,-10.0,8.5,19.8,37.5,1067.0,188038.5,56405.4,45782.6,284659.7,0.0,0.0,370814.4,16817.4,76204.8,212337.5,177.83333333333331,0.7492977528089887,Running,3.7,2.3,4.9,37.0,298.0,188038.2,56405.4,45782.5,284659.7,0.0,0.0,370814.2,16817.4,76204.8,212337.2,3.7,-0.3,0.0,2.3,0.2,1.1,4.9,1.0,0.2,37.0,37.4,37.7,298.0,1040.0,1085.0,188038.2,188037.9,188037.9,56405.4,56405.4,56405.4,45782.5,45782.4,45782.4,284659.7,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.2,370814.1,370814.1,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.2,212336.9,212336.9
2022-08-09,12.19.33.14,Status : Parallel Mode,Operation Auto Source A Only,-10.0,-3.6,17.0,38.1,1105.0,188038.8,56405.4,45782.8,284659.8,0.0,0.0,370814.6,16817.4,76204.8,212337.8,184.16666666666663,0.7759831460674158,Running,-0.3,0.2,1.0,37.7,1050.0,188038.5,56405.4,45782.6,284659.8,0.0,0.0,370814.4,16817.4,76204.8,212337.5,-0.3,0.0,-10.0,0.2,1.1,8.5,1.0,0.2,19.8,37.7,37.8,37.5,1050.0,1055.0,1067.0,188038.5,188038.5,188038.5,56405.4,56405.4,56405.4,45782.6,45782.6,45782.6,284659.8,284659.8,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.4,370814.4,370814.4,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.5,212337.5,212337.5
2022-08-09,12.40.06.02,Status : Parallel Mode,Operation Auto Source A Only,-10.5,-4.4,19.4,37.2,1075.0,188040.5,56405.4,45783.5,284659.8,0.0,0.0,370815.6,16817.4,76204.8,212339.8,179.16666666666666,0.7549157303370787,Running,2.2,1.6,3.4,37.1,229.0,188040.2,56405.4,45783.4,284659.8,0.0,0.0,370815.4,16817.4,76204.8,212339.5,2.2,1.9,-0.3,1.6,1.6,0.2,3.4,3.9,0.8,37.1,38.8,38.3,229.0,1034.0,861.0,188040.2,188039.7,188038.8,56405.4,56405.4,56405.4,45783.4,45783.2,45782.8,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370815.4,370815.0,370814.6,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212339.5,212338.8,212337.9
2022-08-09,13.02.57.50,Status : Parallel Mode,Operation Auto Source A Only,-10.1,7.5,18.9,39.1,1230.0,188043.5,56405.4,45785.1,284659.8,0.0,0.0,370816.9,16817.4,76204.8,212343.1,205.0,0.8637640449438203,Running,0.3,0.9,1.8,40.8,356.0,188042.6,56405.4,45784.7,284659.8,0.0,0.0,370816.5,16817.4,76204.8,212342.2,0.3,12.0,-0.3,0.9,4.8,-0.1,1.8,12.8,1.3,40.8,38.8,37.6,356.0,1046.0,1041.0,188042.6,188041.4,188040.5,56405.4,56405.4,56405.4,45784.7,45784.0,45783.5,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370816.5,370815.9,370815.6,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212342.2,212340.7,212339.9
2022-08-09,14.10.58.71,Status : Parallel Mode,Operation Auto Source A Only,11.9,7.2,19.2,38.6,1117.0,188051.9,56405.4,45789.9,284659.8,0.0,0.0,370820.5,16817.4,76204.9,212352.6,186.16666666666663,0.7844101123595506,Running,0.3,0.8,2.1,39.2,256.0,188051.5,56405.4,45789.8,284659.8,0.0,0.0,370820.4,16817.4,76204.9,212352.1,0.3,7.5,6.7,0.8,3.6,2.8,2.1,8.0,8.1,39.2,39.5,39.9,256.0,1093.0,1033.0,188051.5,188050.5,188049.3,56405.4,56405.4,56405.4,45789.8,45789.2,45788.5,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370820.4,370819.9,370819.4,16817.4,16817.4,16817.4,76204.9,76204.8,76204.8,212352.1,212350.9,212349.6
2022-08-09,14.43.17.28,Status : Parallel Mode,Operation Auto Inverter Only,2.3,1.9,6.2,39.1,309.0,188055.2,56405.4,45791.6,284659.9,0.0,0.0,370822.2,16817.4,76204.9,212356.4,51.5,0.2169943820224719,Inspecting,3.0,2.3,3.8,38.5,380.0,188054.3,56405.4,45791.2,284659.9,0.0,0.0,370821.8,16817.4,76204.9,212355.5,3.0,16.9,2.4,2.3,7.4,1.8,3.8,17.0,3.3,38.5,39.0,39.6,380.0,1075.0,283.0,188054.3,188053.0,188052.4,56405.4,56405.4,56405.4,45791.2,45790.5,45790.2,284659.9,284659.9,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370821.8,370821.2,370820.8,16817.4,16817.4,16817.4,76204.9,76204.9,76204.9,212355.5,212354.0,212353.2
2022-08-09,19.49.04.18,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.2,0.0,35.6,24.0,188071.1,56405.8,45803.2,284662.3,0.0,0.0,370828.6,16817.8,76205.0,212376.7,4.0,0.0168539325842696,Inspecting,-0.3,1.2,0.0,35.6,24.0,188071.1,56405.8,45803.2,284662.3,0.0,0.0,370828.6,16817.8,76205.0,212376.7,-0.3,0.0,-0.3,1.2,2.0,1.6,0.0,0.0,0.0,35.6,35.7,36.2,24.0,24.0,27.0,188071.1,188071.1,188071.1,56405.8,56405.8,56405.7,45803.2,45803.2,45803.2,284662.3,284662.0,284661.8,0.0,0.0,0.0,0.0,0.0,0.0,370828.6,370828.3,370828.1,16817.8,16817.7,16817.6,76205.0,76205.0,76205.0,212376.7,212376.7,212376.7
2022-08-11,12.39.32.69,Status : Parallel Mode,Operation Auto Inverter Only,-11.2,7.1,20.2,35.7,927.0,188152.4,56414.5,45837.0,284716.1,0.0,0.0,370921.1,16827.7,76212.7,212482.9,154.5,0.6509831460674158,Monitoring,16.7,7.8,14.9,34.9,988.0,188151.3,56414.5,45836.5,284716.1,0.0,0.0,370920.5,16827.7,76212.7,212481.8,16.7,7.1,5.4,7.8,4.5,3.9,14.9,8.1,6.6,34.9,34.1,33.7,988.0,426.0,359.0,188151.3,188149.9,188149.1,56414.5,56414.5,56414.5,45836.5,45836.0,45835.8,284716.1,284716.1,284716.1,0.0,0.0,0.0,0.0,0.0,0.0,370920.5,370919.7,370919.0,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212481.8,212480.3,212479.3
