Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-07-01,19.48.42.12,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,33.5,24.0,186567.6,56232.8,45397.0,283514.8,0.0,0.0,368742.5,16559.0,75961.7,210134.1,4.0,0.0171062009978617,Inspecting,-0.3,-0.2,0.0,33.5,24.0,186567.6,56232.8,45397.0,283514.8,0.0,0.0,368742.5,16558.9,75961.7,210134.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,33.5,33.6,33.8,24.0,26.0,36.0,186567.6,186567.6,186567.6,56232.8,56232.8,56232.7,45397.0,45397.0,45397.0,283514.8,283514.8,283514.8,0.0,0.0,0.0,0.0,0.0,0.0,368742.5,368742.5,368742.5,16558.9,16558.9,16558.8,75961.7,75961.7,75961.7,210134.1,210134.1,210134.1
2022-07-06,13.23.21.75,Status : Parallel Mode,Operation Auto Inverter Only,15.5,-0.7,15.9,35.3,907.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.16666666666666,0.6464718460441911,Monitoring,0.0,0.0,1.0,35.4,900.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,0.0,0.0,14.0,0.0,0.0,6.9,1.0,0.2,19.6,35.4,35.3,34.8,900.0,913.0,914.0,186787.5,186787.5,186787.5,56253.3,56253.3,56253.3,45517.8,45517.8,45517.8,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210426.9,210426.9,210426.9
2022-07-06,13.24.52.55,Status : Parallel Mode,Operation Auto Inverter Only,16.0,0.1,16.3,35.7,912.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,152.0,0.6500356379187456,Monitoring,0.0,0.0,1.0,35.7,908.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,0.0,0.0,15.5,0.0,0.0,-0.7,1.0,0.1,15.9,35.7,35.9,35.3,908.0,911.0,907.0,186787.5,186787.5,186787.5,56253.3,56253.3,56253.3,45517.9,45517.9,45517.9,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.0,210427.0,210427.0
2022-07-06,13.26.21.05,Status : Parallel Mode,Operation Auto Inverter Only,12.7,0.2,16.5,36.3,923.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,153.83333333333331,0.6578759800427655,Monitoring,0.0,0.0,1.1,36.3,922.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,0.0,0.0,16.0,0.0,0.0,0.1,1.1,0.2,16.3,36.3,36.3,35.7,922.0,916.0,912.0,186787.6,186787.6,186787.6,56253.3,56253.3,56253.3,45517.9,45517.9,45517.9,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.1,210427.1,210427.1
2022-07-07,14.39.50.52,Status : Parallel Mode,Operation Auto Source A Only,0.0,8.1,2.1,41.6,234.0,186791.1,56253.4,45518.3,283527.0,0.0,0.0,368850.6,16587.3,75992.7,210439.5,39.0,0.1667854597291518,Inspecting,2.2,5.8,5.7,42.2,910.0,186791.0,56253.4,45518.3,283526.9,0.0,0.0,368850.4,16587.3,75992.7,210439.4,2.2,8.0,10.7,5.8,8.6,9.3,5.7,11.8,12.8,42.2,41.3,40.6,910.0,874.0,904.0,186791.0,186790.2,186789.2,56253.4,56253.3,56253.3,45518.3,45518.3,45518.3,283526.9,283526.4,283526.0,0.0,0.0,0.0,0.0,0.0,0.0,368850.4,368849.1,368847.7,16587.3,16587.3,16587.3,75992.7,75992.6,75992.6,210439.4,210438.2,210436.8
2022-07-07,14.49.25.96,Status : Parallel Mode,Operation Auto Inverter Only,3.8,8.9,2.2,42.1,212.0,186791.9,56253.4,45518.3,283527.5,0.0,0.0,368851.8,16587.3,75992.8,210440.7,35.33333333333333,0.1511047754811119,Inspecting,-0.4,9.0,1.2,42.3,217.0,186791.9,56253.4,45518.3,283527.4,0.0,0.0,368851.7,16587.3,75992.8,210440.6,-0.4,8.1,0.0,9.0,8.1,8.1,1.2,10.6,2.1,42.3,41.6,41.6,217.0,638.0,234.0,186791.9,186791.2,186791.1,56253.4,56253.4,56253.4,45518.3,45518.3,45518.3,283527.4,283527.0,283527.0,0.0,0.0,0.0,0.0,0.0,0.0,368851.7,368850.7,368850.6,16587.3,16587.3,16587.3,75992.8,75992.7,75992.7,210440.6,210439.6,210439.5
2022-07-07,14.53.46.26,Status : Parallel Mode,Operation Auto Inverter Only,0.0,8.6,2.3,42.0,228.0,186792.3,56253.4,45518.3,283527.7,0.0,0.0,368852.4,16587.4,75992.9,210441.3,38.0,0.1625089094796864,Inspecting,7.8,7.8,17.0,41.7,912.0,186792.0,56253.4,45518.3,283527.5,0.0,0.0,368851.9,16587.4,75992.8,210440.8,7.8,3.8,-0.4,7.8,8.9,9.0,17.0,2.2,1.2,41.7,42.1,42.3,912.0,212.0,217.0,186792.0,186791.9,186791.9,56253.4,56253.4,56253.4,45518.3,45518.3,45518.3,283527.5,283527.5,283527.4,0.0,0.0,0.0,0.0,0.0,0.0,368851.9,368851.8,368851.7,16587.4,16587.3,16587.3,75992.8,75992.8,75992.8,210440.8,210440.7,210440.6
2022-07-07,15.02.29.58,Status : Parallel Mode,Operation Auto Inverter Only,-0.5,7.1,2.0,42.1,240.0,186793.2,56253.4,45518.4,283527.9,0.0,0.0,368853.4,16587.5,75993.0,210442.5,40.0,0.1710620099786172,Inspecting,9.7,8.4,13.8,42.1,900.0,186792.8,56253.4,45518.4,283527.8,0.0,0.0,368853.0,16587.5,75993.0,210441.9,9.7,7.5,0.0,8.4,7.5,8.6,13.8,11.0,2.3,42.1,42.0,42.0,900.0,741.0,228.0,186792.8,186792.4,186792.3,56253.4,56253.4,56253.4,45518.4,45518.3,45518.3,283527.8,283527.7,283527.7,0.0,0.0,0.0,0.0,0.0,0.0,368853.0,368852.5,368852.4,16587.5,16587.4,16587.4,75993.0,75992.9,75992.9,210441.9,210441.4,210441.3
2022-07-07,15.07.49.77,Status : Parallel Mode,Operation Auto Inverter Only,3.6,7.0,2.8,40.7,165.0,186793.6,56253.4,45518.4,283528.1,0.0,0.0,368854.0,16587.8,75993.0,210442.8,27.5,0.1176051318602993,Inspecting,7.1,7.2,4.1,41.7,235.0,186793.3,56253.4,45518.4,283527.9,0.0,0.0,368853.5,16587.6,75993.0,210442.5,7.1,-0.5,9.7,7.2,7.1,8.4,4.1,2.0,13.8,41.7,42.1,42.1,235.0,240.0,900.0,186793.3,186793.2,186792.8,56253.4,56253.4,56253.4,45518.4,45518.4,45518.4,283527.9,283527.9,283527.8,0.0,0.0,0.0,0.0,0.0,0.0,368853.5,368853.4,368853.0,16587.6,16587.5,16587.5,75993.0,75993.0,75993.0,210442.5,210442.5,210441.9
2022-07-07,19.47.29.63,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.1,0.0,38.6,25.0,186803.4,56253.9,45522.2,283533.9,0.0,0.0,368865.3,16588.7,75994.8,210460.6,4.166666666666666,0.0178189593727726,Inspecting,-0.3,1.5,0.0,38.7,26.0,186803.4,56253.9,45522.2,283533.7,0.0,0.0,368865.1,16588.7,75994.8,210460.6,-0.3,-0.3,-0.3,1.5,1.3,0.7,0.0,0.0,0.1,38.7,38.9,39.1,26.0,29.0,41.0,186803.4,186803.4,186803.4,56253.9,56253.9,56253.8,45522.2,45522.2,45522.2,283533.7,283533.4,283533.2,0.0,0.0,0.0,0.0,0.0,0.0,368865.1,368864.9,368864.7,16588.7,16588.6,16588.6,75994.8,75994.8,75994.8,210460.6,210460.6,210460.6
2022-07-08,06.13.06.79,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.9,0.0,33.3,34.0,186803.7,56257.0,45522.2,283549.8,0.0,0.0,368878.4,16593.5,75994.8,210460.6,5.666666666666666,0.0242337847469707,Inspecting,-0.4,0.7,0.0,33.3,28.0,186803.7,56256.9,45522.2,283549.7,0.0,0.0,368878.3,16593.4,75994.8,210460.6,-0.4,-0.3,-0.3,0.7,1.0,1.2,0.0,0.0,0.0,33.3,33.3,33.4,28.0,26.0,24.0,186803.7,186803.7,186803.7,56256.9,56256.9,56256.8,45522.2,45522.2,45522.2,283549.7,283549.4,283549.2,0.0,0.0,0.0,0.0,0.0,0.0,368878.3,368878.1,368877.9,16593.4,16593.4,16593.3,75994.8,75994.8,75994.8,210460.6,210460.6,210460.6
2022-07-10,06.03.30.04,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.8,0.0,28.7,36.0,186879.3,56265.4,45532.7,283648.4,0.0,0.0,369033.8,16605.5,76007.8,210587.6,6.0,0.0256593014967925,Inspecting,-0.3,1.0,0.0,28.7,33.0,186879.3,56265.4,45532.7,283648.4,0.0,0.0,369033.8,16605.5,76007.8,210587.6,-0.3,0.2,1.5,1.0,1.8,1.5,0.0,0.0,0.0,28.7,28.8,29.1,33.0,25.0,24.0,186879.3,186879.3,186879.3,56265.4,56265.4,56265.4,45532.7,45532.7,45532.7,283648.4,283648.2,283648.1,0.0,0.0,0.0,0.0,0.0,0.0,369033.8,369033.6,369033.5,16605.5,16605.5,16605.4,76007.8,76007.8,76007.8,210587.6,210587.6,210587.6
2022-07-10,13.03.39.86,Status : Parallel Mode,Operation Auto Inverter Only,-10.7,6.3,18.5,36.9,1125.0,186893.4,56266.7,45539.3,283653.9,0.0,0.0,369045.4,16605.7,76012.8,210612.3,187.5,0.8018531717747684,Running,5.2,2.6,6.0,37.3,468.0,186892.6,56266.7,45539.0,283653.9,0.0,0.0,369045.0,16605.7,76012.7,210611.3,5.2,5.8,4.4,2.6,3.3,2.1,6.0,6.6,5.7,37.3,38.9,40.0,468.0,654.0,486.0,186892.6,186891.6,186890.9,56266.7,56266.7,56266.7,45539.0,45538.5,45538.2,283653.9,283653.9,283653.9,0.0,0.0,0.0,0.0,0.0,0.0,369045.0,369044.4,369044.0,16605.7,16605.7,16605.7,76012.7,76012.7,76012.7,210611.3,210610.1,210609.1
2022-07-10,13.53.58.89,Status : Parallel Mode,Operation Auto Source A Only,10.0,7.1,18.6,38.7,1281.0,186897.3,56266.7,45541.0,283654.0,0.0,0.0,369047.7,16605.7,76012.8,210617.5,213.5,0.9130434782608696,Running,7.0,3.3,8.1,37.1,458.0,186895.9,56266.7,45540.2,283654.0,0.0,0.0,369047.1,16605.7,76012.8,210616.0,7.0,5.9,2.8,3.3,2.8,2.7,8.1,7.3,4.7,37.1,36.8,36.1,458.0,397.0,291.0,186895.9,186895.2,186894.5,56266.7,56266.7,56266.7,45540.2,45539.9,45539.7,283654.0,283654.0,283654.0,0.0,0.0,0.0,0.0,0.0,0.0,369047.1,369046.7,369046.2,16605.7,16605.7,16605.7,76012.8,76012.8,76012.8,210616.0,210615.0,210614.0
2022-07-10,19.50.05.75,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.9,0.0,34.5,24.0,186913.3,56267.1,45547.9,283656.0,0.0,0.0,369058.5,16606.0,76013.3,210640.8,4.0,0.0171062009978617,Inspecting,-0.3,0.9,0.0,34.6,25.0,186913.3,56267.1,45547.9,283656.0,0.0,0.0,369058.4,16606.0,76013.3,210640.8,-0.3,-0.3,-0.3,0.9,1.0,0.6,0.0,0.0,0.0,34.6,34.9,35.0,25.0,29.0,38.0,186913.3,186913.3,186913.3,56267.1,56267.0,56267.0,45547.9,45547.9,45547.9,283656.0,283655.8,283655.6,0.0,0.0,0.0,0.0,0.0,0.0,369058.4,369058.3,369058.2,16606.0,16605.9,16605.8,76013.3,76013.3,76013.3,210640.8,210640.8,210640.8
2022-07-14,19.29.56.31,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.7,0.0,39.5,25.0,187072.0,56283.6,45567.6,283809.6,0.0,0.0,369334.5,16635.4,76044.4,210898.6,4.166666666666666,0.0178189593727726,Inspecting,-0.3,1.6,0.0,39.5,26.0,187072.0,56283.6,45567.6,283809.4,0.0,0.0,369334.3,16635.3,76044.4,210898.6,-0.3,-0.3,-0.3,1.6,1.2,1.1,0.0,0.0,0.0,39.5,39.7,39.9,26.0,28.0,32.0,187072.0,187072.0,187072.0,56283.6,56283.6,56283.5,45567.6,45567.6,45567.6,283809.4,283809.1,283808.9,0.0,0.0,0.0,0.0,0.0,0.0,369334.3,369334.1,369333.9,16635.3,16635.3,16635.2,76044.4,76044.4,76044.4,210898.6,210898.6,210898.6
2022-07-15,19.43.48.53,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.4,0.0,38.4,25.0,187119.6,56288.3,45579.4,283846.5,0.0,0.0,369402.5,16640.7,76051.2,210972.8,4.166666666666666,0.0178189593727726,Inspecting,-0.3,1.3,0.0,38.4,25.0,187119.6,56288.3,45579.4,283846.4,0.0,0.0,369402.5,16640.7,76051.2,210972.8,-0.3,-0.3,-0.3,1.3,1.3,1.3,0.0,0.0,0.0,38.4,38.6,38.8,25.0,28.0,37.0,187119.6,187119.6,187119.6,56288.3,56288.3,56288.2,45579.4,45579.4,45579.4,283846.4,283846.2,283845.9,0.0,0.0,0.0,0.0,0.0,0.0,369402.5,369402.2,369402.0,16640.7,16640.6,16640.5,76051.2,76051.2,76051.2,210972.8,210972.8,210972.8
2022-07-16,18.05.53.51,Status : Parallel Mode,Operation Auto Inverter Only,-0.5,0.7,0.0,31.4,24.0,187146.1,56292.6,45585.6,283889.4,0.0,0.0,369461.4,16649.1,76059.5,211019.4,4.0,0.0171062009978617,Inspecting,-0.3,0.6,0.0,31.7,25.0,187146.0,56292.6,45585.6,283889.3,0.0,0.0,369461.3,16649.0,76059.5,211019.4,-0.3,-0.3,-0.3,0.6,0.5,0.8,0.0,0.0,0.0,31.7,31.9,32.4,25.0,26.0,32.0,187146.0,187146.0,187146.0,56292.6,56292.5,56292.5,45585.6,45585.6,45585.6,283889.3,283889.1,283889.0,0.0,0.0,0.0,0.0,0.0,0.0,369461.3,369461.2,369461.1,16649.0,16648.9,16648.9,76059.5,76059.5,76059.5,211019.4,211019.4,211019.4
2022-07-19,06.18.59.18,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.8,0.0,32.5,34.0,187229.1,56304.6,45620.0,283980.1,0.0,0.0,369588.7,16665.4,76071.2,211148.9,5.666666666666666,0.0242337847469707,Inspecting,-0.3,0.8,0.0,32.4,29.0,187229.1,56304.6,45620.0,283980.0,0.0,0.0,369588.6,16665.4,76071.2,211148.9,-0.3,-0.3,-0.3,0.8,0.9,1.2,0.0,0.0,0.0,32.4,32.3,32.2,29.0,26.0,25.0,187229.1,187229.1,187229.1,56304.6,56304.6,56304.5,45620.0,45620.0,45620.0,283980.0,283979.8,283979.6,0.0,0.0,0.0,0.0,0.0,0.0,369588.6,369588.5,369588.3,16665.4,16665.3,16665.3,76071.2,76071.2,76071.2,211148.9,211148.9,211148.9
2022-07-20,00.18.55.11,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,34.9,24.0,187270.5,56307.2,45623.5,284008.0,0.0,0.0,369652.0,16668.8,76076.9,211216.3,4.0,0.0171062009978617,Inspecting,1.1,1.1,0.0,35.0,24.0,187270.5,56307.2,45623.5,284007.9,0.0,0.0,369651.9,16668.7,76076.9,211216.3,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,35.0,35.1,35.1,24.0,24.0,24.0,187270.5,187270.5,187270.4,56307.2,56307.2,56307.2,45623.5,45623.5,45623.5,284007.9,284007.9,284007.9,0.0,0.0,0.0,0.0,0.0,0.0,369651.9,369651.9,369651.8,16668.7,16668.7,16668.6,76076.9,76076.9,76076.9,211216.3,211216.3,211216.3
2022-07-20,06.17.24.07,Status : Parallel Mode,Operation Auto Inverter Only,-0.1,1.2,0.0,33.6,35.0,187270.6,56308.9,45623.5,284016.4,0.0,0.0,369658.7,16671.6,76076.9,211216.3,5.833333333333333,0.0249465431218816,Inspecting,-0.7,0.6,0.0,33.7,31.0,187270.6,56308.9,45623.5,284016.3,0.0,0.0,369658.6,16671.6,76076.9,211216.3,-0.7,0.1,-0.3,0.6,1.6,1.1,0.0,0.0,0.0,33.7,33.6,33.8,31.0,26.0,25.0,187270.6,187270.6,187270.6,56308.9,56308.9,56308.8,45623.5,45623.5,45623.5,284016.3,284016.0,284015.7,0.0,0.0,0.0,0.0,0.0,0.0,369658.6,369658.4,369658.2,16671.6,16671.4,16671.3,76076.9,76076.9,76076.9,211216.3,211216.3,211216.3
2022-07-21,19.45.29.53,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.7,0.0,34.5,24.0,187338.6,56314.2,45630.1,284084.3,0.0,0.0,369782.7,16687.6,76097.8,211330.8,4.0,0.0171062009978617,Inspecting,-0.3,0.7,0.0,34.8,29.0,187338.6,56314.1,45630.1,284084.1,0.0,0.0,369782.6,16687.5,76097.8,211330.8,-0.3,-0.3,-0.3,0.7,0.4,0.4,0.0,0.2,0.4,34.8,35.0,35.4,29.0,45.0,61.0,187338.6,187338.6,187338.6,56314.1,56314.1,56314.0,45630.1,45630.1,45630.1,284084.1,284084.0,284083.9,0.0,0.0,0.0,0.0,0.0,0.0,369782.6,369782.5,369782.4,16687.5,16687.4,16687.4,76097.8,76097.8,76097.8,211330.8,211330.7,211330.7
2022-07-22,14.35.25.11,Status : Parallel Mode,Operation Auto Inverter Only,10.9,7.7,11.5,38.9,826.0,187350.5,56318.8,45630.2,284118.0,0.0,0.0,369823.7,16699.0,76107.9,211354.0,137.66666666666666,0.5887384176764077,Monitoring,8.3,8.5,11.0,38.7,750.0,187350.4,56318.8,45630.2,284117.9,0.0,0.0,369823.5,16699.0,76107.9,211353.8,8.3,0.2,5.8,8.5,5.7,5.9,11.0,3.5,8.3,38.7,38.9,38.5,750.0,724.0,726.0,187350.4,187349.6,187349.4,56318.8,56318.8,56318.7,45630.2,45630.1,45630.1,284117.9,284117.4,284117.3,0.0,0.0,0.0,0.0,0.0,0.0,369823.5,369822.3,369822.0,16699.0,16699.0,16699.0,76107.9,76107.7,76107.6,211353.8,211352.6,211352.3
