Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-02,21.35.04.36,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.1,0.0,39.6,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.8,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.1,0.0,39.6,26.0,185407.7,56106.6,44655.4,283457.1,0.0,0.0,368290.8,16390.7,75737.9,208509.6,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,39.6,39.7,39.8,26.0,26.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.5,56106.5,44655.4,44655.4,44655.4,283457.1,283457.1,283457.1,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.7,16390.6,16390.6,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.11.44.94,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,38.1,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.5,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.2,0.0,38.2,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.5,75737.9,208509.6,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,38.2,38.4,38.4,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56106.9,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.5,16391.5,16391.4,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-04,00.05.28.76,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,37.3,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.6,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.1,0.0,37.3,26.0,185451.7,56111.4,44682.1,283459.0,0.0,0.0,368310.3,16396.6,75744.3,208567.2,-0.3,-0.3,-0.3,-0.1,-0.1,-0.2,0.0,0.0,0.0,37.3,37.2,37.3,26.0,25.0,26.0,185451.7,185451.7,185451.7,56111.4,56111.4,56111.3,44682.1,44682.1,44682.1,283459.0,283459.0,283458.9,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368309.4,368309.4,16396.6,16396.5,16396.4,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-08,19.53.36.93,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.1,0.0,43.0,25.0,185680.0,56131.7,44823.0,283467.3,0.0,0.0,368402.3,16418.2,75780.0,208864.7,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.1,0.0,42.9,25.0,185680.0,56131.7,44823.0,283467.3,0.0,0.0,368402.3,16418.2,75780.0,208864.7,-0.3,-0.3,-0.3,-0.1,-0.1,-0.2,0.0,0.0,0.0,42.9,43.3,43.7,25.0,27.0,29.0,185680.0,185680.0,185680.0,56131.7,56131.7,56131.6,44823.0,44823.0,44823.0,283467.3,283467.3,283467.3,0.0,0.0,0.0,0.0,0.0,0.0,368402.3,368402.3,368402.3,16418.2,16418.1,16418.1,75780.0,75780.0,75780.0,208864.7,208864.7,208864.7
2022-06-10,19.51.44.11,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,42.5,25.0,185765.5,56140.4,44875.1,283470.8,0.0,0.0,368437.8,16427.7,75795.2,208979.4,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.2,0.0,42.5,25.0,185765.5,56140.3,44875.1,283470.8,0.0,0.0,368437.8,16427.7,75795.2,208979.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,42.5,42.6,43.0,25.0,26.0,29.0,185765.5,185765.5,185765.5,56140.3,56140.3,56140.2,44875.1,44875.1,44875.1,283470.8,283470.8,283470.8,0.0,0.0,0.0,0.0,0.0,0.0,368437.8,368437.8,368437.8,16427.7,16427.6,16427.5,75795.2,75795.2,75795.2,208979.4,208979.4,208979.4
2022-06-12,22.32.40.04,Status : Parallel Mode,Operation Auto Inverter Only,-0.4,-0.2,0.0,40.8,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.8,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.3,-0.2,0.0,40.8,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.8,75814.9,209094.0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,40.8,41.2,41.4,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.9,56149.9,56149.8,44923.1,44923.1,44923.1,283474.4,283474.4,283474.3,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16440.8,16440.7,16440.6,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-12,22.40.49.83,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.1,0.0,40.7,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.2,-0.2,0.0,40.6,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,40.6,40.8,40.7,24.0,24.0,24.0,185844.4,185844.4,185844.4,56150.0,56149.9,56149.9,44923.1,44923.1,44923.1,283474.4,283474.4,283474.4,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16440.9,16440.9,16440.9,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-13,06.03.50.22,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,36.7,36.0,185844.4,56152.2,44923.1,283475.2,0.0,0.0,368472.5,16444.6,75814.9,209094.0,6.0,0.0294358135731807,Inspecting,-0.4,-0.2,0.0,36.8,34.0,185844.4,56152.1,44923.1,283475.2,0.0,0.0,368472.5,16444.6,75814.9,209094.0,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,36.8,36.8,36.7,34.0,28.0,26.0,185844.4,185844.4,185844.4,56152.1,56152.1,56152.0,44923.1,44923.1,44923.1,283475.2,283475.2,283475.1,0.0,0.0,0.0,0.0,0.0,0.0,368472.5,368472.5,368472.5,16444.6,16444.6,16444.5,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-17,19.05.21.26,Status : Parallel Mode,Operation Auto Inverter Only,-0.4,-0.1,0.0,30.6,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16468.5,75862.8,209354.1,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,32.3,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16468.4,75862.8,209354.1,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0,32.3,32.4,32.9,24.0,24.0,24.0,186016.2,186016.2,186016.2,56172.1,56172.1,56172.1,45028.6,45028.6,45028.6,283483.2,283483.2,283483.2,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16468.4,16468.4,16468.4,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-18,06.05.31.12,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,-0.2,0.0,29.5,35.0,186016.2,56174.1,45028.6,283483.8,0.0,0.0,368545.7,16477.0,75862.8,209354.1,5.833333333333333,0.0286181520850367,Inspecting,-0.3,-0.2,0.0,29.5,34.0,186016.2,56174.1,45028.6,283483.8,0.0,0.0,368545.7,16477.0,75862.8,209354.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,29.5,29.4,29.4,34.0,27.0,25.0,186016.2,186016.2,186016.2,56174.1,56174.0,56174.0,45028.6,45028.6,45028.6,283483.8,283483.8,283483.8,0.0,0.0,0.0,0.0,0.0,0.0,368545.7,368545.7,368545.7,16477.0,16476.9,16476.8,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
