Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-05-01,17.11.55.72,Status : Parallel Mode,Operation Auto Inverter Only,0.9,6.2,1.5,32.2,129.0,191613.9,56818.5,46660.4,293879.3,0.0,0.0,382318.4,17681.3,76874.0,217901.4,21.5,0.1174863387978142,Inspecting,0.4,6.2,1.7,34.3,140.0,191613.9,56818.5,46660.4,293879.0,0.0,0.0,382318.2,17681.3,76874.0,217901.3,0.4,1.9,1.5,6.2,7.4,8.5,1.7,3.3,3.0,34.3,35.0,35.2,140.0,210.0,196.0,191613.9,191613.7,191613.3,56818.5,56818.5,56818.5,46660.4,46660.4,46660.4,293879.0,293878.2,293877.3,0.0,0.0,0.0,0.0,0.0,0.0,382318.2,382317.1,382315.9,17681.3,17681.3,17681.3,76874.0,76874.0,76874.0,217901.3,217900.9,217900.3
2023-05-02,15.31.05.24,Status : Parallel Mode,Operation Auto Inverter Only,5.6,9.0,1.1,34.8,95.0,191656.5,56822.7,46667.8,293912.0,0.0,0.0,382382.1,17686.5,76876.7,217957.5,15.833333333333332,0.0865209471766848,Inspecting,5.6,9.0,1.5,34.6,118.0,191656.2,56822.7,46667.8,293911.8,0.0,0.0,382381.6,17686.3,76876.7,217957.4,5.6,5.7,7.1,9.0,9.1,10.7,1.5,2.2,3.7,34.6,35.5,35.4,118.0,151.0,231.0,191656.2,191655.2,191654.2,56822.7,56822.7,56822.7,46667.8,46667.8,46667.8,293911.8,293911.2,293910.7,0.0,0.0,0.0,0.0,0.0,0.0,382381.6,382380.1,382378.5,17686.3,17685.5,17685.0,76876.7,76876.7,76876.7,217957.4,217957.2,217956.6
2023-05-09,11.34.38.61,Status : Parallel Mode,Operation Auto Inverter Only,8.1,5.0,8.5,41.8,781.0,191932.0,56851.0,46821.2,294166.4,0.0,0.0,382746.7,17698.9,76889.2,218382.5,130.16666666666666,0.7112932604735883,Running,6.3,5.6,7.4,40.6,790.0,191931.6,56851.0,46821.1,294166.2,0.0,0.0,382746.2,17698.9,76889.2,218382.0,6.3,1.0,6.4,5.6,6.5,4.1,7.4,2.3,8.2,40.6,40.9,40.7,790.0,751.0,721.0,191931.6,191930.6,191929.6,56851.0,56851.0,56851.0,46821.1,46820.8,46820.4,294166.2,294166.1,294166.0,0.0,0.0,0.0,0.0,0.0,0.0,382746.2,382745.5,382744.7,17698.9,17698.9,17698.9,76889.2,76889.2,76889.2,218382.0,218380.8,218379.5
2023-05-11,16.22.31.64,Status : Parallel Mode,Operation Auto Inverter Only,4.8,9.2,4.4,44.8,693.0,192054.9,56859.0,46834.5,294273.1,0.0,0.0,382955.1,17701.8,76893.4,218555.2,115.5,0.6311475409836066,Monitoring,6.2,8.9,7.0,44.7,698.0,192054.7,56859.0,46834.5,294273.0,0.0,0.0,382954.8,17701.8,76893.4,218555.0,6.2,1.3,7.6,8.9,10.0,9.7,7.0,2.3,10.5,44.7,45.8,46.6,698.0,728.0,757.0,192054.7,192053.9,192052.9,56859.0,56859.0,56859.0,46834.5,46834.5,46834.5,294273.0,294272.3,294271.7,0.0,0.0,0.0,0.0,0.0,0.0,382954.8,382953.2,382951.7,17701.8,17701.8,17701.8,76893.4,76893.4,76893.4,218555.0,218553.9,218552.7
2023-05-12,14.36.20.22,Status : Parallel Mode,Operation Auto Inverter Only,0.5,9.5,2.7,50.1,920.0,192087.2,56863.0,46838.0,294313.7,0.0,0.0,383020.4,17703.1,76894.9,218604.2,153.33333333333331,0.837887067395264,Running,4.8,7.6,4.6,49.9,935.0,192086.7,56863.0,46838.0,294313.2,0.0,0.0,383019.3,17703.1,76894.9,218603.4,4.8,2.2,3.8,7.6,8.6,8.2,4.6,3.3,6.4,49.9,50.9,48.9,935.0,932.0,960.0,192086.7,192086.1,192085.5,56863.0,56863.0,56863.0,46838.0,46838.0,46838.0,294313.2,294312.4,294311.5,0.0,0.0,0.0,0.0,0.0,0.0,383019.3,383017.9,383016.5,17703.1,17703.1,17703.1,76894.9,76894.8,76894.8,218603.4,218602.5,218601.5
2023-05-14,21.25.33.68,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,34.2,25.0,192162.6,56871.9,46864.2,294397.4,0.0,0.0,383144.5,17706.2,76900.2,218734.2,4.166666666666666,0.0227686703096539,Inspecting,0.7,0.7,0.0,34.8,26.0,192162.6,56871.8,46864.2,294397.3,0.0,0.0,383144.4,17706.2,76900.2,218734.2,0.7,0.8,0.7,0.7,0.8,0.7,0.0,0.0,0.0,34.8,34.8,34.9,26.0,25.0,25.0,192162.6,192162.6,192162.6,56871.8,56871.8,56871.8,46864.2,46864.2,46864.2,294397.3,294397.3,294397.3,0.0,0.0,0.0,0.0,0.0,0.0,383144.4,383144.4,383144.4,17706.2,17706.1,17706.1,76900.2,76900.2,76900.2,218734.2,218734.2,218734.2
2023-05-14,21.30.43.04,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,34.5,25.0,192162.7,56871.9,46864.2,294397.5,0.0,0.0,383144.6,17706.3,76900.2,218734.2,4.166666666666666,0.0227686703096539,Inspecting,-0.3,0.9,0.0,34.4,25.0,192162.7,56871.9,46864.2,294397.5,0.0,0.0,383144.6,17706.2,76900.2,218734.2,-0.3,0.6,-0.3,0.9,0.6,1.0,0.0,0.0,0.0,34.4,34.3,34.2,25.0,26.0,25.0,192162.7,192162.7,192162.6,56871.9,56871.9,56871.9,46864.2,46864.2,46864.2,294397.5,294397.4,294397.4,0.0,0.0,0.0,0.0,0.0,0.0,383144.6,383144.6,383144.5,17706.2,17706.2,17706.2,76900.2,76900.2,76900.2,218734.2,218734.2,218734.2
2023-05-16,14.42.09.51,Status : Parallel Mode,Operation Auto Inverter Only,5.5,5.7,7.3,48.3,915.0,192224.4,56879.3,46871.2,294451.1,0.0,0.0,383245.5,17710.7,76906.8,218833.7,152.5,0.8333333333333334,Running,6.5,6.5,9.8,46.5,916.0,192223.9,56879.3,46871.1,294450.9,0.0,0.0,383244.9,17710.7,76906.8,218833.0,6.5,3.0,5.8,6.5,6.0,6.6,9.8,5.6,5.2,46.5,47.9,47.1,916.0,939.0,959.0,192223.9,192223.1,192222.3,56879.3,56879.3,56879.3,46871.1,46871.1,46871.1,294450.9,294450.7,294450.4,0.0,0.0,0.0,0.0,0.0,0.0,383244.9,383243.9,383242.8,17710.7,17710.7,17710.7,76906.8,76906.8,76906.8,218833.0,218831.8,218830.6
2023-05-17,23.15.00.99,Status : Parallel Mode,Operation Auto Inverter Only,0.1,1.3,0.0,35.8,25.0,192259.1,56885.3,46874.1,294494.1,0.0,0.0,383314.3,17714.7,76911.1,218895.9,4.166666666666666,0.0227686703096539,Inspecting,-0.3,1.3,0.0,35.5,25.0,192259.1,56885.3,46874.1,294493.9,0.0,0.0,383314.1,17714.7,76911.1,218895.9,-0.3,-0.3,-0.3,1.3,1.7,1.5,0.0,0.0,0.0,35.5,35.7,35.8,25.0,25.0,25.0,192259.1,192259.1,192259.1,56885.3,56885.2,56885.2,46874.1,46874.1,46874.1,294493.9,294493.6,294493.3,0.0,0.0,0.0,0.0,0.0,0.0,383314.1,383313.9,383313.6,17714.7,17714.7,17714.6,76911.1,76911.1,76911.1,218895.9,218895.9,218895.9
2023-05-18,15.58.51.42,Status : Parallel Mode,Operation Auto Inverter Only,7.1,1.7,10.1,43.2,743.0,192294.1,56888.3,46882.9,294521.5,0.0,0.0,383364.9,17716.4,76914.2,218948.7,123.83333333333331,0.6766848816029144,Monitoring,3.7,1.9,6.9,43.1,757.0,192293.7,56888.3,46882.7,294521.5,0.0,0.0,383364.8,17716.4,76914.2,218948.1,3.7,6.4,5.0,1.9,2.1,2.2,6.9,9.7,8.3,43.1,44.4,43.0,757.0,789.0,799.0,192293.7,192292.9,192292.1,56888.3,56888.3,56888.3,46882.7,46882.2,46881.8,294521.5,294521.4,294521.3,0.0,0.0,0.0,0.0,0.0,0.0,383364.8,383364.4,383364.0,17716.4,17716.4,17716.4,76914.2,76914.2,76914.1,218948.1,218946.9,218945.8
