Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-01,11.38.05.10,Status : Parallel Mode,Operation Auto Inverter Only,0.3,7.9,1.9,38.5,802.0,190107.6,56652.1,46246.1,286756.7,0.0,0.0,374270.1,17230.8,76548.7,215362.8,133.66666666666666,0.6986062717770035,Monitoring,0.1,8.2,3.0,38.1,804.0,190107.0,56652.1,46246.1,286756.5,0.0,0.0,374269.2,17230.8,76548.7,215362.0,0.1,10.5,10.2,8.2,9.7,7.9,3.0,12.3,11.6,38.1,38.3,38.0,804.0,819.0,768.0,190107.0,190105.9,190104.8,56652.1,56652.1,56652.1,46246.1,46246.0,46246.0,286756.5,286756.1,286755.6,0.0,0.0,0.0,0.0,0.0,0.0,374269.2,374267.8,374266.4,17230.8,17230.8,17230.7,76548.7,76548.7,76548.7,215362.0,215360.6,215359.3
2022-10-01,12.26.11.34,Status : Parallel Mode,Operation Auto Inverter Only,8.7,9.3,7.5,40.3,908.0,190115.0,56652.1,46246.1,286756.8,0.0,0.0,374277.6,17231.0,76549.0,215371.1,151.33333333333331,0.7909407665505226,Running,9.4,9.3,10.4,40.3,887.0,190114.9,56652.1,46246.1,286756.7,0.0,0.0,374277.3,17231.0,76549.0,215370.9,9.4,9.9,10.5,9.3,9.9,10.4,10.4,11.1,12.1,40.3,40.7,39.7,887.0,898.0,836.0,190114.9,190114.7,190114.5,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.3,374277.2,374276.9,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215370.9,215370.7,215370.4
2022-10-01,13.32.05.15,Status : Parallel Mode,Operation Auto Inverter Only,6.0,8.0,6.6,40.0,905.0,190121.7,56652.1,46246.2,286761.2,0.0,0.0,374288.6,17231.0,76549.1,215379.2,150.83333333333331,0.7883275261324042,Running,0.1,8.7,2.3,42.2,920.0,190120.7,56652.1,46246.2,286760.8,0.0,0.0,374287.2,17231.0,76549.0,215378.1,0.1,0.4,10.4,8.7,10.4,9.4,2.3,1.8,12.4,42.2,40.3,40.2,920.0,932.0,957.0,190120.7,190119.7,190118.8,56652.1,56652.1,56652.1,46246.2,46246.2,46246.2,286760.8,286760.1,286759.4,0.0,0.0,0.0,0.0,0.0,0.0,374287.2,374285.5,374283.9,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215378.1,215376.9,215375.7
2022-10-01,13.43.45.10,Status : Parallel Mode,Operation Auto Inverter Only,1.6,8.0,2.8,40.5,915.0,190123.0,56652.1,46246.3,286761.6,0.0,0.0,374290.2,17231.1,76549.1,215380.7,152.5,0.7970383275261325,Running,10.1,8.6,12.2,40.2,924.0,190122.9,56652.1,46246.3,286761.6,0.0,0.0,374290.0,17231.1,76549.1,215380.6,10.1,8.7,8.2,8.6,8.7,8.2,12.2,9.5,9.3,40.2,41.4,41.4,924.0,957.0,952.0,190122.9,190122.2,190122.1,56652.1,56652.1,56652.1,46246.3,46246.2,46246.2,286761.6,286761.2,286761.2,0.0,0.0,0.0,0.0,0.0,0.0,374290.0,374289.1,374289.0,17231.1,17231.1,17231.1,76549.1,76549.1,76549.1,215380.6,215379.8,215379.7
2022-10-01,14.05.59.28,Status : Parallel Mode,Operation Auto Inverter Only,6.8,7.9,8.8,41.2,921.0,190125.8,56652.1,46246.3,286761.6,0.0,0.0,374293.0,17231.3,76549.3,215383.9,153.5,0.8022648083623695,Running,8.5,8.5,6.9,40.8,921.0,190125.7,56652.1,46246.3,286761.6,0.0,0.0,374293.0,17231.2,76549.3,215383.8,8.5,8.3,7.4,8.5,8.3,7.5,6.9,10.1,8.6,40.8,41.0,40.6,921.0,899.0,849.0,190125.7,190125.6,190125.4,56652.1,56652.1,56652.1,46246.3,46246.3,46246.3,286761.6,286761.6,286761.6,0.0,0.0,0.0,0.0,0.0,0.0,374293.0,374292.8,374292.6,17231.2,17231.2,17231.2,76549.3,76549.3,76549.3,215383.8,215383.7,215383.4
2022-10-01,16.19.13.03,Status : Parallel Mode,Operation Auto Inverter Only,4.5,3.5,5.5,40.0,550.0,190139.2,56652.1,46247.5,286761.8,0.0,0.0,374305.4,17232.1,76550.1,215400.2,91.66666666666666,0.4790940766550522,Monitoring,6.8,3.5,9.0,40.6,572.0,190138.7,56652.1,46247.3,286761.8,0.0,0.0,374305.1,17232.1,76550.1,215399.6,6.8,0.0,7.1,3.5,3.6,4.1,9.0,2.8,9.3,40.6,40.5,41.4,572.0,650.0,664.0,190138.7,190137.7,190136.8,56652.1,56652.1,56652.1,46247.3,46246.8,46246.5,286761.8,286761.7,286761.6,0.0,0.0,0.0,0.0,0.0,0.0,374305.1,374304.5,374303.9,17232.1,17232.1,17232.1,76550.1,76550.1,76550.1,215399.6,215398.3,215397.2
2022-10-01,17.39.59.49,Status : Parallel Mode,Operation Auto Inverter Only,2.3,0.8,2.0,38.4,184.0,190142.8,56652.1,46248.3,286762.2,0.0,0.0,374308.6,17232.2,76550.2,215406.1,30.666666666666664,0.1602787456445993,Inspecting,0.9,1.1,2.4,38.6,211.0,190142.8,56652.1,46248.3,286762.1,0.0,0.0,374308.4,17232.2,76550.2,215405.8,0.9,1.5,1.9,1.1,1.5,1.8,2.4,2.9,3.8,38.6,39.6,39.4,211.0,257.0,312.0,190142.8,190142.6,190142.3,56652.1,56652.1,56652.1,46248.3,46248.3,46248.3,286762.1,286762.1,286762.1,0.0,0.0,0.0,0.0,0.0,0.0,374308.4,374308.2,374307.9,17232.2,17232.2,17232.2,76550.2,76550.2,76550.2,215405.8,215405.4,215404.8
2022-10-02,18.58.42.06,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,35.0,25.0,190193.6,56657.0,46280.0,286788.1,0.0,0.0,374348.7,17238.7,76554.7,215472.1,4.166666666666666,0.0217770034843205,Inspecting,-0.3,1.0,0.0,35.1,25.0,190193.6,56657.0,46280.0,286788.0,0.0,0.0,374348.6,17238.6,76554.7,215472.1,-0.3,-0.3,-0.3,1.0,1.0,1.0,0.0,0.0,0.0,35.1,35.4,35.9,25.0,27.0,34.0,190193.6,190193.6,190193.6,56657.0,56656.9,56656.9,46280.0,46280.0,46280.0,286788.0,286787.8,286787.6,0.0,0.0,0.0,0.0,0.0,0.0,374348.6,374348.5,374348.3,17238.6,17238.5,17238.5,76554.7,76554.7,76554.7,215472.1,215472.1,215472.1
2022-10-08,06.27.52.02,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,26.3,24.0,190341.2,56686.4,46331.0,286914.2,0.0,0.0,374541.9,17276.3,76578.8,215700.3,4.0,0.0209059233449477,Inspecting,-0.3,1.0,0.0,26.3,24.0,190341.2,56686.4,46331.0,286914.1,0.0,0.0,374541.9,17276.3,76578.8,215700.3,-0.3,-0.3,-0.3,1.0,1.4,1.3,0.0,0.0,0.0,26.3,26.3,26.4,24.0,24.0,25.0,190341.2,190341.2,190341.2,56686.4,56686.4,56686.3,46331.0,46331.0,46331.0,286914.1,286913.9,286913.6,0.0,0.0,0.0,0.0,0.0,0.0,374541.9,374541.7,374541.4,17276.3,17276.2,17276.1,76578.8,76578.8,76578.8,215700.3,215700.3,215700.3
2022-10-08,07.24.18.33,Status : Parallel Mode,Operation Auto Inverter Only,-0.4,0.5,0.0,25.5,25.0,190341.2,56686.7,46331.0,286915.1,0.0,0.0,374542.6,17276.8,76578.8,215700.3,4.166666666666666,0.0217770034843205,Inspecting,-0.3,0.5,0.0,25.5,25.0,190341.2,56686.7,46331.0,286915.1,0.0,0.0,374542.6,17276.8,76578.8,215700.3,-0.3,-0.3,-0.3,0.5,0.7,0.7,0.0,0.0,0.0,25.5,25.6,25.7,25.0,24.0,24.0,190341.2,190341.2,190341.2,56686.7,56686.6,56686.6,46331.0,46331.0,46331.0,286915.1,286914.9,286914.8,0.0,0.0,0.0,0.0,0.0,0.0,374542.6,374542.4,374542.4,17276.8,17276.7,17276.6,76578.8,76578.8,76578.8,215700.3,215700.3,215700.3
