Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-02,06.48.23.16,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.4,0.0,30.8,35.0,189020.1,56515.9,46061.2,285405.8,0.0,0.0,372152.8,16979.2,76324.2,213720.8,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.3,0.0,30.7,30.0,189020.1,56515.9,46061.2,285405.7,0.0,0.0,372152.7,16979.2,76324.2,213720.8,-0.3,-0.3,-0.3,0.3,0.8,0.5,0.0,0.0,0.0,30.7,30.7,30.7,30.0,26.0,24.0,189020.1,189020.1,189020.1,56515.9,56515.8,56515.8,46061.2,46061.2,46061.2,285405.7,285405.6,285405.4,0.0,0.0,0.0,0.0,0.0,0.0,372152.7,372152.7,372152.5,16979.2,16979.1,16979.0,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,12.32.47.59,Status : Parallel Mode,Operation Auto Inverter Only,5.9,9.3,4.4,38.9,252.0,189031.6,56516.9,46061.3,285419.2,0.0,0.0,372176.7,16980.0,76334.9,213748.0,42.0,0.1916349809885931,Inspecting,5.9,9.3,4.4,38.8,253.0,189031.5,56516.9,46061.3,285419.1,0.0,0.0,372176.5,16980.0,76334.9,213747.9,5.9,6.1,4.7,9.3,9.6,8.1,4.4,4.1,4.8,38.8,39.7,42.6,253.0,241.0,499.0,189031.5,189030.6,189029.6,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.1,285418.5,285418.0,0.0,0.0,0.0,0.0,0.0,0.0,372176.5,372175.0,372173.4,16980.0,16979.6,16979.3,76334.9,76334.9,76334.9,213747.9,213747.2,213746.3
2022-09-02,12.40.55.59,Status : Parallel Mode,Operation Auto Inverter Only,6.6,9.5,4.6,38.4,252.0,189032.7,56516.9,46061.3,285419.5,0.0,0.0,372178.1,16980.5,76334.9,213748.6,42.0,0.1916349809885931,Inspecting,10.9,10.9,4.2,38.9,246.0,189031.8,56516.9,46061.3,285419.2,0.0,0.0,372176.8,16980.2,76334.9,213748.0,10.9,5.9,5.9,10.9,9.3,9.3,4.2,4.4,4.4,38.9,38.9,38.8,246.0,252.0,253.0,189031.8,189031.6,189031.5,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.2,285419.2,285419.1,0.0,0.0,0.0,0.0,0.0,0.0,372176.8,372176.7,372176.5,16980.2,16980.0,16980.0,76334.9,76334.9,76334.9,213748.0,213748.0,213747.9
2022-09-02,13.21.47.24,Status : Parallel Mode,Operation Auto Inverter Only,4.7,11.1,1.9,36.4,132.0,189036.3,56516.9,46061.3,285423.8,0.0,0.0,372186.0,16982.6,76334.9,213750.8,22.0,0.1003802281368821,Inspecting,4.3,10.9,3.8,37.6,216.0,189035.5,56516.9,46061.3,285422.7,0.0,0.0,372184.0,16982.1,76334.9,213750.3,4.3,4.3,7.5,10.9,10.6,13.9,3.8,3.3,2.8,37.6,37.1,37.6,216.0,196.0,172.0,189035.5,189034.7,189033.8,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285422.7,285421.6,285420.5,0.0,0.0,0.0,0.0,0.0,0.0,372184.0,372182.2,372180.2,16982.1,16981.8,16981.2,76334.9,76334.9,76334.9,213750.3,213749.7,213749.2
2022-09-02,14.23.39.29,Status : Parallel Mode,Operation Auto Inverter Only,5.8,9.2,2.4,34.9,153.0,189042.8,56516.9,46061.3,285427.2,0.0,0.0,372195.9,16988.2,76334.9,213752.6,25.5,0.1163498098859315,Inspecting,4.8,8.2,2.4,34.9,150.0,189042.7,56516.9,46061.3,285427.1,0.0,0.0,372195.7,16988.1,76334.9,213752.6,4.8,5.5,6.5,8.2,8.9,9.7,2.4,1.6,1.5,34.9,34.8,35.2,150.0,115.0,108.0,189042.7,189041.9,189040.9,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285427.1,285426.5,285426.0,0.0,0.0,0.0,0.0,0.0,0.0,372195.7,372194.2,372192.7,16988.1,16987.5,16986.6,76334.9,76334.9,76334.9,213752.6,213752.2,213752.0
2022-09-03,17.00.47.45,Status : Parallel Mode,Operation Auto Inverter Only,0.6,3.2,1.7,40.7,130.0,189085.9,56521.0,46063.3,285476.8,0.0,0.0,372282.5,17001.2,76357.6,213828.5,21.666666666666664,0.0988593155893536,Inspecting,2.5,2.5,1.9,40.6,139.0,189085.8,56521.0,46063.3,285476.7,0.0,0.0,372282.3,17001.2,76357.6,213828.4,2.5,-0.1,5.2,2.5,2.0,3.9,1.9,1.4,6.7,40.6,41.0,41.6,139.0,147.0,490.0,189085.8,189085.8,189085.6,56521.0,56521.0,56521.0,46063.3,46063.3,46063.2,285476.7,285476.7,285476.7,0.0,0.0,0.0,0.0,0.0,0.0,372282.3,372282.3,372282.1,17001.2,17001.2,17001.2,76357.6,76357.6,76357.6,213828.4,213828.3,213828.0
2022-09-03,17.11.54.64,Status : Parallel Mode,Operation Auto Inverter Only,4.1,3.1,6.9,40.6,446.0,189086.3,56521.0,46063.4,285477.1,0.0,0.0,372283.0,17001.3,76357.6,213829.2,74.33333333333333,0.3391634980988593,Monitoring,1.0,3.0,1.9,40.1,133.0,189085.9,56521.0,46063.3,285476.9,0.0,0.0,372282.6,17001.3,76357.6,213828.5,1.0,2.8,0.6,3.0,2.8,3.2,1.9,1.9,1.7,40.1,40.4,40.7,133.0,132.0,130.0,189085.9,189085.9,189085.9,56521.0,56521.0,56521.0,46063.3,46063.3,46063.3,285476.9,285476.8,285476.8,0.0,0.0,0.0,0.0,0.0,0.0,372282.6,372282.5,372282.5,17001.3,17001.3,17001.2,76357.6,76357.6,76357.6,213828.5,213828.5,213828.5
2022-09-03,19.25.02.92,Status : Parallel Mode,Operation Auto Inverter Only,-0.2,1.8,0.0,37.3,25.0,189088.4,56521.4,46064.2,285479.4,0.0,0.0,372286.4,17001.5,76357.7,213833.4,4.166666666666666,0.0190114068441064,Inspecting,-0.3,1.9,0.0,37.4,27.0,189088.4,56521.3,46064.2,285479.4,0.0,0.0,372286.3,17001.5,76357.7,213833.4,-0.3,-0.3,-0.3,1.9,1.8,1.9,0.0,0.0,0.0,37.4,37.6,38.1,27.0,33.0,39.0,189088.4,189088.4,189088.4,56521.3,56521.3,56521.2,46064.2,46064.2,46064.2,285479.4,285479.0,285478.6,0.0,0.0,0.0,0.0,0.0,0.0,372286.3,372286.0,372285.7,17001.5,17001.4,17001.3,76357.7,76357.7,76357.7,213833.4,213833.4,213833.4
2022-09-05,13.24.20.41,Status : Parallel Mode,Operation Auto Inverter Only,3.6,7.8,4.5,41.2,1061.0,189162.0,56529.7,46083.2,285519.6,0.0,0.0,372372.8,17011.9,76366.9,213934.6,176.83333333333331,0.8068441064638783,Running,6.4,9.3,8.7,42.1,1076.0,189161.5,56529.7,46083.2,285519.4,0.0,0.0,372372.0,17011.9,76366.9,213933.9,6.4,8.2,2.5,9.3,9.7,8.8,8.7,9.5,4.7,42.1,42.2,43.6,1076.0,1082.0,1142.0,189161.5,189160.6,189159.6,56529.7,56529.7,56529.7,46083.2,46083.2,46083.2,285519.4,285518.8,285518.2,0.0,0.0,0.0,0.0,0.0,0.0,372372.0,372370.6,372369.0,17011.9,17011.9,17011.8,76366.9,76366.9,76366.8,213933.9,213932.8,213931.5
2022-09-05,19.19.11.67,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,37.2,25.0,189179.8,56530.2,46085.0,285533.3,0.0,0.0,372401.9,17012.4,76367.5,213961.3,4.166666666666666,0.0190114068441064,Inspecting,-0.3,1.2,0.0,37.2,27.0,189179.8,56530.2,46085.0,285533.2,0.0,0.0,372401.8,17012.3,76367.5,213961.3,-0.3,-0.3,-0.3,1.2,1.2,0.7,0.0,0.0,0.1,37.2,37.4,37.7,27.0,33.0,45.0,189179.8,189179.8,189179.8,56530.2,56530.1,56530.1,46085.0,46085.0,46085.0,285533.2,285532.9,285532.7,0.0,0.0,0.0,0.0,0.0,0.0,372401.8,372401.6,372401.4,17012.3,17012.2,17012.2,76367.5,76367.5,76367.5,213961.3,213961.3,213961.3
