Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-07-01,06.03.32.90,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.6,37.0,186523.9,56231.6,45373.5,283514.4,0.0,0.0,368723.2,16558.5,75956.0,210075.6,6.166666666666666,0.0263720598717034,Inspecting,-0.3,-0.2,0.0,29.5,35.0,186523.9,56231.6,45373.5,283514.4,0.0,0.0,368723.2,16558.5,75956.0,210075.6,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,29.5,29.4,29.4,35.0,29.0,27.0,186523.9,186523.9,186523.9,56231.6,56231.5,56231.5,45373.5,45373.5,45373.5,283514.4,283514.3,283514.3,0.0,0.0,0.0,0.0,0.0,0.0,368723.2,368723.2,368723.2,16558.5,16558.4,16558.3,75956.0,75956.0,75956.0,210075.6,210075.6,210075.6
2022-07-02,06.06.07.47,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,30.9,35.0,186567.6,56235.9,45397.0,283515.9,0.0,0.0,368744.3,16564.2,75961.7,210134.1,5.833333333333333,0.0249465431218816,Inspecting,-0.3,-0.2,0.0,30.8,31.0,186567.6,56235.9,45397.0,283515.9,0.0,0.0,368744.3,16564.1,75961.7,210134.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,30.8,30.8,30.8,31.0,26.0,25.0,186567.6,186567.6,186567.6,56235.9,56235.8,56235.8,45397.0,45397.0,45397.0,283515.9,283515.8,283515.8,0.0,0.0,0.0,0.0,0.0,0.0,368744.3,368744.3,368744.3,16564.1,16564.0,16563.9,75961.7,75961.7,75961.7,210134.1,210134.1,210134.1
2022-07-03,06.05.12.77,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.5,36.0,186617.9,56240.2,45423.7,283517.4,0.0,0.0,368768.7,16569.8,75967.2,210198.2,6.0,0.0256593014967925,Inspecting,-0.3,-0.2,0.0,29.5,32.0,186617.9,56240.1,45423.7,283517.3,0.0,0.0,368768.7,16569.7,75967.2,210198.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,29.5,29.4,29.4,32.0,27.0,25.0,186617.9,186617.9,186617.9,56240.1,56240.1,56240.0,45423.7,45423.7,45423.7,283517.3,283517.3,283517.3,0.0,0.0,0.0,0.0,0.0,0.0,368768.7,368768.7,368768.7,16569.7,16569.7,16569.6,75967.2,75967.2,75967.2,210198.2,210198.2,210198.2
2022-07-04,07.05.21.41,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,29.4,35.0,186672.7,56244.6,45452.8,283519.0,0.0,0.0,368795.3,16575.6,75972.5,210268.3,5.833333333333333,0.0249465431218816,Inspecting,-0.3,-0.2,0.0,29.8,30.0,186672.7,56244.5,45452.8,283519.0,0.0,0.0,368795.3,16575.5,75972.5,210268.3,-0.3,-0.5,-0.4,-0.2,-0.2,-0.1,0.0,0.0,0.0,29.8,30.4,30.9,30.0,29.0,29.0,186672.7,186672.7,186672.7,56244.5,56244.5,56244.4,45452.8,45452.8,45452.8,283519.0,283519.0,283518.9,0.0,0.0,0.0,0.0,0.0,0.0,368795.3,368795.3,368795.3,16575.5,16575.5,16575.4,75972.5,75972.5,75972.5,210268.3,210268.3,210268.3
2022-07-05,06.11.00.40,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,32.6,35.0,186717.5,56248.5,45477.5,283520.9,0.0,0.0,368815.6,16580.5,75978.0,210328.9,5.833333333333333,0.0249465431218816,Inspecting,-0.3,-0.1,0.0,32.5,33.0,186717.5,56248.5,45477.5,283520.9,0.0,0.0,368815.6,16580.5,75978.0,210328.9,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.0,0.0,0.0,32.5,32.3,32.3,33.0,28.0,25.0,186717.5,186717.5,186717.5,56248.5,56248.4,56248.4,45477.5,45477.5,45477.5,283520.9,283520.9,283520.8,0.0,0.0,0.0,0.0,0.0,0.0,368815.6,368815.6,368815.6,16580.5,16580.4,16580.3,75978.0,75978.0,75978.0,210328.9,210328.9,210328.9
2022-07-06,06.11.41.06,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.0,0.0,33.8,36.0,186767.2,56252.7,45505.7,283524.2,0.0,0.0,368837.9,16585.0,75982.9,210395.3,6.0,0.0256593014967925,Inspecting,-0.3,0.0,0.0,33.9,32.0,186767.2,56252.7,45505.7,283524.1,0.0,0.0,368837.9,16585.0,75982.9,210395.3,-0.3,-0.3,-0.3,0.0,0.0,-0.1,0.0,0.0,0.0,33.9,33.9,34.0,32.0,27.0,25.0,186767.2,186767.2,186767.2,56252.7,56252.6,56252.6,45505.7,45505.7,45505.7,283524.1,283524.1,283524.1,0.0,0.0,0.0,0.0,0.0,0.0,368837.9,368837.9,368837.9,16585.0,16584.9,16584.8,75982.9,75982.9,75982.9,210395.3,210395.3,210395.3
2022-07-06,13.22.03.34,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,35.3,913.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,152.16666666666666,0.6507483962936564,Monitoring,14.0,6.9,19.6,34.8,914.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,14.0,1.7,0.0,6.9,0.7,0.0,19.6,3.2,1.5,34.8,34.6,39.4,914.0,172.0,128.0,186787.5,186787.1,186787.1,56253.3,56253.3,56253.3,45517.8,45517.6,45517.6,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.1,368845.1,16585.1,16585.1,16585.1,75986.9,75986.9,75986.8,210426.9,210426.5,210426.2
2022-07-06,13.23.32.94,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.1,35.9,911.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,151.83333333333331,0.6493228795438346,Monitoring,15.5,-0.7,15.9,35.3,907.0,186787.5,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.0,15.5,0.0,0.0,-0.7,0.0,0.0,15.9,1.0,0.2,35.3,35.4,35.3,907.0,900.0,913.0,186787.5,186787.5,186787.5,56253.3,56253.3,56253.3,45517.9,45517.8,45517.8,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.0,210426.9,210426.9
2022-07-06,13.25.03.78,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.3,916.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,152.66666666666666,0.6528866714183892,Monitoring,16.0,0.1,16.3,35.7,912.0,186787.6,56253.3,45517.9,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.1,16.0,0.0,0.0,0.1,0.0,0.0,16.3,1.0,0.1,35.7,35.7,35.9,912.0,908.0,911.0,186787.6,186787.5,186787.5,56253.3,56253.3,56253.3,45517.9,45517.9,45517.9,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.1,210427.0,210427.0
2022-07-06,13.26.32.04,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.8,924.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,154.0,0.6585887384176765,Monitoring,12.7,0.2,16.5,36.3,923.0,186787.7,56253.3,45518.0,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210427.2,12.7,0.0,0.0,0.2,0.0,0.0,16.5,1.1,0.2,36.3,36.3,36.3,923.0,922.0,916.0,186787.7,186787.6,186787.6,56253.3,56253.3,56253.3,45518.0,45517.9,45517.9,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.3,368845.3,368845.3,16585.1,16585.1,16585.1,75986.9,75986.9,75986.9,210427.2,210427.1,210427.1
