Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-09,05.59.47.51,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,36.8,36.0,185680.0,56134.7,44823.0,283468.5,0.0,0.0,368404.1,16422.4,75780.0,208864.7,6.0,0.0294358135731807,Inspecting,-0.3,-0.2,0.0,36.8,33.0,185680.0,56134.7,44823.0,283468.5,0.0,0.0,368404.1,16422.4,75780.0,208864.7,-0.3,-0.3,-0.3,-0.2,-0.1,-0.2,0.0,0.0,0.0,36.8,36.7,36.3,33.0,28.0,26.0,185680.0,185680.0,185680.0,56134.7,56134.7,56134.6,44823.0,44823.0,44823.0,283468.5,283468.5,283468.4,0.0,0.0,0.0,0.0,0.0,0.0,368404.1,368404.1,368404.1,16422.4,16422.3,16422.3,75780.0,75780.0,75780.0,208864.7,208864.7,208864.7
2022-06-11,05.59.12.54,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,34.3,36.0,185765.5,56143.4,44875.1,283471.9,0.0,0.0,368439.6,16433.2,75795.2,208979.4,6.0,0.0294358135731807,Inspecting,-0.3,-0.2,0.0,34.0,31.0,185765.5,56143.3,44875.1,283471.8,0.0,0.0,368439.6,16433.1,75795.2,208979.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,34.0,34.8,35.3,31.0,26.0,24.0,185765.5,185765.5,185765.5,56143.3,56143.3,56143.2,44875.1,44875.1,44875.1,283471.8,283471.8,283471.8,0.0,0.0,0.0,0.0,0.0,0.0,368439.6,368439.6,368439.6,16433.1,16433.0,16432.9,75795.2,75795.2,75795.2,208979.4,208979.4,208979.4
2022-06-12,06.02.28.69,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,36.2,36.0,185802.8,56147.8,44897.7,283473.5,0.0,0.0,368455.3,16438.8,75806.2,209036.1,6.0,0.0294358135731807,Inspecting,-0.3,-0.2,0.0,36.2,36.0,185802.8,56147.8,44897.7,283473.5,0.0,0.0,368455.3,16438.8,75806.2,209036.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,36.2,36.1,35.9,36.0,30.0,26.0,185802.8,185802.8,185802.8,56147.8,56147.7,56147.7,44897.7,44897.7,44897.7,283473.5,283473.5,283473.5,0.0,0.0,0.0,0.0,0.0,0.0,368455.3,368455.3,368455.3,16438.8,16438.8,16438.7,75806.2,75806.2,75806.2,209036.1,209036.1,209036.1
2022-06-12,20.44.02.99,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,42.4,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.3,-0.2,0.0,42.3,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,-0.3,-0.3,-0.3,-0.2,-0.1,-0.2,0.0,0.0,0.0,42.3,42.8,42.9,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.4,56149.3,56149.3,44923.1,44923.1,44923.1,283474.2,283474.2,283474.2,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16439.9,16439.8,16439.7,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-14,05.59.07.42,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.4,-0.2,0.0,36.5,39.0,185882.7,56156.5,44946.1,283476.8,0.0,0.0,368488.7,16450.1,75826.0,209151.4,6.5,0.0318887980376124,Inspecting,-0.3,-0.2,0.0,36.7,30.0,185882.7,56156.5,44946.1,283476.8,0.0,0.0,368488.7,16450.1,75826.0,209151.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,36.7,36.8,36.8,30.0,25.0,24.0,185882.7,185882.7,185882.7,56156.5,56156.4,56156.4,44946.1,44946.1,44946.1,283476.8,283476.8,283476.8,0.0,0.0,0.0,0.0,0.0,0.0,368488.7,368488.7,368488.7,16450.1,16450.0,16449.9,75826.0,75826.0,75826.0,209151.4,209151.4,209151.4
2022-06-15,06.04.57.47,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,36.5,39.0,185916.9,56160.9,44967.0,283478.4,0.0,0.0,368502.9,16455.7,75836.9,209205.0,6.5,0.0318887980376124,Inspecting,-0.3,-0.2,0.0,36.3,32.0,185916.9,56160.9,44967.0,283478.4,0.0,0.0,368502.9,16455.7,75836.9,209205.0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,36.3,36.3,36.1,32.0,27.0,25.0,185916.9,185916.9,185916.9,56160.9,56160.9,56160.8,44967.0,44967.0,44967.0,283478.4,283478.4,283478.4,0.0,0.0,0.0,0.0,0.0,0.0,368502.9,368502.9,368502.9,16455.7,16455.6,16455.5,75836.9,75836.9,75836.9,209205.0,209205.0,209205.0
2022-06-16,06.07.22.48,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,35.7,36.0,185952.4,56165.6,44988.7,283480.2,0.0,0.0,368519.2,16461.4,75847.1,209258.8,6.0,0.0294358135731807,Inspecting,-0.3,-0.2,0.0,35.5,29.0,185952.4,56165.6,44988.7,283480.2,0.0,0.0,368519.2,16461.3,75847.1,209258.8,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,35.5,35.5,35.5,29.0,26.0,25.0,185952.4,185952.4,185952.4,56165.6,56165.5,56165.5,44988.7,44988.7,44988.7,283480.2,283480.2,283480.2,0.0,0.0,0.0,0.0,0.0,0.0,368519.2,368519.2,368519.2,16461.3,16461.2,16461.1,75847.1,75847.1,75847.1,209258.8,209258.8,209258.8
2022-06-17,06.03.12.84,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,30.5,35.0,185971.5,56170.9,45000.2,283482.5,0.0,0.0,368527.8,16467.8,75856.3,209295.2,5.833333333333333,0.0286181520850367,Inspecting,-0.3,-0.2,0.0,30.4,31.0,185971.5,56170.8,45000.2,283482.5,0.0,0.0,368527.8,16467.8,75856.3,209295.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,30.4,30.4,30.4,31.0,27.0,25.0,185971.5,185971.5,185971.5,56170.8,56170.8,56170.7,45000.2,45000.2,45000.2,283482.5,283482.5,283482.5,0.0,0.0,0.0,0.0,0.0,0.0,368527.8,368527.8,368527.8,16467.8,16467.7,16467.6,75856.3,75856.3,75856.3,209295.2,209295.2,209295.2
2022-06-17,19.01.42.97,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,32.9,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16468.4,75862.8,209354.1,4.0,0.0196238757154538,Inspecting,-0.3,-0.2,0.0,37.9,25.0,186016.2,56172.1,45028.6,283483.1,0.0,0.0,368544.8,16468.3,75862.8,209354.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,37.9,37.9,38.6,25.0,25.0,28.0,186016.2,186016.2,186016.2,56172.1,56172.1,56172.0,45028.6,45028.6,45028.6,283483.1,283483.1,283483.1,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16468.3,16468.3,16468.2,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-18,13.18.57.53,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.9,1058.0,186038.0,56175.0,45042.1,283484.1,0.0,0.0,368554.5,16477.0,75870.3,209387.6,176.33333333333331,0.8650858544562551,Running,20.5,7.6,19.4,36.4,1150.0,186038.0,56175.0,45042.1,283484.1,0.0,0.0,368554.5,16477.0,75870.3,209387.5,20.5,6.3,13.6,7.6,2.3,5.1,19.4,6.6,14.1,36.4,36.1,34.7,1150.0,443.0,698.0,186038.0,186037.8,186036.0,56175.0,56175.0,56175.0,45042.1,45042.0,45040.9,283484.1,283484.1,283484.1,0.0,0.0,0.0,0.0,0.0,0.0,368554.5,368554.5,368553.8,16477.0,16477.0,16477.0,75870.3,75870.3,75870.2,209387.5,209387.3,209385.5
