Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-01,06.38.39.50,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,32.2,36.0,188984.6,56511.0,46059.0,285368.5,0.0,0.0,372087.2,16964.5,76317.3,213675.7,6.0,0.0273764258555133,Inspecting,-0.3,0.8,0.0,32.3,25.0,188984.6,56510.9,46059.0,285368.3,0.0,0.0,372087.1,16964.4,76317.3,213675.7,-0.3,-0.3,-0.3,0.8,1.4,1.3,0.0,0.0,0.0,32.3,32.3,32.3,25.0,24.0,24.0,188984.6,188984.6,188984.6,56510.9,56510.9,56510.8,46059.0,46059.0,46059.0,285368.3,285368.1,285367.8,0.0,0.0,0.0,0.0,0.0,0.0,372087.1,372086.9,372086.6,16964.4,16964.4,16964.3,76317.3,76317.3,76317.3,213675.7,213675.7,213675.7
2022-09-02,03.49.29.69,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,4.0,0.0182509505703422,Inspecting,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.0,46061.2,285403.0,0.0,0.0,372150.8,16977.8,76324.2,213720.8,-0.3,-0.2,-0.4,0.5,1.5,0.8,0.0,0.0,0.0,31.3,31.3,31.3,24.0,24.0,24.0,189020.0,189020.0,189020.0,56515.0,56515.0,56514.9,46061.2,46061.2,46061.2,285403.0,285402.8,285402.6,0.0,0.0,0.0,0.0,0.0,0.0,372150.8,372150.7,372150.5,16977.8,16977.8,16977.7,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-04,06.42.36.45,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.2,0.0,31.7,35.0,189088.4,56524.7,46064.2,285494.8,0.0,0.0,372298.4,17006.3,76357.7,213833.4,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.3,0.0,31.7,30.0,189088.4,56524.7,46064.2,285494.7,0.0,0.0,372298.3,17006.2,76357.7,213833.4,-0.3,-0.3,-0.3,0.3,0.3,0.7,0.0,0.0,0.0,31.7,31.8,31.8,30.0,26.0,25.0,189088.4,189088.4,189088.4,56524.7,56524.7,56524.6,46064.2,46064.2,46064.2,285494.7,285494.6,285494.5,0.0,0.0,0.0,0.0,0.0,0.0,372298.3,372298.3,372298.2,17006.2,17006.2,17006.1,76357.7,76357.7,76357.7,213833.4,213833.4,213833.4
2022-09-05,06.45.47.90,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,30.8,35.0,189136.4,56529.1,46081.9,285508.9,0.0,0.0,372338.4,17011.6,76362.4,213897.5,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.5,0.0,30.7,29.0,189136.4,56529.1,46081.9,285508.8,0.0,0.0,372338.3,17011.5,76362.4,213897.5,-0.3,-0.3,-0.3,0.5,0.5,0.7,0.0,0.0,0.0,30.7,30.7,30.7,29.0,26.0,24.0,189136.4,189136.4,189136.4,56529.1,56529.0,56529.0,46081.9,46081.9,46081.9,285508.8,285508.6,285508.5,0.0,0.0,0.0,0.0,0.0,0.0,372338.3,372338.2,372338.1,17011.5,17011.5,17011.4,76362.4,76362.4,76362.4,213897.5,213897.5,213897.5
2022-09-06,06.48.38.73,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,31.0,34.0,189179.8,56533.6,46085.0,285550.5,0.0,0.0,372415.6,17017.2,76367.5,213961.3,5.666666666666666,0.0258555133079847,Inspecting,-0.3,0.8,0.0,31.1,31.0,189179.8,56533.6,46085.0,285550.4,0.0,0.0,372415.6,17017.2,76367.5,213961.3,-0.3,-0.3,-0.3,0.8,1.2,1.2,0.0,0.0,0.0,31.1,31.2,31.1,31.0,28.0,25.0,189179.8,189179.8,189179.8,56533.6,56533.6,56533.5,46085.0,46085.0,46085.0,285550.4,285550.2,285550.0,0.0,0.0,0.0,0.0,0.0,0.0,372415.6,372415.4,372415.2,17017.2,17017.1,17017.1,76367.5,76367.5,76367.5,213961.3,213961.3,213961.3
2022-09-07,06.46.23.43,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,31.5,35.0,189220.9,56537.9,46087.6,285586.6,0.0,0.0,372486.0,17026.1,76375.6,214022.9,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.5,0.0,31.4,33.0,189220.9,56537.9,46087.6,285586.5,0.0,0.0,372486.0,17026.1,76375.6,214022.9,-0.3,0.0,-0.3,0.5,1.2,0.5,0.0,0.0,0.0,31.4,31.2,30.8,33.0,27.0,25.0,189220.9,189220.9,189220.9,56537.9,56537.9,56537.8,46087.6,46087.6,46087.6,285586.5,285586.4,285586.3,0.0,0.0,0.0,0.0,0.0,0.0,372486.0,372485.9,372485.8,17026.1,17026.0,17026.0,76375.6,76375.6,76375.6,214022.9,214022.9,214022.9
2022-09-08,06.46.53.34,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.2,1.6,0.0,32.3,35.0,189262.0,56542.4,46089.6,285622.1,0.0,0.0,372556.2,17033.2,76382.6,214087.7,5.833333333333333,0.026615969581749,Inspecting,-0.4,0.5,0.0,32.2,32.0,189262.0,56542.4,46089.6,285622.0,0.0,0.0,372556.1,17033.2,76382.6,214087.7,-0.4,-0.5,-0.3,0.5,0.7,0.9,0.0,0.0,0.0,32.2,32.1,32.1,32.0,27.0,25.0,189262.0,189262.0,189262.0,56542.4,56542.3,56542.3,46089.6,46089.6,46089.6,285622.0,285621.8,285621.6,0.0,0.0,0.0,0.0,0.0,0.0,372556.1,372556.0,372555.9,17033.2,17033.1,17033.1,76382.6,76382.6,76382.6,214087.7,214087.7,214087.7
2022-09-09,06.48.17.85,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.2,1.4,0.0,32.5,35.0,189304.7,56546.8,46092.1,285660.4,0.0,0.0,372630.3,17039.2,76387.9,214151.6,5.833333333333333,0.026615969581749,Inspecting,-0.2,1.3,0.0,32.4,30.0,189304.7,56546.8,46092.1,285660.3,0.0,0.0,372630.2,17039.2,76387.9,214151.6,-0.2,-0.4,-0.3,1.3,0.7,0.7,0.0,0.0,0.0,32.4,32.5,32.5,30.0,26.0,24.0,189304.7,189304.7,189304.7,56546.8,56546.8,56546.7,46092.1,46092.1,46092.1,285660.3,285660.1,285659.9,0.0,0.0,0.0,0.0,0.0,0.0,372630.2,372630.1,372629.9,17039.2,17039.1,17039.0,76387.9,76387.9,76387.9,214151.6,214151.6,214151.6
2022-09-11,06.48.43.76,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.9,0.0,31.3,37.0,189387.8,56555.9,46096.6,285743.2,0.0,0.0,372782.7,17055.5,76404.4,214282.5,6.166666666666666,0.0281368821292775,Inspecting,-0.3,0.8,0.0,31.3,30.0,189387.8,56555.9,46096.6,285743.0,0.0,0.0,372782.5,17055.5,76404.4,214282.5,-0.3,-0.3,-0.3,0.8,0.8,1.9,0.0,0.0,0.0,31.3,31.4,31.4,30.0,26.0,25.0,189387.8,189387.8,189387.8,56555.9,56555.8,56555.8,46096.6,46096.6,46096.6,285743.0,285742.8,285742.6,0.0,0.0,0.0,0.0,0.0,0.0,372782.5,372782.4,372782.2,17055.5,17055.4,17055.3,76404.4,76404.4,76404.4,214282.5,214282.5,214282.5
2022-09-12,06.50.35.87,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,30.5,35.0,189432.8,56560.4,46121.5,285761.3,0.0,0.0,372816.3,17060.9,76409.2,214346.2,5.833333333333333,0.026615969581749,Inspecting,-0.3,0.5,0.0,30.5,34.0,189432.8,56560.4,46121.5,285761.3,0.0,0.0,372816.3,17060.9,76409.2,214346.2,-0.3,-0.3,-0.3,0.5,0.4,0.8,0.0,0.0,0.0,30.5,30.4,30.3,34.0,29.0,26.0,189432.8,189432.8,189432.8,56560.4,56560.3,56560.3,46121.5,46121.5,46121.5,285761.3,285761.2,285761.0,0.0,0.0,0.0,0.0,0.0,0.0,372816.3,372816.3,372816.2,17060.9,17060.8,17060.8,76409.2,76409.2,76409.2,214346.2,214346.2,214346.2
