Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-01,19.37.06.29,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.0,0.0,35.3,24.0,187765.4,56366.4,45740.4,284437.6,0.0,0.0,370400.3,16765.3,76162.3,211945.1,4.0,0.0168539325842696,Inspecting,-0.5,0.9,0.0,35.4,24.0,187765.4,56366.4,45740.4,284437.6,0.0,0.0,370400.3,16765.2,76162.3,211945.1,-0.5,-0.3,-0.3,0.9,0.9,1.0,0.0,0.0,0.0,35.4,35.4,35.5,24.0,29.0,34.0,187765.4,187765.4,187765.4,56366.4,56366.3,56366.3,45740.4,45740.4,45740.4,284437.6,284437.4,284437.2,0.0,0.0,0.0,0.0,0.0,0.0,370400.3,370400.1,370400.0,16765.2,16765.2,16765.1,76162.3,76162.3,76162.3,211945.1,211945.1,211945.1
2022-08-02,19.29.05.16,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.0,0.0,34.0,24.0,187815.4,56370.7,45752.6,284463.7,0.0,0.0,370460.0,16770.6,76166.8,212011.8,4.0,0.0168539325842696,Inspecting,-0.3,1.0,0.0,34.1,25.0,187815.4,56370.7,45752.6,284463.6,0.0,0.0,370459.9,16770.6,76166.8,212011.8,-0.3,-0.3,-0.3,1.0,0.7,0.6,0.0,0.0,0.0,34.1,34.4,34.5,25.0,29.0,34.0,187815.4,187815.4,187815.4,56370.7,56370.6,56370.6,45752.6,45752.6,45752.6,284463.6,284463.4,284463.3,0.0,0.0,0.0,0.0,0.0,0.0,370459.9,370459.8,370459.7,16770.6,16770.5,16770.4,76166.8,76166.8,76166.8,212011.8,212011.8,212011.8
2022-08-03,19.23.57.14,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.4,1.0,0.0,31.8,24.0,187849.1,56375.8,45754.5,284506.2,0.0,0.0,370529.1,16776.9,76172.1,212061.7,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,32.2,25.0,187849.1,56375.7,45754.5,284505.9,0.0,0.0,370528.9,16776.8,76172.1,212061.7,-0.3,-0.3,-0.4,0.9,0.8,1.1,0.0,0.0,0.0,32.2,32.6,32.6,25.0,26.0,27.0,187849.1,187849.1,187849.1,56375.7,56375.7,56375.6,45754.5,45754.5,45754.5,284505.9,284505.6,284505.4,0.0,0.0,0.0,0.0,0.0,0.0,370528.9,370528.6,370528.5,16776.8,16776.8,16776.7,76172.1,76172.1,76172.1,212061.7,212061.7,212061.7
2022-08-04,19.35.41.07,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,32.0,24.0,187879.9,56380.9,45758.1,284539.1,0.0,0.0,370584.2,16782.7,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,32.1,24.0,187879.9,56380.9,45758.1,284539.1,0.0,0.0,370584.1,16782.7,76177.4,212109.3,-0.3,-0.3,-0.3,0.9,0.8,0.8,0.0,0.0,0.0,32.1,31.9,32.0,24.0,28.0,33.0,187879.9,187879.9,187879.9,56380.9,56380.8,56380.8,45758.1,45758.1,45758.1,284539.1,284538.8,284538.7,0.0,0.0,0.0,0.0,0.0,0.0,370584.1,370584.0,370583.8,16782.7,16782.7,16782.6,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-05,19.38.17.61,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.6,0.0,34.2,24.0,187924.1,56385.7,45761.5,284573.0,0.0,0.0,370654.1,16789.8,76183.3,212169.8,4.0,0.0168539325842696,Inspecting,-0.4,0.6,0.0,34.9,26.0,187924.1,56385.6,45761.5,284572.9,0.0,0.0,370654.0,16789.8,76183.3,212169.8,-0.4,-0.3,-0.3,0.6,0.5,0.7,0.0,0.0,0.0,34.9,35.1,35.5,26.0,32.0,32.0,187924.1,187924.1,187924.1,56385.6,56385.6,56385.5,45761.5,45761.5,45761.5,284572.9,284572.8,284572.6,0.0,0.0,0.0,0.0,0.0,0.0,370654.0,370653.9,370653.8,16789.8,16789.7,16789.6,76183.3,76183.3,76183.3,212169.8,212169.8,212169.8
2022-08-06,19.40.15.08,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.7,0.8,0.0,34.2,24.0,187961.1,56390.6,45764.6,284603.4,0.0,0.0,370713.4,16799.0,76191.3,212223.1,4.0,0.0168539325842696,Inspecting,-0.5,0.7,0.0,34.5,28.0,187961.1,56390.6,45764.6,284603.1,0.0,0.0,370713.2,16798.9,76191.3,212223.1,-0.5,-0.3,-0.3,0.7,1.5,0.9,0.0,0.0,0.1,34.5,34.8,34.9,28.0,32.0,44.0,187961.1,187961.1,187961.0,56390.6,56390.5,56390.5,45764.6,45764.6,45764.6,284603.1,284602.9,284602.6,0.0,0.0,0.0,0.0,0.0,0.0,370713.2,370713.0,370712.8,16798.9,16798.8,16798.7,76191.3,76191.3,76191.3,212223.1,212223.1,212223.1
2022-08-07,19.43.53.74,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.5,0.0,29.5,24.0,187971.0,56396.9,45768.0,284620.6,0.0,0.0,370731.0,16806.1,76196.2,212245.3,4.0,0.0168539325842696,Inspecting,-0.3,0.5,0.0,29.5,24.0,187971.0,56396.8,45768.0,284620.6,0.0,0.0,370730.9,16806.1,76196.2,212245.3,-0.3,-0.3,-0.3,0.5,0.3,0.3,0.0,0.0,0.0,29.5,29.6,29.8,24.0,28.0,33.0,187971.0,187971.0,187971.0,56396.8,56396.8,56396.7,45768.0,45768.0,45768.0,284620.6,284620.5,284620.4,0.0,0.0,0.0,0.0,0.0,0.0,370730.9,370730.9,370730.8,16806.1,16806.0,16805.9,76196.2,76196.2,76196.2,212245.3,212245.3,212245.3
2022-08-08,11.43.54.05,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,5.7,9.1,6.5,37.2,356.0,187987.3,56400.9,45771.4,284634.6,0.0,0.0,370753.8,16811.2,76200.1,212270.0,59.33333333333333,0.25,Inspecting,8.7,10.1,10.9,38.7,967.0,187986.7,56400.9,45771.4,284634.1,0.0,0.0,370752.7,16811.2,76200.1,212269.3,8.7,6.4,0.0,10.1,9.2,6.3,10.9,8.3,2.5,38.7,37.2,37.3,967.0,592.0,847.0,187986.7,187985.3,187984.4,56400.9,56400.9,56400.9,45771.4,45771.3,45771.3,284634.1,284633.8,284633.3,0.0,0.0,0.0,0.0,0.0,0.0,370752.7,370751.0,370749.6,16811.2,16811.2,16811.2,76200.1,76200.1,76200.1,212269.3,212267.7,212266.5
2022-08-10,13.31.13.47,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,0.9,8.1,4.5,39.3,363.0,188104.9,56409.8,45814.3,284691.3,0.0,0.0,370876.2,16822.7,76209.0,212421.3,60.5,0.2549157303370786,Inspecting,12.9,9.0,15.2,39.0,1004.0,188103.9,56409.8,45814.1,284691.1,0.0,0.0,370875.3,16822.7,76209.0,212420.2,12.9,16.6,12.3,9.0,9.3,8.8,15.2,18.0,12.8,39.0,38.6,40.0,1004.0,1130.0,866.0,188103.9,188102.3,188101.1,56409.8,56409.8,56409.8,45814.1,45813.6,45813.4,284691.1,284690.9,284690.5,0.0,0.0,0.0,0.0,0.0,0.0,370875.3,370873.9,370872.5,16822.7,16822.7,16822.7,76209.0,76209.0,76209.0,212420.2,212418.4,212417.0
2022-08-11,11.10.04.76,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,10.9,3.0,15.3,35.3,842.0,188144.2,56414.5,45834.6,284716.1,0.0,0.0,370915.2,16827.7,76212.7,212473.1,140.33333333333331,0.5912921348314606,Monitoring,7.2,2.4,8.2,34.5,431.0,188142.8,56414.5,45833.6,284716.1,0.0,0.0,370914.9,16827.7,76212.7,212471.7,7.2,13.6,8.1,2.4,1.9,1.6,8.2,13.3,7.7,34.5,34.4,33.8,431.0,758.0,481.0,188142.8,188141.4,188140.3,56414.5,56414.5,56414.5,45833.6,45832.6,45831.7,284716.1,284716.1,284716.1,0.0,0.0,0.0,0.0,0.0,0.0,370914.9,370914.5,370914.3,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212471.7,212470.2,212469.0
2022-08-12,12.49.18.28,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-9.2,9.8,21.9,35.0,1333.0,188191.0,56419.5,45857.4,284746.9,0.0,0.0,370965.1,16833.3,76217.0,212536.7,222.16666666666663,0.9360955056179776,Running,4.3,6.8,5.7,33.9,346.0,188190.2,56419.5,45857.2,284746.7,0.0,0.0,370964.3,16833.3,76217.0,212535.8,4.3,4.7,4.3,6.8,5.4,5.1,5.7,5.8,5.5,33.9,33.4,33.9,346.0,315.0,312.0,188190.2,188189.4,188188.8,56419.5,56419.5,56419.5,45857.2,45857.2,45857.2,284746.7,284746.5,284746.2,0.0,0.0,0.0,0.0,0.0,0.0,370964.3,370963.4,370962.4,16833.3,16833.3,16833.3,76217.0,76217.0,76217.0,212535.8,212534.8,212534.0
2022-08-15,11.30.31.12,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-11.9,5.0,18.0,34.6,1000.0,188284.9,56433.3,45891.7,284844.8,0.0,0.0,371108.8,16850.2,76230.2,212679.2,166.66666666666666,0.702247191011236,Running,2.2,1.0,3.5,34.3,427.0,188284.8,56433.3,45891.6,284844.8,0.0,0.0,371108.8,16850.2,76230.2,212679.0,2.2,11.9,8.5,1.0,2.0,1.5,3.5,13.1,8.9,34.3,35.0,34.3,427.0,639.0,474.0,188284.8,188283.2,188282.0,56433.3,56433.3,56433.3,45891.6,45890.3,45889.4,284844.8,284844.8,284844.8,0.0,0.0,0.0,0.0,0.0,0.0,371108.8,371108.5,371108.2,16850.2,16850.2,16850.2,76230.2,76230.2,76230.2,212679.0,212677.4,212676.1
2022-08-18,12.51.44.92,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,11.6,8.5,23.2,36.2,1354.0,188409.6,56447.4,45933.9,284935.9,0.0,0.0,371268.3,16870.4,76244.6,212859.0,225.66666666666663,0.9508426966292136,Running,2.4,8.7,3.5,36.9,339.0,188409.1,56447.4,45933.8,284935.5,0.0,0.0,371267.5,16870.4,76244.6,212858.4,2.4,18.2,3.5,8.7,10.4,10.5,3.5,18.4,5.6,36.9,37.0,37.4,339.0,1031.0,376.0,188409.1,188407.7,188406.8,56447.4,56447.4,56447.4,45933.8,45933.5,45933.4,284935.5,284935.0,284934.2,0.0,0.0,0.0,0.0,0.0,0.0,371267.5,371266.0,371264.3,16870.4,16870.4,16870.4,76244.6,76244.6,76244.6,212858.4,212856.7,212855.5
2022-08-21,12.01.56.77,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,17.4,8.6,18.5,39.3,1142.0,188514.6,56461.5,45973.8,285017.0,0.0,0.0,371400.5,16886.8,76255.8,213015.9,190.3333333333333,0.8019662921348314,Running,4.9,2.8,6.2,38.0,600.0,188513.4,56461.5,45973.1,285017.0,0.0,0.0,371399.9,16886.8,76255.8,213014.5,4.9,4.2,7.1,2.8,2.5,3.5,6.2,5.0,7.8,38.0,37.9,39.2,600.0,360.0,592.0,188513.4,188512.6,188511.5,56461.5,56461.5,56461.5,45973.1,45972.8,45972.3,285017.0,285017.0,285017.0,0.0,0.0,0.0,0.0,0.0,0.0,371399.9,371399.4,371398.9,16886.8,16886.8,16886.8,76255.8,76255.8,76255.8,213014.5,213013.5,213012.3
2022-08-23,10.57.47.09,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,21.3,13.2,22.4,32.2,1136.0,188611.0,56470.4,46002.2,285076.4,0.0,0.0,371518.7,16899.5,76265.8,213145.3,189.3333333333333,0.797752808988764,Running,13.1,9.2,10.1,32.5,992.0,188610.3,56470.4,46002.1,285076.2,0.0,0.0,371518.0,16899.5,76265.8,213144.5,13.1,16.8,2.1,9.2,10.5,3.2,10.1,17.1,3.7,32.5,32.1,31.3,992.0,888.0,223.0,188610.3,188608.5,188607.6,56470.4,56470.4,56470.4,46002.1,46001.6,46001.5,285076.2,285076.2,285076.1,0.0,0.0,0.0,0.0,0.0,0.0,371518.0,371516.7,371515.9,16899.5,16899.5,16899.5,76265.8,76265.8,76265.7,213144.5,213142.5,213141.5
2022-08-25,19.05.55.12,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.6,0.1,34.2,43.0,188744.9,56479.3,46023.9,285149.0,0.0,0.0,371694.8,16917.6,76281.3,213326.4,7.166666666666666,0.0301966292134831,Inspecting,-0.3,0.5,0.3,34.2,52.0,188744.9,56479.2,46023.9,285149.0,0.0,0.0,371694.7,16917.6,76281.3,213326.4,-0.3,-0.6,-0.3,0.5,0.0,0.2,0.3,0.7,0.9,34.2,34.4,34.0,52.0,81.0,100.0,188744.9,188744.9,188744.9,56479.2,56479.2,56479.1,46023.9,46023.9,46023.9,285149.0,285148.9,285148.8,0.0,0.0,0.0,0.0,0.0,0.0,371694.7,371694.7,371694.7,16917.6,16917.6,16917.6,76281.3,76281.3,76281.3,213326.4,213326.3,213326.2
2022-08-26,13.37.08.08,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,6.5,7.0,5.3,35.9,287.0,188773.4,56483.3,46027.0,285168.9,0.0,0.0,371736.0,16922.8,76285.3,213366.4,47.83333333333333,0.2015449438202247,Inspecting,4.7,8.1,4.7,37.8,271.0,188772.8,56483.3,46027.0,285168.5,0.0,0.0,371735.0,16922.7,76285.3,213365.8,4.7,3.6,9.7,8.1,7.8,9.3,4.7,5.7,9.6,37.8,39.4,39.8,271.0,457.0,841.0,188772.8,188772.2,188771.1,56483.3,56483.3,56483.3,46027.0,46027.0,46027.0,285168.5,285167.8,285167.4,0.0,0.0,0.0,0.0,0.0,0.0,371735.0,371733.7,371732.2,16922.7,16922.7,16922.7,76285.3,76285.3,76285.3,213365.8,213364.9,213363.6
2022-08-27,19.32.20.72,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.9,0.0,35.1,24.0,188836.5,56488.5,46032.4,285206.9,0.0,0.0,371826.6,16930.8,76292.4,213455.5,4.0,0.0168539325842696,Inspecting,-0.3,0.7,0.0,35.1,25.0,188836.5,56488.5,46032.4,285206.9,0.0,0.0,371826.6,16930.8,76292.4,213455.5,-0.3,-0.3,-0.3,0.7,0.8,1.2,0.0,0.0,0.0,35.1,35.3,35.5,25.0,36.0,41.0,188836.5,188836.5,188836.5,56488.5,56488.4,56488.4,46032.4,46032.4,46032.4,285206.9,285206.7,285206.5,0.0,0.0,0.0,0.0,0.0,0.0,371826.6,371826.4,371826.3,16930.8,16930.7,16930.6,76292.4,76292.4,76292.4,213455.5,213455.5,213455.5
