Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-07-01,12.59.39.86,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,10.6,4.9,11.4,41.1,1012.0,186546.5,56232.4,45385.7,283514.6,0.0,0.0,368732.7,16558.7,75961.2,210107.3,168.66666666666666,0.7213114754098361,Running,6.2,2.8,7.9,40.9,837.0,186545.9,56232.4,45385.4,283514.6,0.0,0.0,368732.4,16558.7,75961.2,210106.6,6.2,8.1,12.3,2.8,3.5,5.8,7.9,6.1,12.5,40.9,40.6,39.8,837.0,994.0,977.0,186545.9,186544.9,186543.9,56232.4,56232.4,56232.4,45385.4,45384.8,45384.3,283514.6,283514.6,283514.6,0.0,0.0,0.0,0.0,0.0,0.0,368732.4,368731.9,368731.5,16558.7,16558.7,16558.7,75961.2,75961.1,75961.1,210106.6,210105.5,210104.3
2022-07-02,19.49.47.97,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,37.2,25.0,186617.9,56237.1,45423.7,283516.3,0.0,0.0,368766.9,16564.7,75967.2,210198.2,4.166666666666666,0.0178189593727726,Inspecting,-0.3,-0.2,0.0,37.4,26.0,186617.9,56237.1,45423.7,283516.3,0.0,0.0,368766.9,16564.7,75967.2,210198.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,37.4,37.6,37.8,26.0,27.0,32.0,186617.9,186617.9,186617.9,56237.1,56237.0,56237.0,45423.7,45423.7,45423.7,283516.3,283516.3,283516.3,0.0,0.0,0.0,0.0,0.0,0.0,368766.9,368766.9,368766.9,16564.7,16564.6,16564.5,75967.2,75967.2,75967.2,210198.2,210198.2,210198.2
2022-07-03,19.48.28.23,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,32.2,24.0,186672.7,56241.2,45452.8,283517.8,0.0,0.0,368793.5,16570.2,75972.5,210268.3,4.0,0.0171062009978617,Inspecting,-0.3,-0.2,0.0,32.1,24.0,186672.7,56241.2,45452.8,283517.8,0.0,0.0,368793.5,16570.1,75972.5,210268.3,-0.3,-0.3,-0.5,-0.2,-0.1,-0.1,0.0,0.0,0.0,32.1,32.0,32.1,24.0,26.0,38.0,186672.7,186672.7,186672.7,56241.2,56241.1,56241.1,45452.8,45452.8,45452.8,283517.8,283517.8,283517.7,0.0,0.0,0.0,0.0,0.0,0.0,368793.5,368793.5,368793.5,16570.1,16570.0,16570.0,75972.5,75972.5,75972.5,210268.3,210268.3,210268.3
2022-07-04,19.46.30.35,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,36.3,24.0,186717.5,56245.4,45477.5,283519.5,0.0,0.0,368814.7,16576.0,75978.0,210328.9,4.0,0.0171062009978617,Inspecting,-0.3,-0.1,0.0,36.4,25.0,186717.5,56245.4,45477.5,283519.5,0.0,0.0,368814.7,16576.0,75978.0,210328.9,-0.3,-0.3,-0.3,-0.1,-0.2,-0.2,0.0,0.0,0.0,36.4,37.0,37.1,25.0,28.0,30.0,186717.5,186717.5,186717.5,56245.4,56245.3,56245.3,45477.5,45477.5,45477.5,283519.5,283519.5,283519.4,0.0,0.0,0.0,0.0,0.0,0.0,368814.7,368814.7,368814.7,16576.0,16575.9,16575.8,75978.0,75978.0,75978.0,210328.9,210328.9,210328.9
2022-07-05,19.47.58.75,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.1,0.0,37.5,24.0,186767.2,56249.6,45505.7,283521.8,0.0,0.0,368837.9,16580.9,75982.9,210395.3,4.0,0.0171062009978617,Inspecting,-0.3,-0.2,0.0,37.8,26.0,186767.2,56249.6,45505.7,283521.8,0.0,0.0,368837.9,16580.8,75982.9,210395.3,-0.3,-0.3,-0.3,-0.2,-0.1,0.0,0.0,0.0,0.0,37.8,37.9,38.3,26.0,30.0,29.0,186767.2,186767.2,186767.2,56249.6,56249.5,56249.5,45505.7,45505.7,45505.7,283521.8,283521.7,283521.7,0.0,0.0,0.0,0.0,0.0,0.0,368837.9,368837.9,368837.9,16580.8,16580.8,16580.7,75982.9,75982.9,75982.9,210395.3,210395.3,210395.3
2022-07-06,13.21.52.25,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,14.0,6.9,19.6,34.8,914.0,186787.5,56253.3,45517.8,283524.8,0.0,0.0,368845.3,16585.1,75986.9,210426.9,152.33333333333331,0.6514611546685674,Monitoring,1.7,0.7,3.2,34.6,172.0,186787.1,56253.3,45517.6,283524.8,0.0,0.0,368845.1,16585.1,75986.9,210426.5,1.7,0.0,1.7,0.7,0.0,0.8,3.2,1.5,3.2,34.6,39.4,39.2,172.0,128.0,239.0,186787.1,186787.1,186786.8,56253.3,56253.3,56253.3,45517.6,45517.6,45517.4,283524.8,283524.8,283524.8,0.0,0.0,0.0,0.0,0.0,0.0,368845.1,368845.1,368845.0,16585.1,16585.1,16585.1,75986.9,75986.8,75986.8,210426.5,210426.2,210425.7
2022-07-08,08.58.53.03,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.5,2.0,4.6,38.3,350.0,186803.9,56257.7,45522.2,283554.1,0.0,0.0,368882.3,16593.6,75998.8,210466.4,58.33333333333333,0.2494654312188168,Inspecting,-0.3,2.5,5.0,38.0,337.0,186803.9,56257.7,45522.2,283554.0,0.0,0.0,368882.2,16593.6,75998.6,210466.2,-0.3,0.3,-0.3,2.5,2.0,1.2,5.0,4.9,4.4,38.0,37.0,37.0,337.0,297.0,259.0,186803.9,186803.9,186803.8,56257.7,56257.7,56257.6,45522.2,45522.2,45522.2,283554.0,283553.6,283553.2,0.0,0.0,0.0,0.0,0.0,0.0,368882.2,368881.7,368881.3,16593.6,16593.6,16593.6,75998.6,75998.1,75997.5,210466.2,210465.4,210464.7
2022-07-09,19.41.38.65,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.5,1.1,0.0,30.4,24.0,186879.0,56262.5,45532.7,283633.4,0.0,0.0,369021.4,16599.8,76007.8,210587.6,4.0,0.0171062009978617,Inspecting,0.2,1.8,0.0,30.5,25.0,186879.0,56262.5,45532.7,283633.3,0.0,0.0,369021.3,16599.7,76007.8,210587.6,0.2,-0.5,-0.3,1.8,1.1,0.5,0.0,0.0,0.3,30.5,32.8,33.7,25.0,31.0,50.0,186879.0,186878.9,186878.9,56262.5,56262.5,56262.4,45532.7,45532.7,45532.7,283633.3,283633.1,283632.9,0.0,0.0,0.0,0.0,0.0,0.0,369021.3,369021.0,369020.8,16599.7,16599.5,16599.4,76007.8,76007.8,76007.8,210587.6,210587.6,210587.6
2022-07-10,11.31.11.70,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,16.8,6.8,19.0,34.7,1116.0,186884.6,56266.7,45535.0,283653.8,0.0,0.0,369040.8,16605.7,76012.5,210601.3,186.0,0.7954383464005703,Running,5.8,2.8,7.0,33.1,440.0,186883.8,56266.7,45534.5,283653.8,0.0,0.0,369040.4,16605.7,76012.5,210600.4,5.8,6.2,4.6,2.8,2.9,2.5,7.0,7.6,6.3,33.1,32.4,31.7,440.0,410.0,312.0,186883.8,186882.6,186881.7,56266.7,56266.7,56266.7,45534.5,45533.9,45533.5,283653.8,283653.8,283653.8,0.0,0.0,0.0,0.0,0.0,0.0,369040.4,369039.9,369039.4,16605.7,16605.7,16605.7,76012.5,76012.5,76012.5,210600.4,210598.9,210597.8
2022-07-11,19.44.21.67,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,1.2,0.0,35.8,25.0,186955.1,56271.0,45550.9,283696.1,0.0,0.0,369133.4,16611.9,76018.9,210707.3,4.166666666666666,0.0178189593727726,Inspecting,-0.3,1.2,0.0,36.0,25.0,186955.1,56270.9,45550.9,283695.9,0.0,0.0,369133.2,16611.8,76018.9,210707.3,-0.3,-0.3,-0.3,1.2,0.8,0.7,0.0,0.0,0.0,36.0,36.0,36.3,25.0,27.0,30.0,186955.1,186955.1,186955.1,56270.9,56270.9,56270.8,45550.9,45550.9,45550.9,283695.9,283695.7,283695.5,0.0,0.0,0.0,0.0,0.0,0.0,369133.2,369133.1,369132.9,16611.8,16611.8,16611.7,76018.9,76018.9,76018.9,210707.3,210707.3,210707.3
