Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-09,13.49.01.35,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,9.8,3.8,8.8,50.2,890.0,185707.6,56135.5,44840.1,283468.9,0.0,0.0,368414.1,16422.5,75786.4,208902.0,148.33333333333331,0.7277187244480785,Running,9.2,3.1,9.6,49.7,884.0,185707.5,56135.5,44840.0,283468.9,0.0,0.0,368414.1,16422.5,75786.3,208902.0,9.2,5.1,8.2,3.1,2.1,3.5,9.6,5.8,8.9,49.7,50.9,50.2,884.0,845.0,890.0,185707.5,185706.6,185705.9,56135.5,56135.5,56135.5,44840.0,44839.5,44839.0,283468.9,283468.9,283468.9,0.0,0.0,0.0,0.0,0.0,0.0,368414.1,368413.7,368413.4,16422.5,16422.5,16422.5,75786.3,75786.3,75786.2,208902.0,208900.9,208900.0
2022-06-11,19.34.48.91,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,43.4,26.0,185802.8,56144.7,44897.7,283472.4,0.0,0.0,368453.5,16433.6,75806.2,209036.1,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.2,0.0,43.8,29.0,185802.8,56144.6,44897.7,283472.4,0.0,0.0,368453.5,16433.5,75806.2,209036.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.2,43.8,44.4,44.9,29.0,36.0,47.0,185802.8,185802.8,185802.8,56144.6,56144.6,56144.5,44897.7,44897.7,44897.7,283472.4,283472.4,283472.4,0.0,0.0,0.0,0.0,0.0,0.0,368453.5,368453.5,368453.5,16433.5,16433.4,16433.3,75806.2,75806.2,75806.2,209036.1,209036.1,209036.1
2022-06-12,19.32.53.38,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,43.6,25.0,185844.4,56149.1,44923.1,283474.1,0.0,0.0,368470.7,16439.3,75814.9,209094.0,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.2,0.0,43.7,29.0,185844.4,56149.0,44923.1,283474.1,0.0,0.0,368470.7,16439.3,75814.9,209094.0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,43.7,43.9,44.0,29.0,33.0,36.0,185844.4,185844.4,185844.4,56149.0,56149.0,56148.9,44923.1,44923.1,44923.1,283474.1,283474.1,283474.0,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16439.3,16439.2,16439.1,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-13,19.30.25.58,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,42.8,26.0,185882.7,56153.4,44946.1,283475.8,0.0,0.0,368486.9,16444.9,75826.0,209151.4,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.2,0.0,43.0,29.0,185882.7,56153.4,44946.1,283475.8,0.0,0.0,368486.9,16444.9,75826.0,209151.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.2,43.0,43.7,44.5,29.0,35.0,51.0,185882.7,185882.7,185882.7,56153.4,56153.3,56153.3,44946.1,44946.1,44946.1,283475.8,283475.7,283475.7,0.0,0.0,0.0,0.0,0.0,0.0,368486.9,368486.9,368486.9,16444.9,16444.8,16444.7,75826.0,75826.0,75826.0,209151.4,209151.4,209151.4
2022-06-14,19.30.18.85,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,41.0,26.0,185916.9,56157.8,44967.0,283477.4,0.0,0.0,368501.1,16450.5,75836.9,209205.0,4.333333333333333,0.0212591986917416,Inspecting,-0.3,-0.2,0.0,41.0,28.0,185916.9,56157.8,44967.0,283477.3,0.0,0.0,368501.1,16450.4,75836.9,209205.0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,41.0,41.2,41.3,28.0,33.0,41.0,185916.9,185916.9,185916.9,56157.8,56157.7,56157.7,44967.0,44967.0,44967.0,283477.3,283477.3,283477.3,0.0,0.0,0.0,0.0,0.0,0.0,368501.1,368501.1,368501.1,16450.4,16450.3,16450.3,75836.9,75836.9,75836.9,209205.0,209205.0,209205.0
2022-06-15,19.31.41.27,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,40.9,25.0,185952.4,56162.4,44988.7,283479.2,0.0,0.0,368517.4,16456.1,75847.1,209258.8,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.2,0.0,41.1,27.0,185952.4,56162.4,44988.7,283479.1,0.0,0.0,368517.4,16456.0,75847.1,209258.8,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.3,41.1,41.5,42.1,27.0,32.0,52.0,185952.4,185952.4,185952.4,56162.4,56162.4,56162.3,44988.7,44988.7,44988.7,283479.1,283479.1,283479.1,0.0,0.0,0.0,0.0,0.0,0.0,368517.4,368517.4,368517.4,16456.0,16455.9,16455.8,75847.1,75847.1,75847.1,209258.8,209258.8,209258.8
2022-06-16,19.39.46.52,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,31.6,25.0,185971.5,56167.8,45000.2,283481.4,0.0,0.0,368526.0,16462.2,75856.3,209295.2,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.2,0.0,31.6,26.0,185971.5,56167.7,45000.2,283481.4,0.0,0.0,368526.0,16462.1,75856.3,209295.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,31.6,31.5,31.7,26.0,28.0,35.0,185971.5,185971.5,185971.5,56167.7,56167.7,56167.6,45000.2,45000.2,45000.2,283481.4,283481.4,283481.4,0.0,0.0,0.0,0.0,0.0,0.0,368526.0,368526.0,368526.0,16462.1,16462.0,16461.9,75856.3,75856.3,75856.3,209295.2,209295.2,209295.2
2022-06-17,18.52.51.62,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.3,-0.2,0.0,37.9,25.0,186016.2,56172.1,45028.6,283483.1,0.0,0.0,368544.8,16468.3,75862.8,209354.1,4.166666666666666,0.0204415372035977,Inspecting,-0.3,-0.2,0.0,37.9,25.0,186016.2,56172.1,45028.6,283483.1,0.0,0.0,368544.8,16468.3,75862.8,209354.1,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,37.9,38.6,38.6,25.0,28.0,28.0,186016.2,186016.2,186016.2,56172.1,56172.0,56172.0,45028.6,45028.6,45028.6,283483.1,283483.1,283483.1,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16468.3,16468.2,16468.1,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-18,13.18.46.44,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,20.5,7.6,19.4,36.4,1150.0,186038.0,56175.0,45042.1,283484.1,0.0,0.0,368554.5,16477.0,75870.3,209387.5,191.66666666666663,0.9403107113654948,Running,6.3,2.3,6.6,36.1,443.0,186037.8,56175.0,45042.0,283484.1,0.0,0.0,368554.5,16477.0,75870.3,209387.3,6.3,13.6,6.1,2.3,5.1,2.3,6.6,14.1,6.9,36.1,34.7,34.3,443.0,698.0,347.0,186037.8,186036.0,186034.9,56175.0,56175.0,56175.0,45042.0,45040.9,45040.2,283484.1,283484.1,283484.1,0.0,0.0,0.0,0.0,0.0,0.0,368554.5,368553.8,368553.4,16477.0,16477.0,16477.0,75870.3,75870.2,75870.2,209387.3,209385.5,209384.2
2022-06-19,12.07.17.89,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-11.8,-2.7,21.1,35.8,1053.0,186069.0,56179.6,45061.3,283485.8,0.0,0.0,368568.9,16485.0,75876.4,209432.7,175.5,0.8609975470155357,Running,7.0,2.7,7.6,35.7,426.0,186068.8,56179.6,45061.2,283485.8,0.0,0.0,368568.8,16485.0,75876.4,209432.5,7.0,0.9,7.7,2.7,0.3,2.8,7.6,2.0,8.3,35.7,34.9,35.1,426.0,437.0,479.0,186068.8,186067.9,186066.8,56179.6,56179.6,56179.6,45061.2,45060.7,45060.0,283485.8,283485.8,283485.8,0.0,0.0,0.0,0.0,0.0,0.0,368568.8,368568.5,368568.1,16485.0,16485.0,16485.0,75876.4,75876.4,75876.4,209432.5,209431.5,209430.3
