Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-01,19.13.46.74,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.2,0.9,0.0,32.5,24.0,189020.0,56512.4,46061.2,285393.3,0.0,0.0,372143.7,16974.0,76324.2,213720.8,4.0,0.0182509505703422,Inspecting,-0.3,0.5,0.0,32.6,26.0,189020.0,56512.4,46061.2,285393.1,0.0,0.0,372143.6,16973.9,76324.2,213720.8,-0.3,-0.4,-0.3,0.5,1.2,0.3,0.0,0.0,0.2,32.6,32.8,32.9,26.0,33.0,47.0,189020.0,189020.0,189020.0,56512.4,56512.3,56512.3,46061.2,46061.2,46061.2,285393.1,285393.0,285392.9,0.0,0.0,0.0,0.0,0.0,0.0,372143.6,372143.5,372143.4,16973.9,16973.8,16973.7,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,12.01.59.57,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,5.8,9.4,6.3,43.7,866.0,189028.6,56516.9,46061.3,285417.5,0.0,0.0,372172.0,16979.3,76334.8,213745.1,144.33333333333331,0.6585551330798478,Monitoring,5.2,9.8,6.1,43.2,1056.0,189028.5,56516.9,46061.3,285417.5,0.0,0.0,372171.9,16979.3,76334.8,213745.0,5.2,6.9,7.8,9.8,9.6,9.1,6.1,10.4,9.2,43.2,42.6,40.8,1056.0,1137.0,868.0,189028.5,189027.7,189026.7,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285417.5,285417.0,285416.5,0.0,0.0,0.0,0.0,0.0,0.0,372171.9,372170.5,372169.0,16979.3,16979.3,16979.3,76334.8,76334.8,76334.7,213745.0,213743.9,213742.7
2022-09-03,10.58.47.26,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,1.3,4.7,8.3,39.1,788.0,189051.2,56520.9,46061.3,285463.3,0.0,0.0,372236.3,17001.0,76355.4,213783.3,131.33333333333331,0.5992395437262357,Monitoring,2.1,5.6,5.1,38.6,588.0,189051.0,56520.9,46061.3,285462.8,0.0,0.0,372235.6,17001.0,76354.6,213782.1,2.1,1.3,0.3,5.6,4.8,3.7,5.1,7.9,7.5,38.6,38.9,38.5,588.0,739.0,681.0,189051.0,189050.7,189050.6,56520.9,56520.9,56520.9,46061.3,46061.3,46061.3,285462.8,285462.2,285461.7,0.0,0.0,0.0,0.0,0.0,0.0,372235.6,372234.8,372234.1,17001.0,17001.0,17001.0,76354.6,76353.4,76352.1,213782.1,213780.5,213778.9
2022-09-04,19.20.22.72,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,-0.4,0.7,0.0,37.2,25.0,189136.4,56525.7,46081.9,285497.9,0.0,0.0,372330.8,17006.8,76362.4,213897.5,4.166666666666666,0.0190114068441064,Inspecting,-0.5,0.7,0.0,37.5,26.0,189136.4,56525.6,46081.9,285497.7,0.0,0.0,372330.7,17006.7,76362.4,213897.5,-0.5,-0.3,-0.3,0.7,0.6,0.5,0.0,0.0,0.2,37.5,37.7,38.4,26.0,33.0,47.0,189136.4,189136.4,189136.4,56525.6,56525.6,56525.5,46081.9,46081.9,46081.9,285497.7,285497.5,285497.4,0.0,0.0,0.0,0.0,0.0,0.0,372330.7,372330.5,372330.4,17006.7,17006.6,17006.5,76362.4,76362.4,76362.4,213897.5,213897.5,213897.5
2022-09-05,12.16.06.62,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,2.7,8.6,3.8,40.0,994.0,189154.8,56529.7,46083.2,285515.9,0.0,0.0,372361.9,17011.8,76366.7,213925.6,165.66666666666666,0.755893536121673,Running,3.5,7.7,4.3,40.6,993.0,189154.0,56529.7,46083.2,285515.6,0.0,0.0,372360.8,17011.8,76366.7,213924.6,3.5,11.0,2.2,7.7,11.3,8.1,4.3,12.0,3.8,40.6,40.6,40.5,993.0,982.0,947.0,189154.0,189153.0,189151.8,56529.7,56529.7,56529.7,46083.2,46083.2,46083.2,285515.6,285515.1,285514.5,0.0,0.0,0.0,0.0,0.0,0.0,372360.8,372359.2,372357.5,17011.8,17011.8,17011.7,76366.7,76366.7,76366.6,213924.6,213923.3,213922.0
2022-09-06,12.22.02.15,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,4.2,10.7,4.4,40.0,261.0,189196.1,56534.2,46086.6,285562.7,0.0,0.0,372442.1,17017.4,76371.9,213987.9,43.5,0.1984790874524715,Inspecting,2.3,10.3,3.4,40.4,253.0,189195.9,56534.2,46086.6,285562.2,0.0,0.0,372441.3,17017.4,76371.9,213987.6,2.3,1.4,0.0,10.3,9.9,9.0,3.4,2.5,2.5,40.4,45.4,42.3,253.0,1002.0,988.0,189195.9,189195.2,189194.4,56534.2,56534.2,56534.2,46086.6,46086.6,46086.6,285562.2,285561.1,285560.4,0.0,0.0,0.0,0.0,0.0,0.0,372441.3,372439.6,372438.0,17017.4,17017.3,17017.3,76371.9,76371.9,76371.9,213987.6,213986.8,213985.7
2022-09-07,11.58.38.18,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,5.0,10.2,5.3,45.2,904.0,189234.4,56538.6,46088.7,285593.3,0.0,0.0,372504.5,17026.2,76380.0,214046.7,150.66666666666666,0.6874524714828897,Monitoring,5.4,9.2,6.4,45.9,917.0,189234.2,56538.6,46088.7,285593.2,0.0,0.0,372504.1,17026.2,76380.0,214046.4,5.4,0.9,7.8,9.2,6.8,9.0,6.4,3.3,8.8,45.9,44.6,45.6,917.0,907.0,889.0,189234.2,189233.3,189232.5,56538.6,56538.6,56538.6,46088.7,46088.7,46088.7,285593.2,285592.6,285592.1,0.0,0.0,0.0,0.0,0.0,0.0,372504.1,372502.7,372501.4,17026.2,17026.2,17026.2,76380.0,76380.0,76380.0,214046.4,214045.2,214044.1
2022-09-08,11.56.54.83,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,11.1,11.0,12.2,41.8,946.0,189276.5,56542.9,46090.5,285630.3,0.0,0.0,372577.4,17033.5,76386.7,214111.7,157.66666666666666,0.7193916349809886,Running,10.6,10.8,12.0,41.5,944.0,189276.3,56542.9,46090.5,285630.2,0.0,0.0,372577.2,17033.5,76386.7,214111.6,10.6,5.1,7.8,10.8,8.5,9.9,12.0,9.9,10.9,41.5,40.8,44.8,944.0,618.0,895.0,189276.3,189275.2,189274.4,56542.9,56542.9,56542.9,46090.5,46090.5,46090.5,285630.2,285629.7,285629.1,0.0,0.0,0.0,0.0,0.0,0.0,372577.2,372575.6,372574.2,17033.5,17033.5,17033.4,76386.7,76386.6,76386.6,214111.6,214110.1,214109.1
2022-09-09,11.30.34.16,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,2.7,7.6,4.3,41.8,716.0,189316.1,56547.5,46092.9,285666.8,0.0,0.0,372646.6,17039.3,76392.2,214172.7,119.33333333333331,0.5444866920152092,Monitoring,7.9,7.9,9.4,42.0,765.0,189315.5,56547.5,46092.9,285666.6,0.0,0.0,372645.8,17039.3,76392.2,214171.9,7.9,-0.2,8.3,7.9,5.8,6.0,9.4,2.1,10.3,42.0,41.3,41.2,765.0,831.0,731.0,189315.5,189314.6,189313.7,56547.5,56547.5,56547.5,46092.9,46092.8,46092.7,285666.6,285666.2,285666.0,0.0,0.0,0.0,0.0,0.0,0.0,372645.8,372644.6,372643.5,17039.3,17039.3,17039.3,76392.2,76392.1,76392.1,214171.9,214170.7,214169.5
2022-09-10,09.12.29.59,Status : Solar Control Enabled,SP99 Solar MPPT Min Chg Amps,0.0,3.1,5.3,36.1,375.0,189343.9,56551.9,46093.7,285709.1,0.0,0.0,372711.6,17047.5,76400.2,214219.9,62.5,0.2851711026615969,Inspecting,0.0,3.0,3.5,35.9,373.0,189343.9,56551.9,46093.7,285709.1,0.0,0.0,372711.5,17047.5,76400.1,214219.9,0.0,0.1,-0.3,3.0,3.2,2.9,3.5,5.0,4.9,35.9,35.9,34.8,373.0,327.0,289.0,189343.9,189343.9,189343.9,56551.9,56551.9,56551.9,46093.7,46093.7,46093.7,285709.1,285708.6,285708.0,0.0,0.0,0.0,0.0,0.0,0.0,372711.5,372711.0,372710.5,17047.5,17047.5,17047.5,76400.1,76399.5,76398.8,214219.9,214219.1,214218.2
