Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2023-02-11,12.54.50.27,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,2.2,0.2,31.0,846,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,141.0,0.8392857142857143,Running
2023-02-11,13.41.41.19,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.1,31.7,881,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,146.83333333333331,0.8740079365079364,Running
2023-02-20,09.37.06.83,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.8,0.4,26.1,276,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,46.0,0.2738095238095238,Inspecting
2023-02-20,09.49.32.81,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.4,27.5,335,190811.9,56741.5,46435.9,291262.5,0,0,379201.0,17554.5,76757.8,216645.9,55.83333333333333,0.3323412698412698,Monitoring
2023-02-20,10.00.46.79,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.3,29.0,373,190811.9,56741.5,46435.9,291262.7,0,0,379201.2,17554.5,76757.8,216645.9,62.16666666666666,0.3700396825396825,Monitoring
2023-02-20,16.33.28.26,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.1,39.9,673,190811.9,56741.5,46435.9,291282.0,0,0,379220.5,17554.5,76757.9,216647.2,112.16666666666666,0.6676587301587301,Monitoring
2023-02-21,10.43.57.23,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,31.7,561,190811.9,56741.5,46435.9,291298.7,0,0,379237.2,17555.8,76758.8,216649.2,93.5,0.5565476190476191,Monitoring
2023-02-21,12.29.46.55,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,36.3,865,190811.9,56741.5,46435.9,291303.7,0,0,379242.3,17555.8,76758.8,216649.6,144.16666666666666,0.8581349206349206,Running
2023-02-21,16.59.56.20,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,37.9,559,190811.9,56741.5,46435.9,291317.9,0,0,379256.4,17555.8,76758.8,216650.5,93.16666666666666,0.554563492063492,Monitoring
2023-02-24,12.17.28.70,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,30.1,383,190811.9,56741.5,46435.9,291400.7,0,0,379339.2,17559.6,76761.5,216658.9,63.83333333333333,0.3799603174603174,Monitoring
2023-02-24,18.02.04.21,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,32.5,316,190811.9,56741.5,46435.9,291418.1,0,0,379356.6,17559.6,76761.5,216660.0,52.66666666666666,0.3134920634920635,Monitoring
2023-02-27,03.26.07.37,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.3,0.0,22.9,27,190811.9,56741.5,46435.9,291476.5,0,0,379415.0,17563.0,76763.1,216666.2,4.5,0.0267857142857142,Inspecting
