Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-03-01,12.33.03.97,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,37.3,822,190811.9,56741.5,46435.9,291573.5,0,0,379512.0,17566.0,76765.8,216674.4,137.0,0.6884422110552764,Monitoring,0.0,4.6,0.2,35.9,811.0,190811.9,56741.5,46435.9,291573.1,0.0,0.0,379511.6,17566.0,76765.8,216674.4,0.0,0.0,0.0,4.6,3.8,4.0,0.2,0.1,0.2,35.9,36.0,36.0,811.0,785.0,759.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291573.1,291572.5,291571.8,0.0,0.0,0.0,0.0,0.0,0.0,379511.6,379511.0,379510.3,17566.0,17566.0,17566.0,76765.8,76765.8,76765.8,216674.4,216674.4,216674.3
2023-03-02,15.32.42.63,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,38.9,802,190811.9,56741.5,46435.9,291625.3,0,0,379563.8,17567.2,76766.7,216678.2,133.66666666666666,0.6716917922948074,Monitoring,0.0,3.3,0.2,40.1,816.0,190811.9,56741.5,46435.9,291625.0,0.0,0.0,379563.5,17567.2,76766.7,216678.2,0.0,0.0,0.0,3.3,4.0,4.3,0.2,0.2,0.2,40.1,39.2,38.9,816.0,841.0,867.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291625.0,291624.3,291623.6,0.0,0.0,0.0,0.0,0.0,0.0,379563.5,379562.8,379562.1,17567.2,17567.2,17567.2,76766.7,76766.7,76766.7,216678.2,216678.2,216678.2
2023-03-03,01.07.09.91,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.0,25.4,26,190811.9,56741.5,46435.9,291634.8,0,0,379573.4,17567.8,76766.7,216678.9,4.333333333333333,0.0217755443886097,Inspecting,0.0,0.4,0.0,25.4,26.0,190811.9,56741.5,46435.9,291634.8,0.0,0.0,379573.4,17567.8,76766.7,216678.9,0.0,0.0,0.0,0.4,0.4,0.9,0.0,0.0,0.0,25.4,25.2,25.2,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291634.8,291634.8,291634.6,0.0,0.0,0.0,0.0,0.0,0.0,379573.4,379573.3,379573.2,17567.8,17567.8,17567.8,76766.7,76766.7,76766.7,216678.9,216678.9,216678.9
2023-03-09,14.56.55.64,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.9,0.2,35.2,734,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,122.33333333333331,0.6147403685092127,Monitoring,0.0,1.0,0.2,35.1,1096.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.2,17576.1,76773.1,216700.8,0.0,0.0,0.0,1.0,1.0,0.9,0.2,0.2,0.2,35.1,32.1,31.6,1096.0,753.0,464.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.5,291817.4,0.0,0.0,0.0,0.0,0.0,0.0,379756.2,379756.1,379755.9,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.7,216700.7
2023-03-13,09.17.28.91,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.5,27.4,195,190811.9,56741.5,46435.9,291885.2,0,0,379823.7,17581.1,76776.5,216712.2,32.5,0.1633165829145728,Inspecting,0.0,0.5,0.6,27.0,163.0,190811.9,56741.5,46435.9,291885.1,0.0,0.0,379823.6,17581.1,76776.4,216712.2,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.8,0.9,27.0,26.4,26.0,163.0,126.0,128.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291885.1,291885.1,291885.0,0.0,0.0,0.0,0.0,0.0,0.0,379823.6,379823.6,379823.5,17581.1,17581.1,17581.1,76776.4,76776.4,76776.3,216712.2,216712.1,216711.9
2023-03-13,17.03.45.91,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,38.6,570,190811.9,56741.5,46435.9,291921.4,0,0,379859.9,17581.1,76776.6,216714.0,95.0,0.4773869346733668,Monitoring,0.0,5.5,0.2,38.9,564.0,190811.9,56741.5,46435.9,291921.3,0.0,0.0,379859.9,17581.1,76776.6,216714.0,0.0,0.0,0.0,5.5,5.4,5.7,0.2,0.2,0.2,38.9,39.7,39.2,564.0,554.0,611.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291921.3,291920.5,291919.6,0.0,0.0,0.0,0.0,0.0,0.0,379859.9,379859.0,379858.1,17581.1,17581.1,17581.1,76776.6,76776.6,76776.6,216714.0,216713.9,216713.9
2023-03-17,08.55.21.50,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,1.1,24.8,142,190811.9,56741.5,46435.9,292078.1,0,0,380016.7,17586.1,76780.2,216725.1,23.666666666666664,0.1189279731993299,Inspecting,0.0,0.9,1.2,24.7,140.0,190811.9,56741.5,46435.9,292078.1,0.0,0.0,380016.6,17586.1,76780.2,216725.0,0.0,0.0,0.0,0.9,0.9,1.1,1.2,1.7,1.1,24.7,24.9,24.7,140.0,147.0,111.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292078.1,292077.9,292077.6,0.0,0.0,0.0,0.0,0.0,0.0,380016.6,380016.4,380016.1,17586.1,17586.1,17586.1,76780.2,76780.0,76779.8,216725.0,216724.8,216724.5
2023-03-17,09.25.15.31,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.6,25.9,176,190811.9,56741.5,46435.9,292078.8,0,0,380017.4,17586.1,76780.5,216725.5,29.33333333333333,0.1474036850921272,Inspecting,0.0,1.8,0.6,25.8,204.0,190811.9,56741.5,46435.9,292078.7,0.0,0.0,380017.3,17586.1,76780.5,216725.4,0.0,0.0,0.0,1.8,1.6,1.6,0.6,0.8,0.9,25.8,25.8,25.1,204.0,216.0,166.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292078.7,292078.5,292078.2,0.0,0.0,0.0,0.0,0.0,0.0,380017.3,380017.0,380016.7,17586.1,17586.1,17586.1,76780.5,76780.4,76780.3,216725.4,216725.3,216725.2
2023-03-17,13.51.48.65,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,27.5,125,190811.9,56741.5,46435.9,292093.5,0,0,380032.1,17586.1,76780.8,216726.6,20.83333333333333,0.1046901172529313,Inspecting,0.0,4.3,0.2,29.4,111.0,190811.9,56741.5,46435.9,292092.7,0.0,0.0,380031.2,17586.1,76780.8,216726.6,0.0,0.0,0.0,4.3,4.4,4.9,0.2,0.2,0.2,29.4,29.6,30.0,111.0,123.0,160.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292092.7,292091.9,292091.1,0.0,0.0,0.0,0.0,0.0,0.0,380031.2,380030.4,380029.7,17586.1,17586.1,17586.1,76780.8,76780.8,76780.8,216726.6,216726.6,216726.5
2023-03-19,08.55.03.34,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.4,0.0,22.9,34,190811.9,56741.5,46435.9,292168.3,0,0,380106.9,17588.6,76781.8,216731.1,5.666666666666666,0.0284757118927973,Inspecting,0.0,0.6,0.0,22.9,35.0,190811.9,56741.5,46435.9,292168.3,0.0,0.0,380106.8,17588.6,76781.8,216731.1,0.0,0.0,0.0,0.6,0.7,0.8,0.0,0.1,0.0,22.9,22.8,22.5,35.0,41.0,38.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292168.3,292168.2,292168.1,0.0,0.0,0.0,0.0,0.0,0.0,380106.8,380106.7,380106.6,17588.6,17588.6,17588.6,76781.8,76781.8,76781.8,216731.1,216731.1,216731.0
