Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-05-09,11.54.36.10,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,11.6,0.4,44.2,808,184566.4,56033.7,44258.3,282766.8,0,0,367217.8,16274.3,75579.4,207393.8,134.66666666666666,0.8478488982161595,Running,0.0,0.0,0.3,43.8,809.0,184566.4,56033.7,44258.3,282766.7,0.0,0.0,367217.7,16274.3,75579.4,207393.8,0.0,0.0,0.0,0.0,0.0,12.3,0.3,0.3,0.4,43.8,43.9,44.2,809.0,805.0,805.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282766.7,282766.7,282766.7,0.0,0.0,0.0,0.0,0.0,0.0,367217.7,367217.7,367217.7,16274.3,16274.3,16274.3,75579.4,75579.4,75579.4,207393.8,207393.8,207393.8
2022-05-09,13.50.04.94,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,13.9,0.4,44.7,834,184566.4,56033.7,44258.3,282789.0,0,0,367240.1,16274.3,75580.0,207394.6,139.0,0.8751311647429172,Running,0.0,12.5,0.4,44.9,836.0,184566.4,56033.7,44258.3,282788.7,0.0,0.0,367239.7,16274.3,75580.0,207394.6,0.0,0.0,0.0,12.5,13.0,13.0,0.4,0.4,0.4,44.9,44.9,44.2,836.0,835.0,837.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282788.7,282786.7,282784.6,0.0,0.0,0.0,0.0,0.0,0.0,367239.7,367237.7,367235.6,16274.3,16274.3,16274.3,75580.0,75579.9,75579.9,207394.6,207394.5,207394.4
2022-05-10,11.53.59.21,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,11.2,0.4,42.8,802,184566.4,56033.7,44258.3,282862.0,0,0,367313.0,16275.4,75584.3,207399.9,133.66666666666666,0.8415529905561385,Running,0.0,9.4,0.4,41.4,791.0,184566.4,56033.7,44258.3,282861.2,0.0,0.0,367312.2,16275.4,75584.3,207399.9,0.0,0.0,0.0,9.4,7.8,8.5,0.4,0.4,0.4,41.4,42.1,41.8,791.0,780.0,747.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282861.2,282859.8,282858.5,0.0,0.0,0.0,0.0,0.0,0.0,367312.2,367310.9,367309.5,16275.4,16275.4,16275.4,75584.3,75584.2,75584.2,207399.9,207399.8,207399.8
2022-05-10,11.59.22.20,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,10.8,0.4,42.0,806,184566.4,56033.7,44258.3,282862.4,0,0,367313.4,16275.4,75584.3,207400.0,134.33333333333331,0.8457502623294858,Running,0.0,6.4,0.4,42.4,805.0,184566.4,56033.7,44258.3,282862.2,0.0,0.0,367313.3,16275.4,75584.3,207400.0,0.0,0.0,0.0,6.4,0.0,0.0,0.4,0.3,0.3,42.4,42.9,42.7,805.0,800.0,799.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282862.2,282862.0,282862.0,0.0,0.0,0.0,0.0,0.0,0.0,367313.3,367313.1,367313.1,16275.4,16275.4,16275.4,75584.3,75584.3,75584.3,207400.0,207400.0,207400.0
2022-05-10,12.14.23.19,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,11.1,0.4,44.3,821,184566.4,56033.7,44258.3,282864.4,0,0,367315.5,16275.4,75584.4,207400.1,136.83333333333331,0.8614900314795383,Running,0.0,8.1,0.4,42.6,822.0,184566.4,56033.7,44258.3,282863.5,0.0,0.0,367314.6,16275.4,75584.4,207400.0,0.0,0.0,0.0,8.1,0.0,10.8,0.4,0.3,0.4,42.6,41.8,42.0,822.0,806.0,806.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282863.5,282862.4,282862.4,0.0,0.0,0.0,0.0,0.0,0.0,367314.6,367313.4,367313.4,16275.4,16275.4,16275.4,75584.4,75584.3,75584.3,207400.0,207400.0,207400.0
2022-05-10,12.21.47.17,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,9.4,0.4,43.1,828,184566.4,56033.7,44258.3,282865.3,0,0,367316.3,16275.4,75584.4,207400.1,138.0,0.8688352570828962,Running,0.0,7.2,0.4,43.5,814.0,184566.4,56033.7,44258.3,282864.8,0.0,0.0,367315.9,16275.4,75584.4,207400.1,0.0,0.0,0.0,7.2,0.0,11.1,0.4,0.3,0.4,43.5,44.3,44.3,814.0,821.0,821.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282864.8,282864.4,282864.4,0.0,0.0,0.0,0.0,0.0,0.0,367315.9,367315.5,367315.5,16275.4,16275.4,16275.4,75584.4,75584.4,75584.4,207400.1,207400.1,207400.1
2022-05-10,12.28.12.16,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,9.7,0.4,43.3,827,184566.4,56033.7,44258.3,282866.1,0,0,367317.1,16275.4,75584.5,207400.2,137.83333333333331,0.8677859391395593,Running,0.0,9.7,0.4,43.3,827.0,184566.4,56033.7,44258.3,282866.1,0.0,0.0,367317.1,16275.4,75584.5,207400.2,0.0,0.0,0.0,9.7,0.0,0.0,0.4,0.3,0.3,43.3,43.0,42.8,827.0,828.0,828.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282866.1,282865.3,282865.3,0.0,0.0,0.0,0.0,0.0,0.0,367317.1,367316.4,367316.4,16275.4,16275.4,16275.4,75584.5,75584.4,75584.4,207400.2,207400.1,207400.1
2022-05-10,16.08.10.69,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,0.7,0.5,45.7,497,184566.4,56033.7,44258.3,282890.7,0,0,367341.8,16275.4,75585.6,207401.8,82.83333333333333,0.521511017838405,Monitoring,0.0,4.1,0.4,45.8,496.0,184566.4,56033.7,44258.3,282890.7,0.0,0.0,367341.8,16275.4,75585.6,207401.8,0.0,0.0,0.0,4.1,4.8,4.7,0.4,0.4,0.5,45.8,44.6,45.7,496.0,524.0,559.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282890.7,282890.0,282889.1,0.0,0.0,0.0,0.0,0.0,0.0,367341.8,367341.1,367340.2,16275.4,16275.4,16275.4,75585.6,75585.6,75585.5,207401.8,207401.7,207401.6
2022-05-10,22.05.43.23,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,0.0,0.0,37.7,28,184566.4,56033.7,44258.3,282898.5,0,0,367349.6,16275.7,75586.4,207403.1,4.666666666666666,0.0293809024134312,Inspecting,0.0,2.4,0.0,37.8,27.0,184566.4,56033.7,44258.3,282898.2,0.0,0.0,367349.3,16275.7,75586.4,207403.1,0.0,0.0,0.0,2.4,2.0,1.2,0.0,0.0,0.0,37.8,37.8,37.8,27.0,28.0,27.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282898.2,282897.9,282897.6,0.0,0.0,0.0,0.0,0.0,0.0,367349.3,367349.0,367348.7,16275.7,16275.7,16275.7,75586.4,75586.4,75586.4,207403.1,207403.1,207403.1
2022-05-11,11.18.24.74,Status : Source A CB Closed,SrcA CB Waiting for Closed,0.0,8.8,0.5,43.6,725,184566.4,56033.7,44258.3,282928.1,0,0,367379.2,16276.5,75589.2,207406.2,120.83333333333331,0.7607555089192026,Running,0.0,9.2,0.5,43.3,726.0,184566.4,56033.7,44258.3,282928.0,0.0,0.0,367379.2,16276.5,75589.2,207406.2,0.0,0.0,0.0,9.2,9.8,8.4,0.5,0.5,0.5,43.3,42.8,41.5,726.0,717.0,695.0,184566.4,184566.4,184566.4,56033.7,56033.7,56033.7,44258.3,44258.3,44258.3,282928.0,282926.5,282925.1,0.0,0.0,0.0,0.0,0.0,0.0,367379.2,367377.6,367376.2,16276.5,16276.5,16276.5,75589.2,75589.1,75589.1,207406.2,207406.1,207406.1
