Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-01,15.47.59.41,Status : Source A Cooling Down,Operation Auto Inverter Only,2.8,2.8,4.2,40.8,673.0,190136.4,56652.1,46246.3,286761.6,0.0,0.0,374303.6,17232.1,76550.1,215396.6,112.16666666666666,0.5862369337979094,Monitoring,3.8,3.8,5.0,40.7,680.0,190136.4,56652.1,46246.3,286761.6,0.0,0.0,374303.6,17232.1,76550.1,215396.6,3.8,3.8,3.9,3.8,3.8,3.9,5.0,5.2,5.3,40.7,40.2,42.3,680.0,695.0,681.0,190136.4,190136.1,190135.4,56652.1,56652.1,56652.1,46246.3,46246.3,46246.3,286761.6,286761.6,286761.6,0.0,0.0,0.0,0.0,0.0,0.0,374303.6,374303.3,374302.7,17232.1,17232.1,17232.1,76550.1,76550.1,76550.1,215396.6,215396.1,215395.3
2022-10-09,04.30.24.34,Status : Source A Cooling Down,Operation Auto Inverter Only,1.1,1.1,0.0,25.8,25.0,190344.2,56692.0,46331.1,286945.0,0.0,0.0,374570.1,17284.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,-0.3,1.4,0.0,25.8,24.0,190344.2,56692.0,46331.1,286945.0,0.0,0.0,374570.1,17284.5,76583.7,215715.1,-0.3,1.2,1.2,1.4,1.2,1.2,0.0,0.0,0.0,25.8,25.8,25.8,24.0,25.0,25.0,190344.2,190344.2,190344.2,56692.0,56691.9,56691.9,46331.1,46331.1,46331.1,286945.0,286944.8,286944.8,0.0,0.0,0.0,0.0,0.0,0.0,374570.1,374570.0,374570.0,17284.5,17284.4,17284.4,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,04.50.48.32,Status : Source A Cooling Down,Operation Auto Inverter Only,1.2,1.2,0.0,25.4,24.0,190344.5,56692.0,46331.1,286945.1,0.0,0.0,374570.5,17285.0,76583.7,215715.1,4.0,0.0209059233449477,Inspecting,1.3,1.2,0.0,25.4,25.0,190344.5,56692.0,46331.1,286945.1,0.0,0.0,374570.5,17285.0,76583.7,215715.1,1.3,1.2,-0.3,1.2,1.2,1.6,0.0,0.0,0.0,25.4,25.4,25.4,25.0,25.0,24.0,190344.5,190344.5,190344.5,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374570.5,374570.5,374570.5,17285.0,17285.0,17285.0,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.01.11.32,Status : Source A Cooling Down,Operation Auto Inverter Only,1.2,1.2,0.0,25.3,25.0,190344.7,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.4,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.3,25.0,190344.7,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.4,76583.7,215715.1,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,25.3,25.3,25.3,25.0,25.0,25.0,190344.7,190344.7,190344.7,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374570.8,374570.7,374570.7,17285.4,17285.4,17285.4,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.02.59.31,Status : Source A Cooling Down,Operation Auto Inverter Only,1.2,1.2,0.0,25.3,25.0,190344.7,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.3,25.0,190344.7,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,25.3,25.3,25.3,25.0,25.0,25.0,190344.7,190344.7,190344.7,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374570.8,374570.8,374570.8,17285.5,17285.5,17285.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.16.55.29,Status : Source A Cooling Down,Operation Auto Inverter Only,1.0,1.0,0.0,25.5,25.0,190345.0,56692.0,46331.1,286945.1,0.0,0.0,374571.1,17286.0,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.0,1.0,0.0,25.5,25.0,190345.0,56692.0,46331.1,286945.1,0.0,0.0,374571.1,17286.0,76583.7,215715.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.5,25.5,25.5,25.0,25.0,25.0,190345.0,190345.0,190345.0,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.1,374571.1,374571.1,17286.0,17286.0,17286.0,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.29.26.28,Status : Source A Cooling Down,Operation Auto Inverter Only,1.1,1.1,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.4,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.4,76583.7,215715.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.6,25.5,25.5,25.0,25.0,25.0,190345.3,190345.2,190345.2,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.3,374571.3,374571.3,17286.4,17286.4,17286.4,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.31.33.28,Status : Source A Cooling Down,Operation Auto Inverter Only,1.3,1.3,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.3,1.3,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.5,76583.7,215715.1,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,25.6,25.6,25.6,25.0,25.0,24.0,190345.3,190345.3,190345.3,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.3,374571.3,374571.3,17286.5,17286.5,17286.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.31.43.30,Status : Source A Cooling Down,Operation Auto Inverter Only,1.3,1.3,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.4,17286.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.3,1.3,0.0,25.6,25.0,190345.3,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.5,76583.7,215715.1,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,25.6,25.6,25.6,25.0,25.0,25.0,190345.3,190345.3,190345.3,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.3,374571.3,374571.3,17286.5,17286.5,17286.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.34.33.26,Status : Source A Cooling Down,Operation Auto Inverter Only,1.2,1.2,0.0,25.7,24.0,190345.4,56692.0,46331.1,286945.1,0.0,0.0,374571.4,17286.6,76583.7,215715.1,4.0,0.0209059233449477,Inspecting,1.3,1.3,0.0,25.6,25.0,190345.4,56692.0,46331.1,286945.1,0.0,0.0,374571.4,17286.6,76583.7,215715.1,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,25.6,25.6,25.6,25.0,24.0,25.0,190345.4,190345.4,190345.3,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.4,374571.4,374571.4,17286.6,17286.6,17286.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
