Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-04-03,19.19.58.10,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.2,36.2,49,190811.9,56741.5,46435.9,292876.1,0,0,380814.8,17606.7,76796.6,216783.3,8.166666666666666,0.0402298850574712,Inspecting,0.0,0.0,0.2,36.2,51.0,190811.9,56741.5,46435.9,292876.1,0.0,0.0,380814.8,17606.7,76796.6,216783.3,0.0,0.0,0.0,0.0,1.6,1.4,0.2,0.3,0.2,36.2,36.5,37.2,51.0,61.0,92.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292876.1,292876.0,292875.8,0.0,0.0,0.0,0.0,0.0,0.0,380814.8,380814.7,380814.4,17606.7,17606.7,17606.7,76796.6,76796.6,76796.6,216783.3,216783.3,216783.3
2023-04-03,19.27.05.09,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.1,35.8,40,190811.9,56741.5,46435.9,292876.2,0,0,380814.9,17606.7,76796.6,216783.4,6.666666666666666,0.0328407224958949,Inspecting,0.0,0.0,0.1,35.9,41.0,190811.9,56741.5,46435.9,292876.2,0.0,0.0,380814.9,17606.7,76796.6,216783.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,35.9,35.9,36.1,41.0,42.0,49.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292876.2,292876.2,292876.1,0.0,0.0,0.0,0.0,0.0,0.0,380814.9,380814.9,380814.8,17606.7,17606.7,17606.7,76796.6,76796.6,76796.6,216783.4,216783.4,216783.3
2023-04-04,07.43.50.42,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.1,24.7,41,190811.9,56741.5,46435.9,292891.7,0,0,380830.3,17607.9,76796.6,216783.4,6.833333333333333,0.0336617405582922,Inspecting,0.0,0.0,0.1,24.7,40.0,190811.9,56741.5,46435.9,292891.7,0.0,0.0,380830.3,17607.9,76796.6,216783.4,0.0,0.0,0.0,0.0,0.9,1.4,0.1,0.0,0.0,24.7,24.6,24.7,40.0,30.0,27.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292891.7,292891.5,292891.4,0.0,0.0,0.0,0.0,0.0,0.0,380830.3,380830.2,380830.0,17607.9,17607.9,17607.9,76796.6,76796.6,76796.6,216783.4,216783.4,216783.4
2023-04-05,17.17.27.09,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.1,38.5,544,190811.9,56741.5,46435.9,292988.1,0,0,380926.7,17609.1,76798.6,216789.8,90.66666666666666,0.4466338259441707,Monitoring,0.0,0.0,0.1,38.3,560.0,190811.9,56741.5,46435.9,292988.1,0.0,0.0,380926.7,17609.1,76798.6,216789.8,0.0,0.0,0.0,0.0,0.0,6.8,0.1,0.2,0.2,38.3,39.4,39.3,560.0,575.0,586.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292988.1,292988.1,292987.7,0.0,0.0,0.0,0.0,0.0,0.0,380926.7,380926.7,380926.3,17609.1,17609.1,17609.1,76798.6,76798.6,76798.6,216789.8,216789.8,216789.8
2023-04-07,09.40.04.57,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.3,31.2,388,190811.9,56741.5,46435.9,293075.7,0,0,381014.3,17611.4,76800.6,216795.3,64.66666666666666,0.3185550082101805,Monitoring,0.0,0.0,0.3,31.6,367.0,190811.9,56741.5,46435.9,293075.7,0.0,0.0,381014.3,17611.4,76800.6,216795.3,0.0,0.0,0.0,0.0,0.7,1.2,0.3,0.4,0.4,31.6,31.4,30.8,367.0,357.0,325.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,293075.7,293075.7,293075.5,0.0,0.0,0.0,0.0,0.0,0.0,381014.3,381014.3,381014.2,17611.4,17611.4,17611.4,76800.6,76800.6,76800.6,216795.3,216795.3,216795.2
2023-04-16,00.27.04.35,Status : Source A Stopped,SrcA Cooling Down,0.9,0.9,0.0,34.1,26,190913.9,56751.3,46471.5,293171.1,0,0,381166.4,17621.1,76811.7,216934.2,4.333333333333333,0.0213464696223316,Inspecting,-0.3,1.2,0.0,34.2,26.0,190913.8,56751.3,46471.5,293171.1,0.0,0.0,381166.2,17620.9,76811.7,216934.2,-0.3,-0.3,-0.3,1.2,1.1,0.9,0.0,0.0,0.0,34.2,34.5,35.9,26.0,26.0,26.0,190913.8,190913.8,190913.8,56751.3,56751.3,56751.3,46471.5,46471.5,46471.5,293171.1,293171.0,293170.8,0.0,0.0,0.0,0.0,0.0,0.0,381166.2,381166.2,381166.0,17620.9,17620.9,17620.9,76811.7,76811.7,76811.7,216934.2,216934.2,216934.2
2023-04-16,04.34.15.56,Status : Source A Stopped,SrcA Cooling Down,0.8,0.8,0.0,33.4,26,190914.0,56752.5,46471.5,293176.9,0,0,381171.1,17622.3,76811.7,216934.2,4.333333333333333,0.0213464696223316,Inspecting,-0.3,1.1,0.0,33.3,26.0,190914.0,56752.5,46471.5,293176.9,0.0,0.0,381171.0,17622.3,76811.7,216934.2,-0.3,-0.4,-0.3,1.1,1.2,1.1,0.0,0.0,0.0,33.3,33.2,33.8,26.0,26.0,26.0,190914.0,190914.0,190914.0,56752.5,56752.5,56752.5,46471.5,46471.5,46471.5,293176.9,293176.9,293176.6,0.0,0.0,0.0,0.0,0.0,0.0,381171.0,381171.0,381170.8,17622.3,17622.3,17622.2,76811.7,76811.7,76811.7,216934.2,216934.2,216934.2
2023-04-18,12.20.09.22,Status : Source A Stopped,SrcA Cooling Down,11.7,11.7,13.3,45.9,882,191015.4,56762.3,46506.2,293267.7,0,0,381318.8,17631.4,76824.4,217077.5,147.0,0.7241379310344828,Running,11.6,11.5,8.7,45.9,876.0,191013.5,56762.3,46506.2,293267.7,0.0,0.0,381316.9,17631.3,76824.3,217075.5,11.6,9.4,7.3,11.5,11.9,11.8,8.7,11.4,9.3,45.9,45.8,45.7,876.0,859.0,838.0,191013.5,191012.9,191012.2,56762.3,56762.3,56762.3,46506.2,46506.2,46506.2,293267.7,293267.7,293267.1,0.0,0.0,0.0,0.0,0.0,0.0,381316.9,381316.3,381315.0,17631.3,17631.3,17631.3,76824.3,76824.3,76824.3,217075.5,217074.9,217074.1
2023-04-18,12.41.07.17,Status : Source A Stopped,SrcA Cooling Down,11.9,11.8,13.2,46.7,916,191017.9,56762.3,46506.2,293269.4,0,0,381323.0,17631.4,76824.4,217080.5,152.66666666666666,0.7520525451559934,Running,5.9,11.6,8.5,46.9,912.0,191017.8,56762.3,46506.2,293269.4,0.0,0.0,381322.9,17631.4,76824.4,217080.4,5.9,7.9,4.4,11.6,11.7,11.4,8.5,8.8,7.3,46.9,47.0,45.8,912.0,912.0,913.0,191017.8,191017.8,191016.7,56762.3,56762.3,56762.3,46506.2,46506.2,46506.2,293269.4,293269.4,293268.5,0.0,0.0,0.0,0.0,0.0,0.0,381322.9,381322.9,381320.9,17631.4,17631.4,17631.4,76824.4,76824.4,76824.4,217080.4,217080.4,217079.1
2023-04-19,12.41.11.93,Status : Source A Stopped,SrcA Cooling Down,11.1,11.1,13.0,41.5,870,191064.0,56766.2,46510.3,293326.4,0,0,381418.0,17636.3,76829.8,217144.7,145.0,0.7142857142857143,Running,5.5,11.6,8.0,41.7,864.0,191063.8,56766.2,46510.3,293326.4,0.0,0.0,381417.8,17636.3,76829.8,217144.6,5.5,10.4,7.8,11.6,10.6,10.0,8.0,12.3,8.8,41.7,42.8,43.6,864.0,867.0,845.0,191063.8,191063.7,191062.8,56766.2,56766.2,56766.2,46510.3,46510.3,46510.3,293326.4,293326.3,293325.5,0.0,0.0,0.0,0.0,0.0,0.0,381417.8,381417.7,381416.0,17636.3,17636.3,17636.3,76829.8,76829.8,76829.8,217144.6,217144.5,217143.3
