Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-02-11,12.57.08.27,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,30.5,854,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,142.33333333333331,0.8472222222222221,Running,0.0,2.2,0.2,31.0,846.0,190811.9,56741.5,46435.9,291042.4,0.0,0.0,378980.9,17542.9,76750.5,216623.7,0.0,0.0,0.0,2.2,2.8,3.1,0.2,0.2,0.2,31.0,30.2,30.4,846.0,838.0,834.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291042.4,291042.3,291041.8,0.0,0.0,0.0,0.0,0.0,0.0,378980.9,378980.8,378980.3,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.7,216623.6,216623.6
2023-02-11,13.45.17.18,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,31.7,895,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,149.16666666666666,0.8878968253968254,Running,0.0,0.0,0.1,31.6,882.0,190811.9,56741.5,46435.9,291044.7,0.0,0.0,378983.2,17542.9,76750.5,216623.8,0.0,0.0,0.0,0.0,0.0,3.1,0.1,0.1,0.1,31.6,31.7,31.4,882.0,881.0,882.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291044.7,291044.7,291044.3,0.0,0.0,0.0,0.0,0.0,0.0,378983.2,378983.2,378982.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.8,216623.8,216623.7
2023-02-20,09.39.25.83,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.3,26.2,289,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,48.16666666666666,0.2867063492063492,Inspecting,0.0,0.8,0.4,26.1,276.0,190811.9,56741.5,46435.9,291262.2,0.0,0.0,379200.8,17554.5,76757.8,216645.8,0.0,0.0,0.0,0.8,0.6,0.3,0.4,0.4,0.5,26.1,25.7,24.9,276.0,252.0,213.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.2,291262.1,291262.1,0.0,0.0,0.0,0.0,0.0,0.0,379200.8,379200.6,379200.6,17554.5,17554.5,17554.5,76757.8,76757.7,76757.7,216645.8,216645.7,216645.7
2023-02-20,09.51.21.80,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.3,27.8,341,190811.9,56741.5,46435.9,291262.5,0,0,379201.0,17554.5,76757.8,216645.9,56.83333333333333,0.3382936507936507,Monitoring,0.0,0.0,0.3,27.6,338.0,190811.9,56741.5,46435.9,291262.5,0.0,0.0,379201.0,17554.5,76757.8,216645.9,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.4,0.4,27.6,27.5,26.3,338.0,335.0,291.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.5,291262.5,291262.3,0.0,0.0,0.0,0.0,0.0,0.0,379201.0,379201.0,379200.8,17554.5,17554.5,17554.5,76757.8,76757.8,76757.8,216645.9,216645.9,216645.8
2023-02-20,10.03.35.79,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.2,29.2,382,190811.9,56741.5,46435.9,291262.7,0,0,379201.2,17554.5,76757.8,216645.9,63.66666666666666,0.3789682539682539,Monitoring,0.0,0.0,0.3,29.0,373.0,190811.9,56741.5,46435.9,291262.7,0.0,0.0,379201.2,17554.5,76757.8,216645.9,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.3,29.0,29.0,28.0,373.0,373.0,341.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.7,291262.6,291262.5,0.0,0.0,0.0,0.0,0.0,0.0,379201.2,379201.2,379201.0,17554.5,17554.5,17554.5,76757.8,76757.8,76757.8,216645.9,216645.9,216645.9
2023-02-20,16.34.01.26,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,40.2,674,190811.9,56741.5,46435.9,291282.0,0,0,379220.5,17554.5,76757.9,216647.2,112.33333333333331,0.6686507936507936,Monitoring,0.0,0.0,0.1,39.9,673.0,190811.9,56741.5,46435.9,291282.0,0.0,0.0,379220.5,17554.5,76757.9,216647.2,0.0,0.0,0.0,0.0,2.0,3.5,0.1,0.2,0.2,39.9,40.1,39.8,673.0,681.0,721.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291282.0,291281.9,291281.5,0.0,0.0,0.0,0.0,0.0,0.0,379220.5,379220.4,379220.0,17554.5,17554.5,17554.5,76757.9,76757.9,76757.9,216647.2,216647.2,216647.2
2023-02-21,10.44.20.23,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.2,31.9,561,190811.9,56741.5,46435.9,291298.7,0,0,379237.2,17555.8,76758.8,216649.2,93.5,0.5565476190476191,Monitoring,0.0,0.0,0.2,31.7,561.0,190811.9,56741.5,46435.9,291298.7,0.0,0.0,379237.2,17555.8,76758.8,216649.2,0.0,0.0,0.0,0.0,2.7,2.5,0.2,0.2,0.3,31.7,31.5,31.4,561.0,552.0,511.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291298.7,291298.5,291298.1,0.0,0.0,0.0,0.0,0.0,0.0,379237.2,379237.0,379236.6,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216649.2,216649.2,216649.1
2023-02-21,12.30.16.55,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,36.6,866,190811.9,56741.5,46435.9,291303.7,0,0,379242.3,17555.8,76758.8,216649.6,144.33333333333331,0.859126984126984,Running,0.0,0.0,0.2,36.3,865.0,190811.9,56741.5,46435.9,291303.7,0.0,0.0,379242.3,17555.8,76758.8,216649.6,0.0,0.0,0.0,0.0,3.1,3.2,0.2,0.2,0.2,36.3,36.3,35.7,865.0,848.0,826.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291303.7,291303.2,291302.7,0.0,0.0,0.0,0.0,0.0,0.0,379242.3,379241.8,379241.2,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216649.6,216649.5,216649.5
2023-02-21,17.00.58.19,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,37.2,554,190811.9,56741.5,46435.9,291317.9,0,0,379256.4,17555.8,76758.8,216650.5,92.33333333333331,0.5496031746031745,Monitoring,0.0,0.0,0.2,37.6,557.0,190811.9,56741.5,46435.9,291317.9,0.0,0.0,379256.4,17555.8,76758.8,216650.5,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.2,0.2,37.6,37.9,37.1,557.0,559.0,588.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291317.9,291317.9,291317.5,0.0,0.0,0.0,0.0,0.0,0.0,379256.4,379256.4,379256.0,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216650.5,216650.5,216650.4
2023-02-24,12.21.08.69,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,30.2,502,190811.9,56741.5,46435.9,291400.7,0,0,379339.2,17559.6,76761.5,216658.9,83.66666666666666,0.4980158730158729,Monitoring,0.0,0.0,0.1,30.4,403.0,190811.9,56741.5,46435.9,291400.7,0.0,0.0,379339.2,17559.6,76761.5,216658.9,0.0,0.0,0.0,0.0,0.0,2.9,0.1,0.2,0.2,30.4,30.1,29.5,403.0,383.0,477.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291400.7,291400.7,291400.3,0.0,0.0,0.0,0.0,0.0,0.0,379339.2,379339.2,379338.8,17559.6,17559.6,17559.6,76761.5,76761.5,76761.5,216658.9,216658.9,216658.9
