Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-02,21.44.06.74,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,39.6,25.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.8,75737.9,208509.6,0.0,-0.3,-0.3,0.0,-0.1,-0.1,0.0,0.0,0.0,39.6,39.6,39.6,25.0,26.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.6,56106.6,44655.4,44655.4,44655.4,283457.2,283457.2,283457.1,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.8,16390.8,16390.7,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.20.05.62,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.4,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,0.0,-0.3,-0.3,0.0,-0.2,-0.2,0.0,0.0,0.0,37.4,38.1,38.2,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56107.0,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.7,16391.5,16391.5,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-04,00.12.22.64,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.4,25.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,0.0,-0.3,-0.3,0.0,-0.2,-0.1,0.0,0.0,0.0,37.4,37.3,37.3,25.0,26.0,26.0,185451.7,185451.7,185451.7,56111.5,56111.5,56111.4,44682.1,44682.1,44682.1,283459.0,283459.0,283459.0,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368310.3,368310.3,16396.7,16396.6,16396.6,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-12,20.44.57.88,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,42.6,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.3,-0.2,0.0,42.4,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,0.0,0.0,0.0,42.4,42.3,42.8,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.4,56149.4,56149.3,44923.1,44923.1,44923.1,283474.2,283474.2,283474.2,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16439.9,16439.9,16439.8,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-12,22.33.56.23,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,40.7,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.4,-0.2,0.0,40.8,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.8,75814.9,209094.0,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,0.0,40.8,40.8,41.2,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.9,56149.9,56149.9,44923.1,44923.1,44923.1,283474.4,283474.4,283474.4,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16440.8,16440.8,16440.7,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-12,22.43.11.27,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,40.6,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16441.0,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,-0.3,-0.1,0.0,40.7,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,-0.3,-0.2,0.0,-0.1,-0.2,0.0,0.0,0.0,0.0,40.7,40.6,40.8,24.0,24.0,24.0,185844.4,185844.4,185844.4,56150.0,56150.0,56149.9,44923.1,44923.1,44923.1,283474.4,283474.4,283474.4,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16440.9,16440.9,16440.9,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-17,23.31.29.64,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,0.0,29.4,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16472.9,75862.8,209354.1,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,29.2,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16472.8,75862.8,209354.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,29.2,29.0,24.0,24.0,24.0,186016.2,186016.2,186016.2,56172.1,56172.1,56172.1,45028.6,45028.6,45028.6,283483.2,283483.2,283483.2,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16472.8,16472.6,16472.4,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-20,07.55.21.62,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,2.8,31.6,164.0,186090.5,56183.4,45074.7,283487.3,0.0,0.0,368578.8,16492.4,75877.8,209464.2,27.33333333333333,0.1340964840556009,Inspecting,0.0,0.0,2.6,32.1,154.0,186090.5,56183.4,45074.7,283487.3,0.0,0.0,368578.8,16492.4,75877.7,209464.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.1,2.1,32.1,31.0,31.6,154.0,135.0,136.0,186090.5,186090.5,186090.5,56183.4,56183.4,56183.4,45074.7,45074.7,45074.7,283487.3,283487.3,283487.3,0.0,0.0,0.0,0.0,0.0,0.0,368578.8,368578.8,368578.8,16492.4,16492.4,16492.4,75877.7,75877.4,75877.2,209464.1,209463.7,209463.3
2022-06-20,08.32.31.57,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,4.6,34.0,284.0,186090.5,56183.6,45074.7,283487.4,0.0,0.0,368578.8,16492.4,75880.1,209466.7,47.33333333333333,0.23221586263287,Inspecting,0.0,0.2,5.2,34.2,283.0,186090.5,56183.6,45074.7,283487.4,0.0,0.0,368578.8,16492.4,75880.1,209466.6,0.0,-0.3,-0.3,0.2,-0.2,-0.2,5.2,4.7,4.0,34.2,33.6,33.2,283.0,250.0,216.0,186090.5,186090.5,186090.5,56183.6,56183.5,56183.5,45074.7,45074.7,45074.7,283487.4,283487.4,283487.3,0.0,0.0,0.0,0.0,0.0,0.0,368578.8,368578.8,368578.8,16492.4,16492.4,16492.4,75880.1,75879.4,75878.7,209466.6,209465.9,209465.2
2022-06-25,17.20.38.91,Status : Source A Stopped,SrcA Cooling Down,0.0,0.0,1.2,45.6,357.0,186373.2,56204.8,45251.3,283497.1,0.0,0.0,368691.1,16523.1,75915.6,209838.3,59.5,0.2919051512673753,Inspecting,2.5,1.0,4.0,45.4,358.0,186373.2,56204.8,45251.3,283497.1,0.0,0.0,368691.1,16523.1,75915.6,209838.3,2.5,4.1,1.2,1.0,1.5,0.5,4.0,4.9,2.9,45.4,45.1,45.8,358.0,402.0,438.0,186373.2,186372.8,186372.2,56204.8,56204.8,56204.8,45251.3,45251.0,45250.7,283497.1,283497.1,283497.1,0.0,0.0,0.0,0.0,0.0,0.0,368691.1,368691.0,368690.7,16523.1,16523.1,16523.1,75915.6,75915.6,75915.6,209838.3,209837.7,209836.9
