Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-03-01,12.39.30.93,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,37.9,839,190811.9,56741.5,46435.9,291573.5,0,0,379512.0,17566.0,76765.8,216674.4,139.83333333333331,0.702680067001675,Running,0.0,0.0,0.1,36.7,821.0,190811.9,56741.5,46435.9,291573.5,0.0,0.0,379512.0,17566.0,76765.8,216674.4,0.0,0.0,0.0,0.0,0.0,4.6,0.1,0.2,0.2,36.7,37.3,35.9,821.0,822.0,811.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291573.5,291573.5,291573.1,0.0,0.0,0.0,0.0,0.0,0.0,379512.0,379512.0,379511.6,17566.0,17566.0,17566.0,76765.8,76765.8,76765.8,216674.4,216674.4,216674.4
2023-03-02,15.36.46.63,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,39.6,803,190811.9,56741.5,46435.9,291625.3,0,0,379563.8,17567.2,76766.7,216678.3,133.83333333333331,0.6725293132328307,Monitoring,0.0,0.0,0.2,38.9,802.0,190811.9,56741.5,46435.9,291625.3,0.0,0.0,379563.8,17567.2,76766.7,216678.2,0.0,0.0,0.0,0.0,3.3,4.0,0.2,0.2,0.2,38.9,40.1,39.2,802.0,816.0,841.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291625.3,291625.0,291624.3,0.0,0.0,0.0,0.0,0.0,0.0,379563.8,379563.5,379562.8,17567.2,17567.2,17567.2,76766.7,76766.7,76766.7,216678.2,216678.2,216678.2
2023-03-03,01.07.55.91,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.0,25.4,27,190811.9,56741.5,46435.9,291634.8,0,0,379573.4,17567.8,76766.7,216678.9,4.5,0.0226130653266331,Inspecting,0.0,0.0,0.0,25.4,26.0,190811.9,56741.5,46435.9,291634.8,0.0,0.0,379573.4,17567.8,76766.7,216678.9,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,25.4,25.4,25.2,26.0,26.0,26.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291634.8,291634.8,291634.8,0.0,0.0,0.0,0.0,0.0,0.0,379573.4,379573.4,379573.3,17567.8,17567.8,17567.8,76766.7,76766.7,76766.7,216678.9,216678.9,216678.9
2023-03-13,09.20.14.91,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.4,27.8,216,190811.9,56741.5,46435.9,291885.2,0,0,379823.7,17581.1,76776.5,216712.2,36.0,0.1809045226130653,Inspecting,0.0,0.0,0.5,27.4,195.0,190811.9,56741.5,46435.9,291885.2,0.0,0.0,379823.7,17581.1,76776.5,216712.2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.8,27.4,27.0,26.4,195.0,163.0,126.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291885.2,291885.1,291885.1,0.0,0.0,0.0,0.0,0.0,0.0,379823.7,379823.6,379823.6,17581.1,17581.1,17581.1,76776.5,76776.4,76776.4,216712.2,216712.2,216712.1
2023-03-13,17.04.20.91,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,38.8,572,190811.9,56741.5,46435.9,291921.4,0,0,379859.9,17581.1,76776.6,216714.0,95.33333333333331,0.4790619765494137,Monitoring,0.0,0.0,0.2,38.6,570.0,190811.9,56741.5,46435.9,291921.4,0.0,0.0,379859.9,17581.1,76776.6,216714.0,0.0,0.0,0.0,0.0,5.5,5.4,0.2,0.2,0.2,38.6,38.9,39.7,570.0,564.0,554.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291921.4,291921.3,291920.5,0.0,0.0,0.0,0.0,0.0,0.0,379859.9,379859.9,379859.0,17581.1,17581.1,17581.1,76776.6,76776.6,76776.6,216714.0,216714.0,216713.9
2023-03-17,08.58.29.49,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.8,25.2,146,190811.9,56741.5,46435.9,292078.1,0,0,380016.7,17586.1,76780.3,216725.1,24.33333333333333,0.1222780569514237,Inspecting,0.0,0.0,1.1,24.8,142.0,190811.9,56741.5,46435.9,292078.1,0.0,0.0,380016.7,17586.1,76780.2,216725.1,0.0,0.0,0.0,0.0,0.9,0.9,1.1,1.2,1.7,24.8,24.7,24.9,142.0,140.0,147.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292078.1,292078.1,292077.9,0.0,0.0,0.0,0.0,0.0,0.0,380016.7,380016.6,380016.4,17586.1,17586.1,17586.1,76780.2,76780.2,76780.0,216725.1,216725.0,216724.8
2023-03-17,09.25.33.31,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.5,25.9,174,190811.9,56741.5,46435.9,292078.8,0,0,380017.4,17586.1,76780.5,216725.5,29.0,0.1457286432160804,Inspecting,0.0,0.0,0.6,25.9,176.0,190811.9,56741.5,46435.9,292078.8,0.0,0.0,380017.4,17586.1,76780.5,216725.5,0.0,0.0,0.0,0.0,1.8,1.6,0.6,0.6,0.8,25.9,25.8,25.8,176.0,204.0,216.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292078.8,292078.7,292078.5,0.0,0.0,0.0,0.0,0.0,0.0,380017.4,380017.3,380017.0,17586.1,17586.1,17586.1,76780.5,76780.5,76780.4,216725.5,216725.4,216725.3
2023-03-17,13.54.55.64,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,27.1,123,190811.9,56741.5,46435.9,292093.5,0,0,380032.1,17586.1,76780.8,216726.6,20.5,0.1030150753768844,Inspecting,0.0,0.0,0.2,27.5,125.0,190811.9,56741.5,46435.9,292093.5,0.0,0.0,380032.1,17586.1,76780.8,216726.6,0.0,0.0,0.0,0.0,0.0,4.3,0.2,0.2,0.2,27.5,27.5,29.4,125.0,125.0,111.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292093.5,292093.5,292092.7,0.0,0.0,0.0,0.0,0.0,0.0,380032.1,380032.1,380031.2,17586.1,17586.1,17586.1,76780.8,76780.8,76780.8,216726.6,216726.6,216726.6
2023-03-19,08.56.07.34,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.0,22.6,34,190811.9,56741.5,46435.9,292168.3,0,0,380106.9,17588.6,76781.8,216731.1,5.666666666666666,0.0284757118927973,Inspecting,0.0,0.4,0.0,22.9,34.0,190811.9,56741.5,46435.9,292168.3,0.0,0.0,380106.9,17588.6,76781.8,216731.1,0.0,0.0,0.0,0.4,0.6,0.7,0.0,0.0,0.1,22.9,22.9,22.8,34.0,35.0,41.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292168.3,292168.3,292168.2,0.0,0.0,0.0,0.0,0.0,0.0,380106.9,380106.8,380106.7,17588.6,17588.6,17588.6,76781.8,76781.8,76781.8,216731.1,216731.1,216731.1
2023-03-19,15.22.31.72,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,30.3,933,190811.9,56741.5,46435.9,292172.0,0,0,380110.6,17588.6,76782.7,216733.3,155.5,0.7814070351758794,Running,0.0,0.0,0.2,31.0,868.0,190811.9,56741.5,46435.9,292172.0,0.0,0.0,380110.6,17588.6,76782.7,216733.3,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.2,31.0,31.3,31.3,868.0,879.0,944.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292172.0,292172.0,292172.0,0.0,0.0,0.0,0.0,0.0,0.0,380110.6,380110.6,380110.5,17588.6,17588.6,17588.6,76782.7,76782.7,76782.7,216733.3,216733.3,216733.3
