Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-10-01,12.17.41.54,Status : Source A Stopped,SrcA Cooling Down,9.8,9.8,11.0,39.3,895.0,190113.7,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,149.16666666666666,0.7796167247386759,Running
2022-10-01,12.23.46.53,Status : Source A Stopped,SrcA Cooling Down,9.9,9.9,11.1,40.7,898.0,190114.7,56652.1,46246.1,286756.7,0.0,0.0,374277.2,17231.0,76549.0,215370.7,149.66666666666666,0.7822299651567944,Running
2022-10-01,13.34.59.43,Status : Source A Stopped,SrcA Cooling Down,8.2,8.2,9.3,41.4,952.0,190122.1,56652.1,46246.2,286761.2,0.0,0.0,374289.0,17231.1,76549.1,215379.7,158.66666666666666,0.8292682926829269,Running
2022-10-01,14.04.33.37,Status : Source A Stopped,SrcA Cooling Down,8.3,8.3,10.1,41.0,899.0,190125.6,56652.1,46246.3,286761.6,0.0,0.0,374292.8,17231.2,76549.3,215383.7,149.83333333333331,0.7831010452961672,Running
2022-10-01,15.47.49.27,Status : Source A Stopped,SrcA Cooling Down,3.8,3.8,5.0,40.7,680.0,190136.4,56652.1,46246.3,286761.6,0.0,0.0,374303.6,17232.1,76550.1,215396.6,113.33333333333331,0.5923344947735192,Monitoring
2022-10-01,16.19.37.22,Status : Source A Stopped,SrcA Cooling Down,3.2,3.2,4.4,39.9,555.0,190139.2,56652.1,46247.5,286761.8,0.0,0.0,374305.4,17232.1,76550.1,215400.2,92.5,0.4834494773519164,Monitoring
2022-10-01,17.40.59.08,Status : Source A Stopped,SrcA Cooling Down,0.7,0.7,2.0,38.5,180.0,190142.9,56652.1,46248.3,286762.2,0.0,0.0,374308.6,17232.2,76550.2,215406.1,30.0,0.156794425087108,Inspecting
2022-10-09,04.36.36.21,Status : Source A Stopped,SrcA Cooling Down,1.1,1.1,0.0,25.8,25.0,190344.3,56692.0,46331.1,286945.1,0.0,0.0,374570.3,17284.6,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting
2022-10-09,04.43.01.20,Status : Source A Stopped,SrcA Cooling Down,1.1,1.1,0.0,25.8,25.0,190344.4,56692.0,46331.1,286945.1,0.0,0.0,374570.4,17284.8,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting
2022-10-09,04.51.41.19,Status : Source A Stopped,SrcA Cooling Down,1.3,1.3,0.0,25.4,25.0,190344.5,56692.0,46331.1,286945.1,0.0,0.0,374570.6,17285.1,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting
2022-10-09,05.04.02.18,Status : Source A Stopped,SrcA Cooling Down,1.2,1.2,0.0,25.4,25.0,190344.8,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting
2022-10-09,05.12.49.17,Status : Source A Stopped,SrcA Cooling Down,1.8,1.8,0.0,25.4,25.0,190344.9,56692.0,46331.1,286945.1,0.0,0.0,374571.0,17285.8,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting
