Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-05,13.24.45.20,Status : Source A Stopped,SrcA Cooling Down,10.7,10.7,4.5,41.1,1073.0,189162.1,56529.7,46083.2,285519.6,0.0,0.0,372372.9,17011.9,76366.9,213934.6,178.83333333333331,0.8159695817490494,Running,10.7,10.8,6.0,41.2,1068.0,189162.0,56529.7,46083.2,285519.6,0.0,0.0,372372.9,17011.9,76366.9,213934.6,10.7,3.6,6.4,10.8,7.8,9.3,6.0,4.5,8.7,41.2,41.2,42.1,1068.0,1061.0,1076.0,189162.0,189162.0,189161.5,56529.7,56529.7,56529.7,46083.2,46083.2,46083.2,285519.6,285519.6,285519.4,0.0,0.0,0.0,0.0,0.0,0.0,372372.9,372372.8,372372.0,17011.9,17011.9,17011.9,76366.9,76366.9,76366.9,213934.6,213934.6,213933.9
2022-09-06,18.32.25.04,Status : Source A Stopped,SrcA Cooling Down,1.0,1.0,0.8,39.1,84.0,189220.8,56534.3,46087.6,285574.7,0.0,0.0,372477.7,17021.1,76375.6,214022.7,14.0,0.0638783269961977,Inspecting,1.2,1.2,0.9,39.4,92.0,189220.8,56534.3,46087.6,285574.7,0.0,0.0,372477.7,17021.0,76375.6,214022.7,1.2,1.1,1.0,1.2,1.1,1.0,0.9,1.4,2.0,39.4,40.3,40.6,92.0,124.0,160.0,189220.8,189220.6,189220.4,56534.3,56534.3,56534.3,46087.6,46087.6,46087.6,285574.7,285574.7,285574.7,0.0,0.0,0.0,0.0,0.0,0.0,372477.7,372477.5,372477.3,17021.0,17020.9,17020.8,76375.6,76375.6,76375.6,214022.7,214022.5,214022.2
2022-09-08,12.58.41.58,Status : Source A Stopped,SrcA Cooling Down,11.2,11.2,13.4,44.7,1032.0,189283.1,56542.9,46090.5,285633.6,0.0,0.0,372587.4,17034.1,76387.4,214120.0,172.0,0.7847908745247149,Running,7.1,8.6,5.6,44.8,495.0,189283.1,56542.9,46090.5,285633.6,0.0,0.0,372587.4,17034.1,76387.4,214120.0,7.1,8.6,6.1,8.6,9.8,9.7,5.6,11.2,5.2,44.8,44.0,43.2,495.0,1009.0,294.0,189283.1,189282.8,189282.2,56542.9,56542.9,56542.9,46090.5,46090.5,46090.5,285633.6,285633.5,285633.3,0.0,0.0,0.0,0.0,0.0,0.0,372587.4,372587.0,372586.1,17034.1,17034.1,17034.1,76387.4,76387.3,76387.3,214120.0,214119.6,214118.9
2022-09-08,12.58.55.58,Status : Source A Stopped,SrcA Cooling Down,11.3,11.3,12.7,44.6,1011.0,189283.2,56542.9,46090.5,285633.6,0.0,0.0,372587.4,17034.1,76387.4,214120.1,168.5,0.7688212927756655,Running,11.2,11.2,13.4,44.7,1032.0,189283.1,56542.9,46090.5,285633.6,0.0,0.0,372587.4,17034.1,76387.4,214120.0,11.2,7.1,8.6,11.2,8.6,9.8,13.4,5.6,11.2,44.7,44.8,44.0,1032.0,495.0,1009.0,189283.1,189283.1,189282.8,56542.9,56542.9,56542.9,46090.5,46090.5,46090.5,285633.6,285633.6,285633.5,0.0,0.0,0.0,0.0,0.0,0.0,372587.4,372587.4,372587.0,17034.1,17034.1,17034.1,76387.4,76387.4,76387.3,214120.0,214120.0,214119.6
2022-09-08,13.04.15.58,Status : Source A Stopped,SrcA Cooling Down,11.0,10.9,14.8,45.3,1023.0,189284.0,56542.9,46090.5,285633.7,0.0,0.0,372588.4,17034.2,76387.4,214121.0,170.5,0.7779467680608365,Running,10.9,10.9,14.5,45.2,1023.0,189283.9,56542.9,46090.5,285633.7,0.0,0.0,372588.3,17034.2,76387.4,214120.9,10.9,10.7,1.7,10.9,10.7,10.0,14.5,11.2,1.9,45.2,44.9,44.9,1023.0,1027.0,1028.0,189283.9,189283.8,189283.7,56542.9,56542.9,56542.9,46090.5,46090.5,46090.5,285633.7,285633.7,285633.7,0.0,0.0,0.0,0.0,0.0,0.0,372588.3,372588.2,372588.1,17034.2,17034.2,17034.1,76387.4,76387.4,76387.4,214120.9,214120.7,214120.7
2022-09-09,12.59.19.02,Status : Source A Stopped,SrcA Cooling Down,12.4,12.3,4.1,41.0,243.0,189327.2,56547.5,46092.9,285672.9,0.0,0.0,372663.8,17041.6,76393.7,214185.8,40.5,0.1847908745247148,Inspecting,12.5,12.5,4.0,40.9,240.0,189327.1,56547.5,46092.9,285672.9,0.0,0.0,372663.7,17041.5,76393.7,214185.8,12.5,12.8,11.4,12.5,12.9,12.3,4.0,4.0,3.9,40.9,40.8,40.8,240.0,235.0,234.0,189327.1,189327.0,189326.9,56547.5,56547.5,56547.5,46092.9,46092.9,46092.9,285672.9,285672.9,285672.9,0.0,0.0,0.0,0.0,0.0,0.0,372663.7,372663.6,372663.6,17041.5,17041.4,17041.4,76393.7,76393.7,76393.7,214185.8,214185.8,214185.7
2022-09-13,16.53.47.24,Status : Source A Stopped,SrcA Cooling Down,2.4,2.4,1.4,34.7,107.0,189516.0,56565.7,46132.2,285818.0,0.0,0.0,372940.2,17075.0,76427.1,214472.7,17.833333333333332,0.0813688212927756,Inspecting,3.1,3.2,1.7,34.7,123.0,189515.9,56565.7,46132.2,285818.0,0.0,0.0,372940.2,17074.9,76427.1,214472.7,3.1,3.3,5.9,3.2,3.3,4.7,1.7,4.5,8.5,34.7,35.3,35.9,123.0,586.0,604.0,189515.9,189515.4,189515.1,56565.7,56565.7,56565.7,46132.2,46132.2,46132.2,285818.0,285818.0,285818.0,0.0,0.0,0.0,0.0,0.0,0.0,372940.2,372939.7,372939.3,17074.9,17074.7,17074.6,76427.1,76427.1,76427.0,214472.7,214472.1,214471.5
2022-09-13,16.54.36.24,Status : Source A Stopped,SrcA Cooling Down,2.3,2.3,1.4,34.6,106.0,189516.0,56565.7,46132.2,285818.0,0.0,0.0,372940.3,17075.0,76427.1,214472.8,17.666666666666664,0.0806083650190114,Inspecting,2.4,2.4,1.4,34.5,106.0,189516.0,56565.7,46132.2,285818.0,0.0,0.0,372940.3,17075.0,76427.1,214472.8,2.4,2.4,2.4,2.4,2.4,2.4,1.4,1.4,1.4,34.5,34.5,34.7,106.0,106.0,107.0,189516.0,189516.0,189516.0,56565.7,56565.7,56565.7,46132.2,46132.2,46132.2,285818.0,285818.0,285818.0,0.0,0.0,0.0,0.0,0.0,0.0,372940.3,372940.3,372940.2,17075.0,17075.0,17075.0,76427.1,76427.1,76427.1,214472.8,214472.8,214472.7
2022-09-13,17.31.10.18,Status : Source A Stopped,SrcA Cooling Down,2.0,2.0,5.4,34.8,322.0,189517.3,56565.7,46132.2,285818.0,0.0,0.0,372941.6,17075.6,76427.7,214475.2,53.66666666666666,0.2448669201520912,Inspecting,2.0,2.0,2.4,34.8,151.0,189517.1,56565.7,46132.2,285818.0,0.0,0.0,372941.3,17075.6,76427.5,214474.6,2.0,1.5,2.6,2.0,1.5,2.6,2.4,9.1,2.5,34.8,35.2,34.1,151.0,521.0,156.0,189517.1,189516.7,189516.4,56565.7,56565.7,56565.7,46132.2,46132.2,46132.2,285818.0,285818.0,285818.0,0.0,0.0,0.0,0.0,0.0,0.0,372941.3,372941.0,372940.6,17075.6,17075.4,17075.3,76427.5,76427.4,76427.1,214474.6,214474.0,214473.0
2022-09-13,18.44.02.59,Status : Source A Stopped,SrcA Cooling Down,1.3,1.3,0.1,33.7,39.0,189518.9,56565.7,46132.2,285818.1,0.0,0.0,372943.3,17076.6,76428.0,214477.8,6.5,0.029657794676806,Inspecting,0.5,0.5,0.1,33.7,41.0,189518.9,56565.7,46132.2,285818.1,0.0,0.0,372943.3,17076.6,76428.0,214477.8,0.5,1.4,0.7,0.5,1.4,0.7,0.1,0.6,1.0,33.7,33.9,34.2,41.0,61.0,104.0,189518.9,189518.8,189518.6,56565.7,56565.7,56565.7,46132.2,46132.2,46132.2,285818.1,285818.1,285818.1,0.0,0.0,0.0,0.0,0.0,0.0,372943.3,372943.1,372942.9,17076.6,17076.3,17076.1,76428.0,76428.0,76428.0,214477.8,214477.7,214477.6
