Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-05,01.13.11.10,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.8,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,-0.3,-0.3,-0.3,0.8,0.9,0.7,0.0,0.0,0.0,31.5,31.5,31.6,24.0,24.0,24.0,187879.9,187879.9,187879.9,56382.6,56382.6,56382.5,45758.1,45758.1,45758.1,284546.6,284546.5,284546.3,0.0,0.0,0.0,0.0,0.0,0.0,370590.0,370589.9,370589.8,16785.3,16785.2,16785.2,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-08,11.44.47.65,Status : Source A Warming Up,SrcA Startup,11.8,11.8,7.1,37.5,373.0,187987.5,56400.9,45771.4,284634.6,0.0,0.0,370753.9,16811.3,76200.1,212270.1,62.16666666666666,0.261938202247191,Inspecting,5.7,9.1,6.5,37.2,356.0,187987.3,56400.9,45771.4,284634.6,0.0,0.0,370753.8,16811.2,76200.1,212270.0,5.7,8.7,6.4,9.1,10.1,9.2,6.5,10.9,8.3,37.2,38.7,37.2,356.0,967.0,592.0,187987.3,187986.7,187985.3,56400.9,56400.9,56400.9,45771.4,45771.4,45771.3,284634.6,284634.1,284633.8,0.0,0.0,0.0,0.0,0.0,0.0,370753.8,370752.7,370751.0,16811.2,16811.2,16811.2,76200.1,76200.1,76200.1,212270.0,212269.3,212267.7
2022-08-09,14.44.11.38,Status : Source A Warming Up,SrcA Startup,0.9,0.8,2.0,38.8,286.0,188055.2,56405.4,45791.6,284659.9,0.0,0.0,370822.2,16817.4,76204.9,212356.5,47.66666666666666,0.2008426966292135,Inspecting,2.3,1.9,6.2,39.1,309.0,188055.2,56405.4,45791.6,284659.9,0.0,0.0,370822.2,16817.4,76204.9,212356.4,2.3,3.0,16.9,1.9,2.3,7.4,6.2,3.8,17.0,39.1,38.5,39.0,309.0,380.0,1075.0,188055.2,188054.3,188053.0,56405.4,56405.4,56405.4,45791.6,45791.2,45790.5,284659.9,284659.9,284659.9,0.0,0.0,0.0,0.0,0.0,0.0,370822.2,370821.8,370821.2,16817.4,16817.4,16817.4,76204.9,76204.9,76204.9,212356.4,212355.5,212354.0
2022-08-11,11.15.18.25,Status : Source A Warming Up,SrcA Startup,3.2,3.2,4.2,35.1,613.0,188144.4,56414.5,45834.6,284716.1,0.0,0.0,370915.5,16827.7,76212.7,212473.5,102.16666666666666,0.4304775280898876,Monitoring,3.0,3.0,3.7,35.2,657.0,188144.4,56414.5,45834.6,284716.1,0.0,0.0,370915.4,16827.7,76212.7,212473.4,3.0,2.9,10.9,3.0,2.9,3.0,3.7,3.7,15.3,35.2,34.9,35.3,657.0,804.0,842.0,188144.4,188144.3,188144.2,56414.5,56414.5,56414.5,45834.6,45834.6,45834.6,284716.1,284716.1,284716.1,0.0,0.0,0.0,0.0,0.0,0.0,370915.4,370915.4,370915.2,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212473.4,212473.3,212473.1
2022-08-14,00.29.38.23,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,31.5,25.0,188246.7,56425.9,45865.6,284813.8,0.0,0.0,371073.1,16842.1,76221.9,212616.8,4.166666666666666,0.0175561797752808,Inspecting,1.0,1.0,0.0,31.5,24.0,188246.7,56425.9,45865.6,284813.8,0.0,0.0,371073.1,16842.0,76221.9,212616.8,1.0,0.9,0.8,1.0,0.9,0.8,0.0,0.0,0.0,31.5,31.6,31.5,24.0,25.0,24.0,188246.7,188246.6,188246.5,56425.9,56425.9,56425.9,45865.6,45865.6,45865.6,284813.8,284813.8,284813.8,0.0,0.0,0.0,0.0,0.0,0.0,371073.1,371073.0,371072.9,16842.0,16842.0,16841.7,76221.9,76221.9,76221.9,212616.8,212616.8,212616.8
2022-08-15,12.08.14.57,Status : Source A Warming Up,SrcA Startup,0.0,0.0,1.5,34.8,658.0,188288.9,56433.3,45894.8,284844.8,0.0,0.0,371109.6,16850.2,76230.2,212683.6,109.66666666666666,0.4620786516853932,Monitoring,15.6,2.0,16.1,34.3,1339.0,188288.9,56433.3,45894.8,284844.8,0.0,0.0,371109.6,16850.2,76230.2,212683.6,15.6,3.0,11.7,2.0,1.3,1.3,16.1,3.8,11.5,34.3,34.8,34.9,1339.0,323.0,659.0,188288.9,188288.1,188286.9,56433.3,56433.3,56433.3,45894.8,45894.2,45893.3,284844.8,284844.8,284844.8,0.0,0.0,0.0,0.0,0.0,0.0,371109.6,371109.4,371109.2,16850.2,16850.2,16850.2,76230.2,76230.2,76230.2,212683.6,212682.7,212681.4
2022-08-18,13.49.59.60,Status : Source A Warming Up,SrcA Startup,9.0,9.0,6.5,36.2,358.0,188415.0,56447.4,45934.4,284940.1,0.0,0.0,371277.4,16870.5,76244.7,212866.1,59.66666666666666,0.2514044943820225,Inspecting,1.1,8.8,2.7,36.4,375.0,188414.9,56447.4,45934.4,284940.1,0.0,0.0,371277.3,16870.5,76244.7,212866.1,1.1,8.6,0.8,8.8,8.8,9.2,2.7,11.2,2.7,36.4,35.9,36.3,375.0,789.0,664.0,188414.9,188414.8,188414.0,56447.4,56447.4,56447.4,45934.4,45934.4,45934.4,284940.1,284939.9,284939.1,0.0,0.0,0.0,0.0,0.0,0.0,371277.3,371277.0,371275.4,16870.5,16870.5,16870.5,76244.7,76244.7,76244.7,212866.1,212865.8,212864.8
2022-08-25,19.06.46.72,Status : Source A Warming Up,SrcA Startup,0.7,0.7,0.1,34.2,41.0,188744.9,56479.3,46023.9,285149.0,0.0,0.0,371694.8,16917.6,76281.3,213326.4,6.833333333333333,0.0287921348314606,Inspecting,-0.3,0.6,0.1,34.2,43.0,188744.9,56479.3,46023.9,285149.0,0.0,0.0,371694.8,16917.6,76281.3,213326.4,-0.3,-0.3,-0.6,0.6,0.5,0.0,0.1,0.3,0.7,34.2,34.2,34.4,43.0,52.0,81.0,188744.9,188744.9,188744.9,56479.3,56479.2,56479.2,46023.9,46023.9,46023.9,285149.0,285149.0,285148.9,0.0,0.0,0.0,0.0,0.0,0.0,371694.8,371694.7,371694.7,16917.6,16917.6,16917.6,76281.3,76281.3,76281.3,213326.4,213326.4,213326.3
2022-08-26,13.44.34.07,Status : Source A Warming Up,SrcA Startup,10.4,10.4,3.4,35.0,206.0,188774.6,56483.3,46027.0,285168.9,0.0,0.0,371737.2,16923.6,76285.3,213367.0,34.33333333333333,0.1446629213483146,Inspecting,10.4,10.4,3.4,35.2,206.0,188774.5,56483.3,46027.0,285168.9,0.0,0.0,371737.1,16923.5,76285.3,213366.9,10.4,10.5,6.5,10.4,10.5,7.0,3.4,4.7,5.3,35.2,35.6,35.9,206.0,265.0,287.0,188774.5,188773.7,188773.4,56483.3,56483.3,56483.3,46027.0,46027.0,46027.0,285168.9,285168.9,285168.9,0.0,0.0,0.0,0.0,0.0,0.0,371737.1,371736.3,371736.0,16923.5,16922.9,16922.8,76285.3,76285.3,76285.3,213366.9,213366.6,213366.4
2022-08-28,18.58.36.58,Status : Source A Warming Up,SrcA Startup,1.5,1.5,0.1,36.0,44.0,188881.3,56492.8,46050.8,285223.7,0.0,0.0,371865.4,16936.0,76296.7,213516.2,7.333333333333333,0.0308988764044943,Inspecting,-0.2,2.0,0.1,36.0,45.0,188881.3,56492.8,46050.8,285223.7,0.0,0.0,371865.4,16936.0,76296.7,213516.2,-0.2,-0.3,-0.3,2.0,0.5,0.5,0.1,0.4,0.5,36.0,36.0,36.3,45.0,57.0,65.0,188881.3,188881.3,188881.3,56492.8,56492.7,56492.7,46050.8,46050.8,46050.8,285223.7,285223.5,285223.4,0.0,0.0,0.0,0.0,0.0,0.0,371865.4,371865.3,371865.2,16936.0,16935.9,16935.9,76296.7,76296.7,76296.7,213516.2,213516.1,213516.0
2022-08-29,12.27.09.13,Status : Source A Warming Up,SrcA Startup,0.0,0.0,1.6,40.7,1199.0,188894.4,56497.2,46051.5,285247.0,0.0,0.0,371896.8,16941.2,76300.7,213539.0,199.8333333333333,0.8419943820224719,Running,14.1,14.4,15.2,40.5,1085.0,188894.4,56497.2,46051.5,285247.0,0.0,0.0,371896.8,16941.2,76300.7,213539.0,14.1,6.4,7.5,14.4,10.2,10.9,15.2,8.0,8.9,40.5,40.2,39.6,1085.0,687.0,558.0,188894.4,188894.2,188893.1,56497.2,56497.2,56497.2,46051.5,46051.5,46051.5,285247.0,285247.0,285246.4,0.0,0.0,0.0,0.0,0.0,0.0,371896.8,371896.6,371894.9,16941.2,16941.2,16941.2,76300.7,76300.7,76300.7,213539.0,213538.7,213537.3
2022-08-31,11.36.51.06,Status : Source A Warming Up,SrcA Startup,8.4,8.5,3.2,43.2,843.0,188963.5,56506.6,46058.5,285327.7,0.0,0.0,372030.1,16958.2,76315.7,213644.6,140.5,0.591994382022472,Monitoring,8.8,8.7,10.1,42.8,842.0,188963.4,56506.6,46058.5,285327.7,0.0,0.0,372030.0,16958.2,76315.7,213644.5,8.8,2.8,9.1,8.7,5.9,8.7,10.1,4.1,10.0,42.8,41.8,42.0,842.0,836.0,812.0,188963.4,188963.2,188962.3,56506.6,56506.6,56506.6,46058.5,46058.5,46058.5,285327.7,285327.6,285327.4,0.0,0.0,0.0,0.0,0.0,0.0,372030.0,372029.7,372028.6,16958.2,16958.2,16958.2,76315.7,76315.7,76315.7,213644.5,213644.2,213643.1
