Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-02-11,12.57.39.77,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,30.6,861,190811.9,56741.5,46435.9,291042.4,0,0,378980.9,17542.9,76750.5,216623.7,143.5,0.8541666666666666,Running,0.0,0.0,0.1,30.5,854.0,190811.9,56741.5,46435.9,291042.4,0.0,0.0,378980.9,17542.9,76750.5,216623.7,0.0,0.0,0.0,0.0,2.2,2.8,0.1,0.2,0.2,30.5,31.0,30.2,854.0,846.0,838.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291042.4,291042.4,291042.3,0.0,0.0,0.0,0.0,0.0,0.0,378980.9,378980.9,378980.8,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.7,216623.7,216623.6
2023-02-11,13.45.48.68,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,31.3,888,190811.9,56741.5,46435.9,291044.7,0,0,378983.2,17542.9,76750.5,216623.8,148.0,0.8809523809523809,Running,0.0,0.0,0.1,31.7,895.0,190811.9,56741.5,46435.9,291044.7,0.0,0.0,378983.2,17542.9,76750.5,216623.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,31.7,31.6,31.7,895.0,882.0,881.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291044.7,291044.7,291044.7,0.0,0.0,0.0,0.0,0.0,0.0,378983.2,378983.2,378983.2,17542.9,17542.9,17542.9,76750.5,76750.5,76750.5,216623.8,216623.8,216623.8
2023-02-20,09.39.57.33,Status : Source A Warming Up,SrcA Startup,0,0.0,0.3,26.2,290,190811.9,56741.5,46435.9,291262.2,0,0,379200.8,17554.5,76757.8,216645.8,48.33333333333333,0.2876984126984127,Inspecting,0.0,0.0,0.3,26.2,289.0,190811.9,56741.5,46435.9,291262.2,0.0,0.0,379200.8,17554.5,76757.8,216645.8,0.0,0.0,0.0,0.0,0.8,0.6,0.3,0.4,0.4,26.2,26.1,25.7,289.0,276.0,252.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.2,291262.2,291262.1,0.0,0.0,0.0,0.0,0.0,0.0,379200.8,379200.8,379200.6,17554.5,17554.5,17554.5,76757.8,76757.8,76757.7,216645.8,216645.8,216645.7
2023-02-20,09.51.53.30,Status : Source A Warming Up,SrcA Startup,0,0.0,0.3,28.0,341,190811.9,56741.5,46435.9,291262.5,0,0,379201.0,17554.5,76757.8,216645.9,56.83333333333333,0.3382936507936507,Monitoring,0.0,0.0,0.3,27.8,341.0,190811.9,56741.5,46435.9,291262.5,0.0,0.0,379201.0,17554.5,76757.8,216645.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,27.8,27.6,27.5,341.0,338.0,335.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.5,291262.5,291262.5,0.0,0.0,0.0,0.0,0.0,0.0,379201.0,379201.0,379201.0,17554.5,17554.5,17554.5,76757.8,76757.8,76757.8,216645.9,216645.9,216645.9
2023-02-20,10.04.07.29,Status : Source A Warming Up,SrcA Startup,0,0.0,0.2,29.1,387,190811.9,56741.5,46435.9,291262.7,0,0,379201.2,17554.5,76757.8,216645.9,64.5,0.3839285714285714,Monitoring,0.0,0.0,0.2,29.2,382.0,190811.9,56741.5,46435.9,291262.7,0.0,0.0,379201.2,17554.5,76757.8,216645.9,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.3,0.3,29.2,29.0,29.0,382.0,373.0,373.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291262.7,291262.7,291262.6,0.0,0.0,0.0,0.0,0.0,0.0,379201.2,379201.2,379201.2,17554.5,17554.5,17554.5,76757.8,76757.8,76757.8,216645.9,216645.9,216645.9
2023-02-20,16.34.32.76,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,39.9,673,190811.9,56741.5,46435.9,291282.0,0,0,379220.5,17554.5,76757.9,216647.2,112.16666666666666,0.6676587301587301,Monitoring,0.0,0.0,0.1,40.2,674.0,190811.9,56741.5,46435.9,291282.0,0.0,0.0,379220.5,17554.5,76757.9,216647.2,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.1,0.2,40.2,39.9,40.1,674.0,673.0,681.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291282.0,291282.0,291281.9,0.0,0.0,0.0,0.0,0.0,0.0,379220.5,379220.5,379220.4,17554.5,17554.5,17554.5,76757.9,76757.9,76757.9,216647.2,216647.2,216647.2
2023-02-21,10.44.51.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.2,31.8,566,190811.9,56741.5,46435.9,291298.7,0,0,379237.2,17555.8,76758.8,216649.2,94.33333333333331,0.5615079365079365,Monitoring,0.0,0.0,0.2,31.9,561.0,190811.9,56741.5,46435.9,291298.7,0.0,0.0,379237.2,17555.8,76758.8,216649.2,0.0,0.0,0.0,0.0,0.0,2.7,0.2,0.2,0.2,31.9,31.7,31.5,561.0,561.0,552.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291298.7,291298.7,291298.5,0.0,0.0,0.0,0.0,0.0,0.0,379237.2,379237.2,379237.0,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216649.2,216649.2,216649.2
2023-02-21,12.30.48.02,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,36.4,864,190811.9,56741.5,46435.9,291303.7,0,0,379242.3,17555.8,76758.8,216649.6,144.0,0.8571428571428571,Running,0.0,0.0,0.1,36.5,867.0,190811.9,56741.5,46435.9,291303.7,0.0,0.0,379242.3,17555.8,76758.8,216649.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,36.5,36.6,36.3,867.0,866.0,865.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291303.7,291303.7,291303.7,0.0,0.0,0.0,0.0,0.0,0.0,379242.3,379242.3,379242.3,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216649.6,216649.6,216649.6
2023-02-21,17.01.29.69,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,37.0,552,190811.9,56741.5,46435.9,291317.9,0,0,379256.4,17555.8,76758.8,216650.5,92.0,0.5476190476190477,Monitoring,0.0,0.0,0.1,37.2,554.0,190811.9,56741.5,46435.9,291317.9,0.0,0.0,379256.4,17555.8,76758.8,216650.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,37.2,37.6,37.9,554.0,557.0,559.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291317.9,291317.9,291317.9,0.0,0.0,0.0,0.0,0.0,0.0,379256.4,379256.4,379256.4,17555.8,17555.8,17555.8,76758.8,76758.8,76758.8,216650.5,216650.5,216650.5
2023-02-24,12.21.40.19,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,30.2,532,190811.9,56741.5,46435.9,291400.7,0,0,379339.2,17559.6,76761.5,216658.9,88.66666666666666,0.5277777777777777,Monitoring,0.0,0.0,0.1,30.2,502.0,190811.9,56741.5,46435.9,291400.7,0.0,0.0,379339.2,17559.6,76761.5,216658.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,30.2,30.4,30.1,502.0,403.0,383.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291400.7,291400.7,291400.7,0.0,0.0,0.0,0.0,0.0,0.0,379339.2,379339.2,379339.2,17559.6,17559.6,17559.6,76761.5,76761.5,76761.5,216658.9,216658.9,216658.9
