Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-07-01,13.00.30.16,Status : Source A Warming Up,SrcA Startup,0.0,0.0,1.0,41.5,997.0,186546.5,56232.4,45385.7,283514.6,0.0,0.0,368732.7,16558.7,75961.2,210107.3,166.16666666666666,0.7106200997861725,Running,10.6,4.9,11.4,41.1,1012.0,186546.5,56232.4,45385.7,283514.6,0.0,0.0,368732.7,16558.7,75961.2,210107.3,10.6,6.2,8.1,4.9,2.8,3.5,11.4,7.9,6.1,41.1,40.9,40.6,1012.0,837.0,994.0,186546.5,186545.9,186544.9,56232.4,56232.4,56232.4,45385.7,45385.4,45384.8,283514.6,283514.6,283514.6,0.0,0.0,0.0,0.0,0.0,0.0,368732.7,368732.4,368731.9,16558.7,16558.7,16558.7,75961.2,75961.2,75961.1,210107.3,210106.6,210105.5
2022-07-07,08.22.39.83,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.4,36.5,223.0,186787.7,56253.3,45518.0,283525.1,0.0,0.0,368845.6,16587.2,75990.4,210431.9,37.16666666666666,0.1589451176051318,Inspecting,0.0,0.0,0.5,36.3,217.0,186787.7,56253.3,45518.0,283525.1,0.0,0.0,368845.6,16587.2,75990.4,210431.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.7,36.3,36.1,36.2,217.0,213.0,190.0,186787.7,186787.7,186787.7,56253.3,56253.3,56253.3,45518.0,45518.0,45518.0,283525.1,283525.1,283525.1,0.0,0.0,0.0,0.0,0.0,0.0,368845.6,368845.6,368845.6,16587.2,16587.2,16587.2,75990.4,75990.4,75990.4,210431.9,210431.8,210431.8
2022-07-07,14.40.41.62,Status : Source A Warming Up,SrcA Startup,8.1,8.1,10.6,41.6,638.0,186791.2,56253.4,45518.3,283527.0,0.0,0.0,368850.7,16587.3,75992.7,210439.6,106.33333333333331,0.4547398431931575,Monitoring,0.0,8.1,2.1,41.6,234.0,186791.1,56253.4,45518.3,283527.0,0.0,0.0,368850.6,16587.3,75992.7,210439.5,0.0,2.2,8.0,8.1,5.8,8.6,2.1,5.7,11.8,41.6,42.2,41.3,234.0,910.0,874.0,186791.1,186791.0,186790.2,56253.4,56253.4,56253.3,45518.3,45518.3,45518.3,283527.0,283526.9,283526.4,0.0,0.0,0.0,0.0,0.0,0.0,368850.6,368850.4,368849.1,16587.3,16587.3,16587.3,75992.7,75992.7,75992.6,210439.5,210439.4,210438.2
2022-07-07,14.50.15.66,Status : Source A Warming Up,SrcA Startup,7.8,7.8,17.0,41.7,912.0,186792.0,56253.4,45518.3,283527.5,0.0,0.0,368851.9,16587.4,75992.8,210440.8,152.0,0.6500356379187456,Monitoring,3.8,8.9,2.2,42.1,212.0,186791.9,56253.4,45518.3,283527.5,0.0,0.0,368851.8,16587.3,75992.8,210440.7,3.8,-0.4,8.1,8.9,9.0,8.1,2.2,1.2,10.6,42.1,42.3,41.6,212.0,217.0,638.0,186791.9,186791.9,186791.2,56253.4,56253.4,56253.4,45518.3,45518.3,45518.3,283527.5,283527.4,283527.0,0.0,0.0,0.0,0.0,0.0,0.0,368851.8,368851.7,368850.7,16587.3,16587.3,16587.3,75992.8,75992.8,75992.7,210440.7,210440.6,210439.6
2022-07-07,14.54.41.85,Status : Source A Warming Up,SrcA Startup,7.5,7.5,11.0,42.0,741.0,186792.4,56253.4,45518.3,283527.7,0.0,0.0,368852.5,16587.4,75992.9,210441.4,123.5,0.5281539558089808,Monitoring,0.0,8.6,2.3,42.0,228.0,186792.3,56253.4,45518.3,283527.7,0.0,0.0,368852.4,16587.4,75992.9,210441.3,0.0,7.8,3.8,8.6,7.8,8.9,2.3,17.0,2.2,42.0,41.7,42.1,228.0,912.0,212.0,186792.3,186792.0,186791.9,56253.4,56253.4,56253.4,45518.3,45518.3,45518.3,283527.7,283527.5,283527.5,0.0,0.0,0.0,0.0,0.0,0.0,368852.4,368851.9,368851.8,16587.4,16587.4,16587.3,75992.9,75992.8,75992.8,210441.3,210440.8,210440.7
2022-07-07,15.03.19.38,Status : Source A Warming Up,SrcA Startup,7.1,7.2,4.1,41.7,235.0,186793.3,56253.4,45518.4,283527.9,0.0,0.0,368853.5,16587.6,75993.0,210442.5,39.16666666666666,0.1674982181040627,Inspecting,-0.5,7.1,2.0,42.1,240.0,186793.2,56253.4,45518.4,283527.9,0.0,0.0,368853.4,16587.5,75993.0,210442.5,-0.5,9.7,7.5,7.1,8.4,7.5,2.0,13.8,11.0,42.1,42.1,42.0,240.0,900.0,741.0,186793.2,186792.8,186792.4,56253.4,56253.4,56253.4,45518.4,45518.4,45518.3,283527.9,283527.8,283527.7,0.0,0.0,0.0,0.0,0.0,0.0,368853.4,368853.0,368852.5,16587.5,16587.5,16587.4,75993.0,75993.0,75992.9,210442.5,210441.9,210441.4
2022-07-07,15.39.11.68,Status : Source A Warming Up,SrcA Startup,5.5,5.5,4.3,41.9,240.0,186795.6,56253.4,45518.5,283529.7,0.0,0.0,368857.5,16588.3,75993.9,210446.4,40.0,0.1710620099786172,Inspecting,5.5,5.5,4.3,41.9,240.0,186795.6,56253.4,45518.5,283529.7,0.0,0.0,368857.5,16588.3,75993.9,210446.4,5.5,0.5,3.2,5.5,6.2,6.8,4.3,3.1,3.1,41.9,42.2,42.1,240.0,244.0,184.0,186795.6,186795.5,186794.9,56253.4,56253.4,56253.4,45518.5,45518.5,45518.5,283529.7,283529.7,283529.3,0.0,0.0,0.0,0.0,0.0,0.0,368857.5,368857.4,368856.5,16588.3,16588.3,16588.2,75993.9,75993.9,75993.6,210446.4,210446.3,210445.3
2022-07-07,23.48.14.04,Status : Source A Warming Up,SrcA Startup,0.8,0.8,0.0,35.6,24.0,186803.5,56255.1,45522.2,283540.7,0.0,0.0,368871.0,16590.3,75994.8,210460.6,4.0,0.0171062009978617,Inspecting,-0.3,1.1,0.0,35.6,24.0,186803.4,56255.1,45522.2,283540.7,0.0,0.0,368870.9,16590.3,75994.8,210460.6,-0.3,-0.3,-0.3,1.1,1.2,1.4,0.0,0.0,0.0,35.6,35.8,36.0,24.0,24.0,24.0,186803.4,186803.4,186803.4,56255.1,56255.1,56255.1,45522.2,45522.2,45522.2,283540.7,283540.6,283540.3,0.0,0.0,0.0,0.0,0.0,0.0,368870.9,368870.8,368870.6,16590.3,16590.3,16590.2,75994.8,75994.8,75994.8,210460.6,210460.6,210460.6
2022-07-08,02.15.24.11,Status : Source A Warming Up,SrcA Startup,1.0,1.0,0.0,34.4,24.0,186803.7,56255.8,45522.2,283543.7,0.0,0.0,368873.5,16591.8,75994.8,210460.6,4.0,0.0171062009978617,Inspecting,1.0,1.0,0.0,34.4,24.0,186803.6,56255.8,45522.2,283543.7,0.0,0.0,368873.5,16591.7,75994.8,210460.6,1.0,1.0,0.8,1.0,1.0,0.8,0.0,0.0,0.0,34.4,34.5,34.6,24.0,24.0,24.0,186803.6,186803.6,186803.5,56255.8,56255.8,56255.8,45522.2,45522.2,45522.2,283543.7,283543.7,283543.7,0.0,0.0,0.0,0.0,0.0,0.0,368873.5,368873.4,368873.3,16591.7,16591.7,16591.3,75994.8,75994.8,75994.8,210460.6,210460.6,210460.6
2022-07-10,05.47.59.10,Status : Source A Warming Up,SrcA Startup,1.5,1.5,0.0,29.1,24.0,186879.3,56265.4,45532.7,283648.1,0.0,0.0,369033.5,16605.4,76007.8,210587.6,4.0,0.0171062009978617,Inspecting,-0.3,1.1,0.0,29.2,24.0,186879.3,56265.4,45532.7,283648.1,0.0,0.0,369033.5,16605.3,76007.8,210587.6,-0.3,-0.3,-0.3,1.1,1.1,1.2,0.0,0.0,0.0,29.2,29.0,28.7,24.0,24.0,24.0,186879.3,186879.3,186879.3,56265.4,56265.3,56265.3,45532.7,45532.7,45532.7,283648.1,283648.0,283647.7,0.0,0.0,0.0,0.0,0.0,0.0,369033.5,369033.4,369033.2,16605.3,16605.3,16605.2,76007.8,76007.8,76007.8,210587.6,210587.6,210587.6
