Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-06-02,21.44.58.45,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,39.5,26.0,185407.7,56106.6,44655.4,283457.2,0.0,0.0,368290.8,16390.9,75737.9,208509.6,0.0,0.0,-0.3,0.0,0.0,-0.1,0.0,0.0,0.0,39.5,39.6,39.6,26.0,25.0,26.0,185407.7,185407.7,185407.7,56106.6,56106.6,56106.6,44655.4,44655.4,44655.4,283457.2,283457.2,283457.2,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16390.9,16390.8,16390.8,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-02,23.20.56.43,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.3,26.0,185407.7,56107.0,44655.4,283457.3,0.0,0.0,368290.8,16391.7,75737.9,208509.6,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0,37.3,37.4,38.1,26.0,26.0,26.0,185407.7,185407.7,185407.7,56107.0,56107.0,56107.0,44655.4,44655.4,44655.4,283457.3,283457.3,283457.3,0.0,0.0,0.0,0.0,0.0,0.0,368290.8,368290.8,368290.8,16391.7,16391.7,16391.5,75737.9,75737.9,75737.9,208509.6,208509.6,208509.6
2022-06-04,00.13.10.45,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,4.333333333333333,0.0212591986917416,Inspecting,0.0,0.0,0.0,37.5,26.0,185451.7,56111.5,44682.1,283459.0,0.0,0.0,368310.3,16396.7,75744.3,208567.2,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0,37.5,37.4,37.3,26.0,25.0,26.0,185451.7,185451.7,185451.7,56111.5,56111.5,56111.5,44682.1,44682.1,44682.1,283459.0,283459.0,283459.0,0.0,0.0,0.0,0.0,0.0,0.0,368310.3,368310.3,368310.3,16396.7,16396.7,16396.6,75744.3,75744.3,75744.3,208567.2,208567.2,208567.2
2022-06-09,13.49.55.95,Status : Source A Warming Up,SrcA Startup,0.0,0.0,1.1,50.0,898.0,185707.6,56135.5,44840.1,283468.9,0.0,0.0,368414.1,16422.5,75786.4,208902.1,149.66666666666666,0.7342600163532298,Running,9.8,3.8,8.8,50.2,890.0,185707.6,56135.5,44840.1,283468.9,0.0,0.0,368414.1,16422.5,75786.4,208902.0,9.8,9.2,5.1,3.8,3.1,2.1,8.8,9.6,5.8,50.2,49.7,50.9,890.0,884.0,845.0,185707.6,185707.5,185706.6,56135.5,56135.5,56135.5,44840.1,44840.0,44839.5,283468.9,283468.9,283468.9,0.0,0.0,0.0,0.0,0.0,0.0,368414.1,368414.1,368413.7,16422.5,16422.5,16422.5,75786.4,75786.3,75786.3,208902.0,208902.0,208900.9
2022-06-12,20.45.47.49,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,42.6,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,42.6,24.0,185844.4,56149.4,44923.1,283474.2,0.0,0.0,368470.7,16439.9,75814.9,209094.0,0.0,-0.3,-0.3,0.0,-0.2,-0.2,0.0,0.0,0.0,42.6,42.4,42.3,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.4,56149.4,56149.4,44923.1,44923.1,44923.1,283474.2,283474.2,283474.2,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16439.9,16439.9,16439.9,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-12,22.34.43.54,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,40.8,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,40.7,24.0,185844.4,56149.9,44923.1,283474.4,0.0,0.0,368470.7,16440.9,75814.9,209094.0,0.0,-0.4,-0.3,0.0,-0.2,-0.2,0.0,0.0,0.0,40.7,40.8,40.8,24.0,24.0,24.0,185844.4,185844.4,185844.4,56149.9,56149.9,56149.9,44923.1,44923.1,44923.1,283474.4,283474.4,283474.4,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16440.9,16440.8,16440.8,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-12,22.44.00.13,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,40.5,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16441.0,75814.9,209094.0,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,40.6,24.0,185844.4,56150.0,44923.1,283474.4,0.0,0.0,368470.7,16441.0,75814.9,209094.0,0.0,-0.3,-0.2,0.0,-0.1,-0.2,0.0,0.0,0.0,40.6,40.7,40.6,24.0,24.0,24.0,185844.4,185844.4,185844.4,56150.0,56150.0,56150.0,44923.1,44923.1,44923.1,283474.4,283474.4,283474.4,0.0,0.0,0.0,0.0,0.0,0.0,368470.7,368470.7,368470.7,16441.0,16440.9,16440.9,75814.9,75814.9,75814.9,209094.0,209094.0,209094.0
2022-06-17,19.02.35.26,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,32.3,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16468.4,75862.8,209354.1,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,32.4,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16468.4,75862.8,209354.1,0.0,-0.3,-0.3,0.0,-0.2,-0.2,0.0,0.0,0.0,32.4,32.9,37.9,24.0,24.0,25.0,186016.2,186016.2,186016.2,56172.1,56172.1,56172.1,45028.6,45028.6,45028.6,283483.2,283483.2,283483.1,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16468.4,16468.4,16468.3,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-17,23.32.20.24,Status : Source A Warming Up,SrcA Startup,0.0,0.0,0.0,29.4,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16472.9,75862.8,209354.1,4.0,0.0196238757154538,Inspecting,0.0,0.0,0.0,29.4,24.0,186016.2,56172.1,45028.6,283483.2,0.0,0.0,368544.8,16472.9,75862.8,209354.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,29.4,29.2,24.0,24.0,24.0,186016.2,186016.2,186016.2,56172.1,56172.1,56172.1,45028.6,45028.6,45028.6,283483.2,283483.2,283483.2,0.0,0.0,0.0,0.0,0.0,0.0,368544.8,368544.8,368544.8,16472.9,16472.9,16472.8,75862.8,75862.8,75862.8,209354.1,209354.1,209354.1
2022-06-20,07.56.13.06,Status : Source A Warming Up,SrcA Startup,0.0,0.0,2.9,31.5,166.0,186090.5,56183.4,45074.7,283487.3,0.0,0.0,368578.8,16492.4,75877.8,209464.2,27.666666666666664,0.1357318070318888,Inspecting,0.0,0.0,2.8,31.6,164.0,186090.5,56183.4,45074.7,283487.3,0.0,0.0,368578.8,16492.4,75877.8,209464.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.6,2.1,31.6,32.1,31.0,164.0,154.0,135.0,186090.5,186090.5,186090.5,56183.4,56183.4,56183.4,45074.7,45074.7,45074.7,283487.3,283487.3,283487.3,0.0,0.0,0.0,0.0,0.0,0.0,368578.8,368578.8,368578.8,16492.4,16492.4,16492.4,75877.8,75877.7,75877.4,209464.2,209464.1,209463.7
