Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-05-01,17.12.49.62,Status : Source A Warming Up,SrcA Startup,5.6,5.6,1.7,32.0,125.0,191614.0,56818.5,46660.4,293879.3,0.0,0.0,382318.5,17681.4,76874.0,217901.4,20.83333333333333,0.1138433515482695,Inspecting,0.9,6.2,1.5,32.2,129.0,191613.9,56818.5,46660.4,293879.3,0.0,0.0,382318.4,17681.3,76874.0,217901.4,0.9,0.4,1.9,6.2,6.2,7.4,1.5,1.7,3.3,32.2,34.3,35.0,129.0,140.0,210.0,191613.9,191613.9,191613.7,56818.5,56818.5,56818.5,46660.4,46660.4,46660.4,293879.3,293879.0,293878.2,0.0,0.0,0.0,0.0,0.0,0.0,382318.4,382318.2,382317.1,17681.3,17681.3,17681.3,76874.0,76874.0,76874.0,217901.4,217901.3,217900.9
2023-05-02,15.57.29.23,Status : Source A Warming Up,SrcA Startup,10.5,10.6,0.3,30.5,49.0,191659.1,56822.7,46667.8,293913.4,0.0,0.0,382386.2,17689.0,76876.7,217957.6,8.166666666666666,0.0446265938069216,Inspecting,5.2,9.0,0.3,30.6,47.0,191659.0,56822.7,46667.8,293913.4,0.0,0.0,382386.0,17688.9,76876.7,217957.6,5.2,5.9,5.9,9.0,9.3,9.3,0.3,0.1,0.3,30.6,32.3,33.0,47.0,42.0,53.0,191659.0,191658.2,191657.2,56822.7,56822.7,56822.7,46667.8,46667.8,46667.8,293913.4,293912.9,293912.4,0.0,0.0,0.0,0.0,0.0,0.0,382386.0,382384.8,382383.2,17688.9,17688.1,17687.1,76876.7,76876.7,76876.7,217957.6,217957.6,217957.6
2023-05-03,15.05.45.96,Status : Source A Warming Up,SrcA Startup,9.4,9.4,10.9,40.7,946.0,191691.8,56827.5,46672.9,293964.9,0.0,0.0,382460.5,17692.3,76884.5,218011.9,157.66666666666666,0.8615664845173041,Running,9.2,10.6,12.4,40.5,957.0,191691.7,56827.5,46672.9,293964.9,0.0,0.0,382460.4,17692.3,76884.5,218011.7,9.2,5.1,6.0,10.6,11.0,10.7,12.4,5.7,7.5,40.5,41.5,40.7,957.0,958.0,936.0,191691.7,191691.0,191690.0,56827.5,56827.5,56827.5,46672.9,46672.9,46672.9,293964.9,293964.2,293963.4,0.0,0.0,0.0,0.0,0.0,0.0,382460.4,382459.0,382457.2,17692.3,17692.3,17692.3,76884.5,76884.5,76884.5,218011.7,218010.8,218009.6
2023-05-09,11.35.31.31,Status : Source A Warming Up,SrcA Startup,5.5,5.5,6.3,42.2,782.0,191932.0,56851.0,46821.2,294166.4,0.0,0.0,382746.7,17698.9,76889.2,218382.6,130.33333333333331,0.7122040072859744,Running,8.1,5.0,8.5,41.8,781.0,191932.0,56851.0,46821.2,294166.4,0.0,0.0,382746.7,17698.9,76889.2,218382.5,8.1,6.3,1.0,5.0,5.6,6.5,8.5,7.4,2.3,41.8,40.6,40.9,781.0,790.0,751.0,191932.0,191931.6,191930.6,56851.0,56851.0,56851.0,46821.2,46821.1,46820.8,294166.4,294166.2,294166.1,0.0,0.0,0.0,0.0,0.0,0.0,382746.7,382746.2,382745.5,17698.9,17698.9,17698.9,76889.2,76889.2,76889.2,218382.5,218382.0,218380.8
2023-05-12,10.03.25.39,Status : Source A Warming Up,SrcA Startup,4.2,4.2,3.9,38.7,477.0,192066.4,56863.0,46836.7,294300.8,0.0,0.0,382988.0,17703.1,76894.5,218576.2,79.5,0.4344262295081967,Monitoring,5.6,3.5,7.5,38.3,471.0,192066.3,56863.0,46836.7,294300.8,0.0,0.0,382988.0,17703.1,76894.5,218576.1,5.6,5.2,4.9,3.5,4.2,2.7,7.5,7.2,6.7,38.3,38.5,38.1,471.0,452.0,412.0,192066.3,192065.8,192065.2,56863.0,56863.0,56863.0,46836.7,46836.5,46836.3,294300.8,294300.8,294300.7,0.0,0.0,0.0,0.0,0.0,0.0,382988.0,382987.6,382987.1,17703.1,17703.1,17703.1,76894.5,76894.5,76894.5,218576.1,218575.5,218574.5
2023-05-14,21.19.05.21,Status : Source A Warming Up,SrcA Startup,0.7,0.7,0.0,34.8,26.0,192162.6,56871.8,46864.2,294397.3,0.0,0.0,383144.4,17706.2,76900.2,218734.2,4.333333333333333,0.02367941712204,Inspecting,0.8,0.8,0.0,34.8,25.0,192162.6,56871.8,46864.2,294397.3,0.0,0.0,383144.4,17706.1,76900.2,218734.2,0.8,0.7,-0.4,0.8,0.7,1.5,0.0,0.0,0.0,34.8,34.9,35.0,25.0,25.0,25.0,192162.6,192162.6,192162.6,56871.8,56871.8,56871.8,46864.2,46864.2,46864.2,294397.3,294397.3,294397.3,0.0,0.0,0.0,0.0,0.0,0.0,383144.4,383144.4,383144.4,17706.1,17706.1,17706.1,76900.2,76900.2,76900.2,218734.2,218734.2,218734.2
2023-05-14,21.26.25.78,Status : Source A Warming Up,SrcA Startup,0.6,0.6,0.0,34.3,26.0,192162.7,56871.9,46864.2,294397.4,0.0,0.0,383144.6,17706.2,76900.2,218734.2,4.333333333333333,0.02367941712204,Inspecting,-0.3,1.0,0.0,34.2,25.0,192162.6,56871.9,46864.2,294397.4,0.0,0.0,383144.5,17706.2,76900.2,218734.2,-0.3,0.7,0.8,1.0,0.7,0.8,0.0,0.0,0.0,34.2,34.8,34.8,25.0,26.0,25.0,192162.6,192162.6,192162.6,56871.9,56871.8,56871.8,46864.2,46864.2,46864.2,294397.4,294397.3,294397.3,0.0,0.0,0.0,0.0,0.0,0.0,383144.5,383144.4,383144.4,17706.2,17706.2,17706.1,76900.2,76900.2,76900.2,218734.2,218734.2,218734.2
2023-05-14,21.31.35.94,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,34.7,25.0,192162.7,56871.9,46864.2,294397.5,0.0,0.0,383144.6,17706.3,76900.2,218734.2,4.166666666666666,0.0227686703096539,Inspecting,-0.3,1.0,0.0,34.5,25.0,192162.7,56871.9,46864.2,294397.5,0.0,0.0,383144.6,17706.3,76900.2,218734.2,-0.3,-0.3,0.6,1.0,0.9,0.6,0.0,0.0,0.0,34.5,34.4,34.3,25.0,25.0,26.0,192162.7,192162.7,192162.7,56871.9,56871.9,56871.9,46864.2,46864.2,46864.2,294397.5,294397.5,294397.4,0.0,0.0,0.0,0.0,0.0,0.0,383144.6,383144.6,383144.6,17706.3,17706.2,17706.2,76900.2,76900.2,76900.2,218734.2,218734.2,218734.2
2023-05-17,20.36.56.29,Status : Source A Warming Up,SrcA Startup,1.6,1.6,0.0,36.2,26.0,192259.1,56884.6,46874.1,294489.3,0.0,0.0,383310.3,17714.1,76911.1,218895.9,4.333333333333333,0.02367941712204,Inspecting,0.0,1.7,0.0,36.1,25.0,192259.1,56884.6,46874.1,294489.3,0.0,0.0,383310.3,17714.1,76911.1,218895.9,0.0,-0.4,-0.3,1.7,1.7,0.6,0.0,0.0,0.0,36.1,36.0,35.8,25.0,25.0,25.0,192259.1,192259.1,192259.1,56884.6,56884.6,56884.5,46874.1,46874.1,46874.1,294489.3,294489.3,294489.1,0.0,0.0,0.0,0.0,0.0,0.0,383310.3,383310.3,383310.1,17714.1,17714.1,17714.0,76911.1,76911.1,76911.1,218895.9,218895.9,218895.9
2023-05-17,23.15.56.39,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,35.9,25.0,192259.2,56885.3,46874.1,294494.1,0.0,0.0,383314.3,17714.7,76911.1,218895.9,4.166666666666666,0.0227686703096539,Inspecting,0.1,1.3,0.0,35.8,25.0,192259.1,56885.3,46874.1,294494.1,0.0,0.0,383314.3,17714.7,76911.1,218895.9,0.1,-0.3,-0.3,1.3,1.3,1.7,0.0,0.0,0.0,35.8,35.5,35.7,25.0,25.0,25.0,192259.1,192259.1,192259.1,56885.3,56885.3,56885.2,46874.1,46874.1,46874.1,294494.1,294493.9,294493.6,0.0,0.0,0.0,0.0,0.0,0.0,383314.3,383314.1,383313.9,17714.7,17714.7,17714.7,76911.1,76911.1,76911.1,218895.9,218895.9,218895.9
