Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-01,12.18.00.54,Status : Source A Warming Up,SrcA Startup,9.7,9.7,11.0,39.2,891.0,190113.8,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,148.5,0.7761324041811848,Running,9.8,9.8,11.0,39.3,895.0,190113.7,56652.1,46246.1,286756.7,0.0,0.0,374276.2,17231.0,76548.9,215369.6,9.8,9.3,8.9,9.8,9.1,8.8,11.0,10.7,13.9,39.3,40.2,40.1,895.0,901.0,866.0,190113.7,190112.9,190111.3,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374276.2,374275.3,374273.7,17231.0,17230.9,17230.9,76548.9,76548.9,76548.9,215369.6,215368.6,215366.8
2022-10-01,12.24.44.84,Status : Source A Warming Up,SrcA Startup,9.4,9.3,10.4,40.3,887.0,190114.9,56652.1,46246.1,286756.7,0.0,0.0,374277.3,17231.0,76549.0,215370.9,147.83333333333331,0.7726480836236933,Running,9.9,9.9,11.1,40.7,898.0,190114.7,56652.1,46246.1,286756.7,0.0,0.0,374277.2,17231.0,76549.0,215370.7,9.9,10.5,9.7,9.9,10.4,9.7,11.1,12.1,11.0,40.7,39.7,39.2,898.0,836.0,891.0,190114.7,190114.5,190113.8,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.7,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.2,374276.9,374276.2,17231.0,17231.0,17231.0,76549.0,76549.0,76548.9,215370.7,215370.4,215369.6
2022-10-01,12.27.02.84,Status : Source A Warming Up,SrcA Startup,10.5,10.5,11.4,40.8,898.0,190115.2,56652.1,46246.1,286756.8,0.0,0.0,374277.7,17231.0,76549.0,215371.2,149.66666666666666,0.7822299651567944,Running,8.7,9.3,7.5,40.3,908.0,190115.0,56652.1,46246.1,286756.8,0.0,0.0,374277.6,17231.0,76549.0,215371.1,8.7,9.4,9.9,9.3,9.3,9.9,7.5,10.4,11.1,40.3,40.3,40.7,908.0,887.0,898.0,190115.0,190114.9,190114.7,56652.1,56652.1,56652.1,46246.1,46246.1,46246.1,286756.8,286756.7,286756.7,0.0,0.0,0.0,0.0,0.0,0.0,374277.6,374277.3,374277.2,17231.0,17231.0,17231.0,76549.0,76549.0,76549.0,215371.1,215370.9,215370.7
2022-10-01,13.35.47.74,Status : Source A Warming Up,SrcA Startup,8.7,8.7,9.5,41.4,957.0,190122.2,56652.1,46246.2,286761.2,0.0,0.0,374289.1,17231.1,76549.1,215379.8,159.5,0.833623693379791,Running,8.2,8.2,9.3,41.4,952.0,190122.1,56652.1,46246.2,286761.2,0.0,0.0,374289.0,17231.1,76549.1,215379.7,8.2,8.2,6.0,8.2,8.0,8.0,9.3,3.3,6.6,41.4,40.1,40.0,952.0,896.0,905.0,190122.1,190121.7,190121.7,56652.1,56652.1,56652.1,46246.2,46246.2,46246.2,286761.2,286761.2,286761.2,0.0,0.0,0.0,0.0,0.0,0.0,374289.0,374288.7,374288.6,17231.1,17231.0,17231.0,76549.1,76549.1,76549.1,215379.7,215379.3,215379.2
2022-10-01,14.05.22.38,Status : Source A Warming Up,SrcA Startup,8.5,8.5,6.9,40.8,921.0,190125.7,56652.1,46246.3,286761.6,0.0,0.0,374293.0,17231.2,76549.3,215383.8,153.5,0.8022648083623695,Running,8.3,8.3,10.1,41.0,899.0,190125.6,56652.1,46246.3,286761.6,0.0,0.0,374292.8,17231.2,76549.3,215383.7,8.3,7.4,7.6,8.3,7.5,7.6,10.1,8.6,8.3,41.0,40.6,41.5,899.0,849.0,953.0,190125.6,190125.4,190124.1,56652.1,56652.1,56652.1,46246.3,46246.3,46246.3,286761.6,286761.6,286761.6,0.0,0.0,0.0,0.0,0.0,0.0,374292.8,374292.6,374291.3,17231.2,17231.2,17231.2,76549.3,76549.3,76549.2,215383.7,215383.4,215382.0
2022-10-01,15.48.49.38,Status : Source A Warming Up,SrcA Startup,3.3,3.3,4.9,40.8,623.0,190136.4,56652.1,46246.3,286761.6,0.0,0.0,374303.6,17232.1,76550.1,215396.6,103.83333333333331,0.5426829268292683,Monitoring,2.8,2.8,4.2,40.8,673.0,190136.4,56652.1,46246.3,286761.6,0.0,0.0,374303.6,17232.1,76550.1,215396.6,2.8,3.8,3.8,2.8,3.8,3.8,4.2,5.0,5.2,40.8,40.7,40.2,673.0,680.0,695.0,190136.4,190136.4,190136.1,56652.1,56652.1,56652.1,46246.3,46246.3,46246.3,286761.6,286761.6,286761.6,0.0,0.0,0.0,0.0,0.0,0.0,374303.6,374303.6,374303.3,17232.1,17232.1,17232.1,76550.1,76550.1,76550.1,215396.6,215396.6,215396.1
2022-10-01,16.20.24.93,Status : Source A Warming Up,SrcA Startup,3.4,3.4,5.0,40.1,556.0,190139.2,56652.1,46247.5,286761.8,0.0,0.0,374305.5,17232.1,76550.1,215400.3,92.66666666666666,0.4843205574912892,Monitoring,3.2,3.2,4.4,39.9,555.0,190139.2,56652.1,46247.5,286761.8,0.0,0.0,374305.4,17232.1,76550.1,215400.2,3.2,4.5,6.8,3.2,3.5,3.5,4.4,5.5,9.0,39.9,40.0,40.6,555.0,550.0,572.0,190139.2,190139.2,190138.7,56652.1,56652.1,56652.1,46247.5,46247.5,46247.3,286761.8,286761.8,286761.8,0.0,0.0,0.0,0.0,0.0,0.0,374305.4,374305.4,374305.1,17232.1,17232.1,17232.1,76550.1,76550.1,76550.1,215400.2,215400.2,215399.6
2022-10-01,17.41.48.99,Status : Source A Warming Up,SrcA Startup,0.7,0.7,2.0,38.5,179.0,190142.9,56652.1,46248.3,286762.2,0.0,0.0,374308.6,17232.2,76550.2,215406.1,29.83333333333333,0.1559233449477352,Inspecting,0.7,0.7,2.0,38.5,180.0,190142.9,56652.1,46248.3,286762.2,0.0,0.0,374308.6,17232.2,76550.2,215406.1,0.7,2.3,0.9,0.7,0.8,1.1,2.0,2.0,2.4,38.5,38.4,38.6,180.0,184.0,211.0,190142.9,190142.8,190142.8,56652.1,56652.1,56652.1,46248.3,46248.3,46248.3,286762.2,286762.2,286762.1,0.0,0.0,0.0,0.0,0.0,0.0,374308.6,374308.6,374308.4,17232.2,17232.2,17232.2,76550.2,76550.2,76550.2,215406.1,215406.1,215405.8
2022-10-07,21.47.36.94,Status : Source A Warming Up,SrcA Startup,1.8,1.8,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.1,76578.8,215700.3,4.0,0.0209059233449477,Inspecting,-0.3,1.7,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.1,76578.8,215700.3,-0.3,-0.2,-0.2,1.7,1.2,1.3,0.0,0.0,0.0,27.3,27.3,27.3,24.0,24.0,24.0,190341.1,190341.1,190341.1,56683.8,56683.8,56683.7,46331.0,46331.0,46331.0,286900.2,286900.0,286899.8,0.0,0.0,0.0,0.0,0.0,0.0,374530.4,374530.3,374530.1,17272.1,17272.0,17272.0,76578.8,76578.8,76578.8,215700.3,215700.3,215700.3
2022-10-07,21.48.16.35,Status : Source A Warming Up,SrcA Startup,1.1,1.1,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.2,76578.8,215700.3,4.0,0.0209059233449477,Inspecting,1.8,1.8,0.0,27.3,24.0,190341.1,56683.8,46331.0,286900.2,0.0,0.0,374530.4,17272.1,76578.8,215700.3,1.8,-0.3,-0.2,1.8,1.7,1.2,0.0,0.0,0.0,27.3,27.3,27.3,24.0,24.0,24.0,190341.1,190341.1,190341.1,56683.8,56683.8,56683.8,46331.0,46331.0,46331.0,286900.2,286900.2,286900.0,0.0,0.0,0.0,0.0,0.0,0.0,374530.4,374530.4,374530.3,17272.1,17272.1,17272.0,76578.8,76578.8,76578.8,215700.3,215700.3,215700.3
