Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-09-02,03.50.23.69,Status : Source A Warming Up,SrcA Startup,1.1,1.0,0.0,31.3,25.0,189020.1,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,4.166666666666666,0.0190114068441064,Inspecting,-0.3,0.5,0.0,31.3,24.0,189020.0,56515.1,46061.2,285403.0,0.0,0.0,372150.8,16977.9,76324.2,213720.8,-0.3,-0.3,-0.2,0.5,0.5,1.5,0.0,0.0,0.0,31.3,31.3,31.3,24.0,24.0,24.0,189020.0,189020.0,189020.0,56515.1,56515.0,56515.0,46061.2,46061.2,46061.2,285403.0,285403.0,285402.8,0.0,0.0,0.0,0.0,0.0,0.0,372150.8,372150.8,372150.7,16977.9,16977.8,16977.8,76324.2,76324.2,76324.2,213720.8,213720.8,213720.8
2022-09-02,12.02.50.37,Status : Source A Warming Up,SrcA Startup,11.0,11.0,9.4,43.5,717.0,189028.7,56516.9,46061.3,285417.5,0.0,0.0,372172.1,16979.3,76334.8,213745.3,119.5,0.5452471482889734,Monitoring,5.8,9.4,6.3,43.7,866.0,189028.6,56516.9,46061.3,285417.5,0.0,0.0,372172.0,16979.3,76334.8,213745.1,5.8,5.2,6.9,9.4,9.8,9.6,6.3,6.1,10.4,43.7,43.2,42.6,866.0,1056.0,1137.0,189028.6,189028.5,189027.7,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285417.5,285417.5,285417.0,0.0,0.0,0.0,0.0,0.0,0.0,372172.0,372171.9,372170.5,16979.3,16979.3,16979.3,76334.8,76334.8,76334.8,213745.1,213745.0,213743.9
2022-09-02,12.33.41.59,Status : Source A Warming Up,SrcA Startup,10.9,10.9,4.2,38.9,246.0,189031.8,56516.9,46061.3,285419.2,0.0,0.0,372176.8,16980.2,76334.9,213748.0,41.0,0.1870722433460076,Inspecting,5.9,9.3,4.4,38.9,252.0,189031.6,56516.9,46061.3,285419.2,0.0,0.0,372176.7,16980.0,76334.9,213748.0,5.9,5.9,6.1,9.3,9.3,9.6,4.4,4.4,4.1,38.9,38.8,39.7,252.0,253.0,241.0,189031.6,189031.5,189030.6,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.2,285419.1,285418.5,0.0,0.0,0.0,0.0,0.0,0.0,372176.7,372176.5,372175.0,16980.0,16980.0,16979.6,76334.9,76334.9,76334.9,213748.0,213747.9,213747.2
2022-09-02,12.41.48.78,Status : Source A Warming Up,SrcA Startup,11.1,11.1,4.1,38.4,235.0,189032.8,56516.9,46061.3,285419.5,0.0,0.0,372178.2,16980.6,76334.9,213748.7,39.16666666666666,0.1787072243346007,Inspecting,11.1,11.1,4.2,38.4,238.0,189032.8,56516.9,46061.3,285419.5,0.0,0.0,372178.2,16980.6,76334.9,213748.7,11.1,6.6,10.9,11.1,9.5,10.9,4.2,4.6,4.2,38.4,38.4,38.9,238.0,252.0,246.0,189032.8,189032.7,189031.8,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285419.5,285419.5,285419.2,0.0,0.0,0.0,0.0,0.0,0.0,372178.2,372178.1,372176.8,16980.6,16980.5,16980.2,76334.9,76334.9,76334.9,213748.7,213748.6,213748.0
2022-09-02,13.22.42.63,Status : Source A Warming Up,SrcA Startup,12.4,12.4,1.9,36.4,129.0,189036.5,56516.9,46061.3,285423.8,0.0,0.0,372186.1,16982.8,76334.9,213750.8,21.5,0.0980988593155893,Inspecting,11.5,11.5,1.9,36.4,131.0,189036.3,56516.9,46061.3,285423.8,0.0,0.0,372186.0,16982.7,76334.9,213750.8,11.5,4.7,4.3,11.5,11.1,10.9,1.9,1.9,3.8,36.4,36.4,37.6,131.0,132.0,216.0,189036.3,189036.3,189035.5,56516.9,56516.9,56516.9,46061.3,46061.3,46061.3,285423.8,285423.8,285422.7,0.0,0.0,0.0,0.0,0.0,0.0,372186.0,372186.0,372184.0,16982.7,16982.6,16982.1,76334.9,76334.9,76334.9,213750.8,213750.8,213750.3
2022-09-03,16.57.53.35,Status : Source A Warming Up,SrcA Startup,2.5,2.5,1.9,40.6,139.0,189085.8,56521.0,46063.3,285476.7,0.0,0.0,372282.3,17001.2,76357.6,213828.4,23.166666666666664,0.1057034220532319,Inspecting,-0.1,2.0,1.4,41.0,147.0,189085.8,56521.0,46063.3,285476.7,0.0,0.0,372282.3,17001.2,76357.6,213828.3,-0.1,5.2,5.1,2.0,3.9,3.9,1.4,6.7,6.2,41.0,41.6,41.1,147.0,490.0,557.0,189085.8,189085.6,189084.9,56521.0,56521.0,56521.0,46063.3,46063.2,46063.1,285476.7,285476.7,285476.6,0.0,0.0,0.0,0.0,0.0,0.0,372282.3,372282.1,372281.5,17001.2,17001.2,17001.2,76357.6,76357.6,76357.6,213828.3,213828.0,213827.1
2022-09-03,17.01.41.35,Status : Source A Warming Up,SrcA Startup,2.8,2.8,1.9,40.4,132.0,189085.9,56521.0,46063.3,285476.8,0.0,0.0,372282.5,17001.3,76357.6,213828.5,22.0,0.1003802281368821,Inspecting,0.6,3.2,1.7,40.7,130.0,189085.9,56521.0,46063.3,285476.8,0.0,0.0,372282.5,17001.2,76357.6,213828.5,0.6,2.5,-0.1,3.2,2.5,2.0,1.7,1.9,1.4,40.7,40.6,41.0,130.0,139.0,147.0,189085.9,189085.8,189085.8,56521.0,56521.0,56521.0,46063.3,46063.3,46063.3,285476.8,285476.7,285476.7,0.0,0.0,0.0,0.0,0.0,0.0,372282.5,372282.3,372282.3,17001.2,17001.2,17001.2,76357.6,76357.6,76357.6,213828.5,213828.4,213828.3
2022-09-03,17.12.47.83,Status : Source A Warming Up,SrcA Startup,2.6,2.5,3.9,40.5,448.0,189086.3,56521.0,46063.4,285477.1,0.0,0.0,372283.1,17001.3,76357.6,213829.2,74.66666666666666,0.3406844106463878,Monitoring,2.4,2.4,3.9,40.6,447.0,189086.3,56521.0,46063.4,285477.1,0.0,0.0,372283.1,17001.3,76357.6,213829.2,2.4,4.1,1.0,2.4,3.1,3.0,3.9,6.9,1.9,40.6,40.6,40.1,447.0,446.0,133.0,189086.3,189086.3,189085.9,56521.0,56521.0,56521.0,46063.4,46063.4,46063.3,285477.1,285477.1,285476.9,0.0,0.0,0.0,0.0,0.0,0.0,372283.1,372283.0,372282.6,17001.3,17001.3,17001.3,76357.6,76357.6,76357.6,213829.2,213829.2,213828.5
2022-09-05,12.16.57.12,Status : Source A Warming Up,SrcA Startup,11.6,11.8,13.2,39.8,1001.0,189155.0,56529.7,46083.2,285515.9,0.0,0.0,372362.1,17011.8,76366.7,213925.8,166.83333333333331,0.7612167300380228,Running,2.7,8.6,3.8,40.0,994.0,189154.8,56529.7,46083.2,285515.9,0.0,0.0,372361.9,17011.8,76366.7,213925.6,2.7,3.5,11.0,8.6,7.7,11.3,3.8,4.3,12.0,40.0,40.6,40.6,994.0,993.0,982.0,189154.8,189154.0,189153.0,56529.7,56529.7,56529.7,46083.2,46083.2,46083.2,285515.9,285515.6,285515.1,0.0,0.0,0.0,0.0,0.0,0.0,372361.9,372360.8,372359.2,17011.8,17011.8,17011.8,76366.7,76366.7,76366.7,213925.6,213924.6,213923.3
2022-09-05,13.24.33.20,Status : Source A Warming Up,SrcA Startup,10.7,10.8,6.0,41.2,1068.0,189162.0,56529.7,46083.2,285519.6,0.0,0.0,372372.9,17011.9,76366.9,213934.6,178.0,0.8121673003802282,Running,3.6,7.8,4.5,41.2,1061.0,189162.0,56529.7,46083.2,285519.6,0.0,0.0,372372.8,17011.9,76366.9,213934.6,3.6,6.4,8.2,7.8,9.3,9.7,4.5,8.7,9.5,41.2,42.1,42.2,1061.0,1076.0,1082.0,189162.0,189161.5,189160.6,56529.7,56529.7,56529.7,46083.2,46083.2,46083.2,285519.6,285519.4,285518.8,0.0,0.0,0.0,0.0,0.0,0.0,372372.8,372372.0,372370.6,17011.9,17011.9,17011.9,76366.9,76366.9,76366.9,213934.6,213933.9,213932.8
