Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-10-09,04.36.46.33,Status : Start Source A,Operation Auto Inverter Only,1.1,1.1,0.0,25.9,24.0,190344.3,56692.0,46331.1,286945.1,0.0,0.0,374570.3,17284.6,76583.7,215715.1,4.0,0.0209059233449477,Inspecting,1.1,1.1,0.0,25.8,25.0,190344.3,56692.0,46331.1,286945.1,0.0,0.0,374570.3,17284.6,76583.7,215715.1,1.1,-0.3,1.2,1.1,1.2,1.2,0.0,0.0,0.0,25.8,25.8,25.8,25.0,25.0,25.0,190344.3,190344.3,190344.2,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.0,0.0,0.0,0.0,0.0,0.0,0.0,374570.3,374570.2,374570.2,17284.6,17284.6,17284.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.03.48.18,Status : Start Source A,Operation Auto Inverter Only,1.2,1.2,0.0,25.3,25.0,190344.8,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.3,25.0,190344.8,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,25.3,25.3,25.3,25.0,25.0,24.0,190344.8,190344.7,190344.7,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374570.8,374570.8,374570.8,17285.5,17285.5,17285.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.04.12.18,Status : Start Source A,Operation Auto Inverter Only,1.2,1.2,0.0,25.4,25.0,190344.8,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.4,25.0,190344.8,56692.0,46331.1,286945.1,0.0,0.0,374570.8,17285.5,76583.7,215715.1,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,25.4,25.3,25.3,25.0,25.0,25.0,190344.8,190344.8,190344.8,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374570.8,374570.8,374570.8,17285.5,17285.5,17285.5,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.23.14.27,Status : Start Source A,Operation Auto Inverter Only,1.2,1.2,0.0,25.5,25.0,190345.1,56692.0,46331.1,286945.1,0.0,0.0,374571.2,17286.2,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.5,25.0,190345.1,56692.0,46331.1,286945.1,0.0,0.0,374571.2,17286.2,76583.7,215715.1,1.2,1.2,1.6,1.2,1.2,1.6,0.0,0.0,0.0,25.5,25.5,25.4,25.0,24.0,25.0,190345.1,190345.1,190345.1,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.2,374571.2,374571.2,17286.2,17286.2,17286.2,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.25.32.16,Status : Start Source A,Operation Auto Inverter Only,1.1,1.1,0.0,25.5,25.0,190345.2,56692.0,46331.1,286945.1,0.0,0.0,374571.2,17286.3,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.1,0.0,25.5,25.0,190345.2,56692.0,46331.1,286945.1,0.0,0.0,374571.2,17286.3,76583.7,215715.1,1.2,1.2,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.5,25.5,25.5,25.0,24.0,24.0,190345.2,190345.2,190345.2,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.2,374571.2,374571.2,17286.3,17286.3,17286.2,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.27.30.27,Status : Start Source A,Operation Auto Inverter Only,1.1,1.1,0.0,25.5,25.0,190345.2,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.4,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.5,25.0,190345.2,56692.0,46331.1,286945.1,0.0,0.0,374571.3,17286.3,76583.7,215715.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.5,25.5,25.5,25.0,24.0,24.0,190345.2,190345.2,190345.2,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.3,374571.3,374571.3,17286.3,17286.3,17286.3,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.34.43.28,Status : Start Source A,Operation Auto Inverter Only,1.3,1.2,0.0,25.7,25.0,190345.4,56692.0,46331.1,286945.1,0.0,0.0,374571.4,17286.6,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.7,24.0,190345.4,56692.0,46331.1,286945.1,0.0,0.0,374571.4,17286.6,76583.7,215715.1,1.2,1.3,1.3,1.2,1.3,1.3,0.0,0.0,0.0,25.7,25.6,25.6,24.0,25.0,24.0,190345.4,190345.4,190345.4,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.4,374571.4,374571.4,17286.6,17286.6,17286.6,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.43.44.25,Status : Start Source A,Operation Auto Inverter Only,1.1,1.1,0.0,25.7,25.0,190345.5,56692.0,46331.1,286945.1,0.0,0.0,374571.6,17286.9,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.7,24.0,190345.5,56692.0,46331.1,286945.1,0.0,0.0,374571.6,17286.9,76583.7,215715.1,1.1,1.2,1.2,1.1,1.2,1.2,0.0,0.0,0.0,25.7,25.7,25.6,24.0,25.0,25.0,190345.5,190345.5,190345.4,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.6,374571.5,374571.4,17286.9,17286.8,17286.6,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,05.48.55.46,Status : Start Source A,Operation Auto Inverter Only,1.1,1.1,0.0,25.8,25.0,190345.6,56692.0,46331.1,286945.1,0.0,0.0,374571.7,17287.1,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.1,1.1,0.0,25.8,25.0,190345.6,56692.0,46331.1,286945.1,0.0,0.0,374571.7,17287.1,76583.7,215715.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,25.8,25.8,25.8,25.0,24.0,25.0,190345.6,190345.6,190345.6,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374571.7,374571.7,374571.7,17287.1,17287.1,17287.1,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
2022-10-09,06.09.12.24,Status : Start Source A,Operation Auto Inverter Only,1.2,1.2,0.0,25.9,25.0,190346.0,56692.0,46331.1,286945.1,0.0,0.0,374572.1,17287.8,76583.7,215715.1,4.166666666666666,0.0217770034843205,Inspecting,1.2,1.2,0.0,25.9,24.0,190346.0,56692.0,46331.1,286945.1,0.0,0.0,374572.1,17287.8,76583.7,215715.1,1.2,1.1,1.1,1.2,1.1,1.2,0.0,0.0,0.0,25.9,25.9,25.8,24.0,25.0,25.0,190346.0,190346.0,190346.0,56692.0,56692.0,56692.0,46331.1,46331.1,46331.1,286945.1,286945.1,286945.1,0.0,0.0,0.0,0.0,0.0,0.0,374572.1,374572.1,374572.1,17287.8,17287.8,17287.8,76583.7,76583.7,76583.7,215715.1,215715.1,215715.1
