V_A10
2023-06-13 12.54.07
No,Date,Time,Description,Trigger,Event,Var Rev,DSP Rev,Event Data,Inv kW L1 (kW),Inv kW L2 (kW),Inv kW L3 (kW),Inv kW Sum (kW),Inv kVA L1 (kVA),Inv kVA L2 (kVA),Inv kVA L3 (kVA),Inv kVA Sum (kVA),Inv Volts L1 (V),Inv Volts L2 (V),Inv Volts L3 (V),Inv Volts Ave (V),Inv Amps L1 (A),Inv Amps L2 (A),Inv Amps L3 (A),Inv Amps Ave (A),Inv L1 Pwr Factor (PF),Inv L2 Pwr Factor (PF),Inv L3 Pwr Factor (PF),Pri Amps 1 (A),Pri Amps 2 (A),Pri Amps 3 (A),Inv Freq (Hz),Status of the Inv,Src kW L1 (kW),Src kW L2 (kW),Src kW L3 (kW),Src kW Sum (kW),Src kVA L1 (kVA),Src kVA L2 (kVA),Src kVA L3 (kVA),Src kVA Sum (kVA),Src Volts L1 (V),Src Volts L2 (V),Src Volts L3 (V),Src Volts Ave (V),Src Amps L1 (A),Src Amps L2 (A),Src Amps L3 (A),Src A Ave (A),Src L1 Pwr Factor (PF),Src L2 Pwr Factor (PF),Src L3 Pwr Factor (PF),Src Freq (Hz),Src Status (Bad-Test-Good),Source A Status,Source B Status,Source A Stop,Source B Stop,Load kW L1 (kW),Load kW L2 (kW),Load kW L3 (kW),Load kW Sum (kW),Load kVA L1 (kVA),Load kVA L2 (kVA),Load kVA L3 (kVA),Load kVA Sum (kVA),Load Volts L1 (V),Load Volts L2 (V),Load Volts L3 (V),Load Volts Ave (V),Load Amps L1 (A),Load Amps L2 (A),Load Amps L3 (A),Load A Ave (A),Load L1 Pwr Factor (PF),Load L2 Pwr Factor (PF),Load L3 Pwr Factor (PF),Load Freq (Hz),Batery (VPC) (VPC),Batt (Volts) (V),Batt Amps (A),Batt kW (kW),Target Batt Volts to which Sys controls to (VPC),Target Batt amps to which Sys controls to (A),Equalize Enable Flag,Temp Compnsatn Offset (mV/C),Solar Amps (A),Solar kW (kW),Aux Amps (A),Aux kW (kW),Heatsnk Temp 1 (C),Heatsnk Temp 2 (C),Heatsnk Temp 3 (C),Heatsnk Temp 4 (C),Cabinet Temp (C),Batt Temp (C),Ambient Temp (C),Solar Radiation (W/m2),Fuel Level (L),Wind Speed (m/s),Fuel Flow A (l/h),Fuel Flow B (l/h),DSP +5v Supply Sense (V),DSP +12v Supply Sense (V),DSP -12v Supply Sense (V),Analog IP 15 reading (mV/C),Most recent status ,Most recent fault ,Target Import KW from/to the Src PIM operation (kW),Target Import KW from/to the Inv PIM operation (kW),Active PID Control for Line 1,Active PID Control for Line 2,Active PID Control for Line 3,Wifi terminal and connection status,Modem termina and connection status,License is valid,Sys Authorization Code 1,Sys Authorization Code 2,Sys Authorization Code 3,DSP Software revision,MIC Software revision,WIFI software revision,GSM software revision,HMI software revision,OPS Comms revision,Set points and Variables list revision,OperMode,SrcAMode,SrcBMode,InvMode,SolarMode,BatteryMode,WindGenMode,InvCBMode,SrcACBMode,SrcBCBMode,FaultModeL,FaultModeH,Temp Fault General Timer,Batt Bulk/Equalize/Extended Charge Termination Timer,Battery bulk enable sensing integration timer,Recon timer after a Src has failed to start,Generator Minumum up time Timer,Generator Average Stop time,Batter Fault Timer,Solar turn OFF Timer,Batt Max Delay To Equalize Timer,Gen Start Delay Timer (GSC Grid Fail),Batt low generator start timer,High load generator start timer,Digital Input Inv CB feedback,Digital Input Src A CB feedback,Digital Input Src B CB feedback,Digital Input fault reset,Digital Input toggle boost,Digital Input Force Start,Digital Input Bypass,Digital Input Pwr Drive Interupt,Digital Input IGBT Error 1 PWM Block A,Digital Input IGBT Error 2 PWM Block A,Digital Input IGBT Error 3 PWM Block A,Digital Input IGBT Error 1 PWM Block B,Digital Input IGBT Error 2 PWM Block B,Digital Input IGBT Error 3 PWM Block B,Solar Earth Fault Input,Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Site kWh (meter),Batt Exp kWh,Batt Imp kWh,Solar kWh,Aux kWh,Src A Run Hrs,Src B Run Hrs,Inv Total Run Hours,Batt Equalise Time,Time at which Src A was run last,Time at which Src B was run last,Sys Total Running Time,Digital Output Solar PWM,Digital Output Aux PWM,Digital Output Generator Start A,Digital Output Generator Start B,Digital Output Alarm,Digital Output Src sensing relay,Digital Output HS Fan Enable,Digital Output Cabinet Fan Enable,Digital output Src A Contactor ,Digital output Src B Contactor ,Digital output Inv Contactor ,CRC BUS Faults for MIC,CRC BUS Faults for WIFI,CRC BUS Faults for MODEM,CRC BUS Faults for HMI,CRC BUS Faults for No Valid Device,EOT not Received from MIC,EOT not Received from WIFI,EOT not Received from MODEM,EOT not Received from HMI,EOT not Received from No Device,BUS Framing Faults for No Valid Device,Wrong Address BUS Faults for MIC,Wrong Address BUS Faults for WIFI,Wrong Address Faults for MODEM,Wrong Address BUS Faults for HMI,Wrong Address BUS Faults for No Valid Device,Timeout BUS Faults for MIC,Timeout BUS Faults for WIFI,Timeout BUS Faults for MODEM,Timeout BUS Faults for HMI,Timeout BUS Faults for No Valid Device,BUS Poll Results Faults for MIC,BUS Poll Results BUS Faults for WIFI,BUS Poll Results Faults for MODEM,BUS Poll Results Faults for HMI,BUS Poll Results Faults for No Valid Device,Inverter Power Angle Line 1 (deg),Inverter Power Angle Line 2 (deg),Inverter Power Angle Line 3 (deg),Estimate Power Angle Line 1 (deg),Estimate Power Angle Line 2 (deg),Estimate Power Angle Line 3 (deg),Battery Capacity (%),Spare,Spare,Spare
67012,2022-12-01,00.09.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.3,0.6,0,0.3,0.3,0.6,244,241,240,241,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.3,0.6,0.2,0.3,0.3,0.8,244,241,240,241,1,2,1,1,0,0,0,50,2.016,241.9,-0.5,-0.1,2.216,70,No,16,0,0,0,0,21,19.8,20.7,20,21.7,16.7,19.3,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289181.8,0,0,377120.3,128,17443.7,76705.5,216470.9,0,53833:41,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10881:39,88,0,1,0,1,0,0,0,1,0,0,2288,1,0,16711,0,2,1,2,0,0,0,3,2,4,6,90,600,5,3,7607,0,946,5,4,17542,0,0,0,0,0,0,0,0,0,0,0
67013,2022-12-01,00.19.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.2,0.4,0,0.2,0.2,0.4,244,241,240,241,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.2,0.4,0.2,0.2,0.2,0.6,244,241,240,241,1,1,1,1,0,0,0,50,2.034,241.9,-0.5,-0.1,2.217,70,No,17,0,0,0,0,21,19.7,20.5,19.9,21.7,16.6,18.9,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289181.9,0,0,377120.4,128,17443.7,76705.5,216470.9,0,53833:51,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10881:49,88,0,1,0,1,0,0,0,1,0,0,2288,1,0,16712,0,2,1,2,0,0,0,3,2,4,6,90,600,5,3,7607,0,946,5,4,17542,0,0,0,0,0,0,0,0,0,0,0
67014,2022-12-01,00.29.32.05,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.3,0.6,0,0.3,0.3,0.6,244,242,241,242,0,1,1,0,0,0,0,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.3,0.6,0.2,0.3,0.3,0.8,244,242,241,242,1,1,1,1,0,0,0,50,2.016,241.9,-0.5,-0.1,2.217,70,No,16,0,0,0,0,20.9,19.8,20.6,20,21.7,16.7,18.9,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182,0,0,377120.5,128,17443.7,76705.5,216470.9,0,53834:01,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10881:59,88,0,1,0,1,0,0,0,1,0,0,2288,1,0,16712,0,2,1,2,0,0,0,3,2,4,6,90,600,5,3,7608,0,946,5,4,17543,0,0,0,0,0,0,0,0,0,0,0
67015,2022-12-01,00.39.32.03,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,245,243,240,242,0,2,2,1,0,0.823,0.833,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,245,243,240,242,1,2,2,1,0,0.823,0.833,50,2.016,241.8,-0.5,-0.1,2.216,70,No,17,0,0,0,0,20.9,19.7,20.5,19.9,21.6,16.6,19,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.1,0,0,377120.6,128,17443.7,76705.5,216470.9,0,53834:11,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:09,88,0,1,0,1,0,0,0,1,0,0,2291,1,0,16712,0,2,1,2,0,0,0,3,2,4,6,90,600,5,3,7608,0,946,5,4,17543,0,0,0,0,0,0,0,0,0,0,0
67016,2022-12-01,00.49.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.3,0.6,0,0.3,0.3,0.6,246,243,241,243,0,1,1,0,0,0,0,50.2,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.3,0.6,0.2,0.4,0.3,0.9,246,243,241,243,1,2,1,1,0,0.617,0,50,2.015,241.8,-0.5,-0.1,2.217,70,No,17,0,0,0,0,20.9,19.7,20.5,19.9,21.6,16.6,19.1,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.2,0,0,377120.7,128,17443.8,76705.5,216470.9,0,53834:21,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:19,88,0,1,0,1,0,0,0,1,0,0,2292,1,0,16713,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7608,0,947,5,4,17545,0,0,0,0,0,0,0,0,0,0,0
67017,2022-12-01,00.59.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.6,0.9,0,0.4,0.6,1,246,243,240,243,0,2,2,1,0,0.617,1,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.6,0.9,0.2,0.4,0.6,1.2,246,243,240,243,1,2,2,1,0,0.617,1,50,2.014,241.6,-0.5,-0.1,2.216,70,No,16,0,0,0,0,20.9,19.7,20.5,19.9,21.6,16.7,19.2,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.3,0,0,377120.8,128,17443.8,76705.5,216470.9,0,53834:31,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:29,88,0,1,0,1,0,0,0,1,0,0,2293,1,0,16715,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7608,0,947,5,4,17547,0,0,0,0,0,0,0,0,0,0,0
67018,2022-12-01,01.09.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.2,0.4,0,0.2,0.2,0.4,246,242,242,243,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.2,0.4,0.2,0.2,0.2,0.6,246,243,242,243,1,1,1,1,0,0,0,50,2.014,241.8,-0.5,-0.1,2.216,70,No,16,0,0,0,0,20.9,19.6,20.4,19.8,21.5,16.8,19.1,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.4,0,0,377120.9,128,17443.8,76705.5,216470.9,0,53834:41,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:39,88,0,1,0,1,0,0,0,1,0,0,2293,1,0,16715,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7608,0,947,5,4,17548,0,0,0,0,0,0,0,0,0,0,0
67019,2022-12-01,01.19.32.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,246,243,241,243,0,1,2,1,0,0,0.829,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,246,243,241,243,1,2,2,1,0,0.823,0.829,50,2.014,241.6,-0.5,-0.1,2.217,70,No,17,0,0,0,0,20.8,19.6,20.4,19.8,21.5,16.6,18.9,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.4,0,0,377120.9,128,17443.8,76705.5,216470.9,0,53834:51,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:49,88,0,1,0,1,0,0,0,1,0,0,2294,1,0,16716,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7608,0,947,5,4,17549,0,0,0,0,0,0,0,0,0,0,0
67020,2022-12-01,01.29.30.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.3,0.6,0,0.3,0.3,0.6,246,243,242,243,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.3,0.6,0.2,0.3,0.3,0.8,246,243,241,243,1,1,1,1,0,0,0,50,2.013,241.5,-0.5,-0.1,2.217,70,No,17,0,0,0,0,20.8,19.6,20.4,19.8,21.5,16.7,18.8,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.6,0,0,377121.1,128,17443.8,76705.5,216470.9,0,53835:01,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10882:59,87,0,1,0,1,0,0,0,1,0,0,2295,1,0,16720,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7610,0,947,5,4,17553,0,0,0,0,0,0,0,0,0,0,0
67021,2022-12-01,01.39.30.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.2,0.4,0,0.2,0.2,0.4,246,243,243,244,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.2,0.4,0.2,0.2,0.2,0.6,246,243,243,244,1,1,1,1,0,0,0,50,2.033,241.5,-0.5,-0.1,2.216,70,No,16,0,0,0,0,20.8,19.6,20.4,19.7,21.5,16.8,18.9,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289182.7,0,0,377121.2,128,17443.8,76705.5,216470.9,0,53835:11,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,10883:09,87,0,1,0,1,0,0,0,1,0,0,2299,1,0,16720,0,2,1,2,0,0,0,3,2,4,6,90,601,5,3,7610,0,947,5,4,17556,0,0,0,0,0,0,0,0,0,0,0
