V_A10
2023-06-12 18.00.43
No,Date,Time,Description,Trigger,Event,Var Rev,DSP Rev,Event Data,Inv kW L1 (kW),Inv kW L2 (kW),Inv kW L3 (kW),Inv kW Sum (kW),Inv kVA L1 (kVA),Inv kVA L2 (kVA),Inv kVA L3 (kVA),Inv kVA Sum (kVA),Inv Volts L1 (V),Inv Volts L2 (V),Inv Volts L3 (V),Inv Volts Ave (V),Inv Amps L1 (A),Inv Amps L2 (A),Inv Amps L3 (A),Inv Amps Ave (A),Inv L1 Pwr Factor (PF),Inv L2 Pwr Factor (PF),Inv L3 Pwr Factor (PF),Pri Amps 1 (A),Pri Amps 2 (A),Pri Amps 3 (A),Inv Freq (Hz),Status of the Inv,Src kW L1 (kW),Src kW L2 (kW),Src kW L3 (kW),Src kW Sum (kW),Src kVA L1 (kVA),Src kVA L2 (kVA),Src kVA L3 (kVA),Src kVA Sum (kVA),Src Volts L1 (V),Src Volts L2 (V),Src Volts L3 (V),Src Volts Ave (V),Src Amps L1 (A),Src Amps L2 (A),Src Amps L3 (A),Src A Ave (A),Src L1 Pwr Factor (PF),Src L2 Pwr Factor (PF),Src L3 Pwr Factor (PF),Src Freq (Hz),Src Status (Bad-Test-Good),Source A Status,Source B Status,Source A Stop,Source B Stop,Load kW L1 (kW),Load kW L2 (kW),Load kW L3 (kW),Load kW Sum (kW),Load kVA L1 (kVA),Load kVA L2 (kVA),Load kVA L3 (kVA),Load kVA Sum (kVA),Load Volts L1 (V),Load Volts L2 (V),Load Volts L3 (V),Load Volts Ave (V),Load Amps L1 (A),Load Amps L2 (A),Load Amps L3 (A),Load A Ave (A),Load L1 Pwr Factor (PF),Load L2 Pwr Factor (PF),Load L3 Pwr Factor (PF),Load Freq (Hz),Batery (VPC) (VPC),Batt (Volts) (V),Batt Amps (A),Batt kW (kW),Target Batt Volts to which Sys controls to (VPC),Target Batt amps to which Sys controls to (A),Equalize Enable Flag,Temp Compnsatn Offset (mV/C),Solar Amps (A),Solar kW (kW),Aux Amps (A),Aux kW (kW),Heatsnk Temp 1 (C),Heatsnk Temp 2 (C),Heatsnk Temp 3 (C),Heatsnk Temp 4 (C),Cabinet Temp (C),Batt Temp (C),Ambient Temp (C),Solar Radiation (W/m2),Fuel Level (L),Wind Speed (m/s),Fuel Flow A (l/h),Fuel Flow B (l/h),DSP +5v Supply Sense (V),DSP +12v Supply Sense (V),DSP -12v Supply Sense (V),Analog IP 15 reading (mV/C),Most recent status ,Most recent fault ,Target Import KW from/to the Src PIM operation (kW),Target Import KW from/to the Inv PIM operation (kW),Active PID Control for Line 1,Active PID Control for Line 2,Active PID Control for Line 3,Wifi terminal and connection status,Modem termina and connection status,License is valid,Sys Authorization Code 1,Sys Authorization Code 2,Sys Authorization Code 3,DSP Software revision,MIC Software revision,WIFI software revision,GSM software revision,HMI software revision,OPS Comms revision,Set points and Variables list revision,OperMode,SrcAMode,SrcBMode,InvMode,SolarMode,BatteryMode,WindGenMode,InvCBMode,SrcACBMode,SrcBCBMode,FaultModeL,FaultModeH,Temp Fault General Timer,Batt Bulk/Equalize/Extended Charge Termination Timer,Battery bulk enable sensing integration timer,Recon timer after a Src has failed to start,Generator Minumum up time Timer,Generator Average Stop time,Batter Fault Timer,Solar turn OFF Timer,Batt Max Delay To Equalize Timer,Gen Start Delay Timer (GSC Grid Fail),Batt low generator start timer,High load generator start timer,Digital Input Inv CB feedback,Digital Input Src A CB feedback,Digital Input Src B CB feedback,Digital Input fault reset,Digital Input toggle boost,Digital Input Force Start,Digital Input Bypass,Digital Input Pwr Drive Interupt,Digital Input IGBT Error 1 PWM Block A,Digital Input IGBT Error 2 PWM Block A,Digital Input IGBT Error 3 PWM Block A,Digital Input IGBT Error 1 PWM Block B,Digital Input IGBT Error 2 PWM Block B,Digital Input IGBT Error 3 PWM Block B,Solar Earth Fault Input,Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Site kWh (meter),Batt Exp kWh,Batt Imp kWh,Solar kWh,Aux kWh,Src A Run Hrs,Src B Run Hrs,Inv Total Run Hours,Batt Equalise Time,Time at which Src A was run last,Time at which Src B was run last,Sys Total Running Time,Digital Output Solar PWM,Digital Output Aux PWM,Digital Output Generator Start A,Digital Output Generator Start B,Digital Output Alarm,Digital Output Src sensing relay,Digital Output HS Fan Enable,Digital Output Cabinet Fan Enable,Digital output Src A Contactor ,Digital output Src B Contactor ,Digital output Inv Contactor ,CRC BUS Faults for MIC,CRC BUS Faults for WIFI,CRC BUS Faults for MODEM,CRC BUS Faults for HMI,CRC BUS Faults for No Valid Device,EOT not Received from MIC,EOT not Received from WIFI,EOT not Received from MODEM,EOT not Received from HMI,EOT not Received from No Device,BUS Framing Faults for No Valid Device,Wrong Address BUS Faults for MIC,Wrong Address BUS Faults for WIFI,Wrong Address Faults for MODEM,Wrong Address BUS Faults for HMI,Wrong Address BUS Faults for No Valid Device,Timeout BUS Faults for MIC,Timeout BUS Faults for WIFI,Timeout BUS Faults for MODEM,Timeout BUS Faults for HMI,Timeout BUS Faults for No Valid Device,BUS Poll Results Faults for MIC,BUS Poll Results BUS Faults for WIFI,BUS Poll Results Faults for MODEM,BUS Poll Results Faults for HMI,BUS Poll Results Faults for No Valid Device,Inverter Power Angle Line 1 (deg),Inverter Power Angle Line 2 (deg),Inverter Power Angle Line 3 (deg),Estimate Power Angle Line 1 (deg),Estimate Power Angle Line 2 (deg),Estimate Power Angle Line 3 (deg),Battery Capacity (%),Spare,Spare,Spare
75948,2023-02-01,00.07.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.4,0.7,0,0.4,0.4,0.8,240,241,243,241,0,2,2,1,0,0.622,0.823,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.4,0.7,0.2,0.4,0.4,1,240,241,243,241,1,2,2,1,0,0.622,0.823,50,2.018,242.2,-0.5,-0.1,2.213,70,No,13,0,0,0,0,19.2,17.7,18.7,18,19.9,17.3,16,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.1,0,0,378702.6,128,17529,76742.3,216600.1,0,55321:34,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12369:50,88,0,1,0,1,0,0,0,1,0,0,5456,1,0,32747,0,2,1,2,0,0,0,3,10,5,6,235,1181,5,3,9626,0,1899,5,4,27756,0,0,0,0,0,0,0,0,0,0,0
75949,2023-02-01,00.17.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.7,1.1,0,0.7,0.7,1.4,243,241,241,241,0,3,3,2,0,0.553,0.968,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.7,1.1,0.2,0.7,0.7,1.6,243,241,241,241,1,3,3,2,0,0.553,0.968,50,2.019,242.2,-0.5,-0.1,2.214,70,No,13,0,0,0,0,19.1,17.7,18.6,17.9,19.8,17.3,15.9,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.2,0,0,378702.7,128,17529,76742.3,216600.1,0,55321:44,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:00,88,0,1,0,1,0,0,0,1,0,0,5457,1,0,32748,0,2,1,2,0,0,0,3,10,5,6,235,1182,5,3,9626,0,1900,5,4,27756,0,0,0,0,0,0,0,0,0,0,0
75950,2023-02-01,00.27.22.04,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.5,0.9,0,0.4,0.5,0.9,240,243,244,242,0,2,2,1,0,0.823,1,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.5,0.9,0.2,0.4,0.5,1.1,240,243,244,242,1,2,2,1,0,0.823,1,50,2.02,242.2,-0.5,-0.1,2.213,70,No,13,0,0,0,0,19,17.6,18.5,17.9,19.7,17.4,15.8,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.3,0,0,378702.8,128,17529,76742.3,216600.1,0,55321:54,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:10,88,0,1,0,1,0,0,0,1,0,0,5458,1,0,32752,0,2,1,2,0,0,0,3,10,5,6,235,1182,5,3,9626,0,1900,5,4,27758,0,0,0,0,0,0,0,0,0,0,0
75951,2023-02-01,00.37.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.5,0.6,1.1,0,0.5,0.6,1.1,242,244,242,242,0,2,2,1,0,1,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.5,0.6,1.1,0.2,0.5,0.6,1.3,242,244,242,242,1,2,2,1,0,1,1,50,2.02,242.2,-0.5,-0.1,2.214,70,No,13,0,0,0,0,18.9,17.5,18.4,17.8,19.7,17.3,15.8,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.5,0,0,378703,128,17529,76742.3,216600.1,0,55322:04,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:20,88,0,1,0,1,0,0,0,1,0,0,5458,1,0,32756,0,2,1,2,0,0,0,3,10,5,6,235,1182,5,3,9627,0,1900,5,4,27760,0,0,0,0,0,0,0,0,0,0,0
75952,2023-02-01,00.47.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.7,1.1,0,0.4,0.7,1.1,243,244,242,243,0,2,3,1,0,0.819,0.964,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.7,1.1,0.2,0.7,0.7,1.6,243,244,242,243,1,3,3,2,0,0.546,0.964,50,2.022,242.4,-0.5,-0.1,2.212,70,No,13,0,0,0,0,18.9,17.5,18.4,17.7,19.6,17.3,15.8,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.6,0,0,378703.1,128,17529,76742.3,216600.1,0,55322:14,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:30,88,0,1,0,1,0,0,0,1,0,0,5458,1,0,32758,0,2,1,2,0,0,0,3,10,5,6,235,1182,5,3,9627,0,1900,5,4,27762,0,0,0,0,0,0,0,0,0,0,0
75953,2023-02-01,00.57.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.4,0.6,0,0.2,0.4,0.6,242,244,246,244,0,1,1,0,0,0,0,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.4,0.6,0.2,0.4,0.4,1,242,244,246,244,1,2,2,1,0,0.409,0.813,50,2.027,242.4,-0.5,-0.1,2.213,70,No,12,0,0,0,0,18.8,17.4,18.3,17.7,19.6,17.5,15.7,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.7,0,0,378703.2,128,17529.1,76742.3,216600.1,0,55322:24,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:40,88,0,1,0,1,0,0,0,1,0,0,5459,1,0,32759,0,2,1,2,0,0,0,3,10,5,6,235,1183,5,3,9627,0,1902,5,4,27764,0,0,0,0,0,0,0,0,0,0,0
75954,2023-02-01,01.07.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,242,247,245,244,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,242,247,245,244,1,1,1,1,0,0,0,50,2.018,242.2,-0.5,-0.1,2.214,70,No,14,0,0,0,0,18.8,17.3,18.3,17.6,19.6,17.2,15.5,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.8,0,0,378703.3,128,17529.1,76742.3,216600.1,0,55322:34,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12370:50,88,0,1,0,1,0,0,0,1,0,0,5459,1,0,32759,0,2,1,2,0,0,0,3,10,5,6,235,1183,5,3,9627,0,1902,5,4,27764,0,0,0,0,0,0,0,0,0,0,0
75955,2023-02-01,01.17.22.01,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,243,248,243,244,0,2,2,1,0,0.806,0.823,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,243,248,243,244,1,2,2,1,0,0.806,0.823,50,2.019,242.2,-0.5,-0.1,2.212,70,No,12,0,0,0,0,18.7,17.2,18.2,17.5,19.5,17.5,15.4,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290764.9,0,0,378703.5,128,17529.1,76742.3,216600.1,0,55322:44,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12371:00,88,0,1,0,1,0,0,0,1,0,0,5460,1,0,32759,0,2,1,2,0,0,0,3,10,5,6,235,1183,5,3,9627,0,1902,5,4,27764,0,0,0,0,0,0,0,0,0,0,0
75956,2023-02-01,01.27.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,244,248,243,245,0,2,2,1,0,0.806,0.823,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,244,248,243,245,1,2,2,1,0,0.806,0.823,50,2.019,242.2,-0.5,-0.1,2.214,70,No,14,0,0,0,0,18.6,17.2,18.1,17.5,19.4,17.3,15.3,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290765.1,0,0,378703.6,128,17529.1,76742.3,216600.1,0,55322:54,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12371:10,88,0,1,0,1,0,0,0,1,0,0,5460,1,0,32760,0,2,1,2,0,0,0,3,10,5,6,235,1183,5,3,9627,0,1902,5,4,27766,0,0,0,0,0,0,0,0,0,0,0
75957,2023-02-01,01.37.22.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,242,246,245,244,0,1,1,0,0,0,0,49.8,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,242,246,245,244,1,1,1,1,0,0,0,50,2.039,242.2,-0.5,-0.1,2.212,70,No,12,0,0,0,0,18.6,17.1,18,17.3,19.4,17.5,15.3,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,290765.2,0,0,378703.7,128,17529.1,76742.3,216600.1,0,55323:04,00:00,54417:58,2014-08-08 10.52.12,2023-01-17 17.55.28,1999-12-31,12371:20,88,0,1,0,1,0,0,0,1,0,0,5462,1,0,32763,0,2,1,2,0,0,0,3,10,5,6,235,1183,5,3,9627,0,1902,5,4,27768,0,0,0,0,0,0,0,0,0,0,0
