V_A10
2023-06-13 11.59.09
No,Date,Time,Description,Trigger,Event,Var Rev,DSP Rev,Event Data,Inv kW L1 (kW),Inv kW L2 (kW),Inv kW L3 (kW),Inv kW Sum (kW),Inv kVA L1 (kVA),Inv kVA L2 (kVA),Inv kVA L3 (kVA),Inv kVA Sum (kVA),Inv Volts L1 (V),Inv Volts L2 (V),Inv Volts L3 (V),Inv Volts Ave (V),Inv Amps L1 (A),Inv Amps L2 (A),Inv Amps L3 (A),Inv Amps Ave (A),Inv L1 Pwr Factor (PF),Inv L2 Pwr Factor (PF),Inv L3 Pwr Factor (PF),Pri Amps 1 (A),Pri Amps 2 (A),Pri Amps 3 (A),Inv Freq (Hz),Status of the Inv,Src kW L1 (kW),Src kW L2 (kW),Src kW L3 (kW),Src kW Sum (kW),Src kVA L1 (kVA),Src kVA L2 (kVA),Src kVA L3 (kVA),Src kVA Sum (kVA),Src Volts L1 (V),Src Volts L2 (V),Src Volts L3 (V),Src Volts Ave (V),Src Amps L1 (A),Src Amps L2 (A),Src Amps L3 (A),Src A Ave (A),Src L1 Pwr Factor (PF),Src L2 Pwr Factor (PF),Src L3 Pwr Factor (PF),Src Freq (Hz),Src Status (Bad-Test-Good),Source A Status,Source B Status,Source A Stop,Source B Stop,Load kW L1 (kW),Load kW L2 (kW),Load kW L3 (kW),Load kW Sum (kW),Load kVA L1 (kVA),Load kVA L2 (kVA),Load kVA L3 (kVA),Load kVA Sum (kVA),Load Volts L1 (V),Load Volts L2 (V),Load Volts L3 (V),Load Volts Ave (V),Load Amps L1 (A),Load Amps L2 (A),Load Amps L3 (A),Load A Ave (A),Load L1 Pwr Factor (PF),Load L2 Pwr Factor (PF),Load L3 Pwr Factor (PF),Load Freq (Hz),Batery (VPC) (VPC),Batt (Volts) (V),Batt Amps (A),Batt kW (kW),Target Batt Volts to which Sys controls to (VPC),Target Batt amps to which Sys controls to (A),Equalize Enable Flag,Temp Compnsatn Offset (mV/C),Solar Amps (A),Solar kW (kW),Aux Amps (A),Aux kW (kW),Heatsnk Temp 1 (C),Heatsnk Temp 2 (C),Heatsnk Temp 3 (C),Heatsnk Temp 4 (C),Cabinet Temp (C),Batt Temp (C),Ambient Temp (C),Solar Radiation (W/m2),Fuel Level (L),Wind Speed (m/s),Fuel Flow A (l/h),Fuel Flow B (l/h),DSP +5v Supply Sense (V),DSP +12v Supply Sense (V),DSP -12v Supply Sense (V),Analog IP 15 reading (mV/C),Most recent status ,Most recent fault ,Target Import KW from/to the Src PIM operation (kW),Target Import KW from/to the Inv PIM operation (kW),Active PID Control for Line 1,Active PID Control for Line 2,Active PID Control for Line 3,Wifi terminal and connection status,Modem termina and connection status,License is valid,Sys Authorization Code 1,Sys Authorization Code 2,Sys Authorization Code 3,DSP Software revision,MIC Software revision,WIFI software revision,GSM software revision,HMI software revision,OPS Comms revision,Set points and Variables list revision,OperMode,SrcAMode,SrcBMode,InvMode,SolarMode,BatteryMode,WindGenMode,InvCBMode,SrcACBMode,SrcBCBMode,FaultModeL,FaultModeH,Temp Fault General Timer,Batt Bulk/Equalize/Extended Charge Termination Timer,Battery bulk enable sensing integration timer,Recon timer after a Src has failed to start,Generator Minumum up time Timer,Generator Average Stop time,Batter Fault Timer,Solar turn OFF Timer,Batt Max Delay To Equalize Timer,Gen Start Delay Timer (GSC Grid Fail),Batt low generator start timer,High load generator start timer,Digital Input Inv CB feedback,Digital Input Src A CB feedback,Digital Input Src B CB feedback,Digital Input fault reset,Digital Input toggle boost,Digital Input Force Start,Digital Input Bypass,Digital Input Pwr Drive Interupt,Digital Input IGBT Error 1 PWM Block A,Digital Input IGBT Error 2 PWM Block A,Digital Input IGBT Error 3 PWM Block A,Digital Input IGBT Error 1 PWM Block B,Digital Input IGBT Error 2 PWM Block B,Digital Input IGBT Error 3 PWM Block B,Solar Earth Fault Input,Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Site kWh (meter),Batt Exp kWh,Batt Imp kWh,Solar kWh,Aux kWh,Src A Run Hrs,Src B Run Hrs,Inv Total Run Hours,Batt Equalise Time,Time at which Src A was run last,Time at which Src B was run last,Sys Total Running Time,Digital Output Solar PWM,Digital Output Aux PWM,Digital Output Generator Start A,Digital Output Generator Start B,Digital Output Alarm,Digital Output Src sensing relay,Digital Output HS Fan Enable,Digital Output Cabinet Fan Enable,Digital output Src A Contactor ,Digital output Src B Contactor ,Digital output Inv Contactor ,CRC BUS Faults for MIC,CRC BUS Faults for WIFI,CRC BUS Faults for MODEM,CRC BUS Faults for HMI,CRC BUS Faults for No Valid Device,EOT not Received from MIC,EOT not Received from WIFI,EOT not Received from MODEM,EOT not Received from HMI,EOT not Received from No Device,BUS Framing Faults for No Valid Device,Wrong Address BUS Faults for MIC,Wrong Address BUS Faults for WIFI,Wrong Address Faults for MODEM,Wrong Address BUS Faults for HMI,Wrong Address BUS Faults for No Valid Device,Timeout BUS Faults for MIC,Timeout BUS Faults for WIFI,Timeout BUS Faults for MODEM,Timeout BUS Faults for HMI,Timeout BUS Faults for No Valid Device,BUS Poll Results Faults for MIC,BUS Poll Results BUS Faults for WIFI,BUS Poll Results Faults for MODEM,BUS Poll Results Faults for HMI,BUS Poll Results Faults for No Valid Device,Inverter Power Angle Line 1 (deg),Inverter Power Angle Line 2 (deg),Inverter Power Angle Line 3 (deg),Estimate Power Angle Line 1 (deg),Estimate Power Angle Line 2 (deg),Estimate Power Angle Line 3 (deg),Battery Capacity (%),Spare,Spare,Spare
71474,2022-12-31,23.38.24.03,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,248,243,240,243,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,248,243,240,243,1,1,1,1,0,0,0,50,2.019,242.2,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.7,17.4,18.3,17.6,19.5,17,16.7,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289896.8,0,0,377835.3,128,17486.9,76723.7,216537,0,54577:16,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11625:14,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24722,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8178,0,1431,5,4,22313,0,0,0,0,0,0,0,0,0,0,0
71475,2022-12-31,23.48.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.4,0.7,0,0.3,0.4,0.7,247,242,242,243,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.4,0.7,0.2,0.4,0.4,1,247,242,242,243,1,2,2,1,0,0.619,0.826,50,2.019,242.1,-0.5,-0.1,2.216,70,No,15,0,0,0,0,18.7,17.3,18.2,17.6,19.4,16.9,16.5,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289896.9,0,0,377835.4,128,17486.9,76723.7,216537,0,54577:26,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11625:24,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24722,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8178,0,1431,5,4,22314,0,0,0,0,0,0,0,0,0,0,0
71476,2022-12-31,23.58.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.4,0.6,0,0.2,0.4,0.6,247,242,243,244,0,1,1,0,0,0,0,49.9,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.4,0.6,0.2,0.4,0.4,1,247,242,243,244,1,2,1,1,0,0.413,0,50,2.023,242.1,-0.5,-0.1,2.214,70,No,15,0,0,0,0,18.6,17.3,18.2,17.5,19.4,16.9,16.3,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897,0,0,377835.5,128,17486.9,76723.7,216537,0,54577:36,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11625:34,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24723,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22316,0,0,0,0,0,0,0,0,0,0,0
71477,2023-01-01,00.08.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.4,0.7,0,0.4,0.4,0.8,248,244,241,244,0,2,2,1,0,0.614,0.829,49.9,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.4,0.7,0.2,0.4,0.4,1,248,244,241,244,1,2,2,1,0,0.614,0.829,50,2.018,242.1,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.6,17.2,18.1,17.4,19.3,17,16.1,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.1,0,0,377835.6,128,17487,76723.7,216537,0,54577:46,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11625:44,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24724,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22316,0,0,0,0,0,0,0,0,0,0,0
71478,2023-01-01,00.18.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.4,0.7,0,0.3,0.4,0.7,249,245,243,245,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.4,0.7,0.2,0.4,0.4,1,249,245,243,245,1,2,2,1,0,0.612,0.823,50,2.017,242,-0.5,-0.1,2.214,70,No,14,0,0,0,0,18.5,17.1,18,17.4,19.3,17.1,16,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.2,0,0,377835.7,128,17487,76723.7,216537,0,54577:56,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11625:54,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24724,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22318,0,0,0,0,0,0,0,0,0,0,0
71479,2023-01-01,00.28.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,249,245,244,246,0,1,1,0,0,0,0,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,249,245,244,246,1,1,1,1,0,0,0,50,2.028,242.1,-0.5,-0.1,2.215,70,No,14,0,0,0,0,18.4,17.1,17.9,17.2,19.2,17.1,15.8,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.3,0,0,377835.8,128,17487,76723.7,216537,0,54578:06,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11626:04,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24727,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22321,0,0,0,0,0,0,0,0,0,0,0
71480,2023-01-01,00.38.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,250,244,242,245,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,250,244,242,245,1,1,1,1,0,0,0,50,2.039,242.1,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.4,16.9,17.8,17.1,19.1,17,15.6,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.4,0,0,377835.9,128,17487,76723.7,216537,0,54578:16,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11626:14,88,0,1,0,1,0,0,0,1,0,0,3894,1,0,24728,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22321,0,0,0,0,0,0,0,0,0,0,0
71481,2023-01-01,00.48.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.6,0.6,1.2,0,0.6,0.6,1.2,250,247,244,246,0,2,2,1,0,1,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.6,0.6,1.2,0.2,0.7,0.7,1.6,249,247,244,246,1,3,3,2,0,0.809,0.819,50,2.018,242.2,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.3,16.9,17.8,17.1,19.1,17,15.4,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.5,0,0,377836.1,128,17487,76723.7,216537,0,54578:26,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11626:24,88,0,1,0,1,0,0,0,1,0,0,3895,1,0,24731,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22321,0,0,0,0,0,0,0,0,0,0,0
71482,2023-01-01,00.58.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.4,0.7,0,0.3,0.4,0.7,250,246,244,246,0,1,1,0,0,0,0,49.9,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.4,0.7,0.2,0.4,0.4,1,250,246,244,246,1,2,2,1,0,0.609,0.819,50,2.018,242,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.2,16.8,17.7,17,19,16.9,15.3,27,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.7,0,0,377836.2,128,17487,76723.7,216537,0,54578:36,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11626:34,88,0,1,0,1,0,0,0,1,0,0,3896,1,0,24735,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22321,0,0,0,0,0,0,0,0,0,0,0
71483,2023-01-01,01.08.24.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,250,246,245,247,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,250,246,245,247,1,1,1,1,0,0,0,50,2.018,242.1,-0.5,-0.1,2.215,70,No,15,0,0,0,0,18.2,16.7,17.6,16.9,19,16.9,15.1,27,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,289897.8,0,0,377836.3,128,17487.1,76723.7,216537,0,54578:46,00:00,54417:58,2014-08-08 10.52.12,2022-11-30 17.51.18,1999-12-31,11626:44,88,0,1,0,1,0,0,0,1,0,0,3897,1,0,24736,0,2,1,2,0,0,0,3,10,5,6,157,888,5,3,8179,0,1431,5,4,22321,0,0,0,0,0,0,0,0,0,0,0
