V_A10
2023-06-12 17.27.06
No,Date,Time,Description,Trigger,Event,Var Rev,DSP Rev,Event Data,Inv kW L1 (kW),Inv kW L2 (kW),Inv kW L3 (kW),Inv kW Sum (kW),Inv kVA L1 (kVA),Inv kVA L2 (kVA),Inv kVA L3 (kVA),Inv kVA Sum (kVA),Inv Volts L1 (V),Inv Volts L2 (V),Inv Volts L3 (V),Inv Volts Ave (V),Inv Amps L1 (A),Inv Amps L2 (A),Inv Amps L3 (A),Inv Amps Ave (A),Inv L1 Pwr Factor (PF),Inv L2 Pwr Factor (PF),Inv L3 Pwr Factor (PF),Pri Amps 1 (A),Pri Amps 2 (A),Pri Amps 3 (A),Inv Freq (Hz),Status of the Inv,Src kW L1 (kW),Src kW L2 (kW),Src kW L3 (kW),Src kW Sum (kW),Src kVA L1 (kVA),Src kVA L2 (kVA),Src kVA L3 (kVA),Src kVA Sum (kVA),Src Volts L1 (V),Src Volts L2 (V),Src Volts L3 (V),Src Volts Ave (V),Src Amps L1 (A),Src Amps L2 (A),Src Amps L3 (A),Src A Ave (A),Src L1 Pwr Factor (PF),Src L2 Pwr Factor (PF),Src L3 Pwr Factor (PF),Src Freq (Hz),Src Status (Bad-Test-Good),Source A Status,Source B Status,Source A Stop,Source B Stop,Load kW L1 (kW),Load kW L2 (kW),Load kW L3 (kW),Load kW Sum (kW),Load kVA L1 (kVA),Load kVA L2 (kVA),Load kVA L3 (kVA),Load kVA Sum (kVA),Load Volts L1 (V),Load Volts L2 (V),Load Volts L3 (V),Load Volts Ave (V),Load Amps L1 (A),Load Amps L2 (A),Load Amps L3 (A),Load A Ave (A),Load L1 Pwr Factor (PF),Load L2 Pwr Factor (PF),Load L3 Pwr Factor (PF),Load Freq (Hz),Batery (VPC) (VPC),Batt (Volts) (V),Batt Amps (A),Batt kW (kW),Target Batt Volts to which Sys controls to (VPC),Target Batt amps to which Sys controls to (A),Equalize Enable Flag,Temp Compnsatn Offset (mV/C),Solar Amps (A),Solar kW (kW),Aux Amps (A),Aux kW (kW),Heatsnk Temp 1 (C),Heatsnk Temp 2 (C),Heatsnk Temp 3 (C),Heatsnk Temp 4 (C),Cabinet Temp (C),Batt Temp (C),Ambient Temp (C),Solar Radiation (W/m2),Fuel Level (L),Wind Speed (m/s),Fuel Flow A (l/h),Fuel Flow B (l/h),DSP +5v Supply Sense (V),DSP +12v Supply Sense (V),DSP -12v Supply Sense (V),Analog IP 15 reading (mV/C),Most recent status ,Most recent fault ,Target Import KW from/to the Src PIM operation (kW),Target Import KW from/to the Inv PIM operation (kW),Active PID Control for Line 1,Active PID Control for Line 2,Active PID Control for Line 3,Wifi terminal and connection status,Modem termina and connection status,License is valid,Sys Authorization Code 1,Sys Authorization Code 2,Sys Authorization Code 3,DSP Software revision,MIC Software revision,WIFI software revision,GSM software revision,HMI software revision,OPS Comms revision,Set points and Variables list revision,OperMode,SrcAMode,SrcBMode,InvMode,SolarMode,BatteryMode,WindGenMode,InvCBMode,SrcACBMode,SrcBCBMode,FaultModeL,FaultModeH,Temp Fault General Timer,Batt Bulk/Equalize/Extended Charge Termination Timer,Battery bulk enable sensing integration timer,Recon timer after a Src has failed to start,Generator Minumum up time Timer,Generator Average Stop time,Batter Fault Timer,Solar turn OFF Timer,Batt Max Delay To Equalize Timer,Gen Start Delay Timer (GSC Grid Fail),Batt low generator start timer,High load generator start timer,Digital Input Inv CB feedback,Digital Input Src A CB feedback,Digital Input Src B CB feedback,Digital Input fault reset,Digital Input toggle boost,Digital Input Force Start,Digital Input Bypass,Digital Input Pwr Drive Interupt,Digital Input IGBT Error 1 PWM Block A,Digital Input IGBT Error 2 PWM Block A,Digital Input IGBT Error 3 PWM Block A,Digital Input IGBT Error 1 PWM Block B,Digital Input IGBT Error 2 PWM Block B,Digital Input IGBT Error 3 PWM Block B,Solar Earth Fault Input,Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Site kWh (meter),Batt Exp kWh,Batt Imp kWh,Solar kWh,Aux kWh,Src A Run Hrs,Src B Run Hrs,Inv Total Run Hours,Batt Equalise Time,Time at which Src A was run last,Time at which Src B was run last,Sys Total Running Time,Digital Output Solar PWM,Digital Output Aux PWM,Digital Output Generator Start A,Digital Output Generator Start B,Digital Output Alarm,Digital Output Src sensing relay,Digital Output HS Fan Enable,Digital Output Cabinet Fan Enable,Digital output Src A Contactor ,Digital output Src B Contactor ,Digital output Inv Contactor ,CRC BUS Faults for MIC,CRC BUS Faults for WIFI,CRC BUS Faults for MODEM,CRC BUS Faults for HMI,CRC BUS Faults for No Valid Device,EOT not Received from MIC,EOT not Received from WIFI,EOT not Received from MODEM,EOT not Received from HMI,EOT not Received from No Device,BUS Framing Faults for No Valid Device,Wrong Address BUS Faults for MIC,Wrong Address BUS Faults for WIFI,Wrong Address Faults for MODEM,Wrong Address BUS Faults for HMI,Wrong Address BUS Faults for No Valid Device,Timeout BUS Faults for MIC,Timeout BUS Faults for WIFI,Timeout BUS Faults for MODEM,Timeout BUS Faults for HMI,Timeout BUS Faults for No Valid Device,BUS Poll Results Faults for MIC,BUS Poll Results BUS Faults for WIFI,BUS Poll Results Faults for MODEM,BUS Poll Results Faults for HMI,BUS Poll Results Faults for No Valid Device,Inverter Power Angle Line 1 (deg),Inverter Power Angle Line 2 (deg),Inverter Power Angle Line 3 (deg),Estimate Power Angle Line 1 (deg),Estimate Power Angle Line 2 (deg),Estimate Power Angle Line 3 (deg),Battery Capacity (%),Spare,Spare,Spare
80017,2023-03-01,00.07.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.3,0.3,0.6,0,0.3,0.3,0.6,241,238,238,239,0,1,1,0,0,0,0,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.3,0.3,0.6,0.2,0.3,0.3,0.8,241,238,238,239,1,1,1,1,0,0,0,50,2.02,242.4,-0.5,-0.1,2.216,70,No,16,0,0,0,0,27.1,25.6,26.6,25.9,27.6,16.8,26.1,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291558.9,0,0,379497.4,128,17565.2,76764.9,216672.5,0,55993:21,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13041:56,88,0,1,0,1,0,0,0,1,0,0,6703,1,0,-25753,0,2,1,2,0,0,0,3,11,5,6,284,1506,5,3,10952,0,2376,5,4,32647,0,0,0,0,0,0,0,0,0,0,0
80018,2023-03-01,00.17.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,241,238,239,239,0,1,2,1,0,0,0.836,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,241,238,239,239,1,2,2,1,0,0.84,0.836,50,2.04,242.8,-0.5,-0.1,2.217,70,No,17,0,0,0,0,27,25.4,26.4,25.8,27.4,16.6,25.9,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559,0,0,379497.5,128,17565.2,76764.9,216672.5,0,55993:31,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:06,88,0,1,0,1,0,0,0,1,0,0,6703,1,0,-25752,0,2,1,2,0,0,0,3,11,5,6,284,1507,5,3,10952,0,2377,5,4,32648,0,0,0,0,0,0,0,0,0,0,0
80019,2023-03-01,00.27.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,242,238,239,240,0,2,2,1,0,0.836,0.836,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,242,239,239,240,1,2,2,1,0,0.836,0.836,50,2.022,244,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.9,25.4,26.4,25.7,27.4,16.7,25.6,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.1,0,0,379497.6,128,17565.2,76764.9,216672.5,0,55993:41,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:16,88,0,1,0,1,0,0,0,1,0,0,6704,1,0,-25746,0,2,1,2,0,0,0,3,11,5,6,284,1507,5,3,10952,0,2377,5,4,32650,0,0,0,0,0,0,0,0,0,0,0
80020,2023-03-01,00.37.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,241,238,240,239,0,1,1,0,0,0,0,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,241,238,240,239,1,1,1,1,0,0,0,50,2.021,242.5,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.8,25.4,26.3,25.6,27.4,16.7,25.5,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.2,0,0,379497.7,128,17565.3,76764.9,216672.5,0,55993:51,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:26,88,0,1,0,1,0,0,0,1,0,0,6704,1,0,-25743,0,2,1,2,0,0,0,3,11,5,6,284,1507,5,3,10952,0,2377,5,4,32650,0,0,0,0,0,0,0,0,0,0,0
80021,2023-03-01,00.47.42.01,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.2,0.3,0.5,0,0.2,0.3,0.5,243,238,240,240,0,1,1,0,0,0,0,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.2,0.3,0.5,0.2,0.2,0.3,0.7,243,238,240,240,1,1,1,1,0,0,0,50,2.041,242.4,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.7,25.2,26.2,25.5,27.3,16.7,25,26,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.3,0,0,379497.8,128,17565.3,76764.9,216672.5,0,55994:01,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:36,88,0,1,0,1,0,0,0,1,0,0,6705,1,0,-25742,0,2,1,2,0,0,0,3,11,5,6,285,1508,5,3,10953,0,2378,5,4,32652,0,0,0,0,0,0,0,0,0,0,0
80022,2023-03-01,00.57.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,245,241,241,242,0,1,2,1,0,0,0.829,50.2,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,245,241,241,242,1,2,2,1,0,0.829,0.829,50,2.019,242.2,-0.5,-0.1,2.217,70,No,17,0,0,0,0,26.7,25.2,26.1,25.3,27.3,16.6,24.8,27,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.4,0,0,379497.9,128,17565.3,76764.9,216672.5,0,55994:11,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:46,88,0,1,0,1,0,0,0,1,0,0,6705,1,0,-25738,0,2,1,2,0,0,0,3,11,5,6,285,1508,5,3,10954,0,2378,5,4,32653,0,0,0,0,0,0,0,0,0,0,0
80023,2023-03-01,01.07.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.5,0.4,0.9,0,0.5,0.4,0.9,243,240,240,241,0,2,2,1,0,1,0.833,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.5,0.4,0.9,0.2,0.5,0.4,1.1,242,241,240,241,1,2,2,1,0,1,0.833,50,2.04,242.4,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.6,25.1,26,25.2,27.1,16.7,24.2,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.6,0,0,379498.1,128,17565.3,76764.9,216672.5,0,55994:21,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13042:56,88,0,1,0,1,0,0,0,1,0,0,6708,1,0,-25734,0,2,1,2,0,0,0,3,11,5,6,285,1509,5,3,10954,0,2379,5,4,32653,0,0,0,0,0,0,0,0,0,0,0
80024,2023-03-01,01.17.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.4,0.4,0.8,0,0.4,0.4,0.8,244,241,240,241,0,2,2,1,0,0.829,0.833,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.4,0.4,0.8,0.2,0.4,0.4,1,244,241,240,241,1,2,2,1,0,0.829,0.833,50,2.019,242.2,-0.5,-0.1,2.217,70,No,17,0,0,0,0,26.5,25.1,26,25.2,27.1,16.8,24.2,26,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.7,0,0,379498.2,128,17565.3,76764.9,216672.5,0,55994:31,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13043:06,88,0,1,0,1,0,0,0,1,0,0,6708,1,0,-25731,0,2,1,2,0,0,0,3,11,5,6,285,1509,5,3,10955,0,2379,5,4,32655,0,0,0,0,0,0,0,0,0,0,0
80025,2023-03-01,01.27.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.6,0.5,1.1,0,0.6,0.5,1.1,245,242,239,242,0,2,2,1,0,1,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.6,0.5,1.1,0.2,0.6,0.7,1.5,246,242,239,242,1,2,3,2,0,1,0.697,50,2.02,242.2,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.4,25,26,25.3,27,16.8,24.6,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.8,0,0,379498.3,128,17565.3,76764.9,216672.5,0,55994:41,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13043:16,88,0,1,0,1,0,0,0,1,0,0,6709,1,0,-25729,0,2,1,2,0,0,0,3,11,5,6,285,1509,5,3,10955,0,2379,5,4,32657,0,0,0,0,0,0,0,0,0,0,0
80026,2023-03-01,01.37.42.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0,0.6,0.7,1.3,0,0.7,0.7,1.4,246,241,239,242,0,3,3,2,0,0.829,0.976,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0,0.6,0.7,1.3,0.2,0.7,0.7,1.6,246,241,239,242,1,3,3,2,0,0.829,0.976,50,2.019,242.1,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.4,25,25.9,25.2,27,16.7,24.4,26,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,291559.9,0,0,379498.4,128,17565.4,76764.9,216672.5,0,55994:51,00:00,54417:58,2014-08-08 10.52.12,2023-02-27 03.28.32,1999-12-31,13043:26,88,0,1,0,1,0,0,0,1,0,0,6709,1,0,-25727,0,2,1,2,0,0,0,3,11,5,6,285,1509,5,3,10956,0,2379,5,4,32659,0,0,0,0,0,0,0,0,0,0,0
