V_A10
2023-06-13 13.26.26
No,Date,Time,Description,Trigger,Event,Var Rev,DSP Rev,Event Data,Inv kW L1 (kW),Inv kW L2 (kW),Inv kW L3 (kW),Inv kW Sum (kW),Inv kVA L1 (kVA),Inv kVA L2 (kVA),Inv kVA L3 (kVA),Inv kVA Sum (kVA),Inv Volts L1 (V),Inv Volts L2 (V),Inv Volts L3 (V),Inv Volts Ave (V),Inv Amps L1 (A),Inv Amps L2 (A),Inv Amps L3 (A),Inv Amps Ave (A),Inv L1 Pwr Factor (PF),Inv L2 Pwr Factor (PF),Inv L3 Pwr Factor (PF),Pri Amps 1 (A),Pri Amps 2 (A),Pri Amps 3 (A),Inv Freq (Hz),Status of the Inv,Src kW L1 (kW),Src kW L2 (kW),Src kW L3 (kW),Src kW Sum (kW),Src kVA L1 (kVA),Src kVA L2 (kVA),Src kVA L3 (kVA),Src kVA Sum (kVA),Src Volts L1 (V),Src Volts L2 (V),Src Volts L3 (V),Src Volts Ave (V),Src Amps L1 (A),Src Amps L2 (A),Src Amps L3 (A),Src A Ave (A),Src L1 Pwr Factor (PF),Src L2 Pwr Factor (PF),Src L3 Pwr Factor (PF),Src Freq (Hz),Src Status (Bad-Test-Good),Source A Status,Source B Status,Source A Stop,Source B Stop,Load kW L1 (kW),Load kW L2 (kW),Load kW L3 (kW),Load kW Sum (kW),Load kVA L1 (kVA),Load kVA L2 (kVA),Load kVA L3 (kVA),Load kVA Sum (kVA),Load Volts L1 (V),Load Volts L2 (V),Load Volts L3 (V),Load Volts Ave (V),Load Amps L1 (A),Load Amps L2 (A),Load Amps L3 (A),Load A Ave (A),Load L1 Pwr Factor (PF),Load L2 Pwr Factor (PF),Load L3 Pwr Factor (PF),Load Freq (Hz),Batery (VPC) (VPC),Batt (Volts) (V),Batt Amps (A),Batt kW (kW),Target Batt Volts to which Sys controls to (VPC),Target Batt amps to which Sys controls to (A),Equalize Enable Flag,Temp Compnsatn Offset (mV/C),Solar Amps (A),Solar kW (kW),Aux Amps (A),Aux kW (kW),Heatsnk Temp 1 (C),Heatsnk Temp 2 (C),Heatsnk Temp 3 (C),Heatsnk Temp 4 (C),Cabinet Temp (C),Batt Temp (C),Ambient Temp (C),Solar Radiation (W/m2),Fuel Level (L),Wind Speed (m/s),Fuel Flow A (l/h),Fuel Flow B (l/h),DSP +5v Supply Sense (V),DSP +12v Supply Sense (V),DSP -12v Supply Sense (V),Analog IP 15 reading (mV/C),Most recent status ,Most recent fault ,Target Import KW from/to the Src PIM operation (kW),Target Import KW from/to the Inv PIM operation (kW),Active PID Control for Line 1,Active PID Control for Line 2,Active PID Control for Line 3,Wifi terminal and connection status,Modem termina and connection status,License is valid,Sys Authorization Code 1,Sys Authorization Code 2,Sys Authorization Code 3,DSP Software revision,MIC Software revision,WIFI software revision,GSM software revision,HMI software revision,OPS Comms revision,Set points and Variables list revision,OperMode,SrcAMode,SrcBMode,InvMode,SolarMode,BatteryMode,WindGenMode,InvCBMode,SrcACBMode,SrcBCBMode,FaultModeL,FaultModeH,Temp Fault General Timer,Batt Bulk/Equalize/Extended Charge Termination Timer,Battery bulk enable sensing integration timer,Recon timer after a Src has failed to start,Generator Minumum up time Timer,Generator Average Stop time,Batter Fault Timer,Solar turn OFF Timer,Batt Max Delay To Equalize Timer,Gen Start Delay Timer (GSC Grid Fail),Batt low generator start timer,High load generator start timer,Digital Input Inv CB feedback,Digital Input Src A CB feedback,Digital Input Src B CB feedback,Digital Input fault reset,Digital Input toggle boost,Digital Input Force Start,Digital Input Bypass,Digital Input Pwr Drive Interupt,Digital Input IGBT Error 1 PWM Block A,Digital Input IGBT Error 2 PWM Block A,Digital Input IGBT Error 3 PWM Block A,Digital Input IGBT Error 1 PWM Block B,Digital Input IGBT Error 2 PWM Block B,Digital Input IGBT Error 3 PWM Block B,Solar Earth Fault Input,Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Site kWh (meter),Batt Exp kWh,Batt Imp kWh,Solar kWh,Aux kWh,Src A Run Hrs,Src B Run Hrs,Inv Total Run Hours,Batt Equalise Time,Time at which Src A was run last,Time at which Src B was run last,Sys Total Running Time,Digital Output Solar PWM,Digital Output Aux PWM,Digital Output Generator Start A,Digital Output Generator Start B,Digital Output Alarm,Digital Output Src sensing relay,Digital Output HS Fan Enable,Digital Output Cabinet Fan Enable,Digital output Src A Contactor ,Digital output Src B Contactor ,Digital output Inv Contactor ,CRC BUS Faults for MIC,CRC BUS Faults for WIFI,CRC BUS Faults for MODEM,CRC BUS Faults for HMI,CRC BUS Faults for No Valid Device,EOT not Received from MIC,EOT not Received from WIFI,EOT not Received from MODEM,EOT not Received from HMI,EOT not Received from No Device,BUS Framing Faults for No Valid Device,Wrong Address BUS Faults for MIC,Wrong Address BUS Faults for WIFI,Wrong Address Faults for MODEM,Wrong Address BUS Faults for HMI,Wrong Address BUS Faults for No Valid Device,Timeout BUS Faults for MIC,Timeout BUS Faults for WIFI,Timeout BUS Faults for MODEM,Timeout BUS Faults for HMI,Timeout BUS Faults for No Valid Device,BUS Poll Results Faults for MIC,BUS Poll Results BUS Faults for WIFI,BUS Poll Results Faults for MODEM,BUS Poll Results Faults for HMI,BUS Poll Results Faults for No Valid Device,Inverter Power Angle Line 1 (deg),Inverter Power Angle Line 2 (deg),Inverter Power Angle Line 3 (deg),Estimate Power Angle Line 1 (deg),Estimate Power Angle Line 2 (deg),Estimate Power Angle Line 3 (deg),Battery Capacity (%),Spare,Spare,Spare
62681,Datalog Missing
62682,2022-11-01,00.10.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.4,0.7,1.6,0.5,0.4,0.7,1.6,246,244,239,243,2,1,3,2,1,0,0.976,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.4,0.7,1.6,0.5,0.4,0.7,1.6,246,244,239,243,1,2,3,1,0,0,0.976,50,2.011,241.3,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.6,25.4,26.2,25.6,27.1,16.7,24.7,26,0,0,0,0,4.86,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287880.8,0,0,375819.3,128,17401.7,76682.9,216386.3,0,53113:43,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10161:33,88,0,1,0,1,0,0,0,1,0,0,1008,1,0,9085,0,2,1,2,0,0,0,3,1,4,5,27,301,4,2,5713,0,484,4,3,10714,0,0,0,0,0,0,0,0,0,0,0
62683,2022-11-01,00.20.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,246,243,240,243,2,1,2,1,1,0,1,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,246,243,240,243,1,1,2,1,0,0,1,50,2.012,241.4,-0.5,-0.1,2.217,70,No,17,0,0,0,0,26.6,25.3,26.2,25.5,27.1,16.6,24.8,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287881.1,0,0,375819.6,128,17401.8,76682.9,216386.3,0,53113:53,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10161:43,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9085,0,2,1,2,0,0,0,3,1,4,5,27,302,4,2,5713,0,485,4,3,10714,0,0,0,0,0,0,0,0,0,0,0
62684,2022-11-01,00.30.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.6,1.4,0.7,0.3,0.6,1.6,245,243,240,242,2,1,2,2,0.68,0,1,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.6,1.4,0.5,0.3,0.7,1.5,245,243,240,242,1,1,3,1,0,0,0.833,50,2.011,242,-0.5,-0.1,2.217,70,No,17,0,0,0,0,26.5,25.3,26.1,25.5,27.1,16.8,24.9,26,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287881.3,0,0,375819.8,128,17401.8,76682.9,216386.3,0,53114:03,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10161:53,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9086,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5713,0,485,4,3,10716,0,0,0,0,0,0,0,0,0,0,0
62685,2022-11-01,00.40.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.6,1.4,0.5,0.3,0.6,1.4,245,244,241,243,2,1,2,1,1,0,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.6,1.4,0.5,0.3,0.6,1.4,246,244,241,243,1,1,2,1,0,0,1,50,2.016,241.3,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.5,25.3,26.1,25.5,27,16.7,24.9,26,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287881.6,0,0,375820.1,128,17401.8,76682.9,216386.3,0,53114:13,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:03,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9087,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5715,0,485,4,3,10719,0,0,0,0,0,0,0,0,0,0,0
62686,2022-11-01,00.50.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,247,244,241,244,2,1,2,1,1,0,1,50,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.5,1.3,0.5,0.4,0.5,1.4,247,244,241,244,1,1,2,1,0,0.614,1,50,2.012,241.3,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.5,25.3,26.1,25.4,27,16.8,24.7,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287881.8,0,0,375820.3,128,17401.8,76682.9,216386.3,0,53114:23,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:13,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9090,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5716,0,485,4,3,10722,0,0,0,0,0,0,0,0,0,0,0
62687,2022-11-01,01.00.00.01,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.6,1.3,0.5,0.3,0.5,1.3,246,244,241,244,2,1,2,1,1,0,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,247,244,241,244,1,1,2,1,0,0,1,50,2.03,241.3,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.4,25.2,26,25.3,26.9,16.7,24.4,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287882,0,0,375820.6,128,17401.8,76682.9,216386.3,0,53114:33,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:23,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9093,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5719,0,485,4,3,10725,0,0,0,0,0,0,0,0,0,0,0
62688,2022-11-01,01.10.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.4,0.5,1,2,0.5,0.5,1,2,247,245,239,243,2,2,4,2,1,1,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.5,1,2,0.5,0.5,1,2,247,245,239,243,1,2,4,2,0,1,1,50,2.03,241.2,-0.5,-0.1,2.215,70,No,15,0,0,0,0,26.4,25.1,26,25.3,26.9,16.6,24.6,26,0,0,0,0,4.85,12.3,12.2,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287882.3,0,0,375820.8,128,17401.9,76682.9,216386.3,0,53114:43,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:33,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9095,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5719,0,485,4,3,10727,0,0,0,0,0,0,0,0,0,0,0
62689,2022-11-01,01.20.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.4,0.6,1.5,0.5,0.4,0.6,1.5,246,244,241,243,2,1,2,1,1,0,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.4,0.6,1.5,0.5,0.4,0.6,1.5,246,244,241,243,1,2,2,1,0,0.819,1,50,2.01,241,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.3,25.1,25.9,25.3,26.9,16.7,24.4,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287882.6,0,0,375821.1,128,17401.9,76682.9,216386.3,0,53114:53,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:43,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9096,0,2,1,2,0,0,0,3,1,4,5,28,302,4,2,5719,0,485,4,3,10728,0,0,0,0,0,0,0,0,0,0,0
62690,2022-11-01,01.30.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,247,245,241,244,2,1,2,1,1,0,1,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.5,1.3,0.5,0.3,0.5,1.3,247,244,241,244,1,1,2,1,0,0,1,50,2.01,241.2,-0.5,-0.1,2.216,70,No,16,0,0,0,0,26.3,25.1,25.9,25.2,26.9,16.7,24.2,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287882.8,0,0,375821.3,128,17401.9,76682.9,216386.3,0,53115:03,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10162:53,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9097,0,2,1,2,0,0,0,3,1,4,5,28,303,4,2,5719,0,486,4,3,10731,0,0,0,0,0,0,0,0,0,0,0
62691,2022-11-01,01.40.00.00,Data Log,Log Period,0,106,4294941364,4294901759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L3 low;L2 low;L1 low,0.5,0.3,0.4,1.2,0.5,0.3,0.4,1.2,247,244,242,244,2,1,2,1,1,0,0.826,50.1,Good,Source in Spec,Source in Spec,Can Stop,Can Stop,0.5,0.3,0.4,1.2,0.5,0.3,0.4,1.2,247,244,242,244,1,1,2,1,0,0,0.826,50,2.029,240.9,-0.5,-0.1,2.217,70,No,17,0,0,0,0,26.3,25,25.8,25.2,26.8,16.7,24.1,26,0,0,0,0,4.85,12.3,12.1,1023,MPPT,IGBTErrorL1,32,-0.4,VPC,VPC,VPC,Error; RS232 Cable,Idle; Unknown,Yes,20700,23203,0,0,329,324,0,410,151,0,Auto Source A Only,Running,Stopped,Masked,Charging,Charging Stage 4,Stopped,Opened,Closed,Opened,None,None,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,190811.9,56741.5,46435.9,287883,0,0,375821.6,128,17401.9,76682.9,216386.3,0,53115:13,00:00,54417:58,2014-08-08 10.52.12,2022-10-26 17.24.34,1999-12-31,10163:03,88,0,1,0,1,0,0,0,1,0,0,1009,1,0,9100,0,2,1,2,0,0,0,3,1,4,5,28,303,4,2,5720,0,486,4,3,10734,0,0,0,0,0,0,0,0,0,0,0
